DATE,VALUE
1995-01-02,1.366
1995-01-09,1.368
1995-01-16,1.372
1995-01-23,1.367
1995-01-30,1.362
1995-02-06,1.356
1995-02-13,1.350
1995-02-20,1.345
1995-02-27,1.335
1995-03-06,1.338
1995-03-13,1.327
1995-03-20,1.327
1995-03-27,1.326
1995-04-03,1.325
1995-04-10,1.344
1995-04-17,1.340
1995-04-24,1.346
1995-05-01,1.358
1995-05-08,1.374
1995-05-15,1.378
1995-05-22,1.379
1995-05-29,1.379
1995-06-05,1.374
1995-06-12,1.371
1995-06-19,1.368
1995-06-26,1.361
1995-07-03,1.359
1995-07-10,1.354
1995-07-17,1.345
1995-07-24,1.337
1995-07-31,1.324
1995-08-07,1.312
1995-08-14,1.301
1995-08-21,1.287
1995-08-28,1.286
1995-09-04,1.293
1995-09-11,1.276
1995-09-18,1.267
1995-09-25,1.259
1995-10-02,1.273
1995-10-09,1.279
1995-10-16,1.286
1995-10-23,1.282
1995-10-30,1.284
1995-11-06,1.278
1995-11-13,1.283
1995-11-20,1.276
1995-11-27,1.274
1995-12-04,1.264
1995-12-11,1.261
1995-12-18,1.265
1995-12-25,1.270
1996-01-01,1.265
1996-01-08,1.253
1996-01-15,1.271
1996-01-22,1.285
1996-01-29,1.283
1996-02-05,1.277
1996-02-12,1.281
1996-02-19,1.290
1996-02-26,1.315
1996-03-04,1.322
1996-03-11,1.334
1996-03-18,1.346
1996-03-25,1.365
1996-04-01,1.399
1996-04-08,1.433
1996-04-15,1.485
1996-04-22,1.600
1996-04-29,1.638
1996-05-06,1.640
1996-05-13,1.639
1996-05-20,1.632
1996-05-27,1.618
1996-06-03,1.630
1996-06-10,1.613
1996-06-17,1.606
1996-06-24,1.594
1996-07-01,1.576
1996-07-08,1.565
1996-07-15,1.557
1996-07-22,1.546
1996-07-29,1.530
1996-08-05,1.515
1996-08-12,1.493
1996-08-19,1.469
1996-08-26,1.468
1996-09-02,1.434
1996-09-09,1.424
1996-09-16,1.424
1996-09-23,1.420
1996-09-30,1.403
1996-10-07,1.391
1996-10-14,1.375
1996-10-21,1.360
1996-10-28,1.339
1996-11-04,1.323
1996-11-11,1.297
1996-11-18,1.293
1996-11-25,1.293
1996-12-02,1.297
1996-12-09,1.297
1996-12-16,1.306
1996-12-23,1.311
1996-12-30,1.316
1997-01-06,1.333
1997-01-13,1.359
1997-01-20,1.371
1997-01-27,1.375
1997-02-03,1.385
1997-02-10,1.394
1997-02-17,1.396
1997-02-24,1.406
1997-03-03,1.408
