DATE,VALUE
1994-12-01,1.228
1995-01-01,1.213
1995-02-01,1.189
1995-03-01,1.206
1995-04-01,1.239
1995-05-01,1.283
1995-06-01,1.288
1995-07-01,1.273
1995-08-01,1.258
1995-09-01,1.262
1995-10-01,1.256
1995-11-01,1.246
1995-12-01,1.239
1996-01-01,1.229
1996-02-01,1.224
1996-03-01,1.268
1996-04-01,1.347
1996-05-01,1.419
1996-06-01,1.390
1996-07-01,1.368
1996-08-01,1.372
1996-09-01,1.370
1996-10-01,1.376
1996-11-01,1.376
1996-12-01,1.369
1997-01-01,1.366
1997-02-01,1.357
1997-03-01,1.350
1997-04-01,1.372
1997-05-01,1.353
1997-06-01,1.357
1997-07-01,1.366
1997-08-01,1.387
1997-09-01,1.382
1997-10-01,1.379
1997-11-01,1.368
1997-12-01,1.354
1998-01-01,1.302
1998-02-01,1.206
1998-03-01,1.134
1998-04-01,1.167
1998-05-01,1.219
1998-06-01,1.254
1998-07-01,1.231
1998-08-01,1.218
1998-09-01,1.204
1998-10-01,1.198
1998-11-01,1.187
1998-12-01,1.085
1999-01-01,1.044
1999-02-01,1.062
1999-03-01,1.127
1999-04-01,1.299
1999-05-01,1.328
1999-06-01,1.308
1999-07-01,1.335
1999-08-01,1.437
1999-09-01,1.471
1999-10-01,1.456
1999-11-01,1.421
1999-12-01,1.425
2000-01-01,1.399
2000-02-01,1.456
2000-03-01,1.617
2000-04-01,1.632
2000-05-01,1.585
2000-06-01,1.650
2000-07-01,1.688
2000-08-01,1.649
2000-09-01,1.695
2000-10-01,1.707
2000-11-01,1.696
2000-12-01,1.590
2001-01-01,1.511
2001-02-01,1.519
2001-03-01,1.517
2001-04-01,1.607
2001-05-01,1.742
2001-06-01,1.733
2001-07-01,1.600
2001-08-01,1.520
2001-09-01,1.652
2001-10-01,1.552
2001-11-01,1.357
2001-12-01,1.208
2002-01-01,1.210
2002-02-01,1.198
2002-03-01,1.308
2002-04-01,1.482
2002-05-01,1.477
2002-06-01,1.479
2002-07-01,1.529
2002-08-01,1.557
2002-09-01,1.532
2002-10-01,1.560
2002-11-01,1.535
2002-12-01,1.477
2003-01-01,1.509
2003-02-01,1.669
2003-03-01,1.758
2003-04-01,1.690
2003-05-01,1.611
2003-06-01,1.600
2003-07-01,1.642
2003-08-01,1.749
2003-09-01,1.814
2003-10-01,1.694
2003-11-01,1.658
2003-12-01,1.606
2004-01-01,1.638
2004-02-01,1.689
2004-03-01,1.831
2004-04-01,1.939
2004-05-01,2.075
2004-06-01,2.060
2004-07-01,2.003
2004-08-01,1.987
2004-09-01,1.968
2004-10-01,2.058
2004-11-01,2.069
2004-12-01,1.963
2005-01-01,1.890
2005-02-01,1.973
2005-03-01,2.148
