DATE,VALUE
1994-11-28,1.197
1994-12-05,1.197
1994-12-12,1.188
1994-12-19,1.179
1994-12-26,1.171
1995-01-02,1.170
1995-01-09,1.177
1995-01-16,1.168
1995-01-23,1.177
1995-01-30,1.176
1995-02-06,1.169
1995-02-13,1.166
1995-02-20,1.160
1995-02-27,1.164
1995-03-06,1.167
1995-03-13,1.158
1995-03-20,1.158
1995-03-27,1.162
1995-04-03,1.174
1995-04-10,1.190
1995-04-17,1.205
1995-04-24,1.226
1995-05-01,1.236
1995-05-08,1.259
1995-05-15,1.269
1995-05-22,1.288
1995-05-29,1.290
1995-06-05,1.290
1995-06-12,1.288
1995-06-19,1.280
1995-06-26,1.273
1995-07-03,1.266
1995-07-10,1.255
1995-07-17,1.244
1995-07-24,1.236
1995-07-31,1.222
1995-08-07,1.217
1995-08-14,1.215
1995-08-21,1.214
1995-08-28,1.205
1995-09-04,1.202
1995-09-11,1.201
1995-09-18,1.200
1995-09-25,1.198
1995-10-02,1.192
1995-10-09,1.185
1995-10-16,1.175
1995-10-23,1.165
1995-10-30,1.157
1995-11-06,1.153
1995-11-13,1.151
1995-11-20,1.149
1995-11-27,1.149
1995-12-04,1.151
1995-12-11,1.154
1995-12-18,1.167
1995-12-25,1.170
1996-01-01,1.171
1996-01-08,1.181
1996-01-15,1.186
1996-01-22,1.179
1996-01-29,1.176
1996-02-05,1.172
1996-02-12,1.169
1996-02-19,1.177
1996-02-26,1.197
1996-03-04,1.213
1996-03-11,1.213
1996-03-18,1.222
1996-03-25,1.250
1996-04-01,1.263
1996-04-08,1.289
1996-04-15,1.329
1996-04-22,1.341
1996-04-29,1.356
1996-05-06,1.359
1996-05-13,1.361
1996-05-20,1.369
1996-05-27,1.358
1996-06-03,1.353
1996-06-10,1.345
1996-06-17,1.340
1996-06-24,1.328
1996-07-01,1.317
1996-07-08,1.315
1996-07-15,1.311
1996-07-22,1.310
1996-07-29,1.302
1996-08-05,1.292
1996-08-12,1.287
1996-08-19,1.288
1996-08-26,1.290
1996-09-02,1.281
1996-09-09,1.286
1996-09-16,1.291
1996-09-23,1.290
1996-09-30,1.285
1996-10-07,1.279
1996-10-14,1.288
1996-10-21,1.290
1996-10-28,1.302
1996-11-04,1.310
1996-11-11,1.315
1996-11-18,1.326
1996-11-25,1.332
1996-12-02,1.332
1996-12-09,1.330
1996-12-16,1.327
1996-12-23,1.323
1996-12-30,1.318
1997-01-06,1.317
1997-01-13,1.332
1997-01-20,1.329
1997-01-27,1.325
1997-02-03,1.324
1997-02-10,1.321
1997-02-17,1.314
1997-02-24,1.312
1997-03-03,1.302
1997-03-10,1.296
1997-03-17,1.289
1997-03-24,1.291
1997-03-31,1.286
1997-04-07,1.288
1997-04-14,1.283
1997-04-21,1.284
1997-04-28,1.279
1997-05-05,1.276
1997-05-12,1.278
1997-05-19,1.286
1997-05-26,1.294
1997-06-02,1.297
1997-06-09,1.291
1997-06-16,1.282
1997-06-23,1.272
1997-06-30,1.267
1997-07-07,1.264
1997-07-14,1.261
1997-07-21,1.265
1997-07-28,1.259
1997-08-04,1.277
1997-08-11,1.311
1997-08-18,1.312
1997-08-25,1.327
1997-09-01,1.326
1997-09-08,1.326
1997-09-15,1.318
1997-09-22,1.306
1997-09-29,1.292
1997-10-06,1.292
1997-10-13,1.287
1997-10-20,1.278
1997-10-27,1.267
1997-11-03,1.259
1997-11-10,1.261
1997-11-17,1.251
1997-11-24,1.246
1997-12-01,1.236
1997-12-08,1.226
1997-12-15,1.215
1997-12-22,1.205
1997-12-29,1.196
1998-01-05,1.188
1998-01-12,1.181
1998-01-19,1.168
1998-01-26,1.152
1998-02-02,1.149
1998-02-09,1.143
1998-02-16,1.127
1998-02-23,1.132
1998-03-02,1.119
1998-03-09,1.111
1998-03-16,1.101
1998-03-23,1.091
1998-03-30,1.121
1998-04-06,1.118
1998-04-13,1.115
1998-04-20,1.118
1998-04-27,1.128
1998-05-04,1.137
1998-05-11,1.150
1998-05-18,1.161
1998-05-25,1.160
1998-06-01,1.156
1998-06-08,1.164
1998-06-15,1.156
1998-06-22,1.150
1998-06-29,1.149
1998-07-06,1.149
1998-07-13,1.146
1998-07-20,1.149
1998-07-27,1.140
1998-08-03,1.131
1998-08-10,1.124
1998-08-17,1.119
1998-08-24,1.113
1998-08-31,1.107
1998-09-07,1.101
1998-09-14,1.097
1998-09-21,1.108
1998-09-28,1.107
1998-10-05,1.113
1998-10-12,1.118
1998-10-19,1.113
1998-10-26,1.109
1998-11-02,1.105
1998-11-09,1.104
1998-11-16,1.094
1998-11-23,1.089
1998-11-30,1.074
1998-12-07,1.056
1998-12-14,1.046
1998-12-21,1.044
1998-12-28,1.038
1999-01-04,1.036
1999-01-11,1.039
1999-01-18,1.042
1999-01-25,1.035
1999-02-01,1.029
1999-02-08,1.026
1999-02-15,1.018
1999-02-22,1.008
1999-03-01,1.016
1999-03-08,1.024
1999-03-15,1.074
1999-03-22,1.112
1999-03-29,1.177
1999-04-05,1.216
1999-04-12,1.238
1999-04-19,1.234
1999-04-26,1.231
1999-05-03,1.234
1999-05-10,1.240
1999-05-17,1.239
1999-05-24,1.224
1999-05-31,1.210
1999-06-07,1.210
1999-06-14,1.205
1999-06-21,1.219
1999-06-28,1.210
1999-07-05,1.221
1999-07-12,1.236
1999-07-19,1.265
1999-07-26,1.288
1999-08-02,1.292
1999-08-09,1.302
1999-08-16,1.331
1999-08-23,1.330
1999-08-30,1.329
1999-09-06,1.338
1999-09-13,1.346
1999-09-20,1.365
1999-09-27,1.359
1999-10-04,1.353
1999-10-11,1.347
1999-10-18,1.334
1999-10-25,1.336
1999-11-01,1.329
1999-11-08,1.330
1999-11-15,1.350
1999-11-22,1.367
1999-11-29,1.372
1999-12-06,1.370
1999-12-13,1.372
1999-12-20,1.367
1999-12-27,1.372
2000-01-03,1.369
2000-01-10,1.361
2000-01-17,1.375
2000-01-24,1.409
2000-01-31,1.411
2000-02-07,1.417
2000-02-14,1.447
2000-02-21,1.495
2000-02-28,1.511
2000-03-06,1.593
2000-03-13,1.621
2000-03-20,1.624
2000-03-27,1.606
2000-04-03,1.602
2000-04-10,1.575
2000-04-17,1.544
2000-04-24,1.535
2000-05-01,1.517
2000-05-08,1.552
2000-05-15,1.586
2000-05-22,1.618
2000-05-29,1.630
2000-06-05,1.646
2000-06-12,1.706
2000-06-19,1.751
2000-06-26,1.733
2000-07-03,1.707
2000-07-10,1.682
2000-07-17,1.640
2000-07-24,1.619
2000-07-31,1.573
2000-08-07,1.564
2000-08-14,1.546
2000-08-21,1.565
2000-08-28,1.577
2000-09-04,1.622
2000-09-11,1.650
2000-09-18,1.650
2000-09-25,1.639
2000-10-02,1.616
2000-10-09,1.593
2000-10-16,1.631
2000-10-23,1.641
2000-10-30,1.637
2000-11-06,1.618
2000-11-13,1.616
2000-11-20,1.605
2000-11-27,1.603
2000-12-04,1.581
2000-12-11,1.547
2000-12-18,1.518
2000-12-25,1.502
2001-01-01,1.503
2001-01-08,1.523
2001-01-15,1.566
2001-01-22,1.562
2001-01-29,1.551
2001-02-05,1.538
2001-02-12,1.568
2001-02-19,1.543
2001-02-26,1.526
2001-03-05,1.513
2001-03-12,1.510
2001-03-19,1.500
2001-03-26,1.502
2001-04-02,1.540
2001-04-09,1.596
2001-04-16,1.665
2001-04-23,1.712
2001-04-30,1.717
2001-05-07,1.788
2001-05-14,1.793
2001-05-21,1.773
2001-05-28,1.787
2001-06-04,1.762
2001-06-11,1.741
2001-06-18,1.700
2001-06-25,1.644
2001-07-02,1.585
2001-07-09,1.550
2001-07-16,1.524
2001-07-23,1.500
2001-07-30,1.486
2001-08-06,1.476
2001-08-13,1.487
2001-08-20,1.516
2001-08-27,1.561
2001-09-03,1.619
2001-09-10,1.604
2001-09-17,1.607
2001-09-24,1.569
2001-10-01,1.503
2001-10-08,1.444
2001-10-15,1.405
