DATE,VALUE
1994-12-01,1.352
1995-01-01,1.337
1995-02-01,1.317
1995-03-01,1.296
1995-04-01,1.308
1995-05-01,1.347
1995-06-01,1.354
1995-07-01,1.334
1995-08-01,1.302
1995-09-01,1.285
1995-10-01,1.290
1995-11-01,1.277
1995-12-01,1.270
1996-01-01,1.277
1996-02-01,1.286
1996-03-01,1.331
1996-04-01,1.481
1996-05-01,1.608
1996-06-01,1.579
1996-07-01,1.536
1996-08-01,1.483
1996-09-01,1.431
1996-10-01,1.390
1996-11-01,1.337
1996-12-01,1.323
1997-01-01,1.366
1997-02-01,1.402
1997-03-01,1.430
1997-04-01,1.476
1997-05-01,1.458
1997-06-01,1.421
1997-07-01,1.380
1997-08-01,1.435
1997-09-01,1.522
1997-10-01,1.516
1997-11-01,1.481
1997-12-01,1.433
1998-01-01,1.380
1998-02-01,1.296
1998-03-01,1.208
1998-04-01,1.233
1998-05-01,1.312
1998-06-01,1.294
1998-07-01,1.276
1998-08-01,1.255
1998-09-01,1.243
1998-10-01,1.242
1998-11-01,1.239
1998-12-01,1.229
1999-01-01,1.216
1999-02-01,1.195
1999-03-01,1.297
1999-04-01,1.634
1999-05-01,1.532
1999-06-01,1.429
1999-07-01,1.491
1999-08-01,1.583
1999-09-01,1.521
1999-10-01,1.478
1999-11-01,1.457
1999-12-01,1.477
2000-01-01,1.465
2000-02-01,1.533
2000-03-01,1.797
2000-04-01,1.810
2000-05-01,1.728
2000-06-01,1.705
2000-07-01,1.781
2000-08-01,1.759
2000-09-01,1.878
2000-10-01,1.875
2000-11-01,1.837
2000-12-01,1.765
2001-01-01,1.686
2001-02-01,1.705
2001-03-01,1.749
2001-04-01,1.816
2001-05-01,1.938
2001-06-01,1.943
2001-07-01,1.814
2001-08-01,1.643
2001-09-01,1.753
2001-10-01,1.650
2001-11-01,1.472
2001-12-01,1.281
2002-01-01,1.290
2002-02-01,1.350
2002-03-01,1.506
2002-04-01,1.657
2002-05-01,1.633
2002-06-01,1.649
2002-07-01,1.667
2002-08-01,1.657
2002-09-01,1.643
2002-10-01,1.599
2002-11-01,1.629
2002-12-01,1.599
2003-01-01,1.661
2003-02-01,1.853
2003-03-01,2.133
2003-04-01,2.075
2003-05-01,1.892
2003-06-01,1.829
2003-07-01,1.817
2003-08-01,1.944
2003-09-01,2.086
2003-10-01,1.870
2003-11-01,1.784
2003-12-01,1.728
2004-01-01,1.768
2004-02-01,1.933
2004-03-01,2.142
2004-04-01,2.196
2004-05-01,2.337
2004-06-01,2.342
2004-07-01,2.240
2004-08-01,2.155
2004-09-01,2.154
2004-10-01,2.368
2004-11-01,2.344
2004-12-01,2.158
2005-01-01,2.044
2005-02-01,2.187
2005-03-01,2.362
2005-04-01,2.612
2005-05-01,2.551
2005-06-01,2.443
2005-07-01,2.583
2005-08-01,2.750
2005-09-01,3.080
2005-10-01,2.961
2005-11-01,2.604
2005-12-01,2.362
2006-01-01,2.457
2006-02-01,2.552
2006-03-01,2.638
2006-04-01,2.934
2006-05-01,3.339
2006-06-01,3.271
2006-07-01,3.257
2006-08-01,3.221
2006-09-01,2.965
2006-10-01,2.630
2006-11-01,2.557
2006-12-01,2.636
2007-01-01,2.655
2007-02-01,2.699
2007-03-01,3.059
2007-04-01,3.319
2007-05-01,3.496
2007-06-01,3.355
2007-07-01,3.191
2007-08-01,2.980
2007-09-01,2.961
2007-10-01,3.126
2007-11-01,3.393
2007-12-01,3.354
2008-01-01,3.306
2008-02-01,3.257
2008-03-01,3.612
2008-04-01,3.824
2008-05-01,4.013
2008-06-01,4.509
2008-07-01,4.504
2008-08-01,4.150
2008-09-01,3.881
2008-10-01,3.460
2008-11-01,2.559
2008-12-01,1.939
2009-01-01,2.086
2009-02-01,2.294
2009-03-01,2.284
2009-04-01,2.393
2009-05-01,2.548
2009-06-01,2.972
2009-07-01,2.937
2009-08-01,3.060
2009-09-01,3.150
2009-10-01,3.039
2009-11-01,3.020
2009-12-01,2.984
2010-01-01,3.070
2010-02-01,3.012
2010-03-01,3.122
2010-04-01,3.174
2010-05-01,3.169
2010-06-01,3.151
2010-07-01,3.186
2010-08-01,3.206
2010-09-01,3.097
2010-10-01,3.167
2010-11-01,3.225
2010-12-01,3.314
2011-01-01,3.403
2011-02-01,3.581
2011-03-01,3.979
2011-04-01,4.181
2011-05-01,4.221
2011-06-01,3.991
2011-07-01,3.869
2011-08-01,3.851
2011-09-01,3.983
2011-10-01,3.909
2011-11-01,3.858
2011-12-01,3.667
2012-01-01,3.744
2012-02-01,3.996
2012-03-01,4.368
2012-04-01,4.305
2012-05-01,4.350
2012-06-01,4.149
2012-07-01,3.831
2012-08-01,4.081
2012-09-01,4.209
2012-10-01,4.388
2012-11-01,3.896
2012-12-01,3.637
2013-01-01,3.653
2013-02-01,4.063
2013-03-01,4.166
2013-04-01,4.018
2013-05-01,4.046
2013-06-01,4.042
2013-07-01,4.056
2013-08-01,3.944
2013-09-01,3.966
2013-10-01,3.812
2013-11-01,3.635
2013-12-01,3.627
2014-01-01,3.654
2014-02-01,3.705
2014-03-01,3.942
2014-04-01,4.150
2014-05-01,4.179
2014-06-01,4.154
2014-07-01,4.118
2014-08-01,3.992
2014-09-01,3.857
2014-10-01,3.610
2014-11-01,3.275
2014-12-01,2.954
2015-01-01,2.593
2015-02-01,2.705
2015-03-01,3.273
2015-04-01,3.179
2015-05-01,3.656
2015-06-01,3.527
2015-07-01,3.702
2015-08-01,3.516
2015-09-01,3.132
2015-10-01,2.901
2015-11-01,2.792
2015-12-01,2.738
2016-01-01,2.756
2016-02-01,2.435
2016-03-01,2.612
2016-04-01,2.768
2016-05-01,2.830
2016-06-01,2.907
2016-07-01,2.900
2016-08-01,2.748
2016-09-01,2.812
2016-10-01,2.860
2016-11-01,2.803
2016-12-01,2.752
2017-01-01,2.854
2017-02-01,2.933
2017-03-01,3.037
2017-04-01,3.061
2017-05-01,3.091
2017-06-01,3.068
2017-07-01,2.999
2017-08-01,3.062
2017-09-01,3.209
2017-10-01,3.129
2017-11-01,3.255
2017-12-01,3.168
2018-01-01,3.224
2018-02-01,3.347
2018-03-01,3.409
2018-04-01,3.567
2018-05-01,3.678
2018-06-01,3.682
2018-07-01,3.623
2018-08-01,3.579
2018-09-01,3.597
2018-10-01,3.741
2018-11-01,3.645
2018-12-01,3.397
