DATE,VALUE
1994-11-28,1.363
1994-12-05,1.359
1994-12-12,1.356
1994-12-19,1.347
1994-12-26,1.346
1995-01-02,1.341
1995-01-09,1.341
1995-01-16,1.343
1995-01-23,1.335
1995-01-30,1.327
1995-02-06,1.324
1995-02-13,1.319
1995-02-20,1.315
1995-02-27,1.308
1995-03-06,1.305
1995-03-13,1.296
1995-03-20,1.295
1995-03-27,1.289
1995-04-03,1.294
1995-04-10,1.310
1995-04-17,1.311
1995-04-24,1.318
1995-05-01,1.330
1995-05-08,1.345
1995-05-15,1.349
1995-05-22,1.355
1995-05-29,1.358
1995-06-05,1.358
1995-06-12,1.355
1995-06-19,1.355
1995-06-26,1.349
1995-07-03,1.346
1995-07-10,1.342
1995-07-17,1.336
1995-07-24,1.329
1995-07-31,1.318
1995-08-07,1.310
1995-08-14,1.304
1995-08-21,1.296
1995-08-28,1.296
1995-09-04,1.296
1995-09-11,1.287
1995-09-18,1.281
1995-09-25,1.277
1995-10-02,1.286
1995-10-09,1.292
1995-10-16,1.295
1995-10-23,1.289
1995-10-30,1.287
1995-11-06,1.282
1995-11-13,1.281
1995-11-20,1.273
1995-11-27,1.270
1995-12-04,1.267
1995-12-11,1.269
1995-12-18,1.271
1995-12-25,1.274
1996-01-01,1.272
1996-01-08,1.269
1996-01-15,1.277
1996-01-22,1.285
1996-01-29,1.281
1996-02-05,1.278
1996-02-12,1.282
1996-02-19,1.286
1996-02-26,1.296
1996-03-04,1.305
1996-03-11,1.323
1996-03-18,1.340
1996-03-25,1.355
1996-04-01,1.380
1996-04-08,1.413
1996-04-15,1.462
1996-04-22,1.554
1996-04-29,1.597
1996-05-06,1.612
1996-05-13,1.613
1996-05-20,1.609
1996-05-27,1.596
1996-06-03,1.599
1996-06-10,1.587
1996-06-17,1.578
1996-06-24,1.568
1996-07-01,1.554
1996-07-08,1.545
1996-07-15,1.538
1996-07-22,1.529
1996-07-29,1.516
1996-08-05,1.504
1996-08-12,1.489
1996-08-19,1.469
1996-08-26,1.465
1996-09-02,1.439
1996-09-09,1.431
1996-09-16,1.432
1996-09-23,1.430
1996-09-30,1.417
1996-10-07,1.408
1996-10-14,1.397
1996-10-21,1.386
1996-10-28,1.368
1996-11-04,1.356
1996-11-11,1.336
1996-11-18,1.330
1996-11-25,1.326
1996-12-02,1.324
1996-12-09,1.318
1996-12-16,1.322
1996-12-23,1.324
1996-12-30,1.327
1997-01-06,1.340
1997-01-13,1.364
1997-01-20,1.377
1997-01-27,1.383
1997-02-03,1.391
1997-02-10,1.402
1997-02-17,1.404
1997-02-24,1.411
1997-03-03,1.411
1997-03-10,1.422
1997-03-17,1.429
1997-03-24,1.435
1997-03-31,1.452
1997-04-07,1.474
1997-04-14,1.478
1997-04-21,1.476
1997-04-28,1.475
1997-05-05,1.469
1997-05-12,1.465
1997-05-19,1.453
1997-05-26,1.446
1997-06-02,1.439
1997-06-09,1.432
1997-06-16,1.423
1997-06-23,1.414
1997-06-30,1.398
1997-07-07,1.391
1997-07-14,1.384
1997-07-21,1.376
1997-07-28,1.369
1997-08-04,1.382
1997-08-11,1.423
1997-08-18,1.452
1997-08-25,1.482
1997-09-01,1.500
1997-09-08,1.518
1997-09-15,1.532
1997-09-22,1.533
1997-09-29,1.528
1997-10-06,1.525
1997-10-13,1.519
1997-10-20,1.513
1997-10-27,1.506
1997-11-03,1.494
1997-11-10,1.487
1997-11-17,1.476
1997-11-24,1.465
1997-12-01,1.457
1997-12-08,1.444
1997-12-15,1.432
1997-12-22,1.419
1997-12-29,1.415
1998-01-05,1.407
1998-01-12,1.394
1998-01-19,1.367
1998-01-26,1.351
1998-02-02,1.330
1998-02-09,1.307
1998-02-16,1.283
1998-02-23,1.263
1998-03-02,1.228
1998-03-09,1.206
1998-03-16,1.200
1998-03-23,1.191
1998-03-30,1.214
1998-04-06,1.220
1998-04-13,1.233
1998-04-20,1.233
1998-04-27,1.246
1998-05-04,1.304
1998-05-11,1.321
1998-05-18,1.313
1998-05-25,1.311
1998-06-01,1.307
1998-06-08,1.296
1998-06-15,1.294
1998-06-22,1.289
1998-06-29,1.284
1998-07-06,1.279
1998-07-13,1.276
1998-07-20,1.275
1998-07-27,1.273
1998-08-03,1.264
1998-08-10,1.260
1998-08-17,1.256
1998-08-24,1.253
1998-08-31,1.242
1998-09-07,1.237
1998-09-14,1.232
1998-09-21,1.252
1998-09-28,1.250
1998-10-05,1.245
1998-10-12,1.243
1998-10-19,1.239
1998-10-26,1.239
1998-11-02,1.236
1998-11-09,1.234
1998-11-16,1.233
1998-11-23,1.247
1998-11-30,1.244
1998-12-07,1.231
1998-12-14,1.228
1998-12-21,1.230
1998-12-28,1.227
1999-01-04,1.223
1999-01-11,1.218
1999-01-18,1.214
1999-01-25,1.209
1999-02-01,1.201
1999-02-08,1.195
1999-02-15,1.190
1999-02-22,1.195
1999-03-01,1.199
1999-03-08,1.233
1999-03-15,1.262
1999-03-22,1.302
1999-03-29,1.487
1999-04-05,1.616
1999-04-12,1.659
1999-04-19,1.640
1999-04-26,1.619
1999-05-03,1.593
1999-05-10,1.568
1999-05-17,1.547
1999-05-24,1.497
1999-05-31,1.453
1999-06-07,1.429
1999-06-14,1.420
1999-06-21,1.434
1999-06-28,1.433
1999-07-05,1.424
1999-07-12,1.465
1999-07-19,1.527
1999-07-26,1.546
1999-08-02,1.567
1999-08-09,1.593
1999-08-16,1.594
1999-08-23,1.587
1999-08-30,1.572
1999-09-06,1.549
1999-09-13,1.535
1999-09-20,1.512
1999-09-27,1.486
1999-10-04,1.480
1999-10-11,1.488
1999-10-18,1.480
1999-10-25,1.465
1999-11-01,1.451
1999-11-08,1.443
1999-11-15,1.451
1999-11-22,1.467
1999-11-29,1.473
1999-12-06,1.486
1999-12-13,1.480
1999-12-20,1.471
1999-12-27,1.470
2000-01-03,1.465
2000-01-10,1.461
2000-01-17,1.455
2000-01-24,1.458
2000-01-31,1.488
2000-02-07,1.490
2000-02-14,1.500
2000-02-21,1.539
2000-02-28,1.603
2000-03-06,1.699
2000-03-13,1.787
2000-03-20,1.849
2000-03-27,1.851
2000-04-03,1.840
2000-04-10,1.824
2000-04-17,1.802
2000-04-24,1.775
2000-05-01,1.753
2000-05-08,1.740
2000-05-15,1.717
2000-05-22,1.717
2000-05-29,1.713
2000-06-05,1.699
2000-06-12,1.700
2000-06-19,1.701
2000-06-26,1.719
2000-07-03,1.775
2000-07-10,1.795
2000-07-17,1.789
2000-07-24,1.783
2000-07-31,1.763
2000-08-07,1.749
2000-08-14,1.753
2000-08-21,1.751
2000-08-28,1.782
2000-09-04,1.847
2000-09-11,1.892
2000-09-18,1.886
2000-09-25,1.886
2000-10-02,1.890
2000-10-09,1.884
2000-10-16,1.875
2000-10-23,1.865
2000-10-30,1.863
2000-11-06,1.858
2000-11-13,1.844
2000-11-20,1.829
2000-11-27,1.817
2000-12-04,1.802
2000-12-11,1.774
2000-12-18,1.750
2000-12-25,1.733
2001-01-01,1.716
2001-01-08,1.710
2001-01-15,1.684
2001-01-22,1.668
2001-01-29,1.652
2001-02-05,1.669
2001-02-12,1.704
2001-02-19,1.722
2001-02-26,1.725
2001-03-05,1.747
2001-03-12,1.755
2001-03-19,1.750
2001-03-26,1.742
2001-04-02,1.766
2001-04-09,1.788
2001-04-16,1.818
2001-04-23,1.838
2001-04-30,1.869
2001-05-07,1.922
2001-05-14,1.940
2001-05-21,1.944
2001-05-28,1.946
2001-06-04,1.937
2001-06-11,1.961
2001-06-18,1.947
2001-06-25,1.926
2001-07-02,1.891
2001-07-09,1.861
2001-07-16,1.819
2001-07-23,1.774
2001-07-30,1.726
2001-08-06,1.684
2001-08-13,1.644
2001-08-20,1.616
2001-08-27,1.628
2001-09-03,1.730
2001-09-10,1.760
2001-09-17,1.767
2001-09-24,1.755
2001-10-01,1.723
2001-10-08,1.685
2001-10-15,1.652
2001-10-22,1.610
2001-10-29,1.578
2001-11-05,1.536
2001-11-12,1.494
2001-11-19,1.450
2001-11-26,1.408
2001-12-03,1.361
2001-12-10,1.314
2001-12-17,1.265
2001-12-24,1.238
2001-12-31,1.229
2002-01-07,1.251
2002-01-14,1.289
2002-01-21,1.302
2002-01-28,1.316
2002-02-04,1.334
2002-02-11,1.337
2002-02-18,1.357
2002-02-25,1.371
2002-03-04,1.395
2002-03-11,1.490
2002-03-18,1.541
2002-03-25,1.599
2002-04-01,1.634
2002-04-08,1.662
2002-04-15,1.666
2002-04-22,1.664
2002-04-29,1.657
2002-05-06,1.646
2002-05-13,1.638
2002-05-20,1.625
2002-05-27,1.624
2002-06-03,1.629
2002-06-10,1.629
2002-06-17,1.661
2002-06-24,1.678
2002-07-01,1.678
2002-07-08,1.675
2002-07-15,1.670
2002-07-22,1.661
2002-07-29,1.652
2002-08-05,1.663
2002-08-12,1.657
2002-08-19,1.649
2002-08-26,1.658
2002-09-02,1.660
2002-09-09,1.652
2002-09-16,1.644
2002-09-23,1.633
2002-09-30,1.627
2002-10-07,1.614
2002-10-14,1.601
2002-10-21,1.593
2002-10-28,1.589
2002-11-04,1.618
2002-11-11,1.642
2002-11-18,1.635
2002-11-25,1.621
2002-12-02,1.621
2002-12-09,1.604
2002-12-16,1.591
2002-12-23,1.583
2002-12-30,1.598
2003-01-06,1.628
2003-01-13,1.643
2003-01-20,1.675
2003-01-27,1.696
2003-02-03,1.732
2003-02-10,1.805
2003-02-17,1.907
2003-02-24,1.969
2003-03-03,2.055
2003-03-10,2.117
2003-03-17,2.170
2003-03-24,2.171
2003-03-31,2.154
2003-04-07,2.138
2003-04-14,2.103
2003-04-21,2.045
2003-04-28,2.014
2003-05-05,1.968
2003-05-12,1.913
2003-05-19,1.863
2003-05-26,1.822
2003-06-02,1.798
2003-06-09,1.772
2003-06-16,1.851
2003-06-23,1.865
2003-06-30,1.859
