DATE,VALUE
1994-12-01,1.284
1995-01-01,1.263
1995-02-01,1.252
1995-03-01,1.245
1995-04-01,1.277
1995-05-01,1.359
1995-06-01,1.383
1995-07-01,1.354
1995-08-01,1.320
1995-09-01,1.297
1995-10-01,1.271
1995-11-01,1.239
1995-12-01,1.234
1996-01-01,1.251
1996-02-01,1.249
1996-03-01,1.290
1996-04-01,1.383
1996-05-01,1.429
1996-06-01,1.414
1996-07-01,1.384
1996-08-01,1.365
1996-09-01,1.356
1996-10-01,1.363
1996-11-01,1.398
1996-12-01,1.415
1997-01-01,1.417
1997-02-01,1.410
1997-03-01,1.386
1997-04-01,1.367
1997-05-01,1.353
1997-06-01,1.346
1997-07-01,1.331
1997-08-01,1.372
1997-09-01,1.391
1997-10-01,1.359
1997-11-01,1.334
1997-12-01,1.299
1998-01-01,1.261
1998-02-01,1.223
1998-03-01,1.193
1998-04-01,1.199
1998-05-01,1.205
1998-06-01,1.198
1998-07-01,1.186
1998-08-01,1.165
1998-09-01,1.149
1998-10-01,1.168
1998-11-01,1.154
1998-12-01,1.104
1999-01-01,1.088
1999-02-01,1.070
1999-03-01,1.109
1999-04-01,1.225
1999-05-01,1.245
1999-06-01,1.238
1999-07-01,1.283
1999-08-01,1.341
1999-09-01,1.387
1999-10-01,1.405
1999-11-01,1.410
1999-12-01,1.435
2000-01-01,1.447
2000-02-01,1.526
2000-03-01,1.668
2000-04-01,1.609
2000-05-01,1.615
2000-06-01,1.701
2000-07-01,1.702
2000-08-01,1.614
2000-09-01,1.653
2000-10-01,1.645
2000-11-01,1.631
2000-12-01,1.577
2001-01-01,1.583
2001-02-01,1.602
2001-03-01,1.548
2001-04-01,1.669
2001-05-01,1.757
2001-06-01,1.696
2001-07-01,1.524
2001-08-01,1.499
2001-09-01,1.569
2001-10-01,1.426
2001-11-01,1.283
2001-12-01,1.226
2002-01-01,1.268
2002-02-01,1.261
2002-03-01,1.375
2002-04-01,1.545
2002-05-01,1.531
2002-06-01,1.507
2002-07-01,1.515
2002-08-01,1.523
2002-09-01,1.529
2002-10-01,1.591
2002-11-01,1.568
2002-12-01,1.542
2003-01-01,1.618
2003-02-01,1.761
2003-03-01,1.801
2003-04-01,1.695
2003-05-01,1.599
2003-06-01,1.611
2003-07-01,1.661
2003-08-01,1.751
2003-09-01,1.797
2003-10-01,1.696
2003-11-01,1.658
2003-12-01,1.653
2004-01-01,1.759
2004-02-01,1.821
2004-03-01,1.887
2004-04-01,1.934
2004-05-01,2.111
2004-06-01,2.124
2004-07-01,2.066
2004-08-01,2.023
2004-09-01,2.034
2004-10-01,2.159
2004-11-01,2.157
2004-12-01,2.052
2005-01-01,2.037
2005-02-01,2.094
