DATE,VALUE
1994-11-28,1.297
1994-12-05,1.296
1994-12-12,1.290
1994-12-19,1.279
1994-12-26,1.272
1995-01-02,1.267
1995-01-09,1.266
1995-01-16,1.262
1995-01-23,1.261
1995-01-30,1.258
1995-02-06,1.257
1995-02-13,1.252
1995-02-20,1.250
1995-02-27,1.249
1995-03-06,1.248
1995-03-13,1.246
1995-03-20,1.242
1995-03-27,1.242
1995-04-03,1.249
1995-04-10,1.262
1995-04-17,1.283
1995-04-24,1.312
1995-05-01,1.324
1995-05-08,1.350
1995-05-15,1.360
1995-05-22,1.377
1995-05-29,1.384
1995-06-05,1.387
1995-06-12,1.385
1995-06-19,1.382
1995-06-26,1.378
1995-07-03,1.369
1995-07-10,1.363
1995-07-17,1.357
1995-07-24,1.347
1995-07-31,1.333
1995-08-07,1.328
1995-08-14,1.321
1995-08-21,1.318
1995-08-28,1.313
1995-09-04,1.304
1995-09-11,1.300
1995-09-18,1.293
1995-09-25,1.292
1995-10-02,1.286
1995-10-09,1.281
1995-10-16,1.273
1995-10-23,1.263
1995-10-30,1.253
1995-11-06,1.247
1995-11-13,1.241
1995-11-20,1.234
1995-11-27,1.232
1995-12-04,1.233
1995-12-11,1.232
1995-12-18,1.234
1995-12-25,1.238
1996-01-01,1.242
1996-01-08,1.246
1996-01-15,1.258
1996-01-22,1.256
1996-01-29,1.252
1996-02-05,1.250
1996-02-12,1.244
1996-02-19,1.244
1996-02-26,1.259
1996-03-04,1.277
1996-03-11,1.283
1996-03-18,1.288
1996-03-25,1.312
1996-04-01,1.331
1996-04-08,1.352
1996-04-15,1.398
1996-04-22,1.413
1996-04-29,1.421
1996-05-06,1.428
1996-05-13,1.430
1996-05-20,1.431
1996-05-27,1.427
1996-06-03,1.427
1996-06-10,1.419
1996-06-17,1.409
1996-06-24,1.400
1996-07-01,1.391
1996-07-08,1.386
1996-07-15,1.385
1996-07-22,1.381
1996-07-29,1.376
1996-08-05,1.371
1996-08-12,1.366
1996-08-19,1.363
1996-08-26,1.360
1996-09-02,1.355
1996-09-09,1.356
1996-09-16,1.355
1996-09-23,1.358
1996-09-30,1.355
1996-10-07,1.351
1996-10-14,1.359
1996-10-21,1.365
1996-10-28,1.376
1996-11-04,1.386
1996-11-11,1.390
1996-11-18,1.404
1996-11-25,1.410
1996-12-02,1.413
1996-12-09,1.417
1996-12-16,1.416
1996-12-23,1.415
1996-12-30,1.413
1997-01-06,1.413
1997-01-13,1.419
1997-01-20,1.419
1997-01-27,1.416
1997-02-03,1.415
1997-02-10,1.413
1997-02-17,1.409
1997-02-24,1.403
1997-03-03,1.398
1997-03-10,1.393
1997-03-17,1.384
1997-03-24,1.378
1997-03-31,1.376
1997-04-07,1.376
1997-04-14,1.371
1997-04-21,1.363
1997-04-28,1.357
1997-05-05,1.355
1997-05-12,1.349
1997-05-19,1.355
1997-05-26,1.354
1997-06-02,1.355
1997-06-09,1.350
1997-06-16,1.345
1997-06-23,1.343
1997-06-30,1.336
1997-07-07,1.334
1997-07-14,1.330
1997-07-21,1.329
1997-07-28,1.329
1997-08-04,1.343
1997-08-11,1.373
1997-08-18,1.380
1997-08-25,1.393
1997-09-01,1.399
1997-09-08,1.400
1997-09-15,1.394
1997-09-22,1.387
1997-09-29,1.376
1997-10-06,1.366
1997-10-13,1.363
1997-10-20,1.357
1997-10-27,1.350
1997-11-03,1.342
1997-11-10,1.339
1997-11-17,1.332
1997-11-24,1.323
1997-12-01,1.319
1997-12-08,1.307
1997-12-15,1.297
