DATE,VALUE
1994-12-01,1.286
1995-01-01,1.270
1995-02-01,1.263
1995-03-01,1.257
1995-04-01,1.297
1995-05-01,1.372
1995-06-01,1.385
1995-07-01,1.351
1995-08-01,1.311
1995-09-01,1.289
1995-10-01,1.262
1995-11-01,1.238
1995-12-01,1.244
1996-01-01,1.270
1996-02-01,1.264
1996-03-01,1.308
1996-04-01,1.400
1996-05-01,1.441
1996-06-01,1.416
1996-07-01,1.385
1996-08-01,1.369
1996-09-01,1.360
1996-10-01,1.365
1996-11-01,1.401
1996-12-01,1.411
1997-01-01,1.405
1997-02-01,1.400
1997-03-01,1.382
1997-04-01,1.367
1997-05-01,1.351
1997-06-01,1.350
1997-07-01,1.333
1997-08-01,1.359
1997-09-01,1.367
1997-10-01,1.349
1997-11-01,1.323
1997-12-01,1.294
1998-01-01,1.263
1998-02-01,1.226
1998-03-01,1.196
1998-04-01,1.200
1998-05-01,1.194
1998-06-01,1.185
1998-07-01,1.183
1998-08-01,1.157
1998-09-01,1.139
1998-10-01,1.159
1998-11-01,1.133
1998-12-01,1.086
1999-01-01,1.080
1999-02-01,1.077
1999-03-01,1.110
1999-04-01,1.228
1999-05-01,1.240
1999-06-01,1.244
1999-07-01,1.279
1999-08-01,1.342
1999-09-01,1.384
1999-10-01,1.400
1999-11-01,1.399
1999-12-01,1.427
2000-01-01,1.433
2000-02-01,1.517
2000-03-01,1.652
2000-04-01,1.601
2000-05-01,1.612
2000-06-01,1.688
2000-07-01,1.695
2000-08-01,1.607
2000-09-01,1.650
2000-10-01,1.633
2000-11-01,1.617
2000-12-01,1.547
2001-01-01,1.567
2001-02-01,1.586
2001-03-01,1.535
2001-04-01,1.659
2001-05-01,1.761
2001-06-01,1.690
2001-07-01,1.490
2001-08-01,1.491
2001-09-01,1.584
2001-10-01,1.428
2001-11-01,1.290
2001-12-01,1.226
2002-01-01,1.255
2002-02-01,1.253
2002-03-01,1.378
2002-04-01,1.522
2002-05-01,1.517
2002-06-01,1.494
2002-07-01,1.501
2002-08-01,1.508
2002-09-01,1.523
2002-10-01,1.587
2002-11-01,1.563
2002-12-01,1.535
2003-01-01,1.603
2003-02-01,1.744
2003-03-01,1.785
2003-04-01,1.679
2003-05-01,1.583
2003-06-01,1.577
2003-07-01,1.619
2003-08-01,1.704
2003-09-01,1.721
2003-10-01,1.613
2003-11-01,1.589
2003-12-01,1.588
2004-01-01,1.691
2004-02-01,1.742
2004-03-01,1.806
2004-04-01,1.875
2004-05-01,2.045
2004-06-01,2.045
2004-07-01,1.992
2004-08-01,1.980
2004-09-01,1.958
2004-10-01,2.078
2004-11-01,2.067
2004-12-01,1.944
2005-01-01,1.946
2005-02-01,2.015
2005-03-01,2.190
2005-04-01,2.356
2005-05-01,2.253
2005-06-01,2.254
2005-07-01,2.381
2005-08-01,2.586
2005-09-01,2.949
2005-10-01,2.902
2005-11-01,2.420
2005-12-01,2.338
2006-01-01,2.452
2006-02-01,2.400
2006-03-01,2.566
2006-04-01,2.915
2006-05-01,2.969
2006-06-01,2.946
2006-07-01,3.050
2006-08-01,3.052
2006-09-01,2.672
2006-10-01,2.348
2006-11-01,2.320
2006-12-01,2.409
2007-01-01,2.323
2007-02-01,2.335
2007-03-01,2.614
2007-04-01,2.936
2007-05-01,3.209
2007-06-01,3.164
2007-07-01,3.085
2007-08-01,2.930
2007-09-01,2.933
2007-10-01,2.940
2007-11-01,3.202
2007-12-01,3.129
2008-01-01,3.171
2008-02-01,3.175
2008-03-01,3.388
2008-04-01,3.594
2008-05-01,3.900
2008-06-01,4.150
2008-07-01,4.183
2008-08-01,3.897
2008-09-01,3.899
2008-10-01,3.159
2008-11-01,2.295
2008-12-01,1.866
2009-01-01,1.927
2009-02-01,2.084
2009-03-01,2.121
2009-04-01,2.205
2009-05-01,2.406
2009-06-01,2.750
2009-07-01,2.646
2009-08-01,2.738
2009-09-01,2.629
2009-10-01,2.658
2009-11-01,2.782
2009-12-01,2.740
2010-01-01,2.853
2010-02-01,2.790
2010-03-01,2.930
2010-04-01,2.996
2010-05-01,2.993
2010-06-01,2.860
2010-07-01,2.836
2010-08-01,2.849
2010-09-01,2.822
2010-10-01,2.908
2010-11-01,2.948
2010-12-01,3.104
2011-01-01,3.211
2011-02-01,3.329
2011-03-01,3.693
2011-04-01,3.910
2011-05-01,4.007
2011-06-01,3.790
2011-07-01,3.786
2011-08-01,3.791
2011-09-01,3.715
2011-10-01,3.559
2011-11-01,3.474
2011-12-01,3.355
2012-01-01,3.490
2012-02-01,3.731
2012-03-01,3.931
2012-04-01,4.035
2012-05-01,3.788
2012-06-01,3.551
2012-07-01,3.484
2012-08-01,3.796
2012-09-01,3.931
2012-10-01,3.787
2012-11-01,3.515
2012-12-01,3.418
2013-01-01,3.463
2013-02-01,3.775
2013-03-01,3.842
2013-04-01,3.686
2013-05-01,3.662
2013-06-01,3.677
2013-07-01,3.716
2013-08-01,3.723
2013-09-01,3.651
2013-10-01,3.473
2013-11-01,3.395
2013-12-01,3.436
2014-01-01,3.456
2014-02-01,3.493
2014-03-01,3.613
2014-04-01,3.803
2014-05-01,3.799
2014-06-01,3.794
2014-07-01,3.758
2014-08-01,3.625
2014-09-01,3.537
2014-10-01,3.350
