DATE,VALUE
1994-11-28,1.301
1994-12-05,1.295
1994-12-12,1.292
1994-12-19,1.284
1994-12-26,1.272
1995-01-02,1.273
1995-01-09,1.271
1995-01-16,1.269
1995-01-23,1.267
1995-01-30,1.271
1995-02-06,1.269
1995-02-13,1.261
1995-02-20,1.259
1995-02-27,1.263
1995-03-06,1.264
1995-03-13,1.261
1995-03-20,1.252
1995-03-27,1.252
1995-04-03,1.260
1995-04-10,1.285
1995-04-17,1.308
1995-04-24,1.333
1995-05-01,1.347
1995-05-08,1.361
1995-05-15,1.371
1995-05-22,1.388
1995-05-29,1.395
1995-06-05,1.393
1995-06-12,1.385
1995-06-19,1.382
1995-06-26,1.380
1995-07-03,1.371
1995-07-10,1.363
1995-07-17,1.352
1995-07-24,1.342
1995-07-31,1.329
1995-08-07,1.315
1995-08-14,1.313
1995-08-21,1.310
1995-08-28,1.305
1995-09-04,1.293
1995-09-11,1.291
1995-09-18,1.287
1995-09-25,1.283
1995-10-02,1.271
1995-10-09,1.270
1995-10-16,1.263
1995-10-23,1.256
1995-10-30,1.250
1995-11-06,1.242
1995-11-13,1.239
1995-11-20,1.234
1995-11-27,1.236
1995-12-04,1.234
1995-12-11,1.243
1995-12-18,1.244
1995-12-25,1.255
1996-01-01,1.257
1996-01-08,1.259
1996-01-15,1.281
1996-01-22,1.280
1996-01-29,1.273
1996-02-05,1.264
1996-02-12,1.258
1996-02-19,1.260
1996-02-26,1.272
1996-03-04,1.294
1996-03-11,1.299
1996-03-18,1.308
1996-03-25,1.331
1996-04-01,1.348
1996-04-08,1.373
1996-04-15,1.406
1996-04-22,1.432
1996-04-29,1.439
1996-05-06,1.444
1996-05-13,1.443
1996-05-20,1.445
1996-05-27,1.430
1996-06-03,1.429
1996-06-10,1.420
1996-06-17,1.413
1996-06-24,1.401
1996-07-01,1.392
1996-07-08,1.388
1996-07-15,1.382
1996-07-22,1.381
1996-07-29,1.382
1996-08-05,1.376
1996-08-12,1.371
1996-08-19,1.367
1996-08-26,1.361
1996-09-02,1.355
1996-09-09,1.360
1996-09-16,1.362
1996-09-23,1.363
1996-09-30,1.362
1996-10-07,1.356
1996-10-14,1.361
1996-10-21,1.371
1996-10-28,1.372
1996-11-04,1.387
1996-11-11,1.395
1996-11-18,1.407
