DATE,VALUE
1994-12-01,1.162
1995-01-01,1.173
1995-02-01,1.172
1995-03-01,1.170
1995-04-01,1.242
1995-05-01,1.318
1995-06-01,1.321
1995-07-01,1.253
1995-08-01,1.231
1995-09-01,1.228
1995-10-01,1.188
1995-11-01,1.170
1995-12-01,1.200
1996-01-01,1.229
1996-02-01,1.228
1996-03-01,1.292
1996-04-01,1.371
1996-05-01,1.391
1996-06-01,1.362
1996-07-01,1.336
1996-08-01,1.319
1996-09-01,1.335
1996-10-01,1.348
1996-11-01,1.403
1996-12-01,1.391
1997-01-01,1.385
1997-02-01,1.364
1997-03-01,1.320
1997-04-01,1.313
1997-05-01,1.337
1997-06-01,1.338
1997-07-01,1.315
1997-08-01,1.378
1997-09-01,1.350
1997-10-01,1.300
1997-11-01,1.280
1997-12-01,1.229
1998-01-01,1.175
1998-02-01,1.171
1998-03-01,1.162
1998-04-01,1.184
1998-05-01,1.231
1998-06-01,1.225
1998-07-01,1.219
1998-08-01,1.174
1998-09-01,1.164
1998-10-01,1.177
1998-11-01,1.131
1998-12-01,1.065
1999-01-01,1.070
1999-02-01,1.052
1999-03-01,1.141
1999-04-01,1.261
1999-05-01,1.264
1999-06-01,1.260
1999-07-01,1.303
1999-08-01,1.360
1999-09-01,1.416
1999-10-01,1.376
1999-11-01,1.409
1999-12-01,1.428
2000-01-01,1.464
2000-02-01,1.569
2000-03-01,1.662
2000-04-01,1.568
2000-05-01,1.633
2000-06-01,1.907
2000-07-01,1.678
2000-08-01,1.563
2000-09-01,1.705
2000-10-01,1.672
2000-11-01,1.671
2000-12-01,1.570
2001-01-01,1.620
2001-02-01,1.600
2001-03-01,1.541
2001-04-01,1.735
2001-05-01,1.926
2001-06-01,1.738
2001-07-01,1.477
2001-08-01,1.622
2001-09-01,1.767
2001-10-01,1.387
2001-11-01,1.282
2001-12-01,1.247
2002-01-01,1.262
2002-02-01,1.257
2002-03-01,1.420
2002-04-01,1.539
2002-05-01,1.532
2002-06-01,1.521
2002-07-01,1.561
2002-08-01,1.531
2002-09-01,1.540
2002-10-01,1.630
2002-11-01,1.544
2002-12-01,1.505
2003-01-01,1.603
2003-02-01,1.766
