DATE,VALUE
1994-11-28,1.216
1994-12-05,1.191
1994-12-12,1.164
1994-12-19,1.153
1994-12-26,1.141
1995-01-02,1.152
1995-01-09,1.177
1995-01-16,1.162
1995-01-23,1.188
1995-01-30,1.188
1995-02-06,1.177
1995-02-13,1.172
1995-02-20,1.157
1995-02-27,1.183
1995-03-06,1.173
1995-03-13,1.160
1995-03-20,1.165
1995-03-27,1.182
1995-04-03,1.211
1995-04-10,1.233
1995-04-17,1.247
1995-04-24,1.276
1995-05-01,1.270
1995-05-08,1.314
1995-05-15,1.319
1995-05-22,1.347
1995-05-29,1.338
1995-06-05,1.338
1995-06-12,1.330
1995-06-19,1.312
1995-06-26,1.302
1995-07-03,1.286
1995-07-10,1.267
1995-07-17,1.252
1995-07-24,1.238
1995-07-31,1.222
1995-08-07,1.230
1995-08-14,1.231
1995-08-21,1.238
1995-08-28,1.224
1995-09-04,1.226
1995-09-11,1.224
1995-09-18,1.230
1995-09-25,1.231
1995-10-02,1.219
1995-10-09,1.205
1995-10-16,1.186
1995-10-23,1.170
1995-10-30,1.158
1995-11-06,1.170
1995-11-13,1.172
1995-11-20,1.168
1995-11-27,1.170
1995-12-04,1.178
1995-12-11,1.177
1995-12-18,1.225
1995-12-25,1.221
1996-01-01,1.224
1996-01-08,1.245
1996-01-15,1.243
1996-01-22,1.225
1996-01-29,1.209
1996-02-05,1.213
1996-02-12,1.209
1996-02-19,1.223
1996-02-26,1.267
1996-03-04,1.283
1996-03-11,1.269
1996-03-18,1.288
1996-03-25,1.326
1996-04-01,1.330
1996-04-08,1.353
1996-04-15,1.395
1996-04-22,1.381
1996-04-29,1.396
1996-05-06,1.380
1996-05-13,1.387
1996-05-20,1.406
1996-05-27,1.390
1996-06-03,1.375
1996-06-10,1.365
1996-06-17,1.362
1996-06-24,1.344
1996-07-01,1.330
1996-07-08,1.337
1996-07-15,1.340
1996-07-22,1.346
1996-07-29,1.328
1996-08-05,1.311
1996-08-12,1.303
1996-08-19,1.321
1996-08-26,1.339
1996-09-02,1.320
1996-09-09,1.338
1996-09-16,1.339
1996-09-23,1.342
1996-09-30,1.336
1996-10-07,1.322
1996-10-14,1.347
1996-10-21,1.348
1996-10-28,1.376
1996-11-04,1.388
1996-11-11,1.400
1996-11-18,1.407
1996-11-25,1.415
1996-12-02,1.410
1996-12-09,1.407
1996-12-16,1.389
1996-12-23,1.376
1996-12-30,1.371
1997-01-06,1.360
1997-01-13,1.396
1997-01-20,1.396
1997-01-27,1.387
1997-02-03,1.385
1997-02-10,1.363
1997-02-17,1.349
1997-02-24,1.357
1997-03-03,1.334
1997-03-10,1.323
1997-03-17,1.305
1997-03-24,1.322
1997-03-31,1.316
1997-04-07,1.312
1997-04-14,1.304
1997-04-21,1.318
1997-04-28,1.317
1997-05-05,1.319
1997-05-12,1.318
1997-05-19,1.348
1997-05-26,1.362
1997-06-02,1.366
1997-06-09,1.357
1997-06-16,1.339
1997-06-23,1.319
1997-06-30,1.310
1997-07-07,1.312
1997-07-14,1.307
1997-07-21,1.328
1997-07-28,1.313
1997-08-04,1.346
1997-08-11,1.394
1997-08-18,1.380
1997-08-25,1.393
1997-09-01,1.384
1997-09-08,1.373
1997-09-15,1.355
1997-09-22,1.331
1997-09-29,1.307
1997-10-06,1.321
1997-10-13,1.307
1997-10-20,1.293
1997-10-27,1.278
1997-11-03,1.273
1997-11-10,1.291
1997-11-17,1.278
1997-11-24,1.277
1997-12-01,1.258
1997-12-08,1.239
1997-12-15,1.224
1997-12-22,1.220
1997-12-29,1.203
1998-01-05,1.190
1998-01-12,1.187
1998-01-19,1.175
1998-01-26,1.146
1998-02-02,1.173
1998-02-09,1.173
1998-02-16,1.153
1998-02-23,1.183
1998-03-02,1.165
1998-03-09,1.155
1998-03-16,1.152
1998-03-23,1.147
1998-03-30,1.193
1998-04-06,1.175
1998-04-13,1.166
1998-04-20,1.181
1998-04-27,1.213
1998-05-04,1.221
1998-05-11,1.233
1998-05-18,1.237
1998-05-25,1.233
1998-06-01,1.224
1998-06-08,1.243
1998-06-15,1.227
1998-06-22,1.208
1998-06-29,1.221
1998-07-06,1.227
1998-07-13,1.209
1998-07-20,1.225
1998-07-27,1.213
1998-08-03,1.194
1998-08-10,1.186
1998-08-17,1.172
1998-08-24,1.158
1998-08-31,1.158
1998-09-07,1.156
1998-09-14,1.144
1998-09-21,1.184
1998-09-28,1.172
1998-10-05,1.188
1998-10-12,1.180
1998-10-19,1.174
1998-10-26,1.165
1998-11-02,1.158
1998-11-09,1.154
1998-11-16,1.129
1998-11-23,1.121
1998-11-30,1.094
1998-12-07,1.063
1998-12-14,1.066
1998-12-21,1.069
1998-12-28,1.062
1999-01-04,1.060
1999-01-11,1.078
1999-01-18,1.077
1999-01-25,1.065
1999-02-01,1.069
1999-02-08,1.065
1999-02-15,1.048
1999-02-22,1.024
1999-03-01,1.050
1999-03-08,1.065
1999-03-15,1.145
1999-03-22,1.196
1999-03-29,1.250
1999-04-05,1.263
1999-04-12,1.273
1999-04-19,1.256
1999-04-26,1.253
1999-05-03,1.267
1999-05-10,1.272
1999-05-17,1.286
1999-05-24,1.258
1999-05-31,1.237
1999-06-07,1.258
1999-06-14,1.248
1999-06-21,1.282
1999-06-28,1.253
1999-07-05,1.278
1999-07-12,1.279
1999-07-19,1.310
1999-07-26,1.345
1999-08-02,1.335
1999-08-09,1.332
1999-08-16,1.389
1999-08-23,1.370
1999-08-30,1.372
1999-09-06,1.398
1999-09-13,1.408
1999-09-20,1.439
1999-09-27,1.419
1999-10-04,1.399
1999-10-11,1.377
1999-10-18,1.352
1999-10-25,1.375
1999-11-01,1.365
1999-11-08,1.381
1999-11-15,1.427
1999-11-22,1.445
1999-11-29,1.425
1999-12-06,1.419
1999-12-13,1.428
1999-12-20,1.421
1999-12-27,1.442
2000-01-03,1.433
2000-01-10,1.414
2000-01-17,1.460
2000-01-24,1.517
2000-01-31,1.495
2000-02-07,1.501
2000-02-14,1.547
2000-02-21,1.617
2000-02-28,1.610
2000-03-06,1.689
2000-03-13,1.682
2000-03-20,1.662
2000-03-27,1.616
2000-04-03,1.625
2000-04-10,1.575
2000-04-17,1.532
2000-04-24,1.538
2000-05-01,1.509
2000-05-08,1.593
2000-05-15,1.647
2000-05-22,1.687
2000-05-29,1.727
2000-06-05,1.769
2000-06-12,1.924
2000-06-19,2.003
2000-06-26,1.933
2000-07-03,1.832
2000-07-10,1.744
2000-07-17,1.653
2000-07-24,1.623
2000-07-31,1.538
2000-08-07,1.552
2000-08-14,1.517
2000-08-21,1.580
2000-08-28,1.601
2000-09-04,1.699
2000-09-11,1.723
2000-09-18,1.714
2000-09-25,1.682
2000-10-02,1.635
2000-10-09,1.595
2000-10-16,1.687
2000-10-23,1.736
2000-10-30,1.709
2000-11-06,1.674
2000-11-13,1.678
2000-11-20,1.659
2000-11-27,1.671
2000-12-04,1.627
2000-12-11,1.565
2000-12-18,1.538
2000-12-25,1.550
2001-01-01,1.538
2001-01-08,1.604
2001-01-15,1.677
2001-01-22,1.655
2001-01-29,1.626
2001-02-05,1.594
2001-02-12,1.658
2001-02-19,1.587
2001-02-26,1.560
2001-03-05,1.539
2001-03-12,1.539
2001-03-19,1.534
2001-03-26,1.552
2001-04-02,1.618
2001-04-09,1.685
2001-04-16,1.740
2001-04-23,1.818
2001-04-30,1.814
2001-05-07,1.951
2001-05-14,1.937
2001-05-21,1.888
2001-05-28,1.929
2001-06-04,1.882
2001-06-11,1.797
2001-06-18,1.697
2001-06-25,1.575
2001-07-02,1.485
2001-07-09,1.463
2001-07-16,1.480
2001-07-23,1.463
2001-07-30,1.493
2001-08-06,1.498
2001-08-13,1.547
2001-08-20,1.644
2001-08-27,1.799
2001-09-03,1.864
2001-09-10,1.783
2001-09-17,1.765
2001-09-24,1.657
2001-10-01,1.521
2001-10-08,1.418
2001-10-15,1.369
2001-10-22,1.323
2001-10-29,1.305
2001-11-05,1.299
2001-11-12,1.287
2001-11-19,1.301
2001-11-26,1.242
2001-12-03,1.246
2001-12-10,1.251
2001-12-17,1.188
2001-12-24,1.251
2001-12-31,1.300
2002-01-07,1.305
2002-01-14,1.258
2002-01-21,1.249
2002-01-28,1.235
2002-02-04,1.284
2002-02-11,1.247
2002-02-18,1.253
2002-02-25,1.244
2002-03-04,1.318
2002-03-11,1.399
2002-03-18,1.467
2002-03-25,1.496
2002-04-01,1.535
2002-04-08,1.584
2002-04-15,1.531
2002-04-22,1.538
2002-04-29,1.507
2002-05-06,1.520
2002-05-13,1.518
2002-05-20,1.557
2002-05-27,1.532
2002-06-03,1.543
2002-06-10,1.501
2002-06-17,1.519
2002-06-24,1.522
2002-07-01,1.566
2002-07-08,1.533
2002-07-15,1.568
2002-07-22,1.573
2002-07-29,1.563
2002-08-05,1.514
2002-08-12,1.520
2002-08-19,1.536
2002-08-26,1.555
2002-09-02,1.524
2002-09-09,1.536
2002-09-16,1.556
2002-09-23,1.521
2002-09-30,1.565
2002-10-07,1.619
2002-10-14,1.631
2002-10-21,1.653
2002-10-28,1.618
2002-11-04,1.630
2002-11-11,1.578
2002-11-18,1.513
2002-11-25,1.456
2002-12-02,1.430
2002-12-09,1.449
2002-12-16,1.478
2002-12-23,1.554
2002-12-30,1.615
2003-01-06,1.583
2003-01-13,1.605
2003-01-20,1.603
2003-01-27,1.621
2003-02-03,1.687
2003-02-10,1.776
2003-02-17,1.824
2003-02-24,1.775
2003-03-03,1.825
2003-03-10,1.852
2003-03-17,1.844
2003-03-24,1.754
2003-03-31,1.683
2003-04-07,1.676
2003-04-14,1.636
2003-04-21,1.645
2003-04-28,1.629
2003-05-05,1.556
2003-05-12,1.570
2003-05-19,1.622
2003-05-26,1.622
2003-06-02,1.594
2003-06-09,1.647
2003-06-16,1.664
2003-06-23,1.597
2003-06-30,1.594
2003-07-07,1.598
2003-07-14,1.647
2003-07-21,1.648
2003-07-28,1.630
2003-08-04,1.690
2003-08-11,1.715
2003-08-18,1.753
2003-08-25,1.876
2003-09-01,1.838
2003-09-08,1.792
2003-09-15,1.806
2003-09-22,1.723
2003-09-29,1.645
2003-10-06,1.657
2003-10-13,1.678
2003-10-20,1.718
2003-10-27,1.659
2003-11-03,1.667
2003-11-10,1.610
2003-11-17,1.603
2003-11-24,1.640
2003-12-01,1.587
2003-12-08,1.579
2003-12-15,1.571
2003-12-22,1.616
2003-12-29,1.603
2004-01-05,1.667
2004-01-12,1.713
2004-01-19,1.743
2004-01-26,1.784
2004-02-02,1.746
2004-02-09,1.786
2004-02-16,1.789
2004-02-23,1.815
2004-03-01,1.839
2004-03-08,1.850
2004-03-15,1.804
2004-03-22,1.849
2004-03-29,1.878
2004-04-05,1.888
2004-04-12,1.891
2004-04-19,1.929
2004-04-26,1.930
2004-05-03,1.968
2004-05-10,2.056
2004-05-17,2.149
2004-05-24,2.210
2004-05-31,2.151
2004-06-07,2.131
2004-06-14,2.038
2004-06-21,1.968
2004-06-28,1.977
2004-07-05,1.960
2004-07-12,2.027
2004-07-19,2.054
2004-07-26,2.005
2004-08-02,2.004
2004-08-09,2.008
2004-08-16,2.021
2004-08-23,2.022
2004-08-30,1.965
2004-09-06,1.958
2004-09-13,1.963
2004-09-20,2.009
2004-09-27,2.075
2004-10-04,2.053
2004-10-11,2.110
2004-10-18,2.151
2004-10-25,2.130
2004-11-01,2.145
2004-11-08,2.087
2004-11-15,2.039
2004-11-22,2.039
2004-11-29,2.053
2004-12-06,1.995
2004-12-13,1.895
2004-12-20,1.900
2004-12-27,1.877
2005-01-03,1.896
2005-01-10,1.941
2005-01-17,1.965
2005-01-24,2.014
2005-01-31,2.086
2005-02-07,2.066
2005-02-14,2.035
2005-02-21,2.046
2005-02-28,2.087
2005-03-07,2.181
2005-03-14,2.224
2005-03-21,2.287
2005-03-28,2.297
2005-04-04,2.356
2005-04-11,2.409
2005-04-18,2.308
2005-04-25,2.327
2005-05-02,2.314
2005-05-09,2.237
2005-05-16,2.227
2005-05-23,2.193
2005-05-30,2.164
2005-06-06,2.204
2005-06-13,2.244
2005-06-20,2.282
2005-06-27,2.354
2005-07-04,2.351
2005-07-11,2.473
2005-07-18,2.426
2005-07-25,2.358
2005-08-01,2.379
2005-08-08,2.492
2005-08-15,2.693
2005-08-22,2.757
2005-08-29,2.760
2005-09-05,3.204
2005-09-12,3.062
2005-09-19,2.853
2005-09-26,2.902
2005-10-03,3.092
2005-10-10,2.950
2005-10-17,2.778
2005-10-24,2.627
2005-10-31,2.495
2005-11-07,2.397
2005-11-14,2.346
2005-11-21,2.246
2005-11-28,2.214
2005-12-05,2.286
2005-12-12,2.342
2005-12-19,2.376
2005-12-26,2.358
2006-01-02,2.429
2006-01-09,2.506
2006-01-16,2.437
2006-01-23,2.461
2006-01-30,2.500
2006-02-06,2.452
2006-02-13,2.359
2006-02-20,2.331
2006-02-27,2.435
2006-03-06,2.547
2006-03-13,2.557
2006-03-20,2.684
2006-03-27,2.647
2006-04-03,2.745
2006-04-10,2.827
2006-04-17,2.941
2006-04-24,3.038
2006-05-01,2.996
2006-05-08,2.957
2006-05-15,3.041
2006-05-22,2.919
2006-05-29,2.926
2006-06-05,2.985
2006-06-12,2.992
2006-06-19,2.936
2006-06-26,2.976
2006-07-03,3.066
2006-07-10,3.113
2006-07-17,3.135
2006-07-24,3.147
2006-07-31,3.139
2006-08-07,3.208
2006-08-14,3.117
2006-08-21,3.004
2006-08-28,2.904
2006-09-04,2.752
2006-09-11,2.602
2006-09-18,2.480
2006-09-25,2.373
2006-10-02,2.341
2006-10-09,2.322
2006-10-16,2.306
2006-10-23,2.331
2006-10-30,2.372
2006-11-06,2.371
2006-11-13,2.394
2006-11-20,2.386
2006-11-27,2.376
2006-12-04,2.434
2006-12-11,2.392
2006-12-18,2.452
2006-12-25,2.443
2007-01-01,2.444
2007-01-08,2.391
2007-01-15,2.256
2007-01-22,2.170
2007-01-29,2.267
2007-02-05,2.310
2007-02-12,2.402
2007-02-19,2.459
2007-02-26,2.541
2007-03-05,2.649
2007-03-12,2.673
2007-03-19,2.665
2007-03-26,2.696
2007-04-02,2.786
2007-04-09,2.920
2007-04-16,2.980
2007-04-23,2.966
2007-04-30,3.096
2007-05-07,3.232
2007-05-14,3.317
2007-05-21,3.465
2007-05-28,3.473
2007-06-04,3.384
2007-06-11,3.226
2007-06-18,3.146
2007-06-25,3.135
2007-07-02,3.116
2007-07-09,3.205
2007-07-16,3.305
2007-07-23,3.120
2007-07-30,2.998
2007-08-06,2.986
2007-08-13,2.933
2007-08-20,3.030
2007-08-27,2.997
2007-09-03,3.126
2007-09-10,3.129
2007-09-17,3.022
2007-09-24,3.037
2007-10-01,2.960
2007-10-08,2.945
2007-10-15,2.931
2007-10-22,2.990
2007-10-29,3.066
2007-11-05,3.225
2007-11-12,3.316
2007-11-19,3.260
2007-11-26,3.249
2007-12-03,3.195
2007-12-10,3.096
2007-12-17,3.143
2007-12-24,3.100
2007-12-31,3.222
2008-01-07,3.288
2008-01-14,3.201
2008-01-21,3.155
2008-01-28,3.116
2008-02-04,3.156
2008-02-11,3.133
2008-02-18,3.233
2008-02-25,3.258
2008-03-03,3.266
2008-03-10,3.388
2008-03-17,3.430
2008-03-24,3.373
2008-03-31,3.423
2008-04-07,3.466
2008-04-14,3.532
2008-04-21,3.640
2008-04-28,3.746
2008-05-05,3.759
2008-05-12,3.916
2008-05-19,3.983
2008-05-26,4.128
2008-06-02,4.129
2008-06-09,4.176
2008-06-16,4.194
2008-06-23,4.187
2008-06-30,4.223
2008-07-07,4.244
2008-07-14,4.249
2008-07-21,4.165
2008-07-28,4.007
2008-08-04,3.966
2008-08-11,3.916
2008-08-18,3.876
2008-08-25,3.857
2008-09-01,3.852
2008-09-08,3.817
2008-09-15,4.160
2008-09-22,3.959
2008-09-29,3.818
2008-10-06,3.598
2008-10-13,3.177
2008-10-20,2.967
2008-10-27,2.690
2008-11-03,2.421
2008-11-10,2.239
2008-11-17,2.115
2008-11-24,1.952
2008-12-01,1.928
2008-12-08,1.801
2008-12-15,1.838
2008-12-22,1.812
2008-12-29,1.754
2009-01-05,1.933
2009-01-12,2.020
2009-01-19,2.071
2009-01-26,2.014
2009-02-02,2.066
2009-02-09,2.058
2009-02-16,2.097
2009-02-23,2.013
2009-03-02,2.087
2009-03-09,2.116
2009-03-16,2.047
2009-03-23,2.134
2009-03-30,2.215
2009-04-06,2.171
2009-04-13,2.197
2009-04-20,2.194
2009-04-27,2.172
2009-05-04,2.237
2009-05-11,2.444
2009-05-18,2.479
2009-05-25,2.669
2009-06-01,2.776
2009-06-08,2.901
2009-06-15,2.882
2009-06-22,2.858
2009-06-29,2.765
2009-07-06,2.745
2009-07-13,2.637
2009-07-20,2.552
2009-07-27,2.656
2009-08-03,2.711
2009-08-10,2.795
2009-08-17,2.740
2009-08-24,2.743
2009-08-31,2.723
2009-09-07,2.664
2009-09-14,2.663
2009-09-21,2.645
2009-09-28,2.571
2009-10-05,2.553
2009-10-12,2.637
2009-10-19,2.729
2009-10-26,2.846
2009-11-02,2.864
2009-11-09,2.811
2009-11-16,2.740
2009-11-23,2.779
2009-11-30,2.770
2009-12-07,2.767
2009-12-14,2.713
2009-12-21,2.727
2009-12-28,2.760
2010-01-04,2.835
2010-01-11,2.928
2010-01-18,2.881
2010-01-25,2.828
2010-02-01,2.767
2010-02-08,2.784
2010-02-15,2.707
2010-02-22,2.805
2010-03-01,2.844
2010-03-08,2.899
2010-03-15,2.942
2010-03-22,2.997
2010-03-29,2.950
2010-04-05,2.992
2010-04-12,3.024
2010-04-19,3.036
2010-04-26,2.995
2010-05-03,3.072
2010-05-10,3.060
2010-05-17,2.990
2010-05-24,2.888
2010-05-31,2.826
2010-06-07,2.862
2010-06-14,2.846
2010-06-21,2.908
2010-06-28,2.938
2010-07-05,2.881
2010-07-12,2.886
2010-07-19,2.905
2010-07-26,2.938
2010-08-02,2.893
2010-08-09,2.955
2010-08-16,2.883
2010-08-23,2.824
2010-08-30,2.843
2010-09-06,2.873
2010-09-13,2.968
2010-09-20,2.929
2010-09-27,2.867
2010-10-04,2.935
2010-10-11,3.045
2010-10-18,3.004
2010-10-25,2.966
2010-11-01,2.967
2010-11-08,3.105
2010-11-15,3.077
2010-11-22,3.029
2010-11-29,2.987
2010-12-06,3.146
2010-12-13,3.143
2010-12-20,3.143
2010-12-27,3.261
2011-01-03,3.276
2011-01-10,3.288
2011-01-17,3.301
2011-01-24,3.295
2011-01-31,3.295
2011-02-07,3.325
2011-02-14,3.291
2011-02-21,3.338
2011-02-28,3.577
2011-03-07,3.687
2011-03-14,3.740
2011-03-21,3.726
2011-03-28,3.752
2011-04-04,3.889
2011-04-11,4.005
2011-04-18,4.038
2011-04-25,4.097
2011-05-02,4.210
2011-05-09,4.170
2011-05-16,4.161
2011-05-23,3.998
2011-05-30,3.992
2011-06-06,4.046
2011-06-13,3.907
2011-06-20,3.790
2011-06-27,3.674
2011-07-04,3.788
2011-07-11,3.857
2011-07-18,3.886
2011-07-25,3.896
2011-08-01,3.920
2011-08-08,3.866
2011-08-15,3.789
2011-08-22,3.777
2011-08-29,3.875
2011-09-05,3.902
2011-09-12,3.878
2011-09-19,3.766
2011-09-26,3.630
2011-10-03,3.518
2011-10-10,3.550
2011-10-17,3.634
2011-10-24,3.574
2011-10-31,3.605
2011-11-07,3.547
2011-11-14,3.594
2011-11-21,3.480
2011-11-28,3.404
2011-12-05,3.438
2011-12-12,3.453
2011-12-19,3.374
2011-12-26,3.463
2012-01-02,3.506
2012-01-09,3.588
2012-01-16,3.597
2012-01-23,3.539
2012-01-30,3.595
2012-02-06,3.648
2012-02-13,3.631
2012-02-20,3.707
2012-02-27,3.854
2012-03-05,3.957
2012-03-12,4.016
2012-03-19,4.028
2012-03-26,4.075
2012-04-02,4.080
2012-04-09,4.051
2012-04-16,4.060
2012-04-23,3.966
2012-04-30,3.956
2012-05-07,3.929
2012-05-14,3.840
2012-05-21,3.834
2012-05-28,3.804
2012-06-04,3.722
2012-06-11,3.749
2012-06-18,3.767
2012-06-25,3.625
2012-07-02,3.511
2012-07-09,3.646
2012-07-16,3.621
2012-07-23,3.691
2012-07-30,3.724
2012-08-06,3.989
2012-08-13,3.996
2012-08-20,3.973
2012-08-27,3.997
2012-09-03,4.076
2012-09-10,4.056
2012-09-17,4.096
2012-09-24,4.027
2012-10-01,4.003
2012-10-08,3.997
2012-10-15,3.915
2012-10-22,3.716
2012-10-29,3.636
2012-11-05,3.566
2012-11-12,3.578
2012-11-19,3.589
2012-11-26,3.649
2012-12-03,3.561
2012-12-10,3.528
2012-12-17,3.382
2012-12-24,3.420
2012-12-31,3.470
2013-01-07,3.409
2013-01-14,3.424
2013-01-21,3.477
2013-01-28,3.540
2013-02-04,3.746
2013-02-11,3.808
2013-02-18,4.006
2013-02-25,3.971
2013-03-04,3.954
2013-03-11,3.853
2013-03-18,3.881
2013-03-25,3.880
2013-04-01,3.817
2013-04-08,3.787
2013-04-15,3.667
2013-04-22,3.765
2013-04-29,3.756
2013-05-06,3.813
2013-05-13,3.854
2013-05-20,4.047
2013-05-27,3.973
2013-06-03,4.045
2013-06-10,4.087
2013-06-17,3.948
2013-06-24,3.756
2013-07-01,3.615
2013-07-08,3.658
2013-07-15,3.880
2013-07-22,3.911
2013-07-29,3.831
2013-08-05,3.849
2013-08-12,3.733
2013-08-19,3.766
2013-08-26,3.794
2013-09-02,3.893
2013-09-09,3.832
2013-09-16,3.748
2013-09-23,3.736
2013-09-30,3.628
2013-10-07,3.554
2013-10-14,3.594
2013-10-21,3.618
2013-10-28,3.517
2013-11-04,3.501
2013-11-11,3.403
2013-11-18,3.448
2013-11-25,3.513
2013-12-02,3.438
2013-12-09,3.457
2013-12-16,3.385
2013-12-23,3.472
2013-12-30,3.576
2014-01-06,3.530
2014-01-13,3.567
2014-01-20,3.502
2014-01-27,3.517
2014-02-03,3.542
2014-02-10,3.598
2014-02-17,3.668
2014-02-24,3.738
2014-03-03,3.782
2014-03-10,3.809
2014-03-17,3.852
2014-03-24,3.831
2014-03-31,3.863
2014-04-07,3.848
2014-04-14,3.902
2014-04-21,3.921
2014-04-28,3.945
2014-05-05,3.879
2014-05-12,3.900
2014-05-19,3.912
2014-05-26,3.959
2014-06-02,4.022
2014-06-09,3.988
2014-06-16,4.002
2014-06-23,3.981
2014-06-30,3.952
2014-07-07,3.904
2014-07-14,3.828
2014-07-21,3.795
2014-07-28,3.702
2014-08-04,3.721
2014-08-11,3.757
2014-08-18,3.683
2014-08-25,3.710
2014-09-01,3.751
2014-09-08,3.752
2014-09-15,3.666
2014-09-22,3.576
2014-09-29,3.611
2014-10-06,3.521
2014-10-13,3.391
2014-10-20,3.355
2014-10-27,3.323
2014-11-03,3.285
2014-11-10,3.230
2014-11-17,3.183
2014-11-24,3.094
2014-12-01,3.056
2014-12-08,2.932
2014-12-15,2.751
2014-12-22,2.561
2014-12-29,2.429
2015-01-05,2.309
2015-01-12,2.314
2015-01-19,2.280
2015-01-26,2.292
2015-02-02,2.376
2015-02-09,2.523
2015-02-16,2.591
2015-02-23,2.629
2015-03-02,2.728
2015-03-09,2.678
2015-03-16,2.609
2015-03-23,2.691
2015-03-30,2.678
2015-04-06,2.629
2015-04-13,2.636
2015-04-20,2.739
2015-04-27,2.790
2015-05-04,2.841
2015-05-11,2.839
2015-05-18,2.947
2015-05-25,2.992
