DATE,VALUE
1994-12-01,1.303
1995-01-01,1.254
1995-02-01,1.232
1995-03-01,1.246
1995-04-01,1.280
1995-05-01,1.313
1995-06-01,1.333
1995-07-01,1.323
1995-08-01,1.313
1995-09-01,1.322
1995-10-01,1.318
1995-11-01,1.306
1995-12-01,1.282
1996-01-01,1.273
1996-02-01,1.272
1996-03-01,1.304
1996-04-01,1.407
1996-05-01,1.522
1996-06-01,1.482
1996-07-01,1.451
1996-08-01,1.463
1996-09-01,1.458
1996-10-01,1.450
1996-11-01,1.448
1996-12-01,1.424
1997-01-01,1.429
1997-02-01,1.434
1997-03-01,1.428
1997-04-01,1.449
1997-05-01,1.444
1997-06-01,1.446
1997-07-01,1.440
1997-08-01,1.459
1997-09-01,1.471
1997-10-01,1.472
1997-11-01,1.462
1997-12-01,1.445
1998-01-01,1.391
1998-02-01,1.295
1998-03-01,1.238
1998-04-01,1.245
1998-05-01,1.305
1998-06-01,1.334
1998-07-01,1.311
1998-08-01,1.301
1998-09-01,1.286
1998-10-01,1.279
1998-11-01,1.272
1998-12-01,1.178
1999-01-01,1.140
1999-02-01,1.146
1999-03-01,1.208
1999-04-01,1.381
1999-05-01,1.413
1999-06-01,1.393
1999-07-01,1.424
1999-08-01,1.524
1999-09-01,1.558
1999-10-01,1.542
1999-11-01,1.508
1999-12-01,1.512
2000-01-01,1.483
2000-02-01,1.543
2000-03-01,1.710
2000-04-01,1.724
2000-05-01,1.681
2000-06-01,1.749
2000-07-01,1.788
2000-08-01,1.745
2000-09-01,1.789
2000-10-01,1.806
2000-11-01,1.794
2000-12-01,1.692
2001-01-01,1.619
2001-02-01,1.627
2001-03-01,1.623
2001-04-01,1.712
2001-05-01,1.848
2001-06-01,1.842
2001-07-01,1.701
2001-08-01,1.625
2001-09-01,1.756
2001-10-01,1.652
2001-11-01,1.455
2001-12-01,1.309
2002-01-01,1.309
2002-02-01,1.300
2002-03-01,1.408
2002-04-01,1.582
2002-05-01,1.578
2002-06-01,1.575
2002-07-01,1.622
2002-08-01,1.655
2002-09-01,1.636
2002-10-01,1.661
2002-11-01,1.640
2002-12-01,1.580
2003-01-01,1.613
2003-02-01,1.769
2003-03-01,1.859
2003-04-01,1.784
2003-05-01,1.706
2003-06-01,1.698
2003-07-01,1.740
2003-08-01,1.842
2003-09-01,1.908
2003-10-01,1.788
2003-11-01,1.755
2003-12-01,1.704
2004-01-01,1.735
2004-02-01,1.786
2004-03-01,1.924
2004-04-01,2.032
2004-05-01,2.173
2004-06-01,2.161
2004-07-01,2.107
2004-08-01,2.093
2004-09-01,2.078
2004-10-01,2.160
2004-11-01,2.173
2004-12-01,2.065
2005-01-01,1.992
2005-02-01,2.071
2005-03-01,2.250
2005-04-01,2.432
2005-05-01,2.422
2005-06-01,2.364
2005-07-01,2.463
2005-08-01,2.626
2005-09-01,3.106
2005-10-01,2.959
2005-11-01,2.506
2005-12-01,2.302
2006-01-01,2.389
2006-02-01,2.436
2006-03-01,2.537
2006-04-01,2.731
2006-05-01,3.030
2006-06-01,3.043
2006-07-01,3.099
2006-08-01,3.202
2006-09-01,3.038
2006-10-01,2.644
2006-11-01,2.458
2006-12-01,2.450
2007-01-01,2.399
2007-02-01,2.378
2007-03-01,2.650
2007-04-01,2.995
2007-05-01,3.426
2007-06-01,3.422
2007-07-01,3.265
2007-08-01,3.077
2007-09-01,3.029
2007-10-01,3.037
