DATE,VALUE
1995-01-01,1.469
1995-02-01,1.445
1995-03-01,1.440
1995-04-01,1.454
1995-05-01,1.488
1995-06-01,1.499
1995-07-01,1.502
1995-08-01,1.501
1995-09-01,1.499
1995-10-01,1.491
1995-11-01,1.486
1995-12-01,1.472
1996-01-01,1.464
1996-02-01,1.453
1996-03-01,1.478
1996-04-01,1.566
1996-05-01,1.674
1996-06-01,1.668
1996-07-01,1.648
1996-08-01,1.629
1996-09-01,1.607
1996-10-01,1.596
1996-11-01,1.549
1996-12-01,1.506
1997-01-01,1.514
1997-02-01,1.539
1997-03-01,1.545
1997-04-01,1.557
1997-05-01,1.545
1997-06-01,1.521
1997-07-01,1.501
1997-08-01,1.528
1997-09-01,1.595
1997-10-01,1.598
1997-11-01,1.576
1997-12-01,1.536
1998-01-01,1.495
1998-02-01,1.435
1998-03-01,1.364
1998-04-01,1.366
1998-05-01,1.395
1998-06-01,1.386
1998-07-01,1.379
1998-08-01,1.369
1998-09-01,1.359
1998-10-01,1.357
1998-11-01,1.347
1998-12-01,1.326
1999-01-01,1.310
1999-02-01,1.285
1999-03-01,1.348
1999-04-01,1.601
1999-05-01,1.561
1999-06-01,1.521
1999-07-01,1.559
1999-08-01,1.615
1999-09-01,1.599
1999-10-01,1.576
1999-11-01,1.561
1999-12-01,1.571
2000-01-01,1.571
2000-02-01,1.624
2000-03-01,1.822
2000-04-01,1.862
2000-05-01,1.803
2000-06-01,1.784
2000-07-01,1.842
2000-08-01,1.846
2000-09-01,1.912
2000-10-01,1.922
2000-11-01,1.901
2000-12-01,1.848
2001-01-01,1.781
2001-02-01,1.771
2001-03-01,1.788
2001-04-01,1.795
2001-05-01,1.837
2001-06-01,1.847
2001-07-01,1.777
2001-08-01,1.711
2001-09-01,1.847
2001-10-01,1.771
2001-11-01,1.637
2001-12-01,1.463
2002-01-01,1.425
2002-02-01,1.420
2002-03-01,1.483
2002-04-01,1.624
2002-05-01,1.638
2002-06-01,1.659
2002-07-01,1.678
2002-08-01,1.676
2002-09-01,1.658
2002-10-01,1.630
2002-11-01,1.634
2002-12-01,1.608
2003-01-01,1.639
2003-02-01,1.829
2003-03-01,2.051
2003-04-01,1.990
2003-05-01,1.872
2003-06-01,1.865
2003-07-01,1.866
2003-08-01,1.980
2003-09-01,2.079
2003-10-01,1.905
2003-11-01,1.865
2003-12-01,1.824
2004-01-01,1.862
2004-02-01,1.958
2004-03-01,2.085
2004-04-01,2.167
2004-05-01,2.375
2004-06-01,2.358
2004-07-01,2.234
2004-08-01,2.196
2004-09-01,2.230
2004-10-01,2.318
2004-11-01,2.296
2004-12-01,2.166
2005-01-01,2.092
2005-02-01,2.223
2005-03-01,2.381
2005-04-01,2.616
2005-05-01,2.591
2005-06-01,2.502
2005-07-01,2.626
2005-08-01,2.800
2005-09-01,3.170
2005-10-01,3.038
2005-11-01,2.669
2005-12-01,2.461
2006-01-01,2.528
2006-02-01,2.565
2006-03-01,2.659
2006-04-01,2.943
2006-05-01,3.316
2006-06-01,3.279
2006-07-01,3.231
2006-08-01,3.243
2006-09-01,3.067
2006-10-01,2.760
2006-11-01,2.690
2006-12-01,2.761
2007-01-01,2.760
2007-02-01,2.674
2007-03-01,2.926
2007-04-01,3.230
2007-05-01,3.492
2007-06-01,3.396
2007-07-01,3.225
2007-08-01,3.065
2007-09-01,3.058
2007-10-01,3.160
2007-11-01,3.378
2007-12-01,3.357
2008-01-01,3.323
2008-02-01,3.324
2008-03-01,3.613
2008-04-01,3.777
2008-05-01,4.014
2008-06-01,4.425
2008-07-01,4.470
2008-08-01,4.217
2008-09-01,4.000
2008-10-01,3.520
2008-11-01,2.703
2008-12-01,2.150
2009-01-01,2.221
2009-02-01,2.384
2009-03-01,2.395
2009-04-01,2.467
2009-05-01,2.615
2009-06-01,2.971
2009-07-01,2.988
2009-08-01,3.070
2009-09-01,3.135
2009-10-01,3.016
2009-11-01,3.070
2009-12-01,3.049
2010-01-01,3.108
2010-02-01,3.086
2010-03-01,3.187
2010-04-01,3.271
2010-05-01,3.271
2010-06-01,3.214
2010-07-01,3.248
2010-08-01,3.287
2010-09-01,3.205
2010-10-01,3.243
2010-11-01,3.291
2010-12-01,3.371
2011-01-01,3.452
2011-02-01,3.601
2011-03-01,3.942
2011-04-01,4.156
2011-05-01,4.219
2011-06-01,4.062
2011-07-01,3.965
2011-08-01,3.962
2011-09-01,4.060
2011-10-01,4.004
2011-11-01,3.926
2011-12-01,3.748
2012-01-01,3.756
2012-02-01,3.933
2012-03-01,4.251
2012-04-01,4.350
2012-05-01,4.363
2012-06-01,4.224
2012-07-01,3.897
2012-08-01,4.055
2012-09-01,4.221
2012-10-01,4.242
2012-11-01,3.926
2012-12-01,3.688
2013-01-01,3.613
2013-02-01,3.907
2013-03-01,4.097
2013-04-01,4.004
2013-05-01,4.065
2013-06-01,4.050
2013-07-01,4.079
2013-08-01,4.040
2013-09-01,3.954
2013-10-01,3.824
2013-11-01,3.671
2013-12-01,3.626
2014-01-01,3.647
2014-02-01,3.672
2014-03-01,3.866
2014-04-01,4.032
2014-05-01,4.106
2014-06-01,4.166
2014-07-01,4.179
2014-08-01,4.111
2014-09-01,4.006
2014-10-01,3.733
2014-11-01,3.448
2014-12-01,3.131
2015-01-01,2.676
2015-02-01,2.620
2015-03-01,3.013
2015-04-01,3.002
2015-05-01,3.293
2015-06-01,3.387
2015-07-01,3.438
2015-08-01,3.331
2015-09-01,3.073
2015-10-01,2.840
2015-11-01,2.758
2015-12-01,2.682
