DATE,VALUE
1995-01-02,1.471
1995-01-09,1.471
1995-01-16,1.468
1995-01-23,1.468
1995-01-30,1.465
1995-02-06,1.455
1995-02-13,1.427
1995-02-20,1.449
1995-02-27,1.449
1995-03-06,1.445
1995-03-13,1.443
1995-03-20,1.442
1995-03-27,1.428
1995-04-03,1.442
1995-04-10,1.450
1995-04-17,1.458
1995-04-24,1.466
1995-05-01,1.473
1995-05-08,1.483
1995-05-15,1.488
1995-05-22,1.496
1995-05-29,1.500
1995-06-05,1.499
1995-06-12,1.499
1995-06-19,1.499
1995-06-26,1.497
1995-07-03,1.499
1995-07-10,1.506
1995-07-17,1.504
1995-07-24,1.503
1995-07-31,1.500
1995-08-07,1.500
1995-08-14,1.500
1995-08-21,1.506
1995-08-28,1.499
1995-09-04,1.501
1995-09-11,1.499
1995-09-18,1.498
1995-09-25,1.498
1995-10-02,1.499
1995-10-09,1.491
1995-10-16,1.492
1995-10-23,1.494
1995-10-30,1.478
1995-11-06,1.488
1995-11-13,1.487
1995-11-20,1.484
1995-11-27,1.483
1995-12-04,1.481
1995-12-11,1.468
1995-12-18,1.468
1995-12-25,1.469
1996-01-01,1.474
1996-01-08,1.464
1996-01-15,1.464
1996-01-22,1.460
1996-01-29,1.457
1996-02-05,1.456
1996-02-12,1.453
1996-02-19,1.451
1996-02-26,1.451
1996-03-04,1.458
1996-03-11,1.473
1996-03-18,1.486
1996-03-25,1.496
1996-04-01,1.508
1996-04-08,1.529
1996-04-15,1.556
1996-04-22,1.602
1996-04-29,1.636
1996-05-06,1.664
1996-05-13,1.676
1996-05-20,1.677
1996-05-27,1.678
1996-06-03,1.668
1996-06-10,1.675
1996-06-17,1.667
1996-06-24,1.662
1996-07-01,1.656
1996-07-08,1.652
1996-07-15,1.648
1996-07-22,1.646
1996-07-29,1.639
1996-08-05,1.640
1996-08-12,1.636
1996-08-19,1.625
1996-08-26,1.613
1996-09-02,1.615
1996-09-09,1.611
1996-09-16,1.604
1996-09-23,1.601
1996-09-30,1.605
1996-10-07,1.604
1996-10-14,1.596
1996-10-21,1.594
1996-10-28,1.591
1996-11-04,1.562
1996-11-11,1.556
1996-11-18,1.544
1996-11-25,1.534
1996-12-02,1.525
1996-12-09,1.507
1996-12-16,1.500
1996-12-23,1.495
1996-12-30,1.501
1997-01-06,1.499
1997-01-13,1.510
1997-01-20,1.519
1997-01-27,1.529
1997-02-03,1.534
1997-02-10,1.539
1997-02-17,1.538
1997-02-24,1.544
1997-03-03,1.540
1997-03-10,1.544
1997-03-17,1.546
1997-03-24,1.544
1997-03-31,1.551
1997-04-07,1.555
1997-04-14,1.558
1997-04-21,1.558
1997-04-28,1.556
1997-05-05,1.551
1997-05-12,1.547
1997-05-19,1.543
1997-05-26,1.538
1997-06-02,1.535
1997-06-09,1.528
1997-06-16,1.516
1997-06-23,1.514
1997-06-30,1.510
1997-07-07,1.506
1997-07-14,1.502
1997-07-21,1.499
1997-07-28,1.496
1997-08-04,1.496
1997-08-11,1.519
1997-08-18,1.537
1997-08-25,1.559
1997-09-01,1.579
1997-09-08,1.593
1997-09-15,1.601
1997-09-22,1.601
1997-09-29,1.601
1997-10-06,1.604
1997-10-13,1.599
1997-10-20,1.596
1997-10-27,1.592
1997-11-03,1.587
1997-11-10,1.580
1997-11-17,1.573
1997-11-24,1.564
1997-12-01,1.556
1997-12-08,1.545
1997-12-15,1.535
1997-12-22,1.524
1997-12-29,1.519
1998-01-05,1.513
1998-01-12,1.502
1998-01-19,1.489
1998-01-26,1.475
1998-02-02,1.460
1998-02-09,1.443
1998-02-16,1.429
1998-02-23,1.409
1998-03-02,1.386
1998-03-09,1.372
1998-03-16,1.359
1998-03-23,1.349
1998-03-30,1.354
1998-04-06,1.360
1998-04-13,1.364
1998-04-20,1.368
1998-04-27,1.372
1998-05-04,1.390
1998-05-11,1.411
1998-05-18,1.391
1998-05-25,1.389
1998-06-01,1.388
1998-06-08,1.383
1998-06-15,1.388
1998-06-22,1.386
1998-06-29,1.386
1998-07-06,1.381
1998-07-13,1.380
1998-07-20,1.378
1998-07-27,1.376
1998-08-03,1.372
1998-08-10,1.372
1998-08-17,1.369
1998-08-24,1.367
1998-08-31,1.365
1998-09-07,1.361
1998-09-14,1.356
1998-09-21,1.357
1998-09-28,1.360
1998-10-05,1.360
1998-10-12,1.359
1998-10-19,1.356
1998-10-26,1.354
1998-11-02,1.353
1998-11-09,1.350
1998-11-16,1.349
1998-11-23,1.344
1998-11-30,1.339
1998-12-07,1.335
1998-12-14,1.328
1998-12-21,1.321
1998-12-28,1.318
1999-01-04,1.317
1999-01-11,1.311
1999-01-18,1.307
1999-01-25,1.305
1999-02-01,1.296
1999-02-08,1.288
1999-02-15,1.282
1999-02-22,1.273
1999-03-01,1.274
1999-03-08,1.300
1999-03-15,1.330
1999-03-22,1.363
1999-03-29,1.472
1999-04-05,1.569
1999-04-12,1.617
1999-04-19,1.614
1999-04-26,1.604
1999-05-03,1.591
1999-05-10,1.580
1999-05-17,1.567
1999-05-24,1.544
1999-05-31,1.521
1999-06-07,1.508
1999-06-14,1.510
1999-06-21,1.530
1999-06-28,1.535
1999-07-05,1.535
1999-07-12,1.544
1999-07-19,1.570
1999-07-26,1.588
1999-08-02,1.598
1999-08-09,1.616
1999-08-16,1.621
1999-08-23,1.621
1999-08-30,1.618
1999-09-06,1.611
1999-09-13,1.605
1999-09-20,1.596
1999-09-27,1.585
1999-10-04,1.580
1999-10-11,1.578
1999-10-18,1.575
1999-10-25,1.569
1999-11-01,1.564
1999-11-08,1.557
1999-11-15,1.556
1999-11-22,1.560
1999-11-29,1.566
1999-12-06,1.574
1999-12-13,1.573
1999-12-20,1.569
1999-12-27,1.566
2000-01-03,1.568
2000-01-10,1.566
2000-01-17,1.565
2000-01-24,1.570
2000-01-31,1.584
2000-02-07,1.591
2000-02-14,1.599
2000-02-21,1.628
2000-02-28,1.679
2000-03-06,1.738
2000-03-13,1.801
2000-03-20,1.868
2000-03-27,1.880
2000-04-03,1.882
2000-04-10,1.872
2000-04-17,1.856
2000-04-24,1.839
