DATE,VALUE
1994-12-01,1.317
1995-01-01,1.297
1995-02-01,1.287
1995-03-01,1.277
1995-04-01,1.299
1995-05-01,1.374
1995-06-01,1.400
1995-07-01,1.374
1995-08-01,1.341
1995-09-01,1.320
1995-10-01,1.294
1995-11-01,1.262
1995-12-01,1.259
1996-01-01,1.278
1996-02-01,1.276
1996-03-01,1.309
1996-04-01,1.398
1996-05-01,1.450
1996-06-01,1.432
1996-07-01,1.405
1996-08-01,1.384
1996-09-01,1.374
1996-10-01,1.380
1996-11-01,1.415
1996-12-01,1.435
1997-01-01,1.438
1997-02-01,1.429
1997-03-01,1.402
1997-04-01,1.382
1997-05-01,1.368
1997-06-01,1.364
1997-07-01,1.348
1997-08-01,1.393
1997-09-01,1.415
1997-10-01,1.382
1997-11-01,1.355
1997-12-01,1.319
1998-01-01,1.282
1998-02-01,1.242
1998-03-01,1.206
1998-04-01,1.208
1998-05-01,1.212
1998-06-01,1.207
1998-07-01,1.199
1998-08-01,1.180
1998-09-01,1.164
1998-10-01,1.178
1998-11-01,1.166
1998-12-01,1.126
1999-01-01,1.111
1999-02-01,1.091
1999-03-01,1.120
1999-04-01,1.234
1999-05-01,1.260
1999-06-01,1.253
1999-07-01,1.293
1999-08-01,1.352
1999-09-01,1.398
1999-10-01,1.418
1999-11-01,1.421
1999-12-01,1.447
2000-01-01,1.458
2000-02-01,1.528
2000-03-01,1.671
2000-04-01,1.628
2000-05-01,1.632
2000-06-01,1.720
2000-07-01,1.731
2000-08-01,1.658
2000-09-01,1.684
2000-10-01,1.673
2000-11-01,1.661
2000-12-01,1.613
2001-01-01,1.607
2001-02-01,1.618
2001-03-01,1.571
2001-04-01,1.683
2001-05-01,1.798
2001-06-01,1.768
2001-07-01,1.621
2001-08-01,1.561
2001-09-01,1.592
2001-10-01,1.464
2001-11-01,1.324
2001-12-01,1.249
2002-01-01,1.281
2002-02-01,1.277
2002-03-01,1.381
2002-04-01,1.554
2002-05-01,1.556
2002-06-01,1.534
2002-07-01,1.538
2002-08-01,1.556
2002-09-01,1.561
2002-10-01,1.605
2002-11-01,1.599
2002-12-01,1.583
2003-01-01,1.643
2003-02-01,1.772
2003-03-01,1.817
2003-04-01,1.736
2003-05-01,1.648
2003-06-01,1.638
2003-07-01,1.674
2003-08-01,1.763
2003-09-01,1.849
2003-10-01,1.756
2003-11-01,1.704
2003-12-01,1.681
2004-01-01,1.766
2004-02-01,1.827
2004-03-01,1.891
2004-04-01,1.936
2004-05-01,2.128
2004-06-01,2.168
2004-07-01,2.104
2004-08-01,2.060
2004-09-01,2.051
2004-10-01,2.165
2004-11-01,2.169
2004-12-01,2.068
2005-01-01,2.041
2005-02-01,2.091
2005-03-01,2.229
2005-04-01,2.397
2005-05-01,2.347
2005-06-01,2.343
2005-07-01,2.484
2005-08-01,2.679
2005-09-01,3.204
2005-10-01,2.962
2005-11-01,2.473
2005-12-01,2.394
