DATE,VALUE
1994-11-28,1.322
1994-12-05,1.327
1994-12-12,1.321
1994-12-19,1.313
1994-12-26,1.308
1995-01-02,1.301
1995-01-09,1.301
1995-01-16,1.296
1995-01-23,1.296
1995-01-30,1.293
1995-02-06,1.291
1995-02-13,1.287
1995-02-20,1.285
1995-02-27,1.283
1995-03-06,1.282
1995-03-13,1.279
1995-03-20,1.274
1995-03-27,1.273
1995-04-03,1.278
1995-04-10,1.287
1995-04-17,1.303
1995-04-24,1.328
1995-05-01,1.341
1995-05-08,1.365
1995-05-15,1.374
1995-05-22,1.390
1995-05-29,1.401
1995-06-05,1.404
1995-06-12,1.402
1995-06-19,1.400
1995-06-26,1.395
1995-07-03,1.388
1995-07-10,1.383
1995-07-17,1.377
1995-07-24,1.367
1995-07-31,1.356
1995-08-07,1.350
1995-08-14,1.342
1995-08-21,1.339
1995-08-28,1.334
1995-09-04,1.326
1995-09-11,1.322
1995-09-18,1.317
1995-09-25,1.315
1995-10-02,1.309
1995-10-09,1.303
1995-10-16,1.296
1995-10-23,1.287
1995-10-30,1.277
1995-11-06,1.270
1995-11-13,1.264
1995-11-20,1.257
1995-11-27,1.255
1995-12-04,1.257
1995-12-11,1.257
1995-12-18,1.259
1995-12-25,1.264
1996-01-01,1.270
1996-01-08,1.273
1996-01-15,1.284
1996-01-22,1.283
1996-01-29,1.280
1996-02-05,1.277
1996-02-12,1.273
1996-02-19,1.271
1996-02-26,1.282
1996-03-04,1.297
1996-03-11,1.302
1996-03-18,1.307
1996-03-25,1.329
1996-04-01,1.347
1996-04-08,1.367
1996-04-15,1.412
1996-04-22,1.427
1996-04-29,1.438
1996-05-06,1.448
1996-05-13,1.450
1996-05-20,1.452
1996-05-27,1.447
1996-06-03,1.448
1996-06-10,1.441
1996-06-17,1.430
1996-06-24,1.423
1996-07-01,1.414
1996-07-08,1.409
1996-07-15,1.407
1996-07-22,1.403
1996-07-29,1.396
1996-08-05,1.391
1996-08-12,1.386
1996-08-19,1.381
1996-08-26,1.377
1996-09-02,1.374
1996-09-09,1.374
1996-09-16,1.374
1996-09-23,1.376
1996-09-30,1.373
1996-10-07,1.370
1996-10-14,1.376
1996-10-21,1.383
1996-10-28,1.391
1996-11-04,1.403
1996-11-11,1.407
1996-11-18,1.421
1996-11-25,1.427
1996-12-02,1.431
1996-12-09,1.436
1996-12-16,1.438
1996-12-23,1.436
1996-12-30,1.435
1997-01-06,1.435
1997-01-13,1.441
1997-01-20,1.439
1997-01-27,1.436
1997-02-03,1.434
1997-02-10,1.433
1997-02-17,1.428
1997-02-24,1.422
1997-03-03,1.415
1997-03-10,1.409
1997-03-17,1.400
1997-03-24,1.395
1997-03-31,1.392
1997-04-07,1.392
1997-04-14,1.387
1997-04-21,1.378
1997-04-28,1.372
1997-05-05,1.370
1997-05-12,1.365
1997-05-19,1.368
1997-05-26,1.370
1997-06-02,1.371
1997-06-09,1.368
1997-06-16,1.364
1997-06-23,1.361
1997-06-30,1.355
1997-07-07,1.351
1997-07-14,1.348
1997-07-21,1.347
1997-07-28,1.347
1997-08-04,1.362
1997-08-11,1.392
1997-08-18,1.401
1997-08-25,1.418
1997-09-01,1.423
1997-09-08,1.424
1997-09-15,1.418
1997-09-22,1.409
1997-09-29,1.399
1997-10-06,1.389
1997-10-13,1.386
1997-10-20,1.379
1997-10-27,1.372
1997-11-03,1.364
1997-11-10,1.360
1997-11-17,1.351
1997-11-24,1.343
1997-12-01,1.338
1997-12-08,1.328
1997-12-15,1.318
1997-12-22,1.309
1997-12-29,1.304
1998-01-05,1.297
1998-01-12,1.288
1998-01-19,1.276
1998-01-26,1.265
1998-02-02,1.254
1998-02-09,1.249
1998-02-16,1.236
1998-02-23,1.229
1998-03-02,1.223
1998-03-09,1.214
1998-03-16,1.199
1998-03-23,1.187
1998-03-30,1.208
1998-04-06,1.209
1998-04-13,1.208
1998-04-20,1.206
1998-04-27,1.210
1998-05-04,1.211
1998-05-11,1.220
1998-05-18,1.208
1998-05-25,1.209
1998-06-01,1.208
1998-06-08,1.211
1998-06-15,1.205
1998-06-22,1.204
1998-06-29,1.205
1998-07-06,1.200
1998-07-13,1.202
1998-07-20,1.198
1998-07-27,1.194
1998-08-03,1.188
1998-08-10,1.185
1998-08-17,1.180
1998-08-24,1.176
1998-08-31,1.172
1998-09-07,1.167
1998-09-14,1.163
1998-09-21,1.160
1998-09-28,1.167
1998-10-05,1.170
1998-10-12,1.184
1998-10-19,1.181
1998-10-26,1.178
1998-11-02,1.178
1998-11-09,1.176
1998-11-16,1.168
1998-11-23,1.158
1998-11-30,1.152
1998-12-07,1.137
1998-12-14,1.127
1998-12-21,1.122
1998-12-28,1.117
1999-01-04,1.114
1999-01-11,1.110
1999-01-18,1.111
1999-01-25,1.108
1999-02-01,1.097
1999-02-08,1.095
1999-02-15,1.087
1999-02-22,1.083
1999-03-01,1.075
1999-03-08,1.076
1999-03-15,1.116
1999-03-22,1.149
1999-03-29,1.183
1999-04-05,1.213
1999-04-12,1.235
1999-04-19,1.241
1999-04-26,1.246
1999-05-03,1.250
1999-05-10,1.266
1999-05-17,1.264
1999-05-24,1.262
1999-05-31,1.256
1999-06-07,1.252
1999-06-14,1.250
1999-06-21,1.255
1999-06-28,1.256
1999-07-05,1.266
1999-07-12,1.284
1999-07-19,1.304
1999-07-26,1.317
1999-08-02,1.325
1999-08-09,1.340
1999-08-16,1.356
1999-08-23,1.368
1999-08-30,1.372
1999-09-06,1.375
1999-09-13,1.393
1999-09-20,1.409
1999-09-27,1.414
1999-10-04,1.421
1999-10-11,1.422
1999-10-18,1.416
1999-10-25,1.412
1999-11-01,1.408
1999-11-08,1.404
1999-11-15,1.413
1999-11-22,1.430
1999-11-29,1.448
1999-12-06,1.448
1999-12-13,1.447
1999-12-20,1.447
1999-12-27,1.446
2000-01-03,1.446
2000-01-10,1.445
2000-01-17,1.448
2000-01-24,1.473
2000-01-31,1.480
2000-02-07,1.490
2000-02-14,1.513
2000-02-21,1.546
2000-02-28,1.561
2000-03-06,1.640
2000-03-13,1.684
2000-03-20,1.688
2000-03-27,1.673
2000-04-03,1.659
2000-04-10,1.639
2000-04-17,1.617
2000-04-24,1.597
2000-05-01,1.585
2000-05-08,1.605
2000-05-15,1.633
2000-05-22,1.666
2000-05-29,1.670
2000-06-05,1.678
2000-06-12,1.706
2000-06-19,1.745
2000-06-26,1.752
2000-07-03,1.758
2000-07-10,1.750
2000-07-17,1.737
2000-07-24,1.720
2000-07-31,1.690
2000-08-07,1.672
2000-08-14,1.654
2000-08-21,1.653
2000-08-28,1.653
2000-09-04,1.662
2000-09-11,1.689
2000-09-18,1.692
2000-09-25,1.692
2000-10-02,1.679
2000-10-09,1.662
2000-10-16,1.676
2000-10-23,1.674
2000-10-30,1.676
2000-11-06,1.668
2000-11-13,1.663
2000-11-20,1.656
2000-11-27,1.656
