DATE,VALUE
1994-12-01,1.298
1995-01-01,1.282
1995-02-01,1.274
1995-03-01,1.267
1995-04-01,1.297
1995-05-01,1.366
1995-06-01,1.379
1995-07-01,1.349
1995-08-01,1.307
1995-09-01,1.285
1995-10-01,1.258
1995-11-01,1.230
1995-12-01,1.237
1996-01-01,1.263
1996-02-01,1.262
1996-03-01,1.308
1996-04-01,1.401
1996-05-01,1.439
1996-06-01,1.412
1996-07-01,1.380
1996-08-01,1.361
1996-09-01,1.354
1996-10-01,1.361
1996-11-01,1.389
1996-12-01,1.400
1997-01-01,1.393
1997-02-01,1.389
1997-03-01,1.371
1997-04-01,1.358
1997-05-01,1.346
1997-06-01,1.347
1997-07-01,1.327
1997-08-01,1.358
1997-09-01,1.367
1997-10-01,1.348
1997-11-01,1.320
1997-12-01,1.292
1998-01-01,1.262
1998-02-01,1.225
1998-03-01,1.193
1998-04-01,1.197
1998-05-01,1.192
1998-06-01,1.186
1998-07-01,1.185
1998-08-01,1.161
1998-09-01,1.144
1998-10-01,1.161
1998-11-01,1.139
1998-12-01,1.098
1999-01-01,1.089
1999-02-01,1.085
1999-03-01,1.114
1999-04-01,1.226
1999-05-01,1.241
1999-06-01,1.244
1999-07-01,1.275
1999-08-01,1.337
1999-09-01,1.379
1999-10-01,1.395
1999-11-01,1.391
1999-12-01,1.418
2000-01-01,1.426
2000-02-01,1.505
2000-03-01,1.650
2000-04-01,1.611
2000-05-01,1.616
2000-06-01,1.684
2000-07-01,1.698
2000-08-01,1.614
2000-09-01,1.647
2000-10-01,1.630
2000-11-01,1.613
2000-12-01,1.548
2001-01-01,1.567
2001-02-01,1.586
2001-03-01,1.538
2001-04-01,1.673
2001-05-01,1.775
2001-06-01,1.704
2001-07-01,1.508
2001-08-01,1.493
2001-09-01,1.578
2001-10-01,1.432
2001-11-01,1.285
2001-12-01,1.217
2002-01-01,1.246
2002-02-01,1.247
2002-03-01,1.379
2002-04-01,1.530
2002-05-01,1.526
2002-06-01,1.502
2002-07-01,1.503
2002-08-01,1.509
2002-09-01,1.523
2002-10-01,1.585
2002-11-01,1.561
2002-12-01,1.533
2003-01-01,1.604
2003-02-01,1.744
2003-03-01,1.785
2003-04-01,1.681
2003-05-01,1.583
2003-06-01,1.579
2003-07-01,1.619
2003-08-01,1.703
2003-09-01,1.720
2003-10-01,1.611
2003-11-01,1.585
2003-12-01,1.585
2004-01-01,1.688
2004-02-01,1.743
2004-03-01,1.802
2004-04-01,1.870
2004-05-01,2.039
2004-06-01,2.045
2004-07-01,1.988
2004-08-01,1.975
2004-09-01,1.957
2004-10-01,2.075
2004-11-01,2.064
2004-12-01,1.940
2005-01-01,1.939
2005-02-01,2.008
2005-03-01,2.183
2005-04-01,2.348
2005-05-01,2.253
2005-06-01,2.255
2005-07-01,2.383
2005-08-01,2.595
2005-09-01,2.968
2005-10-01,2.908
2005-11-01,2.411
2005-12-01,2.330
2006-01-01,2.454
2006-02-01,2.396
2006-03-01,2.564
2006-04-01,2.928
2006-05-01,2.999
2006-06-01,2.972
2006-07-01,3.062
2006-08-01,3.047
2006-09-01,2.652
2006-10-01,2.330
2006-11-01,2.308
2006-12-01,2.403
2007-01-01,2.318
2007-02-01,2.329
2007-03-01,2.609
2007-04-01,2.937
2007-05-01,3.201
2007-06-01,3.157
2007-07-01,3.074
2007-08-01,2.918
2007-09-01,2.913
2007-10-01,2.923
2007-11-01,3.187
2007-12-01,3.119
2008-01-01,3.167
2008-02-01,3.169
2008-03-01,3.389
2008-04-01,3.599
2008-05-01,3.901
2008-06-01,4.153
2008-07-01,4.181
2008-08-01,3.889
2008-09-01,3.882
2008-10-01,3.162
2008-11-01,2.276
2008-12-01,1.856
2009-01-01,1.917
2009-02-01,2.075
2009-03-01,2.115
2009-04-01,2.209
2009-05-01,2.406
2009-06-01,2.744
2009-07-01,2.640
2009-08-01,2.739
2009-09-01,2.622
2009-10-01,2.655
2009-11-01,2.781
2009-12-01,2.738
2010-01-01,2.849
2010-02-01,2.783
2010-03-01,2.924
2010-04-01,2.997
2010-05-01,2.996
2010-06-01,2.859
2010-07-01,2.834
2010-08-01,2.847
2010-09-01,2.816
2010-10-01,2.912
2010-11-01,2.947
2010-12-01,3.102
2011-01-01,3.208
2011-02-01,3.327
2011-03-01,3.699
2011-04-01,3.928
2011-05-01,4.024
2011-06-01,3.798
2011-07-01,3.793
2011-08-01,3.793
2011-09-01,3.701
2011-10-01,3.546
2011-11-01,3.470
2011-12-01,3.356
2012-01-01,3.493
2012-02-01,3.739
2012-03-01,3.959
2012-04-01,4.057
2012-05-01,3.807
2012-06-01,3.566
2012-07-01,3.504
2012-08-01,3.801
2012-09-01,3.933
2012-10-01,3.785
2012-11-01,3.506
2012-12-01,3.413
2013-01-01,3.476
2013-02-01,3.785
2013-03-01,3.859
2013-04-01,3.709
2013-05-01,3.683
2013-06-01,3.696
2013-07-01,3.741
2013-08-01,3.740
2013-09-01,3.650
2013-10-01,3.471
2013-11-01,3.401
2013-12-01,3.447
2014-01-01,3.463
2014-02-01,3.497
2014-03-01,3.631
2014-04-01,3.814
2014-05-01,3.803
2014-06-01,3.806
2014-07-01,3.766
2014-08-01,3.634
2014-09-01,3.550
2014-10-01,3.356
2014-11-01,3.093
2014-12-01,2.720
2015-01-01,2.305
2015-02-01,2.402
2015-03-01,2.601
2015-04-01,2.626
2015-05-01,2.834
2015-06-01,2.941
2015-07-01,2.902
2015-08-01,2.731
2015-09-01,2.498
2015-10-01,2.456
2015-11-01,2.364
2015-12-01,2.266
2016-01-01,2.174
2016-02-01,2.032
2016-03-01,2.235
2016-04-01,2.364
2016-05-01,2.512
2016-06-01,2.609
2016-07-01,2.521
2016-08-01,2.463
2016-09-01,2.485
2016-10-01,2.547
2016-11-01,2.469
2016-12-01,2.539
2017-01-01,2.638
2017-02-01,2.582
2017-03-01,2.595
2017-04-01,2.705
2017-05-01,2.675
2017-06-01,2.641
2017-07-01,2.585
2017-08-01,2.690
2017-09-01,3.008
2017-10-01,2.830
2017-11-01,2.823
2017-12-01,2.755
2018-01-01,2.838
2018-02-01,2.866
2018-03-01,2.871
2018-04-01,3.044
2018-05-01,3.201
2018-06-01,3.245
2018-07-01,3.173
2018-08-01,3.153
2018-09-01,3.150
2018-10-01,3.169
2018-11-01,2.944
2018-12-01,2.646
