DATE,VALUE
1994-11-28,1.301
1994-12-05,1.304
1994-12-12,1.304
1994-12-19,1.298
1994-12-26,1.286
1995-01-02,1.287
1995-01-09,1.284
1995-01-16,1.281
1995-01-23,1.278
1995-01-30,1.281
1995-02-06,1.278
1995-02-13,1.273
1995-02-20,1.271
1995-02-27,1.274
1995-03-06,1.274
1995-03-13,1.271
1995-03-20,1.261
1995-03-27,1.261
1995-04-03,1.269
1995-04-10,1.285
1995-04-17,1.305
1995-04-24,1.329
1995-05-01,1.343
1995-05-08,1.354
1995-05-15,1.363
1995-05-22,1.381
1995-05-29,1.387
1995-06-05,1.384
1995-06-12,1.379
1995-06-19,1.377
1995-06-26,1.375
1995-07-03,1.368
1995-07-10,1.361
1995-07-17,1.350
1995-07-24,1.339
1995-07-31,1.325
1995-08-07,1.312
1995-08-14,1.309
1995-08-21,1.305
1995-08-28,1.300
1995-09-04,1.289
1995-09-11,1.287
1995-09-18,1.283
1995-09-25,1.279
1995-10-02,1.268
1995-10-09,1.267
1995-10-16,1.260
1995-10-23,1.252
1995-10-30,1.244
1995-11-06,1.235
1995-11-13,1.231
1995-11-20,1.226
1995-11-27,1.226
1995-12-04,1.229
1995-12-11,1.234
1995-12-18,1.236
1995-12-25,1.247
1996-01-01,1.249
1996-01-08,1.253
1996-01-15,1.273
1996-01-22,1.272
1996-01-29,1.268
1996-02-05,1.261
1996-02-12,1.257
1996-02-19,1.258
1996-02-26,1.272
1996-03-04,1.294
1996-03-11,1.297
1996-03-18,1.308
1996-03-25,1.331
1996-04-01,1.347
1996-04-08,1.373
1996-04-15,1.409
1996-04-22,1.434
1996-04-29,1.441
1996-05-06,1.445
1996-05-13,1.444
1996-05-20,1.443
1996-05-27,1.432
1996-06-03,1.432
1996-06-10,1.420
1996-06-17,1.413
1996-06-24,1.399
1996-07-01,1.391
1996-07-08,1.385
1996-07-15,1.379
1996-07-22,1.376
1996-07-29,1.375
1996-08-05,1.368
1996-08-12,1.361
1996-08-19,1.357
1996-08-26,1.354
1996-09-02,1.347
1996-09-09,1.352
1996-09-16,1.357
1996-09-23,1.359
1996-09-30,1.358
1996-10-07,1.354
1996-10-14,1.358
1996-10-21,1.365
1996-10-28,1.366
1996-11-04,1.377
1996-11-11,1.383
1996-11-18,1.395
1996-11-25,1.401
1996-12-02,1.401
1996-12-09,1.403
1996-12-16,1.400
1996-12-23,1.399
1996-12-30,1.396
1997-01-06,1.394
1997-01-13,1.391
1997-01-20,1.395
1997-01-27,1.391
1997-02-03,1.390
1997-02-10,1.384
1997-02-17,1.394
1997-02-24,1.388
1997-03-03,1.379
1997-03-10,1.374
1997-03-17,1.367
1997-03-24,1.367
1997-03-31,1.366
1997-04-07,1.364
1997-04-14,1.359
1997-04-21,1.358
1997-04-28,1.351
1997-05-05,1.348
1997-05-12,1.341
1997-05-19,1.341
1997-05-26,1.354
1997-06-02,1.356
1997-06-09,1.352
1997-06-16,1.349
1997-06-23,1.341
1997-06-30,1.336
1997-07-07,1.332
1997-07-14,1.325
1997-07-21,1.325
1997-07-28,1.326
1997-08-04,1.330
1997-08-11,1.366
