DATE,VALUE
1994-12-01,1.285
1995-01-01,1.275
1995-02-01,1.265
1995-03-01,1.258
1995-04-01,1.295
1995-05-01,1.364
1995-06-01,1.379
1995-07-01,1.342
1995-08-01,1.311
1995-09-01,1.298
1995-10-01,1.273
1995-11-01,1.247
1995-12-01,1.255
1996-01-01,1.276
1996-02-01,1.274
1996-03-01,1.320
1996-04-01,1.411
1996-05-01,1.462
1996-06-01,1.437
1996-07-01,1.409
1996-08-01,1.386
1996-09-01,1.380
1996-10-01,1.384
1996-11-01,1.413
1996-12-01,1.418
1997-01-01,1.419
1997-02-01,1.413
1997-03-01,1.389
1997-04-01,1.381
1997-05-01,1.378
1997-06-01,1.373
1997-07-01,1.354
1997-08-01,1.401
1997-09-01,1.411
1997-10-01,1.379
1997-11-01,1.354
1997-12-01,1.316
1998-01-01,1.273
1998-02-01,1.237
1998-03-01,1.203
1998-04-01,1.216
1998-05-01,1.244
1998-06-01,1.241
1998-07-01,1.234
1998-08-01,1.207
1998-09-01,1.193
1998-10-01,1.204
1998-11-01,1.183
1998-12-01,1.137
1999-01-01,1.128
1999-02-01,1.112
1999-03-01,1.166
1999-04-01,1.310
1999-05-01,1.314
1999-06-01,1.297
1999-07-01,1.337
1999-08-01,1.401
1999-09-01,1.437
1999-10-01,1.431
1999-11-01,1.436
1999-12-01,1.458
2000-01-01,1.471
2000-02-01,1.552
2000-03-01,1.696
2000-04-01,1.651
2000-05-01,1.667
2000-06-01,1.789
2000-07-01,1.735
2000-08-01,1.653
2000-09-01,1.725
2000-10-01,1.710
2000-11-01,1.697
2000-12-01,1.628
2001-01-01,1.630
2001-02-01,1.635
2001-03-01,1.596
2001-04-01,1.732
2001-05-01,1.869
2001-06-01,1.801
2001-07-01,1.622
2001-08-01,1.601
2001-09-01,1.682
2001-10-01,1.499
2001-11-01,1.357
2001-12-01,1.271
2002-01-01,1.292
2002-02-01,1.297
2002-03-01,1.427
2002-04-01,1.582
2002-05-01,1.580
2002-06-01,1.567
2002-07-01,1.580
2002-08-01,1.583
2002-09-01,1.586
2002-10-01,1.629
2002-11-01,1.607
2002-12-01,1.580
2003-01-01,1.650
2003-02-01,1.798
2003-03-01,1.875
2003-04-01,1.780
2003-05-01,1.686
2003-06-01,1.674
2003-07-01,1.697
2003-08-01,1.799
2003-09-01,1.865
2003-10-01,1.753
2003-11-01,1.702
2003-12-01,1.673
2004-01-01,1.763
2004-02-01,1.837
2004-03-01,1.923
2004-04-01,1.979
2004-05-01,2.159
2004-06-01,2.162
2004-07-01,2.104
2004-08-01,2.067
2004-09-01,2.059
2004-10-01,2.187
2004-11-01,2.175
2004-12-01,2.046
2005-01-01,2.029
2005-02-01,2.101
2005-03-01,2.263
2005-04-01,2.429
2005-05-01,2.357
2005-06-01,2.347
2005-07-01,2.483
2005-08-01,2.679
2005-09-01,3.121
2005-10-01,2.934
2005-11-01,2.465
2005-12-01,2.383
2006-01-01,2.522
2006-02-01,2.485
2006-03-01,2.618
2006-04-01,2.944
2006-05-01,3.113
2006-06-01,3.088
2006-07-01,3.181
2006-08-01,3.163
2006-09-01,2.783
2006-10-01,2.458
2006-11-01,2.436
2006-12-01,2.520
2007-01-01,2.459
2007-02-01,2.479
2007-03-01,2.766
2007-04-01,3.052
2007-05-01,3.331
2007-06-01,3.263
2007-07-01,3.172
2007-08-01,3.004
2007-09-01,3.011
2007-10-01,3.028
2007-11-01,3.297
2007-12-01,3.252
2008-01-01,3.277
2008-02-01,3.256
2008-03-01,3.465
2008-04-01,3.679
2008-05-01,3.991
2008-06-01,4.284
2008-07-01,4.298
2008-08-01,4.022
2008-09-01,3.944
2008-10-01,3.321
2008-11-01,2.418
2008-12-01,1.946
2009-01-01,2.021
2009-02-01,2.160
2009-03-01,2.194
2009-04-01,2.284
2009-05-01,2.494
2009-06-01,2.857
2009-07-01,2.773
2009-08-01,2.856
2009-09-01,2.796
2009-10-01,2.789
2009-11-01,2.895
2009-12-01,2.856
2010-01-01,2.957
2010-02-01,2.893
2010-03-01,3.008
2010-04-01,3.080
2010-05-01,3.079
2010-06-01,2.973
2010-07-01,2.965
2010-08-01,2.968
2010-09-01,2.938
2010-10-01,3.037
2010-11-01,3.103
2010-12-01,3.240
2011-01-01,3.338
2011-02-01,3.450
2011-03-01,3.802
2011-04-01,4.036
2011-05-01,4.150
2011-06-01,3.929
2011-07-01,3.900
2011-08-01,3.894
2011-09-01,3.860
2011-10-01,3.708
2011-11-01,3.649
2011-12-01,3.536
2012-01-01,3.651
2012-02-01,3.851
2012-03-01,4.101
2012-04-01,4.162
2012-05-01,3.995
2012-06-01,3.793
2012-07-01,3.705
2012-08-01,3.989
2012-09-01,4.124
2012-10-01,4.041
2012-11-01,3.764
2012-12-01,3.627
2013-01-01,3.644
2013-02-01,3.969
2013-03-01,4.016
2013-04-01,3.876
2013-05-01,3.888
2013-06-01,3.909
2013-07-01,3.904
2013-08-01,3.896
2013-09-01,3.855
2013-10-01,3.684
2013-11-01,3.597
2013-12-01,3.637
2014-01-01,3.671
2014-02-01,3.707
2014-03-01,3.860
2014-04-01,3.991
2014-05-01,4.017
2014-06-01,4.024
2014-07-01,3.955
2014-08-01,3.833
2014-09-01,3.755
2014-10-01,3.543
2014-11-01,3.290
2014-12-01,2.943
2015-01-01,2.525
2015-02-01,2.594
2015-03-01,2.829
2015-04-01,2.845
2015-05-01,3.087
2015-06-01,3.170
2015-07-01,3.172
2015-08-01,3.030
2015-09-01,2.790
2015-10-01,2.718
2015-11-01,2.611
2015-12-01,2.509
2016-01-01,2.424
2016-02-01,2.242
2016-03-01,2.421
2016-04-01,2.566
2016-05-01,2.724
2016-06-01,2.816
2016-07-01,2.708
2016-08-01,2.649
2016-09-01,2.698
2016-10-01,2.734
2016-11-01,2.685
2016-12-01,2.751
2017-01-01,2.839
2017-02-01,2.800
2017-03-01,2.819
2017-04-01,2.907
2017-05-01,2.885
2017-06-01,2.849
2017-07-01,2.805
2017-08-01,2.884
2017-09-01,3.161
2017-10-01,3.019
2017-11-01,3.067
2017-12-01,2.992
2018-01-01,3.070
2018-02-01,3.106
2018-03-01,3.109
2018-04-01,3.268
2018-05-01,3.460
2018-06-01,3.480
2018-07-01,3.441
2018-08-01,3.421
2018-09-01,3.428
2018-10-01,3.472
2018-11-01,3.294
2018-12-01,3.030
