DATE,VALUE
1994-12-01,1.180
1995-01-01,1.189
1995-02-01,1.186
1995-03-01,1.182
1995-04-01,1.251
1995-05-01,1.328
1995-06-01,1.333
1995-07-01,1.267
1995-08-01,1.242
1995-09-01,1.240
1995-10-01,1.202
1995-11-01,1.182
1995-12-01,1.212
1996-01-01,1.241
1996-02-01,1.238
1996-03-01,1.301
1996-04-01,1.380
1996-05-01,1.407
1996-06-01,1.372
1996-07-01,1.350
1996-08-01,1.330
1996-09-01,1.343
1996-10-01,1.357
1996-11-01,1.412
1996-12-01,1.402
1997-01-01,1.395
1997-02-01,1.374
1997-03-01,1.329
1997-04-01,1.321
1997-05-01,1.345
1997-06-01,1.348
1997-07-01,1.324
1997-08-01,1.386
1997-09-01,1.357
1997-10-01,1.306
1997-11-01,1.287
1997-12-01,1.238
1998-01-01,1.184
1998-02-01,1.179
1998-03-01,1.170
1998-04-01,1.193
1998-05-01,1.242
1998-06-01,1.239
1998-07-01,1.233
1998-08-01,1.188
1998-09-01,1.177
1998-10-01,1.188
1998-11-01,1.146
1998-12-01,1.080
1999-01-01,1.086
1999-02-01,1.065
1999-03-01,1.153
1999-04-01,1.273
1999-05-01,1.277
1999-06-01,1.272
1999-07-01,1.314
1999-08-01,1.369
1999-09-01,1.428
1999-10-01,1.389
1999-11-01,1.418
1999-12-01,1.436
2000-01-01,1.473
2000-02-01,1.580
2000-03-01,1.670
2000-04-01,1.583
2000-05-01,1.670
2000-06-01,1.948
2000-07-01,1.689
2000-08-01,1.565
2000-09-01,1.710
2000-10-01,1.679
2000-11-01,1.677
2000-12-01,1.579
2001-01-01,1.632
2001-02-01,1.610
2001-03-01,1.548
2001-04-01,1.760
2001-05-01,1.956
2001-06-01,1.762
2001-07-01,1.489
2001-08-01,1.642
2001-09-01,1.795
2001-10-01,1.413
2001-11-01,1.299
2001-12-01,1.260
2002-01-01,1.268
2002-02-01,1.261
2002-03-01,1.431
2002-04-01,1.555
2002-05-01,1.555
2002-06-01,1.545
2002-07-01,1.574
2002-08-01,1.549
2002-09-01,1.559
2002-10-01,1.647
2002-11-01,1.560
2002-12-01,1.518
2003-01-01,1.615
2003-02-01,1.778
2003-03-01,1.805
2003-04-01,1.662
2003-05-01,1.609
2003-06-01,1.635
2003-07-01,1.644
2003-08-01,1.770
2003-09-01,1.776
2003-10-01,1.693
2003-11-01,1.646
2003-12-01,1.604
2004-01-01,1.737
2004-02-01,1.796
2004-03-01,1.853
2004-04-01,1.923
2004-05-01,2.122
2004-06-01,2.042
2004-07-01,2.023
2004-08-01,2.015
2004-09-01,2.012
2004-10-01,2.125
2004-11-01,2.084
2004-12-01,1.926
2005-01-01,1.988
2005-02-01,2.065
2005-03-01,2.256
2005-04-01,2.364
2005-05-01,2.242
2005-06-01,2.284
2005-07-01,2.419
2005-08-01,2.634
2005-09-01,3.015
2005-10-01,2.803
2005-11-01,2.317
2005-12-01,2.351
2006-01-01,2.474
2006-02-01,2.400
2006-03-01,2.616
2006-04-01,2.900
2006-05-01,2.983
2006-06-01,2.995
2006-07-01,3.147
2006-08-01,3.086
2006-09-01,2.585
2006-10-01,2.348
2006-11-01,2.390
2006-12-01,2.440
2007-01-01,2.317
2007-02-01,2.438
2007-03-01,2.675
2007-04-01,2.964
2007-05-01,3.398
2007-06-01,3.254
2007-07-01,3.172
2007-08-01,3.008
2007-09-01,3.100
2007-10-01,2.987
2007-11-01,3.266
2007-12-01,3.159
2008-01-01,3.200
2008-02-01,3.204
2008-03-01,3.389
2008-04-01,3.621
2008-05-01,3.970
2008-06-01,4.203
2008-07-01,4.192
2008-08-01,3.932
2008-09-01,3.950
2008-10-01,3.146
2008-11-01,2.207
2008-12-01,1.834
2009-01-01,2.020
2009-02-01,2.067
2009-03-01,2.130
2009-04-01,2.199
2009-05-01,2.480
2009-06-01,2.855
2009-07-01,2.667
2009-08-01,2.758
2009-09-01,2.649
2009-10-01,2.706
2009-11-01,2.807
2009-12-01,2.754
2010-01-01,2.881
2010-02-01,2.778
2010-03-01,2.940
2010-04-01,3.036
2010-05-01,2.993
2010-06-01,2.908
2010-07-01,2.918
2010-08-01,2.895
2010-09-01,2.930
2010-10-01,3.000
2010-11-01,3.047
2010-12-01,3.186
2011-01-01,3.303
2011-02-01,3.398
2011-03-01,3.743
2011-04-01,4.035
2011-05-01,4.140
2011-06-01,3.890
2011-07-01,3.885
2011-08-01,3.864
2011-09-01,3.811
2011-10-01,3.587
2011-11-01,3.521
2011-12-01,3.442
2012-01-01,3.581
2012-02-01,3.720
2012-03-01,4.058
2012-04-01,4.064
2012-05-01,3.886
2012-06-01,3.742
2012-07-01,3.663
2012-08-01,4.022
2012-09-01,4.096
2012-10-01,3.871
2012-11-01,3.611
2012-12-01,3.493
2013-01-01,3.484
2013-02-01,3.911
2013-03-01,3.920
2013-04-01,3.807
2013-05-01,3.970
2013-06-01,4.007
2013-07-01,3.824
2013-08-01,3.815
2013-09-01,3.788
2013-10-01,3.588
2013-11-01,3.485
2013-12-01,3.485
2014-01-01,3.550
2014-02-01,3.654
2014-03-01,3.858
2014-04-01,3.945
2014-05-01,3.944
2014-06-01,4.024
2014-07-01,3.834
2014-08-01,3.746
2014-09-01,3.709
2014-10-01,3.430
2014-11-01,3.225
2014-12-01,2.769
2015-01-01,2.323
2015-02-01,2.551
2015-03-01,2.710
2015-04-01,2.742
2015-05-01,2.948
2015-06-01,3.127
2015-07-01,3.077
2015-08-01,3.008
2015-09-01,2.769
2015-10-01,2.793
2015-11-01,2.556
2015-12-01,2.370
2016-01-01,2.250
2016-02-01,2.085
2016-03-01,2.383
2016-04-01,2.506
2016-05-01,2.710
2016-06-01,2.884
2016-07-01,2.658
2016-08-01,2.652
2016-09-01,2.676
2016-10-01,2.676
2016-11-01,2.569
2016-12-01,2.720
2017-01-01,2.784
2017-02-01,2.722
2017-03-01,2.752
2017-04-01,2.873
2017-05-01,2.818
2017-06-01,2.781
2017-07-01,2.774
2017-08-01,2.850
2017-09-01,3.049
2017-10-01,2.961
2017-11-01,3.069
2017-12-01,2.940
2018-01-01,3.049
2018-02-01,3.017
2018-03-01,3.045
2018-04-01,3.199
2018-05-01,3.421
2018-06-01,3.434
2018-07-01,3.415
2018-08-01,3.393
2018-09-01,3.393
2018-10-01,3.382
2018-11-01,3.115
2018-12-01,2.779
