DATE,VALUE
1994-11-28,1.226
1994-12-05,1.207
1994-12-12,1.182
1994-12-19,1.171
1994-12-26,1.159
1995-01-02,1.170
1995-01-09,1.193
1995-01-16,1.180
1995-01-23,1.202
1995-01-30,1.201
1995-02-06,1.191
1995-02-13,1.186
1995-02-20,1.172
1995-02-27,1.195
1995-03-06,1.185
1995-03-13,1.172
1995-03-20,1.178
1995-03-27,1.193
1995-04-03,1.220
1995-04-10,1.241
1995-04-17,1.257
1995-04-24,1.284
1995-05-01,1.282
1995-05-08,1.323
1995-05-15,1.329
1995-05-22,1.358
1995-05-29,1.349
1995-06-05,1.350
1995-06-12,1.341
1995-06-19,1.325
1995-06-26,1.314
1995-07-03,1.300
1995-07-10,1.281
1995-07-17,1.266
1995-07-24,1.252
1995-07-31,1.235
1995-08-07,1.242
1995-08-14,1.243
1995-08-21,1.248
1995-08-28,1.236
1995-09-04,1.238
1995-09-11,1.235
1995-09-18,1.242
1995-09-25,1.244
1995-10-02,1.233
1995-10-09,1.219
1995-10-16,1.201
1995-10-23,1.185
1995-10-30,1.173
1995-11-06,1.182
1995-11-13,1.183
1995-11-20,1.180
1995-11-27,1.181
1995-12-04,1.190
1995-12-11,1.190
1995-12-18,1.235
1995-12-25,1.234
1996-01-01,1.236
1996-01-08,1.255
1996-01-15,1.255
1996-01-22,1.236
1996-01-29,1.221
1996-02-05,1.224
1996-02-12,1.219
1996-02-19,1.232
1996-02-26,1.276
1996-03-04,1.292
1996-03-11,1.280
1996-03-18,1.297
1996-03-25,1.335
1996-04-01,1.339
1996-04-08,1.361
1996-04-15,1.402
1996-04-22,1.391
1996-04-29,1.405
1996-05-06,1.392
1996-05-13,1.400
1996-05-20,1.419
1996-05-27,1.402
1996-06-03,1.389
1996-06-10,1.380
1996-06-17,1.374
1996-06-24,1.358
1996-07-01,1.344
1996-07-08,1.349
1996-07-15,1.352
1996-07-22,1.356
1996-07-29,1.339
1996-08-05,1.323
1996-08-12,1.314
1996-08-19,1.330
1996-08-26,1.347
1996-09-02,1.328
1996-09-09,1.345
1996-09-16,1.348
1996-09-23,1.349
1996-09-30,1.346
1996-10-07,1.332
1996-10-14,1.356
1996-10-21,1.357
1996-10-28,1.384
1996-11-04,1.396
1996-11-11,1.409
1996-11-18,1.417
1996-11-25,1.425
1996-12-02,1.421
1996-12-09,1.417
1996-12-16,1.401
1996-12-23,1.389
1996-12-30,1.384
1997-01-06,1.373
1997-01-13,1.406
1997-01-20,1.405
1997-01-27,1.397
1997-02-03,1.395
1997-02-10,1.375
1997-02-17,1.361
1997-02-24,1.366
1997-03-03,1.345
1997-03-10,1.333
1997-03-17,1.314
1997-03-24,1.330
1997-03-31,1.324
1997-04-07,1.319
1997-04-14,1.312
1997-04-21,1.326
1997-04-28,1.325
1997-05-05,1.328
1997-05-12,1.327
1997-05-19,1.356
1997-05-26,1.370
1997-06-02,1.373
1997-06-09,1.365
1997-06-16,1.349
1997-06-23,1.331
1997-06-30,1.321
1997-07-07,1.322
1997-07-14,1.316
1997-07-21,1.336
1997-07-28,1.321
1997-08-04,1.355
1997-08-11,1.400
1997-08-18,1.388
1997-08-25,1.400
1997-09-01,1.390
1997-09-08,1.380
1997-09-15,1.362
1997-09-22,1.339
1997-09-29,1.316
1997-10-06,1.327
1997-10-13,1.312
1997-10-20,1.299
