DATE,VALUE
1994-12-01,1.388
1995-01-01,1.375
1995-02-01,1.365
1995-03-01,1.352
1995-04-01,1.351
1995-05-01,1.410
1995-06-01,1.442
1995-07-01,1.423
1995-08-01,1.392
1995-09-01,1.376
1995-10-01,1.351
1995-11-01,1.319
1995-12-01,1.320
1996-01-01,1.344
1996-02-01,1.339
1996-03-01,1.354
1996-04-01,1.433
1996-05-01,1.497
1996-06-01,1.485
1996-07-01,1.457
1996-08-01,1.430
1996-09-01,1.418
1996-10-01,1.422
1996-11-01,1.455
1996-12-01,1.483
1997-01-01,1.487
1997-02-01,1.474
1997-03-01,1.441
1997-04-01,1.418
1997-05-01,1.404
1997-06-01,1.405
1997-07-01,1.389
1997-08-01,1.443
1997-09-01,1.471
1997-10-01,1.437
1997-11-01,1.406
1997-12-01,1.368
1998-01-01,1.331
1998-02-01,1.287
1998-03-01,1.239
1998-04-01,1.232
1998-05-01,1.236
1998-06-01,1.242
1998-07-01,1.238
1998-08-01,1.223
1998-09-01,1.209
1998-10-01,1.213
1998-11-01,1.203
1998-12-01,1.180
1999-01-01,1.167
1999-02-01,1.143
1999-03-01,1.150
1999-04-01,1.260
1999-05-01,1.298
1999-06-01,1.296
1999-07-01,1.324
1999-08-01,1.388
1999-09-01,1.433
1999-10-01,1.460
1999-11-01,1.457
1999-12-01,1.481
2000-01-01,1.490
2000-02-01,1.533
2000-03-01,1.681
2000-04-01,1.670
2000-05-01,1.667
2000-06-01,1.770
2000-07-01,1.804
2000-08-01,1.764
2000-09-01,1.759
2000-10-01,1.741
2000-11-01,1.729
2000-12-01,1.697
2001-01-01,1.666
2001-02-01,1.657
2001-03-01,1.627
2001-04-01,1.714
2001-05-01,1.887
2001-06-01,1.888
2001-07-01,1.772
2001-08-01,1.658
2001-09-01,1.629
2001-10-01,1.523
2001-11-01,1.386
2001-12-01,1.285
2002-01-01,1.300
2002-02-01,1.302
2002-03-01,1.391
2002-04-01,1.568
2002-05-01,1.595
2002-06-01,1.576
2002-07-01,1.575
2002-08-01,1.608
2002-09-01,1.609
2002-10-01,1.627
2002-11-01,1.646
2002-12-01,1.648
2003-01-01,1.682
2003-02-01,1.790
2003-03-01,1.842
2003-04-01,1.800
2003-05-01,1.724
2003-06-01,1.680
2003-07-01,1.696
2003-08-01,1.781
2003-09-01,1.932
2003-10-01,1.853
2003-11-01,1.777
2003-12-01,1.725
2004-01-01,1.777
2004-02-01,1.837
2004-03-01,1.899
2004-04-01,1.938
2004-05-01,2.154
2004-06-01,2.239
2004-07-01,2.165
2004-08-01,2.119
2004-09-01,2.080
2004-10-01,2.176
2004-11-01,2.187
2004-12-01,2.094
2005-01-01,2.048
2005-02-01,2.085
2005-03-01,2.192
2005-04-01,2.367
2005-05-01,2.368
2005-06-01,2.370
2005-07-01,2.538
2005-08-01,2.716
2005-09-01,3.284
2005-10-01,2.947
2005-11-01,2.463
2005-12-01,2.390
2006-01-01,2.563
2006-02-01,2.505
2006-03-01,2.572
2006-04-01,2.932
2006-05-01,3.198
2006-06-01,3.211
2006-07-01,3.283
2006-08-01,3.252
2006-09-01,2.868
2006-10-01,2.472
2006-11-01,2.424
2006-12-01,2.539
2007-01-01,2.512
2007-02-01,2.460
2007-03-01,2.745
2007-04-01,3.014
2007-05-01,3.257
2007-06-01,3.257
2007-07-01,3.187
2007-08-01,3.022
2007-09-01,2.945
2007-10-01,2.968
2007-11-01,3.248
2007-12-01,3.278
2008-01-01,3.297
2008-02-01,3.256
2008-03-01,3.402
2008-04-01,3.612
2008-05-01,3.991
2008-06-01,4.291
2008-07-01,4.316
2008-08-01,4.053
2008-09-01,3.883
2008-10-01,3.340
2008-11-01,2.537
2008-12-01,2.044
2009-01-01,2.000
2009-02-01,2.144
2009-03-01,2.167
2009-04-01,2.258
2009-05-01,2.471
2009-06-01,2.822
2009-07-01,2.800
2009-08-01,2.862
2009-09-01,2.821
2009-10-01,2.766
2009-11-01,2.894
2009-12-01,2.872
2010-01-01,2.950
2010-02-01,2.916
2010-03-01,2.965
2010-04-01,3.042
2010-05-01,3.101
2010-06-01,2.988
2010-07-01,2.967
2010-08-01,2.950
2010-09-01,2.896
2010-10-01,3.023
2010-11-01,3.142
2010-12-01,3.284
2011-01-01,3.361
2011-02-01,3.445
2011-03-01,3.769
2011-04-01,4.012
2011-05-01,4.209
2011-06-01,4.030
2011-07-01,3.992
2011-08-01,3.978
2011-09-01,3.908
2011-10-01,3.754
2011-11-01,3.696
2011-12-01,3.587
2012-01-01,3.686
2012-02-01,3.879
2012-03-01,4.055
2012-04-01,4.180
2012-05-01,4.044
2012-06-01,3.831
2012-07-01,3.806
2012-08-01,4.023
2012-09-01,4.172
2012-10-01,4.128
2012-11-01,3.951
2012-12-01,3.811
2013-01-01,3.802
2013-02-01,4.018
2013-03-01,4.026
2013-04-01,3.905
2013-05-01,3.865
2013-06-01,3.890
2013-07-01,3.962
2013-08-01,3.999
2013-09-01,3.926
2013-10-01,3.756
2013-11-01,3.697
2013-12-01,3.800
2014-01-01,3.796
2014-02-01,3.780
2014-03-01,3.869
2014-04-01,3.953
2014-05-01,4.019
2014-06-01,4.038
2014-07-01,4.020
2014-08-01,3.875
2014-09-01,3.771
2014-10-01,3.600
2014-11-01,3.373
2014-12-01,3.100
2015-01-01,2.667
2015-02-01,2.615
2015-03-01,2.783
2015-04-01,2.809
2015-05-01,3.030
2015-06-01,3.125
2015-07-01,3.134
2015-08-01,2.976
2015-09-01,2.756
2015-10-01,2.658
2015-11-01,2.626
2015-12-01,2.553
2016-01-01,2.444
2016-02-01,2.290
2016-03-01,2.375
2016-04-01,2.548
2016-05-01,2.708
2016-06-01,2.765
2016-07-01,2.701
2016-08-01,2.628
2016-09-01,2.672
2016-10-01,2.711
2016-11-01,2.751
2016-12-01,2.816
2017-01-01,2.900
2017-02-01,2.839
2017-03-01,2.816
2017-04-01,2.889
2017-05-01,2.891
2017-06-01,2.867
2017-07-01,2.829
2017-08-01,2.886
2017-09-01,3.200
2017-10-01,3.026
2017-11-01,3.058
2017-12-01,3.017
2018-01-01,3.083
2018-02-01,3.124
2018-03-01,3.087
2018-04-01,3.227
2018-05-01,3.372
2018-06-01,3.368
2018-07-01,3.328
2018-08-01,3.324
2018-09-01,3.319
2018-10-01,3.315
2018-11-01,3.151
2018-12-01,2.952
