DATE,VALUE
1994-11-28,1.386
1994-12-05,1.394
1994-12-12,1.388
1994-12-19,1.386
1994-12-26,1.384
1995-01-02,1.379
1995-01-09,1.378
1995-01-16,1.374
1995-01-23,1.374
1995-01-30,1.370
1995-02-06,1.367
1995-02-13,1.365
1995-02-20,1.364
1995-02-27,1.362
1995-03-06,1.359
1995-03-13,1.354
1995-03-20,1.348
1995-03-27,1.345
1995-04-03,1.343
1995-04-10,1.344
1995-04-17,1.352
1995-04-24,1.366
1995-05-01,1.380
1995-05-08,1.399
1995-05-15,1.411
1995-05-22,1.422
1995-05-29,1.439
1995-06-05,1.443
1995-06-12,1.444
1995-06-19,1.442
1995-06-26,1.437
1995-07-03,1.435
1995-07-10,1.430
1995-07-17,1.426
1995-07-24,1.416
1995-07-31,1.410
1995-08-07,1.402
1995-08-14,1.394
1995-08-21,1.388
1995-08-28,1.384
1995-09-04,1.382
1995-09-11,1.378
1995-09-18,1.374
1995-09-25,1.370
1995-10-02,1.364
1995-10-09,1.358
1995-10-16,1.353
1995-10-23,1.346
1995-10-30,1.336
1995-11-06,1.327
1995-11-13,1.322
1995-11-20,1.315
1995-11-27,1.312
1995-12-04,1.315
1995-12-11,1.318
1995-12-18,1.321
1995-12-25,1.327
1996-01-01,1.337
1996-01-08,1.340
1996-01-15,1.347
1996-01-22,1.348
1996-01-29,1.347
1996-02-05,1.343
1996-02-12,1.340
1996-02-19,1.335
1996-02-26,1.339
1996-03-04,1.346
1996-03-11,1.349
1996-03-18,1.351
1996-03-25,1.370
1996-04-01,1.383
1996-04-08,1.400
1996-04-15,1.444
1996-04-22,1.460
1996-04-29,1.476
1996-05-06,1.493
1996-05-13,1.496
1996-05-20,1.499
1996-05-27,1.493
1996-06-03,1.498
1996-06-10,1.492
1996-06-17,1.481
1996-06-24,1.478
1996-07-01,1.469
1996-07-08,1.464
1996-07-15,1.459
1996-07-22,1.456
1996-07-29,1.446
1996-08-05,1.439
1996-08-12,1.433
1996-08-19,1.424
1996-08-26,1.418
1996-09-02,1.418
1996-09-09,1.417
1996-09-16,1.419
1996-09-23,1.420
1996-09-30,1.418
1996-10-07,1.417
1996-10-14,1.419
1996-10-21,1.423
1996-10-28,1.428
1996-11-04,1.444
1996-11-11,1.447
1996-11-18,1.460
1996-11-25,1.468
1996-12-02,1.473
1996-12-09,1.481
1996-12-16,1.488
1996-12-23,1.486
1996-12-30,1.489
1997-01-06,1.486
1997-01-13,1.492
1997-01-20,1.487
1997-01-27,1.484
1997-02-03,1.479
1997-02-10,1.479
1997-02-17,1.474
1997-02-24,1.465
1997-03-03,1.455
1997-03-10,1.446
1997-03-17,1.439
1997-03-24,1.435
1997-03-31,1.431
1997-04-07,1.429
1997-04-14,1.422
1997-04-21,1.413
1997-04-28,1.407
1997-05-05,1.405
1997-05-12,1.402
1997-05-19,1.401
1997-05-26,1.407
1997-06-02,1.409
1997-06-09,1.410
1997-06-16,1.407
1997-06-23,1.402
1997-06-30,1.399
1997-07-07,1.391
1997-07-14,1.388
1997-07-21,1.387
1997-07-28,1.389
1997-08-04,1.407
1997-08-11,1.436
1997-08-18,1.450
1997-08-25,1.478
1997-09-01,1.481
1997-09-08,1.481
1997-09-15,1.474
1997-09-22,1.464
1997-09-29,1.454
1997-10-06,1.444
1997-10-13,1.443
1997-10-20,1.435
1997-10-27,1.424
1997-11-03,1.418
1997-11-10,1.411
1997-11-17,1.400
1997-11-24,1.394
1997-12-01,1.387
1997-12-08,1.378
1997-12-15,1.368
1997-12-22,1.357
1997-12-29,1.352
1998-01-05,1.347
1998-01-12,1.338
1998-01-19,1.325
1998-01-26,1.314
1998-02-02,1.302
1998-02-09,1.292
1998-02-16,1.282
1998-02-23,1.271
1998-03-02,1.259
1998-03-09,1.245
1998-03-16,1.231
1998-03-23,1.221
1998-03-30,1.237
1998-04-06,1.233
1998-04-13,1.234
1998-04-20,1.231
1998-04-27,1.230
1998-05-04,1.227
1998-05-11,1.236
1998-05-18,1.239
1998-05-25,1.243
1998-06-01,1.237
1998-06-08,1.244
1998-06-15,1.243
1998-06-22,1.242
1998-06-29,1.242
1998-07-06,1.240
1998-07-13,1.239
1998-07-20,1.238
1998-07-27,1.236
1998-08-03,1.231
1998-08-10,1.228
1998-08-17,1.225
1998-08-24,1.219
1998-08-31,1.214
1998-09-07,1.212
1998-09-14,1.209
1998-09-21,1.205
1998-09-28,1.210
