DATE,VALUE
1994-12-01,1.337
1995-01-01,1.321
1995-02-01,1.308
1995-03-01,1.299
1995-04-01,1.299
1995-05-01,1.345
1995-06-01,1.359
1995-07-01,1.337
1995-08-01,1.291
1995-09-01,1.271
1995-10-01,1.246
1995-11-01,1.202
1995-12-01,1.213
1996-01-01,1.240
1996-02-01,1.256
1996-03-01,1.305
1996-04-01,1.405
1996-05-01,1.444
1996-06-01,1.416
1996-07-01,1.367
1996-08-01,1.332
1996-09-01,1.334
1996-10-01,1.346
1996-11-01,1.353
1996-12-01,1.363
1997-01-01,1.355
1997-02-01,1.353
1997-03-01,1.335
1997-04-01,1.329
1997-05-01,1.328
1997-06-01,1.336
1997-07-01,1.308
1997-08-01,1.354
1997-09-01,1.369
1997-10-01,1.343
1997-11-01,1.308
1997-12-01,1.283
1998-01-01,1.260
1998-02-01,1.219
1998-03-01,1.181
1998-04-01,1.186
1998-05-01,1.188
1998-06-01,1.188
1998-07-01,1.187
1998-08-01,1.174
1998-09-01,1.162
1998-10-01,1.168
1998-11-01,1.157
1998-12-01,1.136
1999-01-01,1.121
1999-02-01,1.112
1999-03-01,1.125
1999-04-01,1.220
1999-05-01,1.246
1999-06-01,1.243
1999-07-01,1.262
1999-08-01,1.319
1999-09-01,1.364
1999-10-01,1.376
1999-11-01,1.367
1999-12-01,1.388
2000-01-01,1.400
2000-02-01,1.465
2000-03-01,1.640
2000-04-01,1.643
2000-05-01,1.626
2000-06-01,1.668
2000-07-01,1.707
2000-08-01,1.637
2000-09-01,1.637
2000-10-01,1.619
2000-11-01,1.599
2000-12-01,1.552
2001-01-01,1.567
2001-02-01,1.586
2001-03-01,1.551
2001-04-01,1.720
2001-05-01,1.821
2001-06-01,1.753
2001-07-01,1.569
2001-08-01,1.499
2001-09-01,1.559
2001-10-01,1.447
2001-11-01,1.268
2001-12-01,1.188
2002-01-01,1.217
2002-02-01,1.229
2002-03-01,1.379
2002-04-01,1.558
2002-05-01,1.557
2002-06-01,1.528
2002-07-01,1.512
2002-08-01,1.513
2002-09-01,1.522
2002-10-01,1.577
2002-11-01,1.557
2002-12-01,1.527
2003-01-01,1.607
2003-02-01,1.743
2003-03-01,1.784
2003-04-01,1.687
2003-05-01,1.584
2003-06-01,1.583
2003-07-01,1.616
2003-08-01,1.696
2003-09-01,1.718
2003-10-01,1.601
2003-11-01,1.573
2003-12-01,1.571
2004-01-01,1.678
2004-02-01,1.746
2004-03-01,1.789
