DATE,VALUE
1994-11-28,1.301
1994-12-05,1.331
1994-12-12,1.341
1994-12-19,1.342
1994-12-26,1.334
1995-01-02,1.329
1995-01-09,1.327
1995-01-16,1.323
1995-01-23,1.315
1995-01-30,1.311
1995-02-06,1.309
1995-02-13,1.310
1995-02-20,1.308
1995-02-27,1.306
1995-03-06,1.308
1995-03-13,1.303
1995-03-20,1.294
1995-03-27,1.292
1995-04-03,1.296
1995-04-10,1.287
1995-04-17,1.295
1995-04-24,1.317
1995-05-01,1.330
1995-05-08,1.333
1995-05-15,1.339
1995-05-22,1.359
1995-05-29,1.362
1995-06-05,1.356
1995-06-12,1.357
1995-06-19,1.360
1995-06-26,1.362
1995-07-03,1.357
1995-07-10,1.350
1995-07-17,1.340
1995-07-24,1.326
1995-07-31,1.314
1995-08-07,1.305
1995-08-14,1.293
1995-08-21,1.285
1995-08-28,1.282
1995-09-04,1.277
1995-09-11,1.274
1995-09-18,1.268
1995-09-25,1.264
1995-10-02,1.260
1995-10-09,1.257
1995-10-16,1.250
1995-10-23,1.237
1995-10-30,1.228
1995-11-06,1.213
1995-11-13,1.204
1995-11-20,1.199
1995-11-27,1.193
1995-12-04,1.212
1995-12-11,1.207
1995-12-18,1.210
1995-12-25,1.222
1996-01-01,1.222
1996-01-08,1.231
1996-01-15,1.249
1996-01-22,1.249
1996-01-29,1.248
1996-02-05,1.252
1996-02-12,1.252
1996-02-19,1.251
1996-02-26,1.269
1996-03-04,1.291
1996-03-11,1.292
1996-03-18,1.307
1996-03-25,1.330
1996-04-01,1.343
1996-04-08,1.371
1996-04-15,1.419
1996-04-22,1.442
1996-04-29,1.448
1996-05-06,1.450
1996-05-13,1.448
1996-05-20,1.439
1996-05-27,1.439
1996-06-03,1.439
1996-06-10,1.420
1996-06-17,1.412
1996-06-24,1.393
1996-07-01,1.386
1996-07-08,1.375
1996-07-15,1.365
1996-07-22,1.358
1996-07-29,1.353
1996-08-05,1.342
1996-08-12,1.331
1996-08-19,1.324
1996-08-26,1.331
1996-09-02,1.322
1996-09-09,1.327
1996-09-16,1.337
1996-09-23,1.344
1996-09-30,1.341
1996-10-07,1.347
1996-10-14,1.347
1996-10-21,1.344
1996-10-28,1.347
1996-11-04,1.343
1996-11-11,1.343
1996-11-18,1.359
1996-11-25,1.365
1996-12-02,1.369
1996-12-09,1.364
1996-12-16,1.368
1996-12-23,1.362
1996-12-30,1.351
1997-01-06,1.361
