DATE,VALUE
1994-12-01,1.363
1995-01-01,1.381
1995-02-01,1.365
1995-03-01,1.353
1995-04-01,1.361
1995-05-01,1.416
1995-06-01,1.432
1995-07-01,1.406
1995-08-01,1.368
1995-09-01,1.356
1995-10-01,1.345
1995-11-01,1.312
1995-12-01,1.313
1996-01-01,1.332
1996-02-01,1.334
1996-03-01,1.369
1996-04-01,1.474
1996-05-01,1.553
1996-06-01,1.539
1996-07-01,1.498
1996-08-01,1.455
1996-09-01,1.430
1996-10-01,1.417
1996-11-01,1.420
1996-12-01,1.440
1997-01-01,1.456
1997-02-01,1.458
1997-03-01,1.446
1997-04-01,1.449
1997-05-01,1.439
1997-06-01,1.432
1997-07-01,1.404
1997-08-01,1.462
1997-09-01,1.503
1997-10-01,1.475
1997-11-01,1.441
1997-12-01,1.402
1998-01-01,1.355
1998-02-01,1.299
1998-03-01,1.242
1998-04-01,1.253
1998-05-01,1.298
1998-06-01,1.302
1998-07-01,1.293
1998-08-01,1.273
1998-09-01,1.259
1998-10-01,1.260
1998-11-01,1.252
1998-12-01,1.232
1999-01-01,1.220
1999-02-01,1.199
1999-03-01,1.247
1999-04-01,1.434
1999-05-01,1.419
1999-06-01,1.374
1999-07-01,1.414
1999-08-01,1.489
1999-09-01,1.500
1999-10-01,1.496
1999-11-01,1.487
1999-12-01,1.509
2000-01-01,1.514
2000-02-01,1.575
2000-03-01,1.763
2000-04-01,1.755
2000-05-01,1.741
2000-06-01,1.820
2000-07-01,1.821
2000-08-01,1.766
2000-09-01,1.824
2000-10-01,1.810
2000-11-01,1.790
2000-12-01,1.736
2001-01-01,1.703
2001-02-01,1.707
2001-03-01,1.695
2001-04-01,1.816
2001-05-01,1.983
2001-06-01,1.947
2001-07-01,1.790
2001-08-01,1.686
2001-09-01,1.724
2001-10-01,1.586
2001-11-01,1.426
2001-12-01,1.303
2002-01-01,1.318
2002-02-01,1.344
2002-03-01,1.481
2002-04-01,1.649
2002-05-01,1.655
2002-06-01,1.647
2002-07-01,1.647
2002-08-01,1.660
2002-09-01,1.660
2002-10-01,1.668
2002-11-01,1.678
2002-12-01,1.660
2003-01-01,1.718
2003-02-01,1.859
2003-03-01,1.983
2003-04-01,1.922
2003-05-01,1.808
2003-06-01,1.761
2003-07-01,1.766
2003-08-01,1.867
2003-09-01,1.995
2003-10-01,1.866
2003-11-01,1.790
2003-12-01,1.741
2004-01-01,1.800
2004-02-01,1.901
2004-03-01,2.014
2004-04-01,2.060
2004-05-01,2.240
2004-06-01,2.282
2004-07-01,2.206
2004-08-01,2.149
2004-09-01,2.124
2004-10-01,2.274
2004-11-01,2.266
