DATE,VALUE
1994-12-01,1.308
1995-01-01,1.304
1995-02-01,1.290
1995-03-01,1.269
1995-04-01,1.318
1995-05-01,1.405
1995-06-01,1.421
1995-07-01,1.372
1995-08-01,1.326
1995-09-01,1.325
1995-10-01,1.305
1995-11-01,1.267
1995-12-01,1.298
1996-01-01,1.322
1996-02-01,1.308
1996-03-01,1.370
1996-04-01,1.440
1996-05-01,1.490
1996-06-01,1.475
1996-07-01,1.432
1996-08-01,1.401
1996-09-01,1.406
1996-10-01,1.424
1996-11-01,1.480
1996-12-01,1.487
1997-01-01,1.472
1997-02-01,1.450
1997-03-01,1.395
1997-04-01,1.375
1997-05-01,1.406
1997-06-01,1.418
1997-07-01,1.388
1997-08-01,1.442
1997-09-01,1.414
1997-10-01,1.354
1997-11-01,1.333
1997-12-01,1.304
1998-01-01,1.246
1998-02-01,1.236
1998-03-01,1.227
1998-04-01,1.258
1998-05-01,1.314
1998-06-01,1.319
1998-07-01,1.320
1998-08-01,1.272
1998-09-01,1.253
1998-10-01,1.249
1998-11-01,1.227
1998-12-01,1.168
1999-01-01,1.174
1999-02-01,1.141
1999-03-01,1.217
1999-04-01,1.338
1999-05-01,1.348
1999-06-01,1.334
1999-07-01,1.371
1999-08-01,1.417
1999-09-01,1.489
1999-10-01,1.453
1999-11-01,1.464
1999-12-01,1.478
2000-01-01,1.518
2000-02-01,1.633
2000-03-01,1.708
2000-04-01,1.658
2000-05-01,1.859
2000-06-01,2.153
2000-07-01,1.746
2000-08-01,1.575
2000-09-01,1.735
2000-10-01,1.711
2000-11-01,1.713
2000-12-01,1.622
2001-01-01,1.691
2001-02-01,1.661
2001-03-01,1.585
2001-04-01,1.870
2001-05-01,2.105
2001-06-01,1.884
2001-07-01,1.550
2001-08-01,1.745
2001-09-01,1.931
2001-10-01,1.542
2001-11-01,1.382
2001-12-01,1.327
2002-01-01,1.300
2002-02-01,1.283
2002-03-01,1.489
2002-04-01,1.639
2002-05-01,1.670
2002-06-01,1.667
2002-07-01,1.642
2002-08-01,1.638
2002-09-01,1.652
2002-10-01,1.728
2002-11-01,1.641
2002-12-01,1.582
2003-01-01,1.676
2003-02-01,1.846
2003-03-01,1.881
2003-04-01,1.741
2003-05-01,1.697
2003-06-01,1.730
2003-07-01,1.729
2003-08-01,1.842
2003-09-01,1.875
2003-10-01,1.787
2003-11-01,1.749
2003-12-01,1.684
2004-01-01,1.802
2004-02-01,1.872
2004-03-01,1.912
2004-04-01,2.011
2004-05-01,2.222
2004-06-01,2.131
2004-07-01,2.096
2004-08-01,2.085
2004-09-01,2.077
2004-10-01,2.210
2004-11-01,2.155
2004-12-01,1.985
2005-01-01,2.038
2005-02-01,2.104
2005-03-01,2.311
2005-04-01,2.449
2005-05-01,2.338
2005-06-01,2.365
2005-07-01,2.525
2005-08-01,2.749
2005-09-01,3.077
2005-10-01,2.896
2005-11-01,2.421
2005-12-01,2.418
2006-01-01,2.517
2006-02-01,2.438
2006-03-01,2.659
2006-04-01,2.977
2006-05-01,3.081
2006-06-01,3.138
2006-07-01,3.325
2006-08-01,3.262
2006-09-01,2.792
2006-10-01,2.432
2006-11-01,2.442
2006-12-01,2.502
2007-01-01,2.387
2007-02-01,2.498
2007-03-01,2.700
2007-04-01,3.056
2007-05-01,3.562
2007-06-01,3.455
2007-07-01,3.319
2007-08-01,3.147
2007-09-01,3.238
2007-10-01,3.040
2007-11-01,3.286
2007-12-01,3.211
2008-01-01,3.266
2008-02-01,3.258
2008-03-01,3.477
2008-04-01,3.780
2008-05-01,4.118
2008-06-01,4.339
2008-07-01,4.360
2008-08-01,4.111
2008-09-01,4.132
2008-10-01,3.390
2008-11-01,2.367
2008-12-01,1.884
2009-01-01,2.087
2009-02-01,2.119
2009-03-01,2.194
2009-04-01,2.297
2009-05-01,2.626
2009-06-01,2.974
2009-07-01,2.791
2009-08-01,2.860
2009-09-01,2.732
2009-10-01,2.797
2009-11-01,2.895
2009-12-01,2.832
2010-01-01,2.963
2010-02-01,2.859
2010-03-01,3.027
2010-04-01,3.189
2010-05-01,3.160
2010-06-01,3.033
2010-07-01,3.013
2010-08-01,2.997
2010-09-01,3.060
2010-10-01,3.083
2010-11-01,3.136
2010-12-01,3.263
2011-01-01,3.381
