DATE,VALUE
1994-11-28,1.305
1994-12-05,1.330
1994-12-12,1.309
1994-12-19,1.298
1994-12-26,1.295
1995-01-02,1.299
1995-01-09,1.305
1995-01-16,1.311
1995-01-23,1.305
1995-01-30,1.301
1995-02-06,1.295
1995-02-13,1.293
1995-02-20,1.283
1995-02-27,1.289
1995-03-06,1.267
1995-03-13,1.256
1995-03-20,1.272
1995-03-27,1.280
1995-04-03,1.292
1995-04-10,1.304
1995-04-17,1.331
1995-04-24,1.344
1995-05-01,1.365
1995-05-08,1.393
1995-05-15,1.396
1995-05-22,1.438
1995-05-29,1.432
1995-06-05,1.431
1995-06-12,1.423
1995-06-19,1.418
1995-06-26,1.411
1995-07-03,1.400
1995-07-10,1.390
1995-07-17,1.373
1995-07-24,1.355
1995-07-31,1.341
1995-08-07,1.331
1995-08-14,1.327
1995-08-21,1.326
1995-08-28,1.321
1995-09-04,1.318
1995-09-11,1.319
1995-09-18,1.328
1995-09-25,1.334
1995-10-02,1.329
1995-10-09,1.319
1995-10-16,1.310
1995-10-23,1.289
1995-10-30,1.278
1995-11-06,1.278
1995-11-13,1.265
1995-11-20,1.262
1995-11-27,1.264
1995-12-04,1.271
1995-12-11,1.290
1995-12-18,1.309
1995-12-25,1.320
1996-01-01,1.325
1996-01-08,1.335
1996-01-15,1.332
1996-01-22,1.315
1996-01-29,1.302
1996-02-05,1.302
1996-02-12,1.292
1996-02-19,1.297
1996-02-26,1.341
1996-03-04,1.361
1996-03-11,1.361
1996-03-18,1.362
1996-03-25,1.396
1996-04-01,1.405
1996-04-08,1.417
1996-04-15,1.450
1996-04-22,1.459
1996-04-29,1.469
1996-05-06,1.479
1996-05-13,1.487
1996-05-20,1.509
1996-05-27,1.486
1996-06-03,1.495
1996-06-10,1.485
1996-06-17,1.464
1996-06-24,1.456
1996-07-01,1.446
1996-07-08,1.437
1996-07-15,1.437
1996-07-22,1.426
1996-07-29,1.414
1996-08-05,1.406
1996-08-12,1.393
1996-08-19,1.396
1996-08-26,1.410
1996-09-02,1.386
1996-09-09,1.405
1996-09-16,1.414
1996-09-23,1.410
1996-09-30,1.415
1996-10-07,1.410
1996-10-14,1.419
1996-10-21,1.424
1996-10-28,1.441
1996-11-04,1.454
1996-11-11,1.475
1996-11-18,1.491
1996-11-25,1.500
1996-12-02,1.501
1996-12-09,1.492
1996-12-16,1.484
1996-12-23,1.484
1996-12-30,1.474
1997-01-06,1.471
1997-01-13,1.476
1997-01-20,1.472
1997-01-27,1.467
1997-02-03,1.463
1997-02-10,1.456
1997-02-17,1.446
1997-02-24,1.434
1997-03-03,1.420
1997-03-10,1.405
1997-03-17,1.383
1997-03-24,1.387
1997-03-31,1.378
1997-04-07,1.366
1997-04-14,1.373
1997-04-21,1.380
1997-04-28,1.380
1997-05-05,1.399
1997-05-12,1.387
1997-05-19,1.408
1997-05-26,1.431
1997-06-02,1.427
1997-06-09,1.427
1997-06-16,1.423
1997-06-23,1.413
1997-06-30,1.399
1997-07-07,1.391
1997-07-14,1.386
1997-07-21,1.390
1997-07-28,1.386
1997-08-04,1.425
1997-08-11,1.444
1997-08-18,1.444
1997-08-25,1.456
1997-09-01,1.440
1997-09-08,1.431
1997-09-15,1.418
1997-09-22,1.398
1997-09-29,1.381
1997-10-06,1.370
1997-10-13,1.357
1997-10-20,1.347
1997-10-27,1.340
1997-11-03,1.332
1997-11-10,1.330
1997-11-17,1.333
1997-11-24,1.336
1997-12-01,1.332
1997-12-08,1.320
1997-12-15,1.302
1997-12-22,1.286
1997-12-29,1.282
1998-01-05,1.275
1998-01-12,1.253
1998-01-19,1.232
1998-01-26,1.222
1998-02-02,1.219
1998-02-09,1.239
1998-02-16,1.231
1998-02-23,1.253
1998-03-02,1.239
1998-03-09,1.220
1998-03-16,1.208
1998-03-23,1.208
1998-03-30,1.261
1998-04-06,1.248
1998-04-13,1.240
1998-04-20,1.255
1998-04-27,1.290
1998-05-04,1.295
1998-05-11,1.319
1998-05-18,1.326
1998-05-25,1.315
1998-06-01,1.324
1998-06-08,1.329
1998-06-15,1.319
1998-06-22,1.322
1998-06-29,1.299
1998-07-06,1.328
1998-07-13,1.327
1998-07-20,1.323
1998-07-27,1.303
1998-08-03,1.290
1998-08-10,1.280
1998-08-17,1.273
1998-08-24,1.262
1998-08-31,1.257
1998-09-07,1.252
1998-09-14,1.251
1998-09-21,1.251
1998-09-28,1.259
1998-10-05,1.252
1998-10-12,1.257
1998-10-19,1.237
1998-10-26,1.248
1998-11-02,1.240
1998-11-09,1.256
1998-11-16,1.226
1998-11-23,1.213
1998-11-30,1.198
1998-12-07,1.176
1998-12-14,1.171
1998-12-21,1.166
1998-12-28,1.158
1999-01-04,1.154
1999-01-11,1.155
1999-01-18,1.197
1999-01-25,1.188
1999-02-01,1.158
1999-02-08,1.150
1999-02-15,1.142
1999-02-22,1.115
1999-03-01,1.138
1999-03-08,1.119
1999-03-15,1.227
1999-03-22,1.283
1999-03-29,1.318
1999-04-05,1.334
1999-04-12,1.350
1999-04-19,1.337
1999-04-26,1.331
1999-05-03,1.334
1999-05-10,1.377
1999-05-17,1.363
1999-05-24,1.341
1999-05-31,1.327
1999-06-07,1.315
1999-06-14,1.330
1999-06-21,1.355
1999-06-28,1.337
1999-07-05,1.341
1999-07-12,1.375
1999-07-19,1.373
1999-07-26,1.395
1999-08-02,1.393
1999-08-09,1.389
1999-08-16,1.444
1999-08-23,1.439
1999-08-30,1.419
1999-09-06,1.468
1999-09-13,1.459
1999-09-20,1.520
1999-09-27,1.508
1999-10-04,1.487
1999-10-11,1.472
1999-10-18,1.439
1999-10-25,1.413
1999-11-01,1.425
1999-11-08,1.442
1999-11-15,1.468
1999-11-22,1.489
1999-11-29,1.496
1999-12-06,1.486
1999-12-13,1.484
1999-12-20,1.472
1999-12-27,1.470
2000-01-03,1.479
2000-01-10,1.474
2000-01-17,1.498
2000-01-24,1.580
2000-01-31,1.560
2000-02-07,1.555
2000-02-14,1.604
2000-02-21,1.690
2000-02-28,1.682
2000-03-06,1.751
2000-03-13,1.726
2000-03-20,1.692
2000-03-27,1.664
2000-04-03,1.684
2000-04-10,1.654
2000-04-17,1.618
2000-04-24,1.677
2000-05-01,1.680
2000-05-08,1.761
2000-05-15,1.865
2000-05-22,1.944
2000-05-29,2.047
2000-06-05,2.067
2000-06-12,2.209
2000-06-19,2.226
2000-06-26,2.109
2000-07-03,1.952
2000-07-10,1.857
2000-07-17,1.741
2000-07-24,1.633
2000-07-31,1.546
2000-08-07,1.548
2000-08-14,1.549
2000-08-21,1.588
2000-08-28,1.616
2000-09-04,1.744
2000-09-11,1.758
2000-09-18,1.731
2000-09-25,1.707
2000-10-02,1.668
2000-10-09,1.653
2000-10-16,1.745
2000-10-23,1.724
2000-10-30,1.763
2000-11-06,1.719
2000-11-13,1.713
2000-11-20,1.723
2000-11-27,1.698
2000-12-04,1.663
2000-12-11,1.625
2000-12-18,1.597
2000-12-25,1.602
2001-01-01,1.627
2001-01-08,1.658
2001-01-15,1.733
2001-01-22,1.730
2001-01-29,1.706
2001-02-05,1.671
2001-02-12,1.705
2001-02-19,1.659
2001-02-26,1.608
2001-03-05,1.580
2001-03-12,1.587
2001-03-19,1.593
2001-03-26,1.580
2001-04-02,1.704
2001-04-09,1.813
2001-04-16,1.861
2001-04-23,1.998
2001-04-30,1.975
2001-05-07,2.111
2001-05-14,2.153
2001-05-21,2.085
2001-05-28,2.072
2001-06-04,2.026
2001-06-11,1.941
2001-06-18,1.846
2001-06-25,1.721
2001-07-02,1.597
2001-07-09,1.517
2001-07-16,1.516
2001-07-23,1.567
2001-07-30,1.554
2001-08-06,1.590
2001-08-13,1.676
2001-08-20,1.792
2001-08-27,1.920
2001-09-03,2.014
2001-09-10,1.951
2001-09-17,1.917
2001-09-24,1.841
2001-10-01,1.723
2001-10-08,1.597
2001-10-15,1.531
2001-10-22,1.455
2001-10-29,1.404
2001-11-05,1.378
2001-11-12,1.405
2001-11-19,1.398
2001-11-26,1.346
2001-12-03,1.345
2001-12-10,1.364
2001-12-17,1.269
2001-12-24,1.291
