DATE,VALUE
1995-01-01,1.457
1995-02-01,1.436
1995-03-01,1.426
1995-04-01,1.436
1995-05-01,1.461
1995-06-01,1.453
1995-07-01,1.418
1995-08-01,1.370
1995-09-01,1.354
1995-10-01,1.367
1995-11-01,1.362
1995-12-01,1.349
1996-01-01,1.357
1996-02-01,1.371
1996-03-01,1.425
1996-04-01,1.589
1996-05-01,1.714
1996-06-01,1.694
1996-07-01,1.637
1996-08-01,1.565
1996-09-01,1.501
1996-10-01,1.445
1996-11-01,1.380
1996-12-01,1.391
1997-01-01,1.441
1997-02-01,1.477
1997-03-01,1.517
1997-04-01,1.575
1997-05-01,1.557
1997-06-01,1.521
1997-07-01,1.475
1997-08-01,1.546
1997-09-01,1.638
1997-10-01,1.626
1997-11-01,1.584
1997-12-01,1.536
1998-01-01,1.475
1998-02-01,1.380
1998-03-01,1.287
1998-04-01,1.320
1998-05-01,1.430
1998-06-01,1.420
1998-07-01,1.398
1998-08-01,1.374
1998-09-01,1.361
1998-10-01,1.361
1998-11-01,1.360
1998-12-01,1.358
1999-01-01,1.343
1999-02-01,1.328
1999-03-01,1.443
1999-04-01,1.809
1999-05-01,1.686
1999-06-01,1.547
1999-07-01,1.615
1999-08-01,1.720
1999-09-01,1.644
1999-10-01,1.594
1999-11-01,1.569
1999-12-01,1.593
2000-01-01,1.576
2000-02-01,1.648
2000-03-01,1.940
2000-04-01,1.949
2000-05-01,1.851
2000-06-01,1.835
2000-07-01,1.911
2000-08-01,1.879
2000-09-01,2.023
2000-10-01,2.018
2000-11-01,1.973
2000-12-01,1.895
2001-01-01,1.803
2001-02-01,1.832
2001-03-01,1.885
2001-04-01,1.987
2001-05-01,2.157
2001-06-01,2.137
2001-07-01,1.974
2001-08-01,1.771
2001-09-01,1.860
2001-10-01,1.748
2001-11-01,1.558
2001-12-01,1.360
2002-01-01,1.386
2002-02-01,1.470
2002-03-01,1.659
2002-04-01,1.813
2002-05-01,1.780
2002-06-01,1.793
2002-07-01,1.810
2002-08-01,1.801
2002-09-01,1.790
2002-10-01,1.744
2002-11-01,1.782
2002-12-01,1.750
2003-01-01,1.827
2003-02-01,2.013
2003-03-01,2.309
2003-04-01,2.255
2003-05-01,2.051
2003-06-01,1.957
2003-07-01,1.934
2003-08-01,2.063
2003-09-01,2.217
2003-10-01,1.992
2003-11-01,1.893
2003-12-01,1.836
2004-01-01,1.875
2004-02-01,2.062
2004-03-01,2.296
2004-04-01,2.333
2004-05-01,2.450
2004-06-01,2.467
2004-07-01,2.376
2004-08-01,2.275
2004-09-01,2.262
2004-10-01,2.515
2004-11-01,2.491
2004-12-01,2.289
2005-01-01,2.170
2005-02-01,2.307
2005-03-01,2.489
2005-04-01,2.738
2005-05-01,2.666
2005-06-01,2.556
2005-07-01,2.696
2005-08-01,2.859
2005-09-01,3.179
2005-10-01,3.069
2005-11-01,2.716
2005-12-01,2.469
2006-01-01,2.572
2006-02-01,2.686
2006-03-01,2.765
2006-04-01,3.068
2006-05-01,3.482
2006-06-01,3.400
2006-07-01,3.396
2006-08-01,3.349
2006-09-01,3.063
2006-10-01,2.720
2006-11-01,2.644
2006-12-01,2.724
2007-01-01,2.752
2007-02-01,2.838
2007-03-01,3.226
2007-04-01,3.474
2007-05-01,3.622
2007-06-01,3.474
2007-07-01,3.313
2007-08-01,3.087
2007-09-01,3.067
2007-10-01,3.245
2007-11-01,3.525
2007-12-01,3.488
2008-01-01,3.437
2008-02-01,3.370
2008-03-01,3.740
2008-04-01,3.970
2008-05-01,4.148
2008-06-01,4.665
2008-07-01,4.649
2008-08-01,4.270
2008-09-01,3.989
2008-10-01,3.592
2008-11-01,2.673
2008-12-01,2.028
2009-01-01,2.193
2009-02-01,2.407
2009-03-01,2.388
2009-04-01,2.504
2009-05-01,2.659
2009-06-01,3.107
2009-07-01,3.063
2009-08-01,3.195
2009-09-01,3.292
2009-10-01,3.184
2009-11-01,3.149
2009-12-01,3.109
2010-01-01,3.202
2010-02-01,3.136
2010-03-01,3.248
2010-04-01,3.290
2010-05-01,3.279
2010-06-01,3.274
2010-07-01,3.307
2010-08-01,3.317
2010-09-01,3.202
2010-10-01,3.281
2010-11-01,3.343
2010-12-01,3.435
2011-01-01,3.527
2011-02-01,3.714
2011-03-01,4.134
2011-04-01,4.330
2011-05-01,4.361
2011-06-01,4.103
2011-07-01,3.972
2011-08-01,3.951
2011-09-01,4.093
2011-10-01,4.017
2011-11-01,3.978
2011-12-01,3.785
2012-01-01,3.881
2012-02-01,4.158
2012-03-01,4.544
2012-04-01,4.432
2012-05-01,4.478
2012-06-01,4.262
2012-07-01,3.951
2012-08-01,4.222
2012-09-01,4.338
2012-10-01,4.568
2012-11-01,4.032
2012-12-01,3.765
2013-01-01,3.804
2013-02-01,4.258
2013-03-01,4.336
2013-04-01,4.168
2013-05-01,4.172
2013-06-01,4.178
2013-07-01,4.193
2013-08-01,4.059
2013-09-01,4.114
2013-10-01,3.957
2013-11-01,3.773
2013-12-01,3.777
2014-01-01,3.809
2014-02-01,3.870
2014-03-01,4.115
2014-04-01,4.332
2014-05-01,4.345
2014-06-01,4.294
2014-07-01,4.245
2014-08-01,4.101
2014-09-01,3.957
2014-10-01,3.724
2014-11-01,3.377
2014-12-01,3.055
2015-01-01,2.723
2015-02-01,2.886
2015-03-01,3.500
2015-04-01,3.378
2015-05-01,3.914
2015-06-01,3.723
2015-07-01,3.940
2015-08-01,3.730
2015-09-01,3.311
2015-10-01,3.083
2015-11-01,2.961
2015-12-01,2.915
2016-01-01,2.960
2016-02-01,2.616
2016-03-01,2.819
2016-04-01,2.977
2016-05-01,3.013
2016-06-01,3.085
2016-07-01,3.066
2016-08-01,2.891
2016-09-01,2.960
2016-10-01,3.013
2016-11-01,2.948
2016-12-01,2.900
2017-01-01,3.007
2017-02-01,3.098
2017-03-01,3.207
2017-04-01,3.220
2017-05-01,3.254
2017-06-01,3.233
2017-07-01,3.152
2017-08-01,3.218
2017-09-01,3.363
2017-10-01,3.287
2017-11-01,3.441
2017-12-01,3.334
2018-01-01,3.412
2018-02-01,3.552
2018-03-01,3.615
2018-04-01,3.767
2018-05-01,3.868
2018-06-01,3.867
2018-07-01,3.807
2018-08-01,3.749
2018-09-01,3.776
2018-10-01,3.941
2018-11-01,3.815
2018-12-01,3.568
