DATE,VALUE
1994-11-28,1.303
1994-12-05,1.301
1994-12-12,1.288
1994-12-19,1.279
1994-12-26,1.270
1995-01-02,1.272
1995-01-09,1.279
1995-01-16,1.271
1995-01-23,1.277
1995-01-30,1.275
1995-02-06,1.270
1995-02-13,1.265
1995-02-20,1.259
1995-02-27,1.265
1995-03-06,1.263
1995-03-13,1.256
1995-03-20,1.254
1995-03-27,1.259
1995-04-03,1.270
1995-04-10,1.286
1995-04-17,1.300
1995-04-24,1.323
1995-05-01,1.332
1995-05-08,1.356
1995-05-15,1.364
1995-05-22,1.383
1995-05-29,1.386
1995-06-05,1.386
1995-06-12,1.383
1995-06-19,1.376
1995-06-26,1.370
1995-07-03,1.362
1995-07-10,1.352
1995-07-17,1.342
1995-07-24,1.333
1995-07-31,1.319
1995-08-07,1.316
1995-08-14,1.312
1995-08-21,1.311
1995-08-28,1.305
1995-09-04,1.300
1995-09-11,1.298
1995-09-18,1.297
1995-09-25,1.296
1995-10-02,1.290
1995-10-09,1.283
1995-10-16,1.273
1995-10-23,1.263
1995-10-30,1.255
1995-11-06,1.252
1995-11-13,1.248
1995-11-20,1.244
1995-11-27,1.243
1995-12-04,1.246
1995-12-11,1.248
1995-12-18,1.262
1995-12-25,1.265
1996-01-01,1.268
1996-01-08,1.277
1996-01-15,1.285
1996-01-22,1.278
1996-01-29,1.272
1996-02-05,1.269
1996-02-12,1.265
1996-02-19,1.271
1996-02-26,1.291
1996-03-04,1.308
1996-03-11,1.308
1996-03-18,1.317
1996-03-25,1.345
1996-04-01,1.357
1996-04-08,1.381
1996-04-15,1.422
1996-04-22,1.438
1996-04-29,1.455
1996-05-06,1.458
1996-05-13,1.461
1996-05-20,1.468
1996-05-27,1.458
1996-06-03,1.454
1996-06-10,1.444
1996-06-17,1.438
1996-06-24,1.425
1996-07-01,1.416
1996-07-08,1.412
1996-07-15,1.409
1996-07-22,1.408
1996-07-29,1.399
1996-08-05,1.389
1996-08-12,1.384
1996-08-19,1.382
1996-08-26,1.386
1996-09-02,1.375
1996-09-09,1.380
1996-09-16,1.383
1996-09-23,1.383
1996-09-30,1.379
1996-10-07,1.373
1996-10-14,1.382
1996-10-21,1.384
1996-10-28,1.395
1996-11-04,1.403
1996-11-11,1.408
