DATE,VALUE
1994-12-01,1.431
1995-01-01,1.426
1995-02-01,1.405
1995-03-01,1.392
1995-04-01,1.404
1995-05-01,1.438
1995-06-01,1.444
1995-07-01,1.427
1995-08-01,1.402
1995-09-01,1.391
1995-10-01,1.397
1995-11-01,1.385
1995-12-01,1.376
1996-01-01,1.381
1996-02-01,1.387
1996-03-01,1.428
1996-04-01,1.563
1996-05-01,1.689
1996-06-01,1.663
1996-07-01,1.623
1996-08-01,1.572
1996-09-01,1.523
1996-10-01,1.484
1996-11-01,1.434
1996-12-01,1.420
1997-01-01,1.458
1997-02-01,1.496
1997-03-01,1.521
1997-04-01,1.561
1997-05-01,1.543
1997-06-01,1.508
1997-07-01,1.472
1997-08-01,1.523
1997-09-01,1.607
1997-10-01,1.602
1997-11-01,1.568
1997-12-01,1.523
1998-01-01,1.471
1998-02-01,1.389
1998-03-01,1.300
1998-04-01,1.327
1998-05-01,1.408
1998-06-01,1.403
1998-07-01,1.387
1998-08-01,1.368
1998-09-01,1.356
1998-10-01,1.355
1998-11-01,1.351
1998-12-01,1.342
1999-01-01,1.327
1999-02-01,1.308
1999-03-01,1.404
1999-04-01,1.728
1999-05-01,1.635
1999-06-01,1.533
1999-07-01,1.589
1999-08-01,1.676
1999-09-01,1.622
1999-10-01,1.582
1999-11-01,1.561
1999-12-01,1.580
2000-01-01,1.569
2000-02-01,1.634
2000-03-01,1.891
2000-04-01,1.911
2000-05-01,1.832
2000-06-01,1.810
2000-07-01,1.880
2000-08-01,1.861
2000-09-01,1.976
2000-10-01,1.976
2000-11-01,1.941
2000-12-01,1.872
2001-01-01,1.792
2001-02-01,1.810
2001-03-01,1.850
2001-04-01,1.916
2001-05-01,2.034
2001-06-01,2.040
2001-07-01,1.912
2001-08-01,1.752
2001-09-01,1.856
2001-10-01,1.755
2001-11-01,1.583
2001-12-01,1.392
2002-01-01,1.398
2002-02-01,1.454
2002-03-01,1.604
2002-04-01,1.754
2002-05-01,1.736
2002-06-01,1.751
2002-07-01,1.769
2002-08-01,1.761
2002-09-01,1.749
2002-10-01,1.708
2002-11-01,1.736
2002-12-01,1.706
2003-01-01,1.768
2003-02-01,1.955
2003-03-01,2.228
2003-04-01,2.172
2003-05-01,1.995
2003-06-01,1.931
2003-07-01,1.916
2003-08-01,2.041
2003-09-01,2.182
2003-10-01,1.970
2003-11-01,1.886
2003-12-01,1.833
2004-01-01,1.871
2004-02-01,2.035
2004-03-01,2.241
2004-04-01,2.290
2004-05-01,2.431
2004-06-01,2.439
2004-07-01,2.339
2004-08-01,2.255
2004-09-01,2.253
2004-10-01,2.464
2004-11-01,2.441
2004-12-01,2.257
2005-01-01,2.150
2005-02-01,2.285
2005-03-01,2.461
2005-04-01,2.706
2005-05-01,2.647
2005-06-01,2.543
2005-07-01,2.678
2005-08-01,2.843
2005-09-01,3.177
2005-10-01,3.061
2005-11-01,2.704
2005-12-01,2.467
2006-01-01,2.560
2006-02-01,2.655
2006-03-01,2.737
2006-04-01,3.035
2006-05-01,3.439
2006-06-01,3.369
2006-07-01,3.354
2006-08-01,3.321
2006-09-01,3.064
2006-10-01,2.730
2006-11-01,2.656
2006-12-01,2.734
2007-01-01,2.754
2007-02-01,2.795
2007-03-01,3.148
2007-04-01,3.411
2007-05-01,3.588
2007-06-01,3.454
2007-07-01,3.290
2007-08-01,3.082
2007-09-01,3.065
2007-10-01,3.223
2007-11-01,3.487
2007-12-01,3.454
2008-01-01,3.407
2008-02-01,3.358
2008-03-01,3.707
2008-04-01,3.920
2008-05-01,4.113
2008-06-01,4.603
2008-07-01,4.603
