DATE,VALUE
1994-11-28,1.443
1994-12-05,1.437
1994-12-12,1.434
1994-12-19,1.430
1994-12-26,1.424
1995-01-02,1.431
1995-01-09,1.432
1995-01-16,1.428
1995-01-23,1.423
1995-01-30,1.415
1995-02-06,1.410
1995-02-13,1.404
1995-02-20,1.404
1995-02-27,1.400
1995-03-06,1.398
1995-03-13,1.393
1995-03-20,1.391
1995-03-27,1.386
1995-04-03,1.391
1995-04-10,1.405
1995-04-17,1.405
1995-04-24,1.414
1995-05-01,1.424
1995-05-08,1.435
1995-05-15,1.440
1995-05-22,1.445
1995-05-29,1.448
1995-06-05,1.448
1995-06-12,1.446
1995-06-19,1.444
1995-06-26,1.439
1995-07-03,1.437
1995-07-10,1.434
1995-07-17,1.429
1995-07-24,1.422
1995-07-31,1.414
1995-08-07,1.409
1995-08-14,1.403
1995-08-21,1.399
1995-08-28,1.397
1995-09-04,1.397
1995-09-11,1.390
1995-09-18,1.390
1995-09-25,1.387
1995-10-02,1.395
1995-10-09,1.396
1995-10-16,1.400
1995-10-23,1.399
1995-10-30,1.393
1995-11-06,1.390
1995-11-13,1.388
1995-11-20,1.382
1995-11-27,1.379
1995-12-04,1.376
1995-12-11,1.371
1995-12-18,1.377
1995-12-25,1.379
1996-01-01,1.378
1996-01-08,1.377
1996-01-15,1.384
1996-01-22,1.385
1996-01-29,1.383
1996-02-05,1.380
1996-02-12,1.383
1996-02-19,1.388
1996-02-26,1.395
1996-03-04,1.404
1996-03-11,1.421
1996-03-18,1.436
1996-03-25,1.451
1996-04-01,1.471
1996-04-08,1.501
1996-04-15,1.544
1996-04-22,1.627
1996-04-29,1.672
1996-05-06,1.687
1996-05-13,1.693
1996-05-20,1.691
1996-05-27,1.686
1996-06-03,1.682
1996-06-10,1.671
1996-06-17,1.662
1996-06-24,1.653
1996-07-01,1.642
1996-07-08,1.634
1996-07-15,1.625
1996-07-22,1.614
1996-07-29,1.604
1996-08-05,1.592
1996-08-12,1.579
1996-08-19,1.559
1996-08-26,1.552
1996-09-02,1.530
1996-09-09,1.524
1996-09-16,1.525
1996-09-23,1.521
1996-09-30,1.510
1996-10-07,1.501
1996-10-14,1.490
1996-10-21,1.479
1996-10-28,1.464
1996-11-04,1.451
1996-11-11,1.433
1996-11-18,1.428
1996-11-25,1.425
1996-12-02,1.423
1996-12-09,1.416
1996-12-16,1.420
1996-12-23,1.417
1996-12-30,1.425
1997-01-06,1.436
1997-01-13,1.456
1997-01-20,1.467
1997-01-27,1.474
1997-02-03,1.485
1997-02-10,1.495
1997-02-17,1.498
1997-02-24,1.504
1997-03-03,1.503
1997-03-10,1.516
1997-03-17,1.522
1997-03-24,1.523
1997-03-31,1.539
1997-04-07,1.558
1997-04-14,1.565
1997-04-21,1.561
1997-04-28,1.560
1997-05-05,1.553
1997-05-12,1.548
1997-05-19,1.538
1997-05-26,1.531
1997-06-02,1.524
1997-06-09,1.518
1997-06-16,1.509
1997-06-23,1.503
1997-06-30,1.487
1997-07-07,1.481
1997-07-14,1.475
1997-07-21,1.469
1997-07-28,1.461
1997-08-04,1.474
1997-08-11,1.510
1997-08-18,1.541
1997-08-25,1.567
1997-09-01,1.584
1997-09-08,1.603
1997-09-15,1.617
1997-09-22,1.617
1997-09-29,1.614
1997-10-06,1.614
1997-10-13,1.605
1997-10-20,1.598
1997-10-27,1.591
1997-11-03,1.581
1997-11-10,1.573
1997-11-17,1.563
1997-11-24,1.554
1997-12-01,1.546
1997-12-08,1.532
1997-12-15,1.522
1997-12-22,1.511
1997-12-29,1.505
1998-01-05,1.497
1998-01-12,1.483
1998-01-19,1.460
1998-01-26,1.445
1998-02-02,1.425
1998-02-09,1.399
1998-02-16,1.377
1998-02-23,1.354
1998-03-02,1.320
1998-03-09,1.295
1998-03-16,1.292
1998-03-23,1.284
1998-03-30,1.308
1998-04-06,1.312
1998-04-13,1.326
1998-04-20,1.327
1998-04-27,1.341
1998-05-04,1.391
1998-05-11,1.407
1998-05-18,1.418
1998-05-25,1.415
1998-06-01,1.414
1998-06-08,1.404
1998-06-15,1.403
1998-06-22,1.400
1998-06-29,1.396
1998-07-06,1.390
1998-07-13,1.387
1998-07-20,1.385
1998-07-27,1.384
1998-08-03,1.375
1998-08-10,1.373
1998-08-17,1.371
1998-08-24,1.365
1998-08-31,1.356
1998-09-07,1.351
1998-09-14,1.345
1998-09-21,1.364
1998-09-28,1.363
1998-10-05,1.359
1998-10-12,1.355
1998-10-19,1.351
1998-10-26,1.356
1998-11-02,1.350
1998-11-09,1.348
1998-11-16,1.344
1998-11-23,1.358
1998-11-30,1.355
1998-12-07,1.347
1998-12-14,1.343
1998-12-21,1.339
1998-12-28,1.337
1999-01-04,1.333
1999-01-11,1.329
1999-01-18,1.325
1999-01-25,1.319
1999-02-01,1.313
1999-02-08,1.307
1999-02-15,1.304
1999-02-22,1.307
1999-03-01,1.312
1999-03-08,1.342
1999-03-15,1.372
1999-03-22,1.409
1999-03-29,1.586
1999-04-05,1.707
1999-04-12,1.750
1999-04-19,1.736
1999-04-26,1.718
1999-05-03,1.694
1999-05-10,1.672
1999-05-17,1.648
1999-05-24,1.602
1999-05-31,1.559
1999-06-07,1.536
1999-06-14,1.524
1999-06-21,1.536
1999-06-28,1.534
1999-07-05,1.525
1999-07-12,1.566
1999-07-19,1.622
1999-07-26,1.642
1999-08-02,1.657
1999-08-09,1.684
1999-08-16,1.690
1999-08-23,1.681
1999-08-30,1.669
1999-09-06,1.649
1999-09-13,1.636
1999-09-20,1.615
1999-09-27,1.589
1999-10-04,1.583
1999-10-11,1.590
1999-10-18,1.584
1999-10-25,1.571
1999-11-01,1.556
1999-11-08,1.548
1999-11-15,1.556
1999-11-22,1.569
1999-11-29,1.576
1999-12-06,1.590
1999-12-13,1.583
1999-12-20,1.575
1999-12-27,1.572
2000-01-03,1.569
2000-01-10,1.566
2000-01-17,1.560
2000-01-24,1.561
2000-01-31,1.588
2000-02-07,1.592
2000-02-14,1.603
2000-02-21,1.639
2000-02-28,1.702
2000-03-06,1.794
2000-03-13,1.880
2000-03-20,1.942
2000-03-27,1.948
2000-04-03,1.939
2000-04-10,1.924
2000-04-17,1.904
2000-04-24,1.876
2000-05-01,1.858
2000-05-08,1.842
2000-05-15,1.823
2000-05-22,1.820
2000-05-29,1.816
2000-06-05,1.806
2000-06-12,1.806
2000-06-19,1.805
2000-06-26,1.824
2000-07-03,1.873
2000-07-10,1.891
2000-07-17,1.887
2000-07-24,1.882
2000-07-31,1.865
2000-08-07,1.853
