DATE,VALUE
1992-06-01,1.119
1992-07-01,1.125
1992-08-01,1.112
1992-09-01,1.102
1992-10-01,1.098
1992-11-01,1.098
1992-12-01,1.079
1993-01-01,1.058
1993-02-01,1.044
1993-03-01,1.035
1993-04-01,1.050
1993-05-01,1.071
1993-06-01,1.075
1993-07-01,1.064
1993-08-01,1.048
1993-09-01,1.031
1993-10-01,1.064
1993-11-01,1.048
1993-12-01,1.011
1994-01-01,0.987
1994-02-01,0.995
1994-03-01,0.994
1994-04-01,1.005
1994-05-01,1.021
1994-06-01,1.048
1994-07-01,1.073
1994-08-01,1.116
1994-09-01,1.118
1994-10-01,1.103
1994-11-01,1.115
1994-12-01,1.088
1995-01-01,1.059
1995-02-01,1.048
1995-03-01,1.042
1995-04-01,1.074
1995-05-01,1.159
1995-06-01,1.183
1995-07-01,1.154
1995-08-01,1.122
1995-09-01,1.099
1995-10-01,1.074
1995-11-01,1.038
1995-12-01,1.035
1996-01-01,1.054
1996-02-01,1.054
1996-03-01,1.093
1996-04-01,1.189
1996-05-01,1.233
1996-06-01,1.217
1996-07-01,1.187
1996-08-01,1.168
1996-09-01,1.162
1996-10-01,1.170
1996-11-01,1.206
1996-12-01,1.223
1997-01-01,1.224
1997-02-01,1.217
1997-03-01,1.193
1997-04-01,1.175
1997-05-01,1.164
1997-06-01,1.157
1997-07-01,1.137
1997-08-01,1.181
1997-09-01,1.198
1997-10-01,1.166
1997-11-01,1.138
1997-12-01,1.103
1998-01-01,1.064
1998-02-01,1.025
1998-03-01,0.993
1998-04-01,1.001
1998-05-01,1.013
1998-06-01,1.009
1998-07-01,0.998
1998-08-01,0.976
1998-09-01,0.959
1998-10-01,0.979
1998-11-01,0.964
1998-12-01,0.912
1999-01-01,0.897
1999-02-01,0.880
1999-03-01,0.921
1999-04-01,1.040
1999-05-01,1.057
1999-06-01,1.046
1999-07-01,1.093
1999-08-01,1.155
1999-09-01,1.199
1999-10-01,1.216
1999-11-01,1.221
1999-12-01,1.250
2000-01-01,1.262
2000-02-01,1.345
2000-03-01,1.488
2000-04-01,1.427
2000-05-01,1.431
2000-06-01,1.523
2000-07-01,1.519
2000-08-01,1.425
2000-09-01,1.473
2000-10-01,1.463
2000-11-01,1.450
2000-12-01,1.388
2001-01-01,1.394
2001-02-01,1.414
2001-03-01,1.359
2001-04-01,1.482
2001-05-01,1.570
2001-06-01,1.505
2001-07-01,1.327
2001-08-01,1.307
2001-09-01,1.381
2001-10-01,1.235
2001-11-01,1.092
2001-12-01,1.034
2002-01-01,1.076
2002-02-01,1.071
2002-03-01,1.189
2002-04-01,1.353
2002-05-01,1.338
2002-06-01,1.313
2002-07-01,1.322
2002-08-01,1.331
2002-09-01,1.338
2002-10-01,1.402
2002-11-01,1.380
2002-12-01,1.354
2003-01-01,1.432
2003-02-01,1.575
2003-03-01,1.612
2003-04-01,1.504
2003-05-01,1.406
2003-06-01,1.419
2003-07-01,1.469
2003-08-01,1.562
2003-09-01,1.606
2003-10-01,1.505
2003-11-01,1.467
2003-12-01,1.461
2004-01-01,1.571
2004-02-01,1.631
2004-03-01,1.699
2004-04-01,1.748
2004-05-01,1.929
2004-06-01,1.933
2004-07-01,1.875
2004-08-01,1.835
2004-09-01,1.844
2004-10-01,1.970
2004-11-01,1.963
2004-12-01,1.856
2005-01-01,1.839
2005-02-01,1.898
2005-03-01,2.059
2005-04-01,2.224
2005-05-01,2.138
2005-06-01,2.130
2005-07-01,2.252
2005-08-01,2.453
2005-09-01,2.942
2005-10-01,2.766
2005-11-01,2.275
2005-12-01,2.191
2006-01-01,2.358
2006-02-01,2.295
2006-03-01,2.421
2006-04-01,2.764
2006-05-01,2.857
2006-06-01,2.798
2006-07-01,2.918
2006-08-01,2.925
2006-09-01,2.558
2006-10-01,2.224
2006-11-01,2.211
2006-12-01,2.316
2007-01-01,2.245
2007-02-01,2.235
2007-03-01,2.534
2007-04-01,2.802
2007-05-01,3.026
2007-06-01,2.985
2007-07-01,2.910
2007-08-01,2.743
2007-09-01,2.763
2007-10-01,2.810
2007-11-01,3.085
2007-12-01,3.041
2008-01-01,3.096
2008-02-01,3.065
2008-03-01,3.256
2008-04-01,3.453
2008-05-01,3.761
2008-06-01,4.006
2008-07-01,4.018
2008-08-01,3.751
2008-09-01,3.747
2008-10-01,3.153
2008-11-01,2.196
2008-12-01,1.719
2009-01-01,1.772
2009-02-01,1.929
2009-03-01,1.959
2009-04-01,2.048
2009-05-01,2.241
2009-06-01,2.584
2009-07-01,2.509
2009-08-01,2.577
2009-09-01,2.492
2009-10-01,2.501
2009-11-01,2.651
2009-12-01,2.613
2010-01-01,2.725
2010-02-01,2.654
2010-03-01,2.771
2010-04-01,2.824
2010-05-01,2.813
2010-06-01,2.659
2010-07-01,2.636
2010-08-01,2.651
2010-09-01,2.624
2010-10-01,2.757
2010-11-01,2.832
2010-12-01,2.996
2011-01-01,3.091
2011-02-01,3.192
2011-03-01,3.535
2011-04-01,3.741
2011-05-01,3.851
2011-06-01,3.617
2011-07-01,3.624
2011-08-01,3.628
2011-09-01,3.565
2011-10-01,3.419
2011-11-01,3.372
2011-12-01,3.277
2012-01-01,3.431
2012-02-01,3.645
2012-03-01,3.808
2012-04-01,3.890
2012-05-01,3.623
2012-06-01,3.377
2012-07-01,3.350
2012-08-01,3.653
2012-09-01,3.820
2012-10-01,3.701
2012-11-01,3.432
2012-12-01,3.357
2013-01-01,3.427
2013-02-01,3.691
2013-03-01,3.714
2013-04-01,3.525
2013-05-01,3.453
2013-06-01,3.463
2013-07-01,3.515
2013-08-01,3.523
2013-09-01,3.477
2013-10-01,3.324
2013-11-01,3.284
2013-12-01,3.357
2014-01-01,3.386
2014-02-01,3.384
2014-03-01,3.500
2014-04-01,3.646
2014-05-01,3.667
2014-06-01,3.622
2014-07-01,3.563
2014-08-01,3.418
2014-09-01,3.354
2014-10-01,3.170
2014-11-01,2.908
2014-12-01,2.606
2015-01-01,2.203
2015-02-01,2.208
2015-03-01,2.386
2015-04-01,2.415
2015-05-01,2.597
2015-06-01,2.695
2015-07-01,2.646
2015-08-01,2.442
2015-09-01,2.218
2015-10-01,2.170
2015-11-01,2.125
2015-12-01,2.034
2016-01-01,1.932
2016-02-01,1.769
2016-03-01,1.921
2016-04-01,2.071
2016-05-01,2.231
2016-06-01,2.280
2016-07-01,2.153
2016-08-01,2.098
2016-09-01,2.183
2016-10-01,2.235
2016-11-01,2.178
2016-12-01,2.252
2017-01-01,2.343
2017-02-01,2.272
2017-03-01,2.260
2017-04-01,2.361
2017-05-01,2.314
2017-06-01,2.249
2017-07-01,2.198
2017-08-01,2.287
2017-09-01,2.679
2017-10-01,2.471
2017-11-01,2.479
2017-12-01,2.417
2018-01-01,2.499
2018-02-01,2.548
2018-03-01,2.520
2018-04-01,2.682
2018-05-01,2.807
2018-06-01,2.779
2018-07-01,2.746
2018-08-01,2.755
2018-09-01,2.753
2018-10-01,2.773
2018-11-01,2.564
2018-12-01,2.293
