DATE,VALUE
1992-06-01,1.123
1992-07-01,1.124
1992-08-01,1.113
1992-09-01,1.108
1992-10-01,1.095
1992-11-01,1.091
1992-12-01,1.066
1993-01-01,1.053
1993-02-01,1.040
1993-03-01,1.047
1993-04-01,1.074
1993-05-01,1.092
1993-06-01,1.092
1993-07-01,1.082
1993-08-01,1.066
1993-09-01,1.052
1993-10-01,1.080
1993-11-01,1.053
1993-12-01,1.010
1994-01-01,0.984
1994-02-01,0.986
1994-03-01,0.983
1994-04-01,1.011
1994-05-01,1.025
1994-06-01,1.051
1994-07-01,1.076
1994-08-01,1.124
1994-09-01,1.124
1994-10-01,1.101
1994-11-01,1.104
1994-12-01,1.098
1995-01-01,1.087
1995-02-01,1.075
1995-03-01,1.067
1995-04-01,1.109
1995-05-01,1.186
1995-06-01,1.202
1995-07-01,1.165
1995-08-01,1.124
1995-09-01,1.100
1995-10-01,1.073
1995-11-01,1.048
1995-12-01,1.054
1996-01-01,1.077
1996-02-01,1.073
1996-03-01,1.124
1996-04-01,1.219
1996-05-01,1.252
1996-06-01,1.232
1996-07-01,1.200
1996-08-01,1.183
1996-09-01,1.177
1996-10-01,1.179
1996-11-01,1.213
1996-12-01,1.225
1997-01-01,1.220
1997-02-01,1.221
1997-03-01,1.196
1997-04-01,1.182
1997-05-01,1.167
1997-06-01,1.162
1997-07-01,1.145
1997-08-01,1.178
1997-09-01,1.184
1997-10-01,1.159
1997-11-01,1.132
1997-12-01,1.102
1998-01-01,1.071
1998-02-01,1.032
1998-03-01,1.003
1998-04-01,1.006
1998-05-01,1.007
1998-06-01,1.000
1998-07-01,0.989
1998-08-01,0.966
1998-09-01,0.942
1998-10-01,0.965
1998-11-01,0.940
1998-12-01,0.895
1999-01-01,0.892
1999-02-01,0.883
1999-03-01,0.922
1999-04-01,1.046
1999-05-01,1.060
1999-06-01,1.053
1999-07-01,1.090
1999-08-01,1.151
1999-09-01,1.194
1999-10-01,1.209
1999-11-01,1.210
1999-12-01,1.237
2000-01-01,1.243
2000-02-01,1.331
2000-03-01,1.471
2000-04-01,1.415
2000-05-01,1.421
2000-06-01,1.497
2000-07-01,1.503
2000-08-01,1.416
2000-09-01,1.458
2000-10-01,1.442
2000-11-01,1.424
2000-12-01,1.361
2001-01-01,1.373
2001-02-01,1.396
2001-03-01,1.341
2001-04-01,1.464
2001-05-01,1.563
2001-06-01,1.491
2001-07-01,1.292
2001-08-01,1.295
2001-09-01,1.389
2001-10-01,1.228
2001-11-01,1.086
2001-12-01,1.027
2002-01-01,1.062
2002-02-01,1.057
2002-03-01,1.185
2002-04-01,1.324
2002-05-01,1.316
2002-06-01,1.293
2002-07-01,1.298
2002-08-01,1.307
2002-09-01,1.321
2002-10-01,1.391
2002-11-01,1.366
2002-12-01,1.339
2003-01-01,1.407
2003-02-01,1.550
2003-03-01,1.588
2003-04-01,1.478
2003-05-01,1.379
2003-06-01,1.385
2003-07-01,1.430
2003-08-01,1.516
2003-09-01,1.533
2003-10-01,1.430
2003-11-01,1.404
2003-12-01,1.402
2004-01-01,1.505
2004-02-01,1.557
2004-03-01,1.621
2004-04-01,1.689
2004-05-01,1.865
2004-06-01,1.862
2004-07-01,1.809
2004-08-01,1.793
2004-09-01,1.775
2004-10-01,1.894
2004-11-01,1.879
2004-12-01,1.753
2005-01-01,1.758
2005-02-01,1.828
2005-03-01,2.002
2005-04-01,2.167
2005-05-01,2.063
2005-06-01,2.068
2005-07-01,2.197
2005-08-01,2.399
2005-09-01,2.758
2005-10-01,2.703
2005-11-01,2.217
2005-12-01,2.141
2006-01-01,2.256
2006-02-01,2.203
2006-03-01,2.370
2006-04-01,2.719
2006-05-01,2.777
2006-06-01,2.750
2006-07-01,2.858
2006-08-01,2.853
2006-09-01,2.469
2006-10-01,2.147
2006-11-01,2.120
2006-12-01,2.205
2007-01-01,2.117
2007-02-01,2.134
2007-03-01,2.411
2007-04-01,2.722
2007-05-01,3.000
2007-06-01,2.953
2007-07-01,2.875
2007-08-01,2.707
2007-09-01,2.708
2007-10-01,2.710
2007-11-01,2.971
2007-12-01,2.898
2008-01-01,2.936
2008-02-01,2.941
2008-03-01,3.157
2008-04-01,3.363
2008-05-01,3.663
2008-06-01,3.911
2008-07-01,3.939
2008-08-01,3.659
2008-09-01,3.656
2008-10-01,2.909
2008-11-01,2.049
2008-12-01,1.609
2009-01-01,1.676
2009-02-01,1.827
2009-03-01,1.869
2009-04-01,1.960
2009-05-01,2.163
2009-06-01,2.505
2009-07-01,2.397
2009-08-01,2.491
2009-09-01,2.379
2009-10-01,2.409
2009-11-01,2.529
2009-12-01,2.486
2010-01-01,2.597
2010-02-01,2.533
2010-03-01,2.673
2010-04-01,2.741
2010-05-01,2.741
2010-06-01,2.613
2010-07-01,2.585
2010-08-01,2.598
2010-09-01,2.565
2010-10-01,2.656
2010-11-01,2.690
2010-12-01,2.846
2011-01-01,2.952
2011-02-01,3.073
2011-03-01,3.432
2011-04-01,3.655
2011-05-01,3.747
2011-06-01,3.523
2011-07-01,3.518
2011-08-01,3.524
2011-09-01,3.443
2011-10-01,3.280
2011-11-01,3.193
2011-12-01,3.073
2012-01-01,3.208
2012-02-01,3.450
2012-03-01,3.656
2012-04-01,3.758
2012-05-01,3.514
2012-06-01,3.282
2012-07-01,3.204
2012-08-01,3.506
2012-09-01,3.638
2012-10-01,3.493
2012-11-01,3.220
2012-12-01,3.110
2013-01-01,3.155
2013-02-01,3.464
2013-03-01,3.525
2013-04-01,3.363
2013-05-01,3.344
2013-06-01,3.349
2013-07-01,3.392
2013-08-01,3.385
2013-09-01,3.308
2013-10-01,3.119
2013-11-01,3.042
2013-12-01,3.087
2014-01-01,3.104
2014-02-01,3.142
2014-03-01,3.272
2014-04-01,3.453
2014-05-01,3.444
2014-06-01,3.444
2014-07-01,3.410
2014-08-01,3.271
2014-09-01,3.173
2014-10-01,2.971
2014-11-01,2.698
2014-12-01,2.322
2015-01-01,1.912
2015-02-01,2.013
2015-03-01,2.206
2015-04-01,2.218
