DATE,VALUE
1992-05-11,1.084
1992-05-18,1.095
1992-05-25,1.094
1992-06-01,1.108
1992-06-08,1.120
1992-06-15,1.127
1992-06-22,1.130
1992-06-29,1.129
1992-07-06,1.131
1992-07-13,1.127
1992-07-20,1.120
1992-07-27,1.118
1992-08-03,1.117
1992-08-10,1.116
1992-08-17,1.113
1992-08-24,1.108
1992-08-31,1.109
1992-09-07,1.114
1992-09-14,1.109
1992-09-21,1.105
1992-09-28,1.102
1992-10-05,1.097
1992-10-12,1.097
1992-10-19,1.094
1992-10-26,1.093
1992-11-02,1.096
1992-11-09,1.096
1992-11-16,1.092
1992-11-23,1.086
1992-11-30,1.083
1992-12-07,1.075
1992-12-14,1.068
1992-12-21,1.063
1992-12-28,1.059
1993-01-04,1.057
1993-01-11,1.057
1993-01-18,1.050
1993-01-25,1.046
1993-02-01,1.043
1993-02-08,1.044
1993-02-15,1.038
1993-02-22,1.033
1993-03-01,1.027
1993-03-08,1.043
1993-03-15,1.052
1993-03-22,1.056
1993-03-29,1.055
1993-04-05,1.064
1993-04-12,1.071
1993-04-19,1.081
1993-04-26,1.081
1993-05-03,1.084
1993-05-10,1.088
1993-05-17,1.097
1993-05-24,1.096
1993-05-31,1.096
1993-06-07,1.095
1993-06-14,1.094
1993-06-21,1.090
1993-06-28,1.087
1993-07-05,1.089
1993-07-12,1.083
1993-07-19,1.080
1993-07-26,1.075
1993-08-02,1.070
1993-08-09,1.067
1993-08-16,1.064
1993-08-23,1.067
1993-08-30,1.062
1993-09-06,1.060
1993-09-13,1.054
1993-09-20,1.050
1993-09-27,1.042
1993-10-04,1.086
1993-10-11,1.081
1993-10-18,1.078
1993-10-25,1.073
1993-11-01,1.069
1993-11-08,1.062
1993-11-15,1.052
1993-11-22,1.044
1993-11-29,1.040
1993-12-06,1.030
1993-12-13,1.014
1993-12-20,1.001
1993-12-27,0.993
1994-01-03,0.989
1994-01-10,0.984
1994-01-17,0.982
1994-01-24,0.981
1994-01-31,0.983
1994-02-07,0.986
1994-02-14,0.992
1994-02-21,0.985
1994-02-28,0.981
1994-03-07,0.978
1994-03-14,0.976
1994-03-21,0.981
1994-03-28,0.995
1994-04-04,0.999
1994-04-11,1.010
1994-04-18,1.015
1994-04-25,1.021
1994-05-02,1.024
1994-05-09,1.024
1994-05-16,1.025
1994-05-23,1.023
1994-05-30,1.028
1994-06-06,1.037
1994-06-13,1.049
1994-06-20,1.051
1994-06-27,1.067
1994-07-04,1.072
1994-07-11,1.072
1994-07-18,1.079
1994-07-25,1.081
1994-08-01,1.096
1994-08-08,1.126
1994-08-15,1.132
1994-08-22,1.134
1994-08-29,1.134
1994-09-05,1.131
1994-09-12,1.129
1994-09-19,1.123
1994-09-26,1.114
1994-10-03,1.109
1994-10-10,1.103
1994-10-17,1.096
1994-10-24,1.093
1994-10-31,1.105
1994-11-07,1.111
1994-11-14,1.105
1994-11-21,1.100
1994-11-28,1.098
1994-12-05,1.099
1994-12-12,1.100
1994-12-19,1.103
1994-12-26,1.090
1995-01-02,1.088
1995-01-09,1.090
1995-01-16,1.090
1995-01-23,1.081
1995-01-30,1.085
1995-02-06,1.082
1995-02-13,1.075
1995-02-20,1.068
1995-02-27,1.075
1995-03-06,1.074
1995-03-13,1.070
1995-03-20,1.059
1995-03-27,1.063
1995-04-03,1.077
1995-04-10,1.098
1995-04-17,1.117
1995-04-24,1.143
1995-05-01,1.161
1995-05-08,1.176
1995-05-15,1.186
1995-05-22,1.200
1995-05-29,1.208
1995-06-05,1.208
1995-06-12,1.203
1995-06-19,1.200
1995-06-26,1.196
1995-07-03,1.188
1995-07-10,1.179
1995-07-17,1.165
1995-07-24,1.152
1995-07-31,1.142
1995-08-07,1.130
1995-08-14,1.127
1995-08-21,1.121
1995-08-28,1.116
1995-09-04,1.107
1995-09-11,1.099
1995-09-18,1.097
1995-09-25,1.095
1995-10-02,1.084
1995-10-09,1.083
1995-10-16,1.075
1995-10-23,1.067
1995-10-30,1.058
1995-11-06,1.050
1995-11-13,1.047
1995-11-20,1.046
1995-11-27,1.048
1995-12-04,1.046
1995-12-11,1.052
1995-12-18,1.053
1995-12-25,1.063
1996-01-01,1.063
1996-01-08,1.068
1996-01-15,1.087
1996-01-22,1.083
1996-01-29,1.082
1996-02-05,1.073
1996-02-12,1.071
1996-02-19,1.069
1996-02-26,1.080
1996-03-04,1.105
1996-03-11,1.114
1996-03-18,1.125
1996-03-25,1.151
1996-04-01,1.168
1996-04-08,1.191
1996-04-15,1.234
1996-04-22,1.250
1996-04-29,1.254
1996-05-06,1.255
1996-05-13,1.255
1996-05-20,1.252
1996-05-27,1.244
1996-06-03,1.240
1996-06-10,1.239
1996-06-17,1.233
1996-06-24,1.216
1996-07-01,1.208
1996-07-08,1.203
1996-07-15,1.198
1996-07-22,1.195
1996-07-29,1.195
1996-08-05,1.189
1996-08-12,1.184
1996-08-19,1.182
1996-08-26,1.175
1996-09-02,1.173
1996-09-09,1.175
1996-09-16,1.178
1996-09-23,1.181
1996-09-30,1.180
1996-10-07,1.171
1996-10-14,1.175
1996-10-21,1.187
1996-10-28,1.183
1996-11-04,1.200
1996-11-11,1.207
1996-11-18,1.216
1996-11-25,1.228
1996-12-02,1.224
1996-12-09,1.228
1996-12-16,1.224
1996-12-23,1.226
1996-12-30,1.225
1997-01-06,1.222
1997-01-13,1.220
1997-01-20,1.222
1997-01-27,1.216
1997-02-03,1.217
1997-02-10,1.224
1997-02-17,1.227
1997-02-24,1.215
1997-03-03,1.206
1997-03-10,1.200
1997-03-17,1.192
1997-03-24,1.191
1997-03-31,1.190
1997-04-07,1.191
1997-04-14,1.185
1997-04-21,1.178
1997-04-28,1.173
1997-05-05,1.171
1997-05-12,1.162
1997-05-19,1.159
1997-05-26,1.174
1997-06-02,1.170
1997-06-09,1.170
1997-06-16,1.166
1997-06-23,1.152
1997-06-30,1.151
1997-07-07,1.149
1997-07-14,1.141
1997-07-21,1.143
1997-07-28,1.145
1997-08-04,1.155
1997-08-11,1.182
1997-08-18,1.184
1997-08-25,1.192
1997-09-01,1.191
1997-09-08,1.187
1997-09-15,1.187
1997-09-22,1.182
1997-09-29,1.173
1997-10-06,1.167
1997-10-13,1.163
1997-10-20,1.159
1997-10-27,1.145
1997-11-03,1.139
1997-11-10,1.134
1997-11-17,1.131
1997-11-24,1.123
1997-12-01,1.120
1997-12-08,1.112
1997-12-15,1.103
1997-12-22,1.089
1997-12-29,1.087
1998-01-05,1.082
1998-01-12,1.075
1998-01-19,1.066
1998-01-26,1.062
1998-02-02,1.039
1998-02-09,1.041
1998-02-16,1.029
1998-02-23,1.017
1998-03-02,1.012
1998-03-09,1.011
1998-03-16,0.997
1998-03-23,0.987
1998-03-30,1.006
1998-04-06,1.010
1998-04-13,1.007
1998-04-20,0.999
1998-04-27,1.007
1998-05-04,1.006
1998-05-11,1.014
1998-05-18,1.008
1998-05-25,0.999
1998-06-01,1.003
1998-06-08,1.002
1998-06-15,1.004
1998-06-22,0.999
1998-06-29,0.994
1998-07-06,0.991
1998-07-13,0.987
1998-07-20,0.990
1998-07-27,0.986
1998-08-03,0.977
1998-08-10,0.970
1998-08-17,0.968
1998-08-24,0.965
1998-08-31,0.951
1998-09-07,0.940
1998-09-14,0.939
1998-09-21,0.940
1998-09-28,0.949
1998-10-05,0.959
1998-10-12,0.970
1998-10-19,0.970
1998-10-26,0.962
1998-11-02,0.957
1998-11-09,0.950
1998-11-16,0.943
1998-11-23,0.931
1998-11-30,0.919
1998-12-07,0.908
1998-12-14,0.895
1998-12-21,0.891
1998-12-28,0.887
1999-01-04,0.887
1999-01-11,0.889
1999-01-18,0.899
1999-01-25,0.892
1999-02-01,0.884
1999-02-08,0.886
1999-02-15,0.884
1999-02-22,0.877
1999-03-01,0.872
1999-03-08,0.874
1999-03-15,0.914
1999-03-22,0.951
1999-03-29,1.001
1999-04-05,1.034
1999-04-12,1.045
1999-04-19,1.051
1999-04-26,1.055
1999-05-03,1.056
1999-05-10,1.060
1999-05-17,1.061
1999-05-24,1.060
1999-05-31,1.061
