DATE,VALUE
1992-06-01,1.135
1992-07-01,1.102
1992-08-01,1.083
1992-09-01,1.098
1992-10-01,1.090
1992-11-01,1.079
1992-12-01,1.028
1993-01-01,1.016
1993-02-01,1.018
1993-03-01,1.026
1993-04-01,1.071
1993-05-01,1.095
1993-06-01,1.083
1993-07-01,1.050
1993-08-01,1.032
1993-09-01,1.019
1993-10-01,1.070
1993-11-01,1.038
1993-12-01,0.965
1994-01-01,0.966
1994-02-01,0.987
1994-03-01,0.986
1994-04-01,1.016
1994-05-01,1.039
1994-06-01,1.075
1994-07-01,1.106
1994-08-01,1.166
1994-09-01,1.135
1994-10-01,1.084
1994-11-01,1.076
1994-12-01,1.014
1995-01-01,1.014
1995-02-01,1.014
1995-03-01,1.027
1995-04-01,1.091
1995-05-01,1.154
1995-06-01,1.158
1995-07-01,1.099
1995-08-01,1.074
1995-09-01,1.069
1995-10-01,1.035
1995-11-01,1.017
1995-12-01,1.041
1996-01-01,1.066
1996-02-01,1.066
1996-03-01,1.127
1996-04-01,1.206
1996-05-01,1.224
1996-06-01,1.202
1996-07-01,1.179
1996-08-01,1.164
1996-09-01,1.178
1996-10-01,1.187
1996-11-01,1.236
1996-12-01,1.228
1997-01-01,1.221
1997-02-01,1.199
1997-03-01,1.158
1997-04-01,1.151
1997-05-01,1.176
1997-06-01,1.185
1997-07-01,1.159
1997-08-01,1.219
1997-09-01,1.192
1997-10-01,1.141
1997-11-01,1.119
1997-12-01,1.070
1998-01-01,1.018
1998-02-01,1.008
1998-03-01,1.002
1998-04-01,1.018
1998-05-01,1.059
1998-06-01,1.058
1998-07-01,1.056
1998-08-01,1.012
1998-09-01,0.996
1998-10-01,1.004
1998-11-01,0.963
1998-12-01,0.893
1999-01-01,0.900
1999-02-01,0.880
1999-03-01,0.963
1999-04-01,1.085
1999-05-01,1.085
1999-06-01,1.085
1999-07-01,1.128
1999-08-01,1.183
1999-09-01,1.236
1999-10-01,1.202
1999-11-01,1.232
1999-12-01,1.250
2000-01-01,1.287
2000-02-01,1.402
2000-03-01,1.489
2000-04-01,1.390
2000-05-01,1.457
2000-06-01,1.747
2000-07-01,1.510
2000-08-01,1.395
2000-09-01,1.537
2000-10-01,1.506
2000-11-01,1.498
2000-12-01,1.401
2001-01-01,1.448
2001-02-01,1.433
2001-03-01,1.372
2001-04-01,1.559
2001-05-01,1.768
2001-06-01,1.573
2001-07-01,1.301
2001-08-01,1.460
2001-09-01,1.615
2001-10-01,1.232
2001-11-01,1.118
2001-12-01,1.079
2002-01-01,1.096
2002-02-01,1.094
2002-03-01,1.251
2002-04-01,1.369
2002-05-01,1.360
2002-06-01,1.353
2002-07-01,1.394
2002-08-01,1.367
2002-09-01,1.375
2002-10-01,1.465
2002-11-01,1.385
2002-12-01,1.338
2003-01-01,1.431
2003-02-01,1.596
2003-03-01,1.622
2003-04-01,1.474
2003-05-01,1.431
2003-06-01,1.464
2003-07-01,1.473
2003-08-01,1.601
2003-09-01,1.602
2003-10-01,1.516
2003-11-01,1.469
2003-12-01,1.426
2004-01-01,1.552
2004-02-01,1.609
2004-03-01,1.674
2004-04-01,1.745
2004-05-01,1.945
2004-06-01,1.863
2004-07-01,1.845
2004-08-01,1.838
2004-09-01,1.831
2004-10-01,1.940
2004-11-01,1.901
2004-12-01,1.743
2005-01-01,1.806
2005-02-01,1.885
2005-03-01,2.075
2005-04-01,2.180
2005-05-01,2.055
2005-06-01,2.106
2005-07-01,2.232
2005-08-01,2.444
2005-09-01,2.824
2005-10-01,2.592
2005-11-01,2.126
2005-12-01,2.171
2006-01-01,2.287
2006-02-01,2.222
2006-03-01,2.431
2006-04-01,2.704
2006-05-01,2.786
2006-06-01,2.792
2006-07-01,2.945
2006-08-01,2.891
2006-09-01,2.366
2006-10-01,2.149
2006-11-01,2.201
2006-12-01,2.251
2007-01-01,2.116
2007-02-01,2.250
2007-03-01,2.488
2007-04-01,2.761
2007-05-01,3.205
2007-06-01,3.037
2007-07-01,2.987
2007-08-01,2.813
2007-09-01,2.905
2007-10-01,2.781
2007-11-01,3.075
2007-12-01,2.952
2008-01-01,2.992
2008-02-01,3.004
2008-03-01,3.184
2008-04-01,3.403
2008-05-01,3.747
2008-06-01,3.974
2008-07-01,3.962
2008-08-01,3.702
2008-09-01,3.697
2008-10-01,2.876
2008-11-01,1.973
2008-12-01,1.625
2009-01-01,1.804
2009-02-01,1.856
2009-03-01,1.920
2009-04-01,1.986
2009-05-01,2.248
2009-06-01,2.627
2009-07-01,2.433
2009-08-01,2.530
2009-09-01,2.427
2009-10-01,2.488
2009-11-01,2.586
2009-12-01,2.532
2010-01-01,2.657
2010-02-01,2.552
2010-03-01,2.716
2010-04-01,2.803
2010-05-01,2.754
2010-06-01,2.672
2010-07-01,2.688
2010-08-01,2.667
2010-09-01,2.704
2010-10-01,2.776
2010-11-01,2.818
2010-12-01,2.949
2011-01-01,3.073
2011-02-01,3.169
2011-03-01,3.506
2011-04-01,3.784
2011-05-01,3.888
2011-06-01,3.644
2011-07-01,3.640
2011-08-01,3.628
2011-09-01,3.591
2011-10-01,3.358
2011-11-01,3.284
2011-12-01,3.197
2012-01-01,3.312
2012-02-01,3.467
2012-03-01,3.787
2012-04-01,3.790
2012-05-01,3.613
2012-06-01,3.491
2012-07-01,3.417
2012-08-01,3.746
2012-09-01,3.836
2012-10-01,3.616
2012-11-01,3.338
2012-12-01,3.218
2013-01-01,3.189
2013-02-01,3.629
2013-03-01,3.638
2013-04-01,3.501
2013-05-01,3.699
2013-06-01,3.713
2013-07-01,3.501
2013-08-01,3.503
2013-09-01,3.489
2013-10-01,3.259
2013-11-01,3.131
2013-12-01,3.136
2014-01-01,3.206
2014-02-01,3.314
2014-03-01,3.527
2014-04-01,3.593
2014-05-01,3.586
2014-06-01,3.666
2014-07-01,3.495
2014-08-01,3.394
2014-09-01,3.335
2014-10-01,3.063
2014-11-01,2.857
2014-12-01,2.394
2015-01-01,1.929
2015-02-01,2.161
2015-03-01,2.330
2015-04-01,2.330
2015-05-01,2.531
2015-06-01,2.691
2015-07-01,2.651
2015-08-01,2.550
2015-09-01,2.276
2015-10-01,2.303
2015-11-01,2.069
2015-12-01,1.863
2016-01-01,1.743
2016-02-01,1.594
2016-03-01,1.896
2016-04-01,2.008
2016-05-01,2.198
2016-06-01,2.361
2016-07-01,2.132
2016-08-01,2.129
2016-09-01,2.141
2016-10-01,2.133
2016-11-01,2.021
2016-12-01,2.169
2017-01-01,2.259
2017-02-01,2.186
2017-03-01,2.212
2017-04-01,2.316
2017-05-01,2.262
2017-06-01,2.219
2017-07-01,2.191
2017-08-01,2.273
2017-09-01,2.468
2017-10-01,2.376
2017-11-01,2.475
2017-12-01,2.350
2018-01-01,2.459
2018-02-01,2.442
2018-03-01,2.460
2018-04-01,2.600
2018-05-01,2.766
2018-06-01,2.755
2018-07-01,2.742
2018-08-01,2.733
2018-09-01,2.737
2018-10-01,2.733
2018-11-01,2.448
2018-12-01,2.113
