DATE,VALUE
1992-05-11,1.189
1992-05-18,1.208
1992-05-25,1.218
1992-06-01,1.228
1992-06-08,1.246
1992-06-15,1.252
1992-06-22,1.263
1992-06-29,1.264
1992-07-06,1.267
1992-07-13,1.265
1992-07-20,1.265
1992-07-27,1.265
1992-08-03,1.263
1992-08-10,1.261
1992-08-17,1.254
1992-08-24,1.247
1992-08-31,1.245
1992-09-07,1.239
1992-09-14,1.240
1992-09-21,1.236
1992-09-28,1.237
1992-10-05,1.224
1992-10-12,1.229
1992-10-19,1.233
1992-10-26,1.235
1992-11-02,1.245
1992-11-09,1.248
1992-11-16,1.246
1992-11-23,1.242
1992-11-30,1.237
1992-12-07,1.230
1992-12-14,1.222
1992-12-21,1.218
1992-12-28,1.214
1993-01-04,1.210
1993-01-11,1.209
1993-01-18,1.211
1993-01-25,1.209
1993-02-01,1.204
1993-02-08,1.197
1993-02-15,1.189
1993-02-22,1.189
1993-03-01,1.178
1993-03-08,1.165
1993-03-15,1.162
1993-03-22,1.157
1993-03-29,1.152
1993-04-05,1.152
1993-04-12,1.154
1993-04-19,1.155
1993-04-26,1.157
1993-05-03,1.161
1993-05-10,1.171
1993-05-17,1.177
1993-05-24,1.178
1993-05-31,1.186
1993-06-07,1.188
1993-06-14,1.188
1993-06-21,1.186
1993-06-28,1.182
1993-07-05,1.181
1993-07-12,1.177
1993-07-19,1.172
1993-07-26,1.168
1993-08-02,1.158
1993-08-09,1.159
1993-08-16,1.154
1993-08-23,1.155
1993-08-30,1.155
1993-09-06,1.154
1993-09-13,1.155
1993-09-20,1.165
1993-09-27,1.171
1993-10-04,1.220
1993-10-11,1.215
1993-10-18,1.209
1993-10-25,1.202
1993-11-01,1.198
1993-11-08,1.186
1993-11-15,1.176
1993-11-22,1.167
1993-11-29,1.159
1993-12-06,1.147
1993-12-13,1.134
1993-12-20,1.122
1993-12-27,1.120
1994-01-03,1.117
1994-01-10,1.111
1994-01-17,1.106
1994-01-24,1.104
1994-01-31,1.104
1994-02-07,1.105
1994-02-14,1.106
1994-02-21,1.110
1994-02-28,1.112
1994-03-07,1.108
1994-03-14,1.109
1994-03-21,1.115
1994-03-28,1.114
1994-04-04,1.115
1994-04-11,1.117
1994-04-18,1.128
1994-04-25,1.133
1994-05-02,1.140
1994-05-09,1.142
1994-05-16,1.146
1994-05-23,1.150
1994-05-30,1.152
1994-06-06,1.163
1994-06-13,1.166
1994-06-20,1.170
1994-06-27,1.179
1994-07-04,1.184
1994-07-11,1.195
1994-07-18,1.199
1994-07-25,1.205
1994-08-01,1.215
1994-08-08,1.223
1994-08-15,1.225
1994-08-22,1.227
1994-08-29,1.227
1994-09-05,1.227
1994-09-12,1.226
1994-09-19,1.225
1994-09-26,1.222
1994-10-03,1.231
1994-10-10,1.231
1994-10-17,1.229
1994-10-24,1.227
1994-10-31,1.228
1994-11-07,1.228
1994-11-14,1.233
1994-11-21,1.229
1994-11-28,.
1994-12-05,.
1994-12-12,.
1994-12-19,.
1994-12-26,.
1995-01-02,1.234
1995-01-09,1.235
1995-01-16,1.229
1995-01-23,1.225
1995-01-30,1.222
1995-02-06,1.216
1995-02-13,1.212
1995-02-20,1.209
1995-02-27,1.209
1995-03-06,1.207
1995-03-13,1.207
1995-03-20,1.207
1995-03-27,1.200
1995-04-03,1.206
1995-04-10,1.217
1995-04-17,1.225
1995-04-24,1.237
1995-05-01,1.248
1995-05-08,1.258
1995-05-15,1.265
1995-05-22,1.272
1995-05-29,1.277
1995-06-05,1.279
1995-06-12,1.277
1995-06-19,1.278
1995-06-26,1.278
1995-07-03,1.279
1995-07-10,1.283
1995-07-17,1.281
1995-07-24,1.279
1995-07-31,1.277
1995-08-07,1.277
1995-08-14,1.275
1995-08-21,1.279
1995-08-28,1.272
1995-09-04,1.275
1995-09-11,1.273
1995-09-18,1.272
1995-09-25,1.269
1995-10-02,1.270
1995-10-09,1.265
1995-10-16,1.262
1995-10-23,1.264
1995-10-30,1.258
1995-11-06,1.260
1995-11-13,1.256
1995-11-20,1.254
1995-11-27,1.252
1995-12-04,1.250
1995-12-11,1.244
1995-12-18,1.244
1995-12-25,1.245
1996-01-01,1.247
1996-01-08,1.241
1996-01-15,1.239
1996-01-22,1.236
1996-01-29,1.232
1996-02-05,1.231
1996-02-12,1.225
1996-02-19,1.223
1996-02-26,1.224
1996-03-04,1.230
1996-03-11,1.247
1996-03-18,1.260
1996-03-25,1.276
1996-04-01,1.296
1996-04-08,1.321
1996-04-15,1.350
1996-04-22,1.403
1996-04-29,1.441
1996-05-06,1.467
1996-05-13,1.480
1996-05-20,1.478
1996-05-27,1.484
1996-06-03,1.473
1996-06-10,1.474
1996-06-17,1.461
1996-06-24,1.456
1996-07-01,1.449
1996-07-08,1.445
1996-07-15,1.439
1996-07-22,1.437
1996-07-29,1.435
1996-08-05,1.432
1996-08-12,1.428
1996-08-19,1.417
1996-08-26,1.420
1996-09-02,1.407
1996-09-09,1.399
1996-09-16,1.395
1996-09-23,1.395
1996-09-30,1.392
1996-10-07,1.390
1996-10-14,1.384
1996-10-21,1.380
1996-10-28,1.374
1996-11-04,1.349
1996-11-11,1.343
1996-11-18,1.328
1996-11-25,1.312
1996-12-02,1.305
1996-12-09,1.290
1996-12-16,1.280
1996-12-23,1.276
1996-12-30,1.279
1997-01-06,1.282
1997-01-13,1.290
1997-01-20,1.303
1997-01-27,1.310
1997-02-03,1.318
1997-02-10,1.324
1997-02-17,1.329
1997-02-24,1.333
1997-03-03,1.332
1997-03-10,1.334
1997-03-17,1.334
1997-03-24,1.334
1997-03-31,1.343
1997-04-07,1.348
1997-04-14,1.350
1997-04-21,1.351
1997-04-28,1.349
1997-05-05,1.344
1997-05-12,1.342
1997-05-19,1.335
1997-05-26,1.329
1997-06-02,1.324
1997-06-09,1.314
1997-06-16,1.307
1997-06-23,1.298
1997-06-30,1.295
1997-07-07,1.288
1997-07-14,1.283
1997-07-21,1.280
1997-07-28,1.276
1997-08-04,1.280
1997-08-11,1.301
1997-08-18,1.322
1997-08-25,1.347
1997-09-01,1.368
1997-09-08,1.383
1997-09-15,1.390
1997-09-22,1.390
1997-09-29,1.389
1997-10-06,1.388
1997-10-13,1.385
1997-10-20,1.383
1997-10-27,1.377
1997-11-03,1.372
1997-11-10,1.364
1997-11-17,1.356
1997-11-24,1.345
1997-12-01,1.336
1997-12-08,1.323
1997-12-15,1.311
1997-12-22,1.300
1997-12-29,1.295
1998-01-05,1.289
1998-01-12,1.277
1998-01-19,1.260
1998-01-26,1.247
1998-02-02,1.228
1998-02-09,1.211
1998-02-16,1.194
1998-02-23,1.174
1998-03-02,1.150
1998-03-09,1.134
1998-03-16,1.117
1998-03-23,1.104
1998-03-30,1.112
1998-04-06,1.119
1998-04-13,1.125
1998-04-20,1.128
1998-04-27,1.133
1998-05-04,1.155
1998-05-11,1.178
1998-05-18,1.162
1998-05-25,1.165
1998-06-01,1.164
1998-06-08,1.161
1998-06-15,1.160
1998-06-22,1.160
1998-06-29,1.157
1998-07-06,1.154
1998-07-13,1.154
1998-07-20,1.152
1998-07-27,1.148
1998-08-03,1.141
1998-08-10,1.141
1998-08-17,1.141
1998-08-24,1.140
1998-08-31,1.136
1998-09-07,1.131
1998-09-14,1.127
1998-09-21,1.128
1998-09-28,1.129
1998-10-05,1.127
1998-10-12,1.124
1998-10-19,1.121
1998-10-26,1.119
1998-11-02,1.116
1998-11-09,1.114
1998-11-16,1.114
1998-11-23,1.109
1998-11-30,1.102
1998-12-07,1.100
1998-12-14,1.091
1998-12-21,1.082
1998-12-28,1.078
1999-01-04,1.078
1999-01-11,1.070
1999-01-18,1.062
1999-01-25,1.059
1999-02-01,1.049
1999-02-08,1.040
1999-02-15,1.033
1999-02-22,1.025
1999-03-01,1.027
1999-03-08,1.061
1999-03-15,1.098
1999-03-22,1.132
1999-03-29,1.254
1999-04-05,1.355
1999-04-12,1.407
1999-04-19,1.402
1999-04-26,1.388
1999-05-03,1.374
1999-05-10,1.361
1999-05-17,1.348
1999-05-24,1.327
1999-05-31,1.307
1999-06-07,1.293
1999-06-14,1.299
1999-06-21,1.324
1999-06-28,1.331
1999-07-05,1.331
1999-07-12,1.343
1999-07-19,1.373
1999-07-26,1.395
1999-08-02,1.403
1999-08-09,1.418
1999-08-16,1.422
1999-08-23,1.422
1999-08-30,1.417
1999-09-06,1.409
1999-09-13,1.401
1999-09-20,1.391
1999-09-27,1.379
1999-10-04,1.370
1999-10-11,1.370
1999-10-18,1.365
1999-10-25,1.358
1999-11-01,1.351
1999-11-08,1.343
1999-11-15,1.342
1999-11-22,1.347
1999-11-29,1.353
1999-12-06,1.362
1999-12-13,1.359
1999-12-20,1.354
1999-12-27,1.352
2000-01-03,1.353
2000-01-10,1.351
2000-01-17,1.350
2000-01-24,1.356
2000-01-31,1.374
2000-02-07,1.380
2000-02-14,1.385
2000-02-21,1.416
2000-02-28,1.469
2000-03-06,1.530
2000-03-13,1.592
2000-03-20,1.659
2000-03-27,1.671
2000-04-03,1.669
2000-04-10,1.656
2000-04-17,1.637
2000-04-24,1.621
2000-05-01,1.602
2000-05-08,1.591
2000-05-15,1.577
2000-05-22,1.570
2000-05-29,1.562
2000-06-05,1.557
2000-06-12,1.556
2000-06-19,1.556
2000-06-26,1.576
2000-07-03,1.612
2000-07-10,1.633
2000-07-17,1.634
2000-07-24,1.631
2000-07-31,1.624
2000-08-07,1.618
2000-08-14,1.621
2000-08-21,1.628
2000-08-28,1.649
2000-09-04,1.687
2000-09-11,1.708
2000-09-18,1.711
2000-09-25,1.713
2000-10-02,1.712
2000-10-09,1.712
2000-10-16,1.708
2000-10-23,1.702
2000-10-30,1.701
2000-11-06,1.691
2000-11-13,1.681
2000-11-20,1.667
2000-11-27,1.658
2000-12-04,1.647
2000-12-11,1.629
2000-12-18,1.604
2000-12-25,1.585
2001-01-01,1.562
2001-01-08,1.549
2001-01-15,1.528
2001-01-22,1.511
2001-01-29,1.502
2001-02-05,1.505
2001-02-12,1.525
2001-02-19,1.539
2001-02-26,1.546
2001-03-05,1.552
2001-03-12,1.551
2001-03-19,1.549
2001-03-26,1.545
2001-04-02,1.542
2001-04-09,1.547
2001-04-16,1.552
2001-04-23,1.555
2001-04-30,1.569
2001-05-07,1.581
2001-05-14,1.591
2001-05-21,1.601
2001-05-28,1.621
2001-06-04,1.625
2001-06-11,1.624
2001-06-18,1.615
2001-06-25,1.603
2001-07-02,1.587
2001-07-09,1.567
2001-07-16,1.543
2001-07-23,1.509
2001-07-30,1.487
2001-08-06,1.468
2001-08-13,1.469
2001-08-20,1.472
2001-08-27,1.504
2001-09-03,1.594
2001-09-10,1.631
2001-09-17,1.660
2001-09-24,1.647
2001-10-01,1.608
2001-10-08,1.579
2001-10-15,1.542
2001-10-22,1.513
2001-10-29,1.486
2001-11-05,1.457
2001-11-12,1.419
2001-11-19,1.373
2001-11-26,1.330
2001-12-03,1.282
2001-12-10,1.241
2001-12-17,1.207
2001-12-24,1.187
2001-12-31,1.190
2002-01-07,1.192
2002-01-14,1.191
2002-01-21,1.188
2002-01-28,1.191
2002-02-04,1.191
2002-02-11,1.189
2002-02-18,1.182
2002-02-25,1.180
2002-03-04,1.191
2002-03-11,1.238
2002-03-18,1.289
2002-03-25,1.346
2002-04-01,1.385
2002-04-08,1.413
2002-04-15,1.423
2002-04-22,1.427
2002-04-29,1.425
2002-05-06,1.426
2002-05-13,1.420
2002-05-20,1.420
2002-05-27,1.425
2002-06-03,1.429
2002-06-10,1.427
2002-06-17,1.451
2002-06-24,1.465
2002-07-01,1.463
2002-07-08,1.462
2002-07-15,1.458
2002-07-22,1.459
2002-07-29,1.456
2002-08-05,1.456
2002-08-12,1.455
2002-08-19,1.448
2002-08-26,1.446
2002-09-02,1.441
2002-09-09,1.436
2002-09-16,1.433
2002-09-23,1.425
2002-09-30,1.420
2002-10-07,1.409
2002-10-14,1.398
2002-10-21,1.394
2002-10-28,1.387
2002-11-04,1.396
2002-11-11,1.406
2002-11-18,1.407
2002-11-25,1.394
2002-12-02,1.388
2002-12-09,1.379
2002-12-16,1.363
2002-12-23,1.360
2002-12-30,1.369
2003-01-06,1.376
2003-01-13,1.397
2003-01-20,1.410
2003-01-27,1.440
2003-02-03,1.492
2003-02-10,1.561
2003-02-17,1.665
2003-02-24,1.726
2003-03-03,1.801
2003-03-10,1.844
2003-03-17,1.864
2003-03-24,1.858
2003-03-31,1.835
2003-04-07,1.813
2003-04-14,1.780
2003-04-21,1.745
2003-04-28,1.716
2003-05-05,1.681
2003-05-12,1.644
