DATE,VALUE
1992-05-11,1.071
1992-05-18,1.085
1992-05-25,1.092
1992-06-01,1.100
1992-06-08,1.114
1992-06-15,1.122
1992-06-22,1.128
1992-06-29,1.129
1992-07-06,1.130
1992-07-13,1.126
1992-07-20,1.123
1992-07-27,1.121
1992-08-03,1.118
1992-08-10,1.115
1992-08-17,1.111
1992-08-24,1.109
1992-08-31,1.106
1992-09-07,1.104
1992-09-14,1.103
1992-09-21,1.102
1992-09-28,1.098
1992-10-05,1.098
1992-10-12,1.097
1992-10-19,1.098
1992-10-26,1.098
1992-11-02,1.100
1992-11-09,1.103
1992-11-16,1.099
1992-11-23,1.097
1992-11-30,1.093
1992-12-07,1.088
1992-12-14,1.082
1992-12-21,1.075
1992-12-28,1.072
1993-01-04,1.067
1993-01-11,1.061
1993-01-18,1.054
1993-01-25,1.049
1993-02-01,1.048
1993-02-08,1.047
1993-02-15,1.042
1993-02-22,1.037
1993-03-01,1.034
1993-03-08,1.031
1993-03-15,1.036
1993-03-22,1.036
1993-03-29,1.036
1993-04-05,1.040
1993-04-12,1.047
1993-04-19,1.054
1993-04-26,1.059
1993-05-03,1.062
1993-05-10,1.069
1993-05-17,1.073
1993-05-24,1.075
1993-05-31,1.078
1993-06-07,1.078
1993-06-14,1.076
1993-06-21,1.075
1993-06-28,1.072
1993-07-05,1.068
1993-07-12,1.066
1993-07-19,1.062
1993-07-26,1.059
1993-08-02,1.054
1993-08-09,1.051
1993-08-16,1.047
1993-08-23,1.045
1993-08-30,1.041
1993-09-06,1.037
1993-09-13,1.034
1993-09-20,1.028
1993-09-27,1.024
1993-10-04,1.068
1993-10-11,1.064
1993-10-18,1.063
1993-10-25,1.061
1993-11-01,1.057
1993-11-08,1.053
1993-11-15,1.048
1993-11-22,1.043
1993-11-29,1.038
1993-12-06,1.028
1993-12-13,1.015
1993-12-20,1.004
1993-12-27,0.997
1994-01-03,0.992
1994-01-10,0.989
1994-01-17,0.987
1994-01-24,0.985
1994-01-31,0.984
1994-02-07,0.989
1994-02-14,0.996
1994-02-21,0.997
1994-02-28,0.996
1994-03-07,0.994
1994-03-14,0.993
1994-03-21,0.992
1994-03-28,0.996
1994-04-04,0.996
1994-04-11,1.004
1994-04-18,1.008
1994-04-25,1.013
1994-05-02,1.017
1994-05-09,1.018
1994-05-16,1.021
1994-05-23,1.023
1994-05-30,1.028
1994-06-06,1.036
1994-06-13,1.044
1994-06-20,1.050
1994-06-27,1.062
1994-07-04,1.068
1994-07-11,1.070
1994-07-18,1.074
1994-07-25,1.079
1994-08-01,1.089
1994-08-08,1.113
1994-08-15,1.124
1994-08-22,1.127
1994-08-29,1.126
1994-09-05,1.122
1994-09-12,1.121
1994-09-19,1.116
1994-09-26,1.111
1994-10-03,1.105
1994-10-10,1.100
1994-10-17,1.098
1994-10-24,1.098
1994-10-31,1.112
1994-11-07,1.122
1994-11-14,1.121
1994-11-21,1.116
1994-11-28,1.112
1994-12-05,1.115
1994-12-12,1.110
1994-12-19,1.104
1994-12-26,1.099
1995-01-02,1.092
1995-01-09,1.090
1995-01-16,1.086
1995-01-23,1.085
1995-01-30,1.084
1995-02-06,1.081
1995-02-13,1.076
1995-02-20,1.073
1995-02-27,1.073
1995-03-06,1.073
1995-03-13,1.069
1995-03-20,1.065
1995-03-27,1.063
1995-04-03,1.067
1995-04-10,1.079
1995-04-17,1.096
1995-04-24,1.124
1995-05-01,1.138
1995-05-08,1.161
1995-05-15,1.172
1995-05-22,1.190
1995-05-29,1.200
1995-06-05,1.202
1995-06-12,1.201
1995-06-19,1.199
1995-06-26,1.195
1995-07-03,1.188
1995-07-10,1.183
1995-07-17,1.176
1995-07-24,1.168
1995-07-31,1.157
1995-08-07,1.151
1995-08-14,1.144
1995-08-21,1.141
1995-08-28,1.136
1995-09-04,1.127
1995-09-11,1.124
1995-09-18,1.119
1995-09-25,1.117
1995-10-02,1.111
1995-10-09,1.106
1995-10-16,1.098
1995-10-23,1.088
1995-10-30,1.079
1995-11-06,1.068
1995-11-13,1.063
1995-11-20,1.056
1995-11-27,1.055
1995-12-04,1.055
1995-12-11,1.057
1995-12-18,1.061
1995-12-25,1.066
1996-01-01,1.071
1996-01-08,1.074
1996-01-15,1.085
1996-01-22,1.084
1996-01-29,1.081
1996-02-05,1.078
1996-02-12,1.074
1996-02-19,1.074
1996-02-26,1.084
1996-03-04,1.097
1996-03-11,1.102
1996-03-18,1.108
1996-03-25,1.131
1996-04-01,1.151
1996-04-08,1.172
1996-04-15,1.216
1996-04-22,1.232
1996-04-29,1.243
1996-05-06,1.253
1996-05-13,1.256
1996-05-20,1.256
1996-05-27,1.254
1996-06-03,1.251
1996-06-10,1.244
1996-06-17,1.235
1996-06-24,1.228
1996-07-01,1.218
1996-07-08,1.213
1996-07-15,1.209
1996-07-22,1.205
1996-07-29,1.200
1996-08-05,1.194
1996-08-12,1.188
1996-08-19,1.184
1996-08-26,1.182
1996-09-02,1.178
1996-09-09,1.181
1996-09-16,1.182
1996-09-23,1.181
1996-09-30,1.179
1996-10-07,1.177
1996-10-14,1.184
1996-10-21,1.191
1996-10-28,1.198
1996-11-04,1.211
1996-11-11,1.214
1996-11-18,1.229
1996-11-25,1.237
1996-12-02,1.241
1996-12-09,1.247
1996-12-16,1.248
1996-12-23,1.247
1996-12-30,1.246
1997-01-06,1.245
1997-01-13,1.249
1997-01-20,1.249
1997-01-27,1.246
1997-02-03,1.244
1997-02-10,1.242
1997-02-17,1.237
1997-02-24,1.230
1997-03-03,1.223
1997-03-10,1.217
1997-03-17,1.209
1997-03-24,1.205
1997-03-31,1.202
1997-04-07,1.198
1997-04-14,1.194
1997-04-21,1.187
1997-04-28,1.181
1997-05-05,1.180
1997-05-12,1.175
1997-05-19,1.179
1997-05-26,1.181
1997-06-02,1.184
1997-06-09,1.181
1997-06-16,1.177
1997-06-23,1.171
1997-06-30,1.164
1997-07-07,1.159
1997-07-14,1.156
1997-07-21,1.154
1997-07-28,1.154
1997-08-04,1.173
1997-08-11,1.202
1997-08-18,1.210
1997-08-25,1.228
1997-09-01,1.232
1997-09-08,1.234
1997-09-15,1.229
1997-09-22,1.222
1997-09-29,1.211
1997-10-06,1.202
1997-10-13,1.197
1997-10-20,1.189
1997-10-27,1.181
1997-11-03,1.173
1997-11-10,1.166
1997-11-17,1.159
1997-11-24,1.151
1997-12-01,1.144
1997-12-08,1.135
1997-12-15,1.126
1997-12-22,1.117
1997-12-29,1.109
1998-01-05,1.104
1998-01-12,1.094
1998-01-19,1.083
1998-01-26,1.070
1998-02-02,1.060
1998-02-09,1.053
1998-02-16,1.041
1998-02-23,1.034
1998-03-02,1.026
1998-03-09,1.016
1998-03-16,1.002
1998-03-23,0.992
1998-03-30,1.012
1998-04-06,1.016
1998-04-13,1.015
1998-04-20,1.012
1998-04-27,1.017
1998-05-04,1.018
1998-05-11,1.027
1998-05-18,1.028
1998-05-25,1.030
1998-06-01,1.029
1998-06-08,1.030
1998-06-15,1.025
1998-06-22,1.022
1998-06-29,1.021
1998-07-06,1.016
1998-07-13,1.019
1998-07-20,1.016
1998-07-27,1.010
1998-08-03,1.004
1998-08-10,1.000
1998-08-17,0.994
1998-08-24,0.989
1998-08-31,0.985
1998-09-07,0.980
1998-09-14,0.976
1998-09-21,0.974
1998-09-28,0.981
1998-10-05,0.987
1998-10-12,0.998
1998-10-19,0.997
1998-10-26,0.994
1998-11-02,0.992
1998-11-09,0.990
1998-11-16,0.983
1998-11-23,0.975
1998-11-30,0.965
1998-12-07,0.950
1998-12-14,0.939
1998-12-21,0.934
1998-12-28,0.927
1999-01-04,0.926
1999-01-11,0.923
1999-01-18,0.923
1999-01-25,0.918
1999-02-01,0.911
1999-02-08,0.907
1999-02-15,0.900
1999-02-22,0.894
1999-03-01,0.889
1999-03-08,0.890
1999-03-15,0.930
1999-03-22,0.964
1999-03-29,0.999
1999-04-05,1.031
1999-04-12,1.053
1999-04-19,1.058
1999-04-26,1.062
1999-05-03,1.072
1999-05-10,1.080
1999-05-17,1.079
1999-05-24,1.077
1999-05-31,1.071
1999-06-07,1.068
1999-06-14,1.064
1999-06-21,1.069
1999-06-28,1.069
1999-07-05,1.082
1999-07-12,1.101
1999-07-19,1.121
1999-07-26,1.136
1999-08-02,1.145
1999-08-09,1.163
1999-08-16,1.180
1999-08-23,1.188
1999-08-30,1.192
1999-09-06,1.196
1999-09-13,1.214
1999-09-20,1.231
1999-09-27,1.235
1999-10-04,1.242
1999-10-11,1.244
1999-10-18,1.237
1999-10-25,1.233
1999-11-01,1.230
1999-11-08,1.225
1999-11-15,1.233
1999-11-22,1.253
1999-11-29,1.271
1999-12-06,1.271
1999-12-13,1.271
1999-12-20,1.270
1999-12-27,1.269
2000-01-03,1.268
2000-01-10,1.269
2000-01-17,1.270
2000-01-24,1.297
2000-01-31,1.303
2000-02-07,1.315
2000-02-14,1.337
2000-02-21,1.372
2000-02-28,1.387
2000-03-06,1.468
2000-03-13,1.511
2000-03-20,1.515
2000-03-27,1.499
2000-04-03,1.487
2000-04-10,1.466
2000-04-17,1.441
2000-04-24,1.422
2000-05-01,1.410
2000-05-08,1.427
2000-05-15,1.457
2000-05-22,1.492
2000-05-29,1.497
2000-06-05,1.506
2000-06-12,1.538
2000-06-19,1.578
2000-06-26,1.586
2000-07-03,1.589
2000-07-10,1.581
2000-07-17,1.565
2000-07-24,1.549
2000-07-31,1.514
2000-08-07,1.494
2000-08-14,1.476
2000-08-21,1.476
2000-08-28,1.478
2000-09-04,1.490
2000-09-11,1.518
2000-09-18,1.522
2000-09-25,1.519
2000-10-02,1.507
2000-10-09,1.487
2000-10-16,1.499
2000-10-23,1.498
2000-10-30,1.499
2000-11-06,1.492
2000-11-13,1.489
2000-11-20,1.481
2000-11-27,1.481
2000-12-04,1.467
2000-12-11,1.446
2000-12-18,1.422
2000-12-25,1.395
2001-01-01,1.391
2001-01-08,1.394
2001-01-15,1.440
2001-01-22,1.450
2001-01-29,1.446
2001-02-05,1.432
2001-02-12,1.445
2001-02-19,1.434
2001-02-26,1.424
2001-03-05,1.407
2001-03-12,1.391
2001-03-19,1.376
2001-03-26,1.374
2001-04-02,1.387
2001-04-09,1.448
2001-04-16,1.524
2001-04-23,1.561
2001-04-30,1.576
2001-05-07,1.613
2001-05-14,1.625
2001-05-21,1.618
2001-05-28,1.626
2001-06-04,1.614
2001-06-11,1.607
2001-06-18,1.581
2001-06-25,1.547
2001-07-02,1.497
2001-07-09,1.461
2001-07-16,1.425
2001-07-23,1.396
2001-07-30,1.374
2001-08-06,1.362
2001-08-13,1.370
2001-08-20,1.380
2001-08-27,1.378
2001-09-03,1.407
2001-09-10,1.405
2001-09-17,1.415
2001-09-24,1.398
2001-10-01,1.357
2001-10-08,1.312
2001-10-15,1.276
2001-10-22,1.238
2001-10-29,1.205
2001-11-05,1.172
2001-11-12,1.149
2001-11-19,1.123
2001-11-26,1.094
2001-12-03,1.072
2001-12-10,1.063
2001-12-17,1.049
2001-12-24,1.054
2001-12-31,1.070
2002-01-07,1.090
2002-01-14,1.108
2002-01-21,1.097
2002-01-28,1.090
2002-02-04,1.090
2002-02-11,1.093
2002-02-18,1.094
2002-02-25,1.095
2002-03-04,1.101
2002-03-11,1.167
2002-03-18,1.240
2002-03-25,1.298
2002-04-01,1.332
2002-04-08,1.373
2002-04-15,1.384
2002-04-22,1.384
2002-04-29,1.379
2002-05-06,1.379
2002-05-13,1.373
2002-05-20,1.369
2002-05-27,1.365
2002-06-03,1.358
