DATE,VALUE
1992-06-01,1.123
1992-07-01,1.124
1992-08-01,1.113
1992-09-01,1.108
1992-10-01,1.095
1992-11-01,1.091
1992-12-01,1.066
1993-01-01,1.053
1993-02-01,1.040
1993-03-01,1.047
1993-04-01,1.074
1993-05-01,1.092
1993-06-01,1.092
1993-07-01,1.082
1993-08-01,1.066
1993-09-01,1.052
1993-10-01,1.080
1993-11-01,1.053
1993-12-01,1.010
1994-01-01,0.984
1994-02-01,0.986
1994-03-01,0.983
1994-04-01,1.011
1994-05-01,1.025
1994-06-01,1.051
1994-07-01,1.076
1994-08-01,1.124
1994-09-01,1.124
1994-10-01,1.101
1994-11-01,1.105
1994-12-01,1.105
1995-01-01,1.091
1995-02-01,1.080
1995-03-01,1.071
1995-04-01,1.108
1995-05-01,1.182
1995-06-01,1.198
1995-07-01,1.163
1995-08-01,1.120
1995-09-01,1.096
1995-10-01,1.070
1995-11-01,1.042
1995-12-01,1.047
1996-01-01,1.071
1996-02-01,1.070
1996-03-01,1.121
1996-04-01,1.219
1996-05-01,1.251
1996-06-01,1.229
1996-07-01,1.195
1996-08-01,1.179
1996-09-01,1.172
1996-10-01,1.176
1996-11-01,1.206
1996-12-01,1.217
1997-01-01,1.212
1997-02-01,1.212
1997-03-01,1.188
1997-04-01,1.175
1997-05-01,1.162
1997-06-01,1.159
1997-07-01,1.141
1997-08-01,1.177
1997-09-01,1.184
1997-10-01,1.157
1997-11-01,1.130
1997-12-01,1.102
1998-01-01,1.070
1998-02-01,1.030
1998-03-01,0.999
1998-04-01,1.004
1998-05-01,1.004
1998-06-01,0.998
1998-07-01,0.988
1998-08-01,0.967
1998-09-01,0.944
1998-10-01,0.964
1998-11-01,0.942
1998-12-01,0.901
1999-01-01,0.894
1999-02-01,0.885
1999-03-01,0.920
1999-04-01,1.040
1999-05-01,1.056
1999-06-01,1.051
1999-07-01,1.085
1999-08-01,1.145
1999-09-01,1.189
1999-10-01,1.204
1999-11-01,1.204
1999-12-01,1.229
2000-01-01,1.237
2000-02-01,1.320
2000-03-01,1.467
2000-04-01,1.423
2000-05-01,1.426
2000-06-01,1.497
2000-07-01,1.507
2000-08-01,1.421
2000-09-01,1.454
2000-10-01,1.437
2000-11-01,1.418
2000-12-01,1.359
2001-01-01,1.372
2001-02-01,1.391
2001-03-01,1.340
2001-04-01,1.477
2001-05-01,1.577
2001-06-01,1.507
2001-07-01,1.307
2001-08-01,1.295
2001-09-01,1.382
2001-10-01,1.231
2001-11-01,1.081
2001-12-01,1.019
2002-01-01,1.053
2002-02-01,1.051
2002-03-01,1.183
2002-04-01,1.331
2002-05-01,1.323
2002-06-01,1.302
2002-07-01,1.301
2002-08-01,1.309
2002-09-01,1.321
2002-10-01,1.387
2002-11-01,1.363
2002-12-01,1.334
2003-01-01,1.405
2003-02-01,1.548
2003-03-01,1.586
2003-04-01,1.478
2003-05-01,1.379
2003-06-01,1.385
2003-07-01,1.428
2003-08-01,1.513
2003-09-01,1.530
2003-10-01,1.425
2003-11-01,1.398
2003-12-01,1.396
2004-01-01,1.499
2004-02-01,1.555
2004-03-01,1.615
2004-04-01,1.682
2004-05-01,1.858
2004-06-01,1.860
2004-07-01,1.803
2004-08-01,1.787
2004-09-01,1.770
2004-10-01,1.888
2004-11-01,1.874
2004-12-01,1.748
2005-01-01,1.749
2005-02-01,1.819
2005-03-01,1.992
2005-04-01,2.156
2005-05-01,2.062
2005-06-01,2.066
2005-07-01,2.196
2005-08-01,2.407
2005-09-01,2.776
2005-10-01,2.708
2005-11-01,2.208
2005-12-01,2.133
2006-01-01,2.257
2006-02-01,2.199
2006-03-01,2.368
2006-04-01,2.732
2006-05-01,2.804
2006-06-01,2.776
2006-07-01,2.868
2006-08-01,2.845
2006-09-01,2.447
2006-10-01,2.127
2006-11-01,2.106
2006-12-01,2.198
2007-01-01,2.111
2007-02-01,2.125
2007-03-01,2.405
2007-04-01,2.722
2007-05-01,2.986
2007-06-01,2.941
2007-07-01,2.858
2007-08-01,2.691
2007-09-01,2.684
2007-10-01,2.689
2007-11-01,2.952
2007-12-01,2.883
2008-01-01,2.928
2008-02-01,2.930
2008-03-01,3.154
2008-04-01,3.364
2008-05-01,3.660
2008-06-01,3.908
2008-07-01,3.932
2008-08-01,3.642
2008-09-01,3.633
2008-10-01,2.905
2008-11-01,2.021
2008-12-01,1.595
2009-01-01,1.663
2009-02-01,1.816
2009-03-01,1.860
2009-04-01,1.959
2009-05-01,2.156
2009-06-01,2.494
2009-07-01,2.383
2009-08-01,2.484
2009-09-01,2.363
2009-10-01,2.398
2009-11-01,2.519
2009-12-01,2.476
2010-01-01,2.586
2010-02-01,2.518
2010-03-01,2.661
2010-04-01,2.737
2010-05-01,2.734
2010-06-01,2.600
2010-07-01,2.573
2010-08-01,2.585
2010-09-01,2.549
2010-10-01,2.651
2010-11-01,2.682
2010-12-01,2.839
2011-01-01,2.944
2011-02-01,3.063
2011-03-01,3.431
2011-04-01,3.666
2011-05-01,3.756
2011-06-01,3.523
2011-07-01,3.520
2011-08-01,3.517
2011-09-01,3.422
2011-10-01,3.264
2011-11-01,3.183
2011-12-01,3.069
2012-01-01,3.205
2012-02-01,3.454
2012-03-01,3.677
2012-04-01,3.771
2012-05-01,3.523
2012-06-01,3.286
2012-07-01,3.218
2012-08-01,3.507
2012-09-01,3.635
2012-10-01,3.484
2012-11-01,3.204
2012-12-01,3.097
2013-01-01,3.162
2013-02-01,3.468
2013-03-01,3.536
2013-04-01,3.379
2013-05-01,3.355
2013-06-01,3.359
2013-07-01,3.407
2013-08-01,3.397
2013-09-01,3.298
2013-10-01,3.109
2013-11-01,3.038
2013-12-01,3.091
2014-01-01,3.107
2014-02-01,3.139
2014-03-01,3.285
2014-04-01,3.462
2014-05-01,3.444
2014-06-01,3.453
2014-07-01,3.411
2014-08-01,3.270
2014-09-01,3.179
2014-10-01,2.965
2014-11-01,2.690
2014-12-01,2.310
2015-01-01,1.900
2015-02-01,2.007
2015-03-01,2.208
2015-04-01,2.230
