DATE,VALUE
1992-06-01,1.135
1992-07-01,1.102
1992-08-01,1.083
1992-09-01,1.098
1992-10-01,1.090
1992-11-01,1.079
1992-12-01,1.028
1993-01-01,1.016
1993-02-01,1.018
1993-03-01,1.026
1993-04-01,1.071
1993-05-01,1.095
1993-06-01,1.083
1993-07-01,1.050
1993-08-01,1.032
1993-09-01,1.019
1993-10-01,1.070
1993-11-01,1.038
1993-12-01,0.965
1994-01-01,0.966
1994-02-01,0.987
1994-03-01,0.986
1994-04-01,1.016
1994-05-01,1.039
1994-06-01,1.075
1994-07-01,1.106
1994-08-01,1.166
1994-09-01,1.135
1994-10-01,1.084
1994-11-01,1.077
1994-12-01,1.025
1995-01-01,1.025
1995-02-01,1.024
1995-03-01,1.035
1995-04-01,1.097
1995-05-01,1.161
1995-06-01,1.167
1995-07-01,1.109
1995-08-01,1.081
1995-09-01,1.076
1995-10-01,1.043
1995-11-01,1.024
1995-12-01,1.049
1996-01-01,1.074
1996-02-01,1.072
1996-03-01,1.133
1996-04-01,1.212
1996-05-01,1.236
1996-06-01,1.209
1996-07-01,1.187
1996-08-01,1.171
1996-09-01,1.183
1996-10-01,1.193
1996-11-01,1.243
1996-12-01,1.237
1997-01-01,1.229
1997-02-01,1.207
1997-03-01,1.165
1997-04-01,1.156
1997-05-01,1.182
1997-06-01,1.191
1997-07-01,1.164
1997-08-01,1.223
1997-09-01,1.197
1997-10-01,1.145
1997-11-01,1.124
1997-12-01,1.076
1998-01-01,1.024
1998-02-01,1.013
1998-03-01,1.006
1998-04-01,1.023
1998-05-01,1.067
1998-06-01,1.068
1998-07-01,1.065
1998-08-01,1.020
1998-09-01,1.004
1998-10-01,1.011
1998-11-01,0.971
1998-12-01,0.903
1999-01-01,0.911
1999-02-01,0.890
1999-03-01,0.971
1999-04-01,1.093
1999-05-01,1.094
1999-06-01,1.092
1999-07-01,1.135
1999-08-01,1.188
1999-09-01,1.244
1999-10-01,1.208
1999-11-01,1.237
1999-12-01,1.254
2000-01-01,1.291
2000-02-01,1.406
2000-03-01,1.492
2000-04-01,1.401
2000-05-01,1.490
2000-06-01,1.778
2000-07-01,1.513
2000-08-01,1.391
2000-09-01,1.536
2000-10-01,1.507
2000-11-01,1.500
2000-12-01,1.404
2001-01-01,1.454
2001-02-01,1.437
2001-03-01,1.374
2001-04-01,1.579
2001-05-01,1.789
2001-06-01,1.589
2001-07-01,1.309
2001-08-01,1.473
2001-09-01,1.634
2001-10-01,1.254
2001-11-01,1.131
2001-12-01,1.089
2002-01-01,1.101
2002-02-01,1.097
2002-03-01,1.259
2002-04-01,1.382
2002-05-01,1.380
2002-06-01,1.372
2002-07-01,1.402
2002-08-01,1.379
2002-09-01,1.388
2002-10-01,1.477
2002-11-01,1.395
2002-12-01,1.347
2003-01-01,1.440
2003-02-01,1.605
2003-03-01,1.632
2003-04-01,1.485
2003-05-01,1.441
2003-06-01,1.473
2003-07-01,1.481
2003-08-01,1.606
2003-09-01,1.612
2003-10-01,1.526
2003-11-01,1.480
2003-12-01,1.434
2004-01-01,1.560
2004-02-01,1.618
2004-03-01,1.680
2004-04-01,1.755
2004-05-01,1.956
2004-06-01,1.872
2004-07-01,1.852
2004-08-01,1.845
2004-09-01,1.838
2004-10-01,1.950
2004-11-01,1.908
2004-12-01,1.748
2005-01-01,1.811
2005-02-01,1.889
2005-03-01,2.080
2005-04-01,2.190
2005-05-01,2.066
2005-06-01,2.115
2005-07-01,2.244
2005-08-01,2.458
2005-09-01,2.831
2005-10-01,2.606
2005-11-01,2.138
2005-12-01,2.177
2006-01-01,2.291
2006-02-01,2.224
2006-03-01,2.434
2006-04-01,2.714
2006-05-01,2.798
2006-06-01,2.811
2006-07-01,2.969
2006-08-01,2.913
2006-09-01,2.393
2006-10-01,2.159
2006-11-01,2.205
2006-12-01,2.257
2007-01-01,2.125
2007-02-01,2.256
2007-03-01,2.489
2007-04-01,2.773
2007-05-01,3.223
2007-06-01,3.062
2007-07-01,3.001
2007-08-01,2.827
2007-09-01,2.918
2007-10-01,2.785
2007-11-01,3.073
2007-12-01,2.957
2008-01-01,2.998
2008-02-01,3.008
2008-03-01,3.193
2008-04-01,3.424
2008-05-01,3.766
2008-06-01,3.992
2008-07-01,3.983
2008-08-01,3.725
2008-09-01,3.724
2008-10-01,2.913
2008-11-01,1.995
2008-12-01,1.631
2009-01-01,1.813
2009-02-01,1.862
2009-03-01,1.927
2009-04-01,1.998
2009-05-01,2.269
2009-06-01,2.642
2009-07-01,2.449
2009-08-01,2.543
2009-09-01,2.436
2009-10-01,2.499
2009-11-01,2.596
2009-12-01,2.541
2010-01-01,2.667
2010-02-01,2.561
2010-03-01,2.727
2010-04-01,2.823
2010-05-01,2.776
2010-06-01,2.688
2010-07-01,2.699
2010-08-01,2.679
2010-09-01,2.719
2010-10-01,2.785
2010-11-01,2.828
2010-12-01,2.960
2011-01-01,3.082
2011-02-01,3.180
2011-03-01,3.520
2011-04-01,3.809
2011-05-01,3.917
2011-06-01,3.674
2011-07-01,3.663
2011-08-01,3.642
2011-09-01,3.600
2011-10-01,3.364
2011-11-01,3.294
2011-12-01,3.205
2012-01-01,3.328
2012-02-01,3.476
2012-03-01,3.823
2012-04-01,3.828
2012-05-01,3.645
2012-06-01,3.513
2012-07-01,3.436
2012-08-01,3.775
2012-09-01,3.860
2012-10-01,3.624
2012-11-01,3.346
2012-12-01,3.228
2013-01-01,3.203
2013-02-01,3.648
2013-03-01,3.657
2013-04-01,3.541
2013-05-01,3.733
2013-06-01,3.748
2013-07-01,3.535
2013-08-01,3.523
2013-09-01,3.500
2013-10-01,3.271
2013-11-01,3.145
2013-12-01,3.151
2014-01-01,3.224
2014-02-01,3.328
2014-03-01,3.550
2014-04-01,3.628
2014-05-01,3.613
2014-06-01,3.697
2014-07-01,3.515
2014-08-01,3.415
2014-09-01,3.360
2014-10-01,3.081
2014-11-01,2.871
2014-12-01,2.406
2015-01-01,1.945
2015-02-01,2.177
2015-03-01,2.354
2015-04-01,2.363
2015-05-01,2.565
2015-06-01,2.729
2015-07-01,2.678
2015-08-01,2.584
2015-09-01,2.305
2015-10-01,2.321
2015-11-01,2.076
2015-12-01,1.878
2016-01-01,1.756
2016-02-01,1.599
2016-03-01,1.910
2016-04-01,2.027
2016-05-01,2.219
2016-06-01,2.384
2016-07-01,2.148
2016-08-01,2.142
2016-09-01,2.153
2016-10-01,2.146
2016-11-01,2.032
2016-12-01,2.185
2017-01-01,2.272
2017-02-01,2.199
2017-03-01,2.222
2017-04-01,2.334
2017-05-01,2.281
2017-06-01,2.231
2017-07-01,2.207
2017-08-01,2.285
2017-09-01,2.473
2017-10-01,2.386
2017-11-01,2.498
2017-12-01,2.365
2018-01-01,2.473
2018-02-01,2.448
2018-03-01,2.469
2018-04-01,2.620
2018-05-01,2.803
2018-06-01,2.793
2018-07-01,2.769
2018-08-01,2.753
2018-09-01,2.755
2018-10-01,2.748
2018-11-01,2.462
2018-12-01,2.126
