DATE,VALUE
1994-12-01,1.166
1995-01-01,1.158
1995-02-01,1.150
1995-03-01,1.136
1995-04-01,1.139
1995-05-01,1.204
1995-06-01,1.240
1995-07-01,1.223
1995-08-01,1.194
1995-09-01,1.178
1995-10-01,1.156
1995-11-01,1.119
1995-12-01,1.122
1996-01-01,1.143
1996-02-01,1.137
1996-03-01,1.153
1996-04-01,1.240
1996-05-01,1.312
1996-06-01,1.297
1996-07-01,1.265
1996-08-01,1.239
1996-09-01,1.227
1996-10-01,1.232
1996-11-01,1.267
1996-12-01,1.300
1997-01-01,1.304
1997-02-01,1.290
1997-03-01,1.255
1997-04-01,1.230
1997-05-01,1.214
1997-06-01,1.217
1997-07-01,1.199
1997-08-01,1.258
1997-09-01,1.293
1997-10-01,1.258
1997-11-01,1.222
1997-12-01,1.185
1998-01-01,1.146
1998-02-01,1.102
1998-03-01,1.050
1998-04-01,1.047
1998-05-01,1.057
1998-06-01,1.066
1998-07-01,1.057
1998-08-01,1.040
1998-09-01,1.024
1998-10-01,1.033
1998-11-01,1.021
1998-12-01,0.994
1999-01-01,0.977
1999-02-01,0.952
1999-03-01,0.966
1999-04-01,1.080
1999-05-01,1.119
1999-06-01,1.117
1999-07-01,1.150
1999-08-01,1.220
1999-09-01,1.267
1999-10-01,1.296
1999-11-01,1.294
1999-12-01,1.320
2000-01-01,1.328
2000-02-01,1.373
2000-03-01,1.526
2000-04-01,1.512
2000-05-01,1.504
2000-06-01,1.607
2000-07-01,1.636
2000-08-01,1.586
2000-09-01,1.586
2000-10-01,1.564
2000-11-01,1.554
2000-12-01,1.516
2001-01-01,1.481
2001-02-01,1.471
2001-03-01,1.440
2001-04-01,1.533
2001-05-01,1.714
2001-06-01,1.716
2001-07-01,1.583
2001-08-01,1.470
2001-09-01,1.443
2001-10-01,1.339
2001-11-01,1.198
2001-12-01,1.102
2002-01-01,1.126
2002-02-01,1.127
2002-03-01,1.220
2002-04-01,1.396
2002-05-01,1.421
2002-06-01,1.403
2002-07-01,1.398
2002-08-01,1.431
2002-09-01,1.434
2002-10-01,1.452
2002-11-01,1.469
2002-12-01,1.468
2003-01-01,1.507
2003-02-01,1.619
2003-03-01,1.671
2003-04-01,1.619
2003-05-01,1.540
2003-06-01,1.493
2003-07-01,1.508
2003-08-01,1.599
2003-09-01,1.752
2003-10-01,1.667
2003-11-01,1.585
2003-12-01,1.534
2004-01-01,1.592
2004-02-01,1.656
2004-03-01,1.719
2004-04-01,1.756
2004-05-01,1.981
2004-06-01,2.061
2004-07-01,1.972
2004-08-01,1.925
2004-09-01,1.882
2004-10-01,1.990
2004-11-01,1.996
2004-12-01,1.893
2005-01-01,1.849
2005-02-01,1.893
2005-03-01,2.008
2005-04-01,2.180
2005-05-01,2.172
2005-06-01,2.174
2005-07-01,2.342
2005-08-01,2.517
2005-09-01,3.068
2005-10-01,2.723
2005-11-01,2.242
2005-12-01,2.183
2006-01-01,2.365
2006-02-01,2.301
2006-03-01,2.376
2006-04-01,2.736
2006-05-01,2.989
2006-06-01,3.000
2006-07-01,3.072
2006-08-01,3.011
2006-09-01,2.616
2006-10-01,2.223
2006-11-01,2.185
2006-12-01,2.318
2007-01-01,2.281
2007-02-01,2.233
2007-03-01,2.541
2007-04-01,2.806
2007-05-01,3.046
2007-06-01,3.032
2007-07-01,2.944
2007-08-01,2.761
2007-09-01,2.689
2007-10-01,2.712
2007-11-01,3.011
2007-12-01,3.033
2008-01-01,3.054
2008-02-01,3.010
2008-03-01,3.168
2008-04-01,3.382
2008-05-01,3.770
2008-06-01,4.066
2008-07-01,4.072
2008-08-01,3.762
2008-09-01,3.589
2008-10-01,3.008
2008-11-01,2.198
2008-12-01,1.722
2009-01-01,1.726
2009-02-01,1.887
2009-03-01,1.915
2009-04-01,2.004
2009-05-01,2.234
2009-06-01,2.586
2009-07-01,2.537
2009-08-01,2.614
2009-09-01,2.562
2009-10-01,2.502
2009-11-01,2.646
2009-12-01,2.614
2010-01-01,2.708
2010-02-01,2.670
2010-03-01,2.729
2010-04-01,2.810
2010-05-01,2.856
2010-06-01,2.724
2010-07-01,2.704
2010-08-01,2.684
2010-09-01,2.618
2010-10-01,2.778
2010-11-01,2.900
2010-12-01,3.050
2011-01-01,3.129
2011-02-01,3.213
2011-03-01,3.539
2011-04-01,3.777
2011-05-01,3.964
2011-06-01,3.756
2011-07-01,3.728
2011-08-01,3.710
2011-09-01,3.633
2011-10-01,3.469
2011-11-01,3.409
2011-12-01,3.299
2012-01-01,3.424
2012-02-01,3.628
2012-03-01,3.800
2012-04-01,3.916
2012-05-01,3.738
2012-06-01,3.510
2012-07-01,3.501
2012-08-01,3.734
2012-09-01,3.863
2012-10-01,3.793
2012-11-01,3.602
2012-12-01,3.460
2013-01-01,3.458
2013-02-01,3.707
2013-03-01,3.703
2013-04-01,3.556
2013-05-01,3.527
2013-06-01,3.548
2013-07-01,3.639
2013-08-01,3.662
2013-09-01,3.583
2013-10-01,3.381
2013-11-01,3.326
2013-12-01,3.436
2014-01-01,3.431
2014-02-01,3.413
2014-03-01,3.536
2014-04-01,3.627
2014-05-01,3.685
2014-06-01,3.703
2014-07-01,3.674
2014-08-01,3.506
2014-09-01,3.410
2014-10-01,3.203
2014-11-01,2.953
2014-12-01,2.674
2015-01-01,2.243
2015-02-01,2.210
2015-03-01,2.391
2015-04-01,2.420
2015-05-01,2.658
2015-06-01,2.739
2015-07-01,2.731
2015-08-01,2.524
2015-09-01,2.270
2015-10-01,2.157
2015-11-01,2.125
2015-12-01,2.054
2016-01-01,1.940
2016-02-01,1.775
2016-03-01,1.881
2016-04-01,2.074
2016-05-01,2.246
2016-06-01,2.302
2016-07-01,2.215
2016-08-01,2.124
2016-09-01,2.172
2016-10-01,2.209
2016-11-01,2.232
2016-12-01,2.307
2017-01-01,2.400
2017-02-01,2.330
2017-03-01,2.300
2017-04-01,2.392
2017-05-01,2.394
2017-06-01,2.350
2017-07-01,2.313
2017-08-01,2.389
2017-09-01,2.726
2017-10-01,2.536
2017-11-01,2.570
2017-12-01,2.516
2018-01-01,2.581
2018-02-01,2.625
2018-03-01,2.579
2018-04-01,2.736
2018-05-01,2.913
2018-06-01,2.893
2018-07-01,2.852
2018-08-01,2.845
2018-09-01,2.831
2018-10-01,2.816
2018-11-01,2.633
2018-12-01,2.428
