DATE,VALUE
1994-11-28,1.149
1994-12-05,1.164
1994-12-12,1.166
1994-12-19,1.168
1994-12-26,1.166
1995-01-02,1.161
1995-01-09,1.160
1995-01-16,1.157
1995-01-23,1.158
1995-01-30,1.153
1995-02-06,1.152
1995-02-13,1.151
1995-02-20,1.148
1995-02-27,1.147
1995-03-06,1.143
1995-03-13,1.139
1995-03-20,1.134
1995-03-27,1.128
1995-04-03,1.128
1995-04-10,1.130
1995-04-17,1.139
1995-04-24,1.158
1995-05-01,1.172
1995-05-08,1.189
1995-05-15,1.203
1995-05-22,1.220
1995-05-29,1.238
1995-06-05,1.241
1995-06-12,1.242
1995-06-19,1.240
1995-06-26,1.237
1995-07-03,1.233
1995-07-10,1.230
1995-07-17,1.225
1995-07-24,1.218
1995-07-31,1.210
1995-08-07,1.204
1995-08-14,1.195
1995-08-21,1.191
1995-08-28,1.186
1995-09-04,1.183
1995-09-11,1.180
1995-09-18,1.176
1995-09-25,1.173
1995-10-02,1.169
1995-10-09,1.164
1995-10-16,1.158
1995-10-23,1.150
1995-10-30,1.137
1995-11-06,1.127
1995-11-13,1.122
1995-11-20,1.115
1995-11-27,1.112
1995-12-04,1.115
1995-12-11,1.117
1995-12-18,1.125
1995-12-25,1.130
1996-01-01,1.137
1996-01-08,1.139
1996-01-15,1.146
1996-01-22,1.147
1996-01-29,1.144
1996-02-05,1.141
1996-02-12,1.138
1996-02-19,1.134
1996-02-26,1.136
1996-03-04,1.144
1996-03-11,1.148
1996-03-18,1.150
1996-03-25,1.168
1996-04-01,1.187
1996-04-08,1.207
1996-04-15,1.250
1996-04-22,1.269
1996-04-29,1.287
1996-05-06,1.307
1996-05-13,1.312
1996-05-20,1.313
1996-05-27,1.312
1996-06-03,1.311
1996-06-10,1.305
1996-06-17,1.295
1996-06-24,1.289
1996-07-01,1.278
1996-07-08,1.274
1996-07-15,1.266
1996-07-22,1.263
1996-07-29,1.254
1996-08-05,1.246
1996-08-12,1.241
1996-08-19,1.234
1996-08-26,1.232
1996-09-02,1.228
1996-09-09,1.227
1996-09-16,1.228
1996-09-23,1.227
1996-09-30,1.225
1996-10-07,1.226
1996-10-14,1.229
1996-10-21,1.234
1996-10-28,1.239
1996-11-04,1.255
1996-11-11,1.258
1996-11-18,1.272
1996-11-25,1.281
1996-12-02,1.289
1996-12-09,1.300
1996-12-16,1.303
1996-12-23,1.304
1996-12-30,1.306
1997-01-06,1.304
1997-01-13,1.307
1997-01-20,1.304
1997-01-27,1.300
1997-02-03,1.298
1997-02-10,1.295
1997-02-17,1.288
1997-02-24,1.280
1997-03-03,1.270
1997-03-10,1.260
1997-03-17,1.253
1997-03-24,1.249
1997-03-31,1.245
1997-04-07,1.241
1997-04-14,1.235
1997-04-21,1.225
1997-04-28,1.218
1997-05-05,1.214
1997-05-12,1.211
1997-05-19,1.211
1997-05-26,1.220
1997-06-02,1.222
1997-06-09,1.222
1997-06-16,1.220
1997-06-23,1.213
1997-06-30,1.208
1997-07-07,1.203
1997-07-14,1.198
1997-07-21,1.197
1997-07-28,1.198
1997-08-04,1.220
1997-08-11,1.251
1997-08-18,1.265
1997-08-25,1.295
1997-09-01,1.302
1997-09-08,1.302
1997-09-15,1.296
1997-09-22,1.288
1997-09-29,1.277
1997-10-06,1.268
1997-10-13,1.263
1997-10-20,1.254
1997-10-27,1.245
1997-11-03,1.235
1997-11-10,1.227
1997-11-17,1.218
1997-11-24,1.209
1997-12-01,1.203
1997-12-08,1.194
1997-12-15,1.185
1997-12-22,1.175
1997-12-29,1.169
1998-01-05,1.164
1998-01-12,1.153
1998-01-19,1.139
1998-01-26,1.128
1998-02-02,1.117
1998-02-09,1.108
1998-02-16,1.096
1998-02-23,1.087
1998-03-02,1.073
1998-03-09,1.059
1998-03-16,1.043
1998-03-23,1.030
1998-03-30,1.047
1998-04-06,1.052
1998-04-13,1.049
1998-04-20,1.044
1998-04-27,1.043
1998-05-04,1.044
1998-05-11,1.052
1998-05-18,1.064
1998-05-25,1.066
1998-06-01,1.067
1998-06-08,1.068
1998-06-15,1.067
1998-06-22,1.064
1998-06-29,1.064
1998-07-06,1.060
1998-07-13,1.057
1998-07-20,1.058
1998-07-27,1.054
1998-08-03,1.047
1998-08-10,1.045
1998-08-17,1.040
1998-08-24,1.035
1998-08-31,1.032
1998-09-07,1.026
1998-09-14,1.024
1998-09-21,1.020
1998-09-28,1.025
1998-10-05,1.029
1998-10-12,1.035
1998-10-19,1.034
1998-10-26,1.034
1998-11-02,1.026
1998-11-09,1.025
1998-11-16,1.023
