DATE,VALUE
1994-12-01,1.121
1995-01-01,1.111
1995-02-01,1.101
1995-03-01,1.091
1995-04-01,1.101
1995-05-01,1.157
1995-06-01,1.178
1995-07-01,1.151
1995-08-01,1.107
1995-09-01,1.075
1995-10-01,1.045
1995-11-01,1.008
1995-12-01,1.010
1996-01-01,1.042
1996-02-01,1.049
1996-03-01,1.102
1996-04-01,1.211
1996-05-01,1.250
1996-06-01,1.225
1996-07-01,1.176
1996-08-01,1.145
1996-09-01,1.140
1996-10-01,1.153
1996-11-01,1.168
1996-12-01,1.171
1997-01-01,1.169
1997-02-01,1.164
1997-03-01,1.148
1997-04-01,1.137
1997-05-01,1.138
1997-06-01,1.144
1997-07-01,1.120
1997-08-01,1.169
1997-09-01,1.180
1997-10-01,1.144
1997-11-01,1.114
1997-12-01,1.093
1998-01-01,1.060
1998-02-01,1.013
1998-03-01,0.980
1998-04-01,0.990
1998-05-01,0.993
1998-06-01,0.991
1998-07-01,0.986
1998-08-01,0.968
1998-09-01,0.948
1998-10-01,0.958
1998-11-01,0.949
1998-12-01,0.921
1999-01-01,0.902
1999-02-01,0.890
1999-03-01,0.914
1999-04-01,1.019
1999-05-01,1.045
1999-06-01,1.041
1999-07-01,1.068
1999-08-01,1.126
1999-09-01,1.172
1999-10-01,1.188
1999-11-01,1.183
1999-12-01,1.203
2000-01-01,1.214
2000-02-01,1.283
2000-03-01,1.456
2000-04-01,1.448
2000-05-01,1.437
2000-06-01,1.497
2000-07-01,1.519
2000-08-01,1.438
2000-09-01,1.443
2000-10-01,1.419
2000-11-01,1.400
2000-12-01,1.350
2001-01-01,1.368
2001-02-01,1.377
2001-03-01,1.339
2001-04-01,1.518
2001-05-01,1.625
2001-06-01,1.561
2001-07-01,1.360
2001-08-01,1.296
2001-09-01,1.359
2001-10-01,1.240
2001-11-01,1.066
2001-12-01,0.990
2002-01-01,1.022
2002-02-01,1.034
2002-03-01,1.174
2002-04-01,1.352
2002-05-01,1.349
2002-06-01,1.330
2002-07-01,1.310
2002-08-01,1.316
2002-09-01,1.320
2002-10-01,1.373
2002-11-01,1.352
2002-12-01,1.319
2003-01-01,1.400
2003-02-01,1.541
2003-03-01,1.580
2003-04-01,1.480
2003-05-01,1.378
2003-06-01,1.384
2003-07-01,1.421
2003-08-01,1.503
2003-09-01,1.522
2003-10-01,1.408
2003-11-01,1.378
2003-12-01,1.375
2004-01-01,1.481
2004-02-01,1.551
2004-03-01,1.594
2004-04-01,1.662
2004-05-01,1.833
2004-06-01,1.854
2004-07-01,1.784
2004-08-01,1.767
2004-09-01,1.753
2004-10-01,1.867
2004-11-01,1.858
2004-12-01,1.729
2005-01-01,1.722
2005-02-01,1.791
2005-03-01,1.962
2005-04-01,2.122
2005-05-01,2.056
2005-06-01,2.061
2005-07-01,2.195
2005-08-01,2.434
2005-09-01,2.838
2005-10-01,2.726
2005-11-01,2.177
2005-12-01,2.109
2006-01-01,2.260
2006-02-01,2.185
2006-03-01,2.361
2006-04-01,2.774
2006-05-01,2.898
2006-06-01,2.860
2006-07-01,2.900
2006-08-01,2.818
2006-09-01,2.372
2006-10-01,2.059
2006-11-01,2.059
2006-12-01,2.173
2007-01-01,2.090
2007-02-01,2.098
2007-03-01,2.385
2007-04-01,2.722
2007-05-01,2.940
2007-06-01,2.904
2007-07-01,2.801
2007-08-01,2.635
2007-09-01,2.601
2007-10-01,2.618
2007-11-01,2.891
2007-12-01,2.836
2008-01-01,2.901
2008-02-01,2.894
2008-03-01,3.143
2008-04-01,3.367
2008-05-01,3.651
2008-06-01,3.899
2008-07-01,3.911
2008-08-01,3.588
2008-09-01,3.555
2008-10-01,2.893
2008-11-01,1.930
2008-12-01,1.550
2009-01-01,1.616
2009-02-01,1.777
2009-03-01,1.831
2009-04-01,1.956
2009-05-01,2.134
2009-06-01,2.456
2009-07-01,2.340
2009-08-01,2.458
2009-09-01,2.310
2009-10-01,2.359
2009-11-01,2.485
2009-12-01,2.440
2010-01-01,2.553
2010-02-01,2.467
2010-03-01,2.622
2010-04-01,2.722
2010-05-01,2.711
2010-06-01,2.555
2010-07-01,2.532
2010-08-01,2.544
2010-09-01,2.498
2010-10-01,2.633
2010-11-01,2.652
2010-12-01,2.817
2011-01-01,2.917
2011-02-01,3.031
2011-03-01,3.427
2011-04-01,3.703
2011-05-01,3.787
2011-06-01,3.520
2011-07-01,3.525
2011-08-01,3.494
2011-09-01,3.353
2011-10-01,3.209
2011-11-01,3.149
2011-12-01,3.053
2012-01-01,3.196
2012-02-01,3.468
2012-03-01,3.747
2012-04-01,3.815
2012-05-01,3.552
2012-06-01,3.299
2012-07-01,3.266
2012-08-01,3.511
2012-09-01,3.626
2012-10-01,3.454
2012-11-01,3.149
2012-12-01,3.056
2013-01-01,3.185
2013-02-01,3.482
2013-03-01,3.576
2013-04-01,3.436
2013-05-01,3.392
2013-06-01,3.391
2013-07-01,3.458
2013-08-01,3.438
2013-09-01,3.267
2013-10-01,3.076
2013-11-01,3.025
2013-12-01,3.103
2014-01-01,3.114
2014-02-01,3.132
2014-03-01,3.328
2014-04-01,3.490
2014-05-01,3.444
2014-06-01,3.481
2014-07-01,3.415
2014-08-01,3.265
2014-09-01,3.198
2014-10-01,2.944
2014-11-01,2.661
2014-12-01,2.268
2015-01-01,1.857
2015-02-01,1.985
2015-03-01,2.218
2015-04-01,2.268
2015-05-01,2.463
2015-06-01,2.569
2015-07-01,2.527
2015-08-01,2.332
2015-09-01,2.049
2015-10-01,1.988
2015-11-01,1.874
2015-12-01,1.788
2016-01-01,1.697
2016-02-01,1.528
2016-03-01,1.756
2016-04-01,1.899
2016-05-01,2.012
2016-06-01,2.132
2016-07-01,2.045
2016-08-01,1.949
2016-09-01,1.941
2016-10-01,2.004
2016-11-01,1.944
2016-12-01,2.000
2017-01-01,2.123
2017-02-01,2.044
2017-03-01,2.070
2017-04-01,2.229
2017-05-01,2.153
2017-06-01,2.113
2017-07-01,2.036
2017-08-01,2.135
2017-09-01,2.487
2017-10-01,2.231
2017-11-01,2.219
2017-12-01,2.137
2018-01-01,2.240
2018-02-01,2.220
2018-03-01,2.287
2018-04-01,2.481
2018-05-01,2.666
2018-06-01,2.715
2018-07-01,2.612
2018-08-01,2.552
2018-09-01,2.530
2018-10-01,2.546
2018-11-01,2.266
2018-12-01,1.971
