DATE,VALUE
1994-11-28,1.093
1994-12-05,1.121
1994-12-12,1.126
1994-12-19,1.125
1994-12-26,1.113
1995-01-02,1.117
1995-01-09,1.116
1995-01-16,1.110
1995-01-23,1.103
1995-01-30,1.108
1995-02-06,1.106
1995-02-13,1.105
1995-02-20,1.097
1995-02-27,1.095
1995-03-06,1.100
1995-03-13,1.095
1995-03-20,1.085
1995-03-27,1.083
1995-04-03,1.088
1995-04-10,1.090
1995-04-17,1.102
1995-04-24,1.122
1995-05-01,1.135
1995-05-08,1.141
1995-05-15,1.152
1995-05-22,1.175
1995-05-29,1.182
1995-06-05,1.179
1995-06-12,1.180
1995-06-19,1.178
1995-06-26,1.176
1995-07-03,1.168
1995-07-10,1.162
1995-07-17,1.154
1995-07-24,1.141
1995-07-31,1.130
1995-08-07,1.122
1995-08-14,1.112
1995-08-21,1.101
1995-08-28,1.093
1995-09-04,1.083
1995-09-11,1.080
1995-09-18,1.072
1995-09-25,1.063
1995-10-02,1.053
1995-10-09,1.052
1995-10-16,1.048
1995-10-23,1.042
1995-10-30,1.030
1995-11-06,1.021
1995-11-13,1.017
1995-11-20,0.999
1995-11-27,0.994
1995-12-04,1.007
1995-12-11,1.005
1995-12-18,1.009
1995-12-25,1.018
1996-01-01,1.023
1996-01-08,1.041
1996-01-15,1.053
1996-01-22,1.047
1996-01-29,1.045
1996-02-05,1.047
1996-02-12,1.044
1996-02-19,1.046
1996-02-26,1.060
1996-03-04,1.085
1996-03-11,1.094
1996-03-18,1.101
1996-03-25,1.127
1996-04-01,1.140
1996-04-08,1.180
1996-04-15,1.228
1996-04-22,1.254
1996-04-29,1.255
1996-05-06,1.253
1996-05-13,1.255
1996-05-20,1.248
1996-05-27,1.245
1996-06-03,1.247
1996-06-10,1.236
1996-06-17,1.225
1996-06-24,1.208
1996-07-01,1.197
1996-07-08,1.185
1996-07-15,1.178
1996-07-22,1.173
1996-07-29,1.165
1996-08-05,1.157
1996-08-12,1.144
1996-08-19,1.134
1996-08-26,1.134
1996-09-02,1.131
1996-09-09,1.133
1996-09-16,1.142
1996-09-23,1.153
1996-09-30,1.148
1996-10-07,1.152
1996-10-14,1.157
1996-10-21,1.149
1996-10-28,1.154
1996-11-04,1.155
1996-11-11,1.170
1996-11-18,1.173
1996-11-25,1.174
1996-12-02,1.176
1996-12-09,1.170
1996-12-16,1.173
1996-12-23,1.169
1996-12-30,1.167
1997-01-06,1.166
1997-01-13,1.170
1997-01-20,1.173
1997-01-27,1.167
1997-02-03,1.167
1997-02-10,1.166
1997-02-17,1.163
1997-02-24,1.160
1997-03-03,1.152
1997-03-10,1.147
1997-03-17,1.143
1997-03-24,1.151
1997-03-31,1.147
1997-04-07,1.142
1997-04-14,1.135
1997-04-21,1.136
1997-04-28,1.133
1997-05-05,1.130
1997-05-12,1.132
1997-05-19,1.137
1997-05-26,1.151
1997-06-02,1.150
1997-06-09,1.150
1997-06-16,1.146
1997-06-23,1.140
1997-06-30,1.133
1997-07-07,1.126
1997-07-14,1.119
1997-07-21,1.120
1997-07-28,1.115
1997-08-04,1.137
1997-08-11,1.180
1997-08-18,1.174
1997-08-25,1.186
1997-09-01,1.188
1997-09-08,1.188
1997-09-15,1.185
1997-09-22,1.177
1997-09-29,1.163
1997-10-06,1.155
1997-10-13,1.148
1997-10-20,1.145
1997-10-27,1.129
1997-11-03,1.121
1997-11-10,1.118
1997-11-17,1.110
1997-11-24,1.108
1997-12-01,1.105
1997-12-08,1.099
1997-12-15,1.092
1997-12-22,1.086
1997-12-29,1.084
1998-01-05,1.079
1998-01-12,1.066
1998-01-19,1.054
1998-01-26,1.042
1998-02-02,1.026
1998-02-09,1.021
1998-02-16,1.005
1998-02-23,1.000
1998-03-02,0.996
1998-03-09,0.986
1998-03-16,0.976
1998-03-23,0.964
1998-03-30,0.980
1998-04-06,0.994
1998-04-13,0.989
1998-04-20,0.985
1998-04-27,0.991
1998-05-04,0.983
1998-05-11,0.998
1998-05-18,0.996
1998-05-25,0.996
1998-06-01,0.995
1998-06-08,0.994
1998-06-15,0.993
1998-06-22,0.990
1998-06-29,0.985
1998-07-06,0.986
1998-07-13,0.985
1998-07-20,0.991
1998-07-27,0.982
1998-08-03,0.980
1998-08-10,0.973
1998-08-17,0.968
1998-08-24,0.964
1998-08-31,0.956
1998-09-07,0.953
1998-09-14,0.950
1998-09-21,0.944
1998-09-28,0.946
1998-10-05,0.950
1998-10-12,0.960
1998-10-19,0.963
1998-10-26,0.959
1998-11-02,0.956
1998-11-09,0.952
1998-11-16,0.952
1998-11-23,0.944
1998-11-30,0.939
1998-12-07,0.929
1998-12-14,0.922
1998-12-21,0.918
1998-12-28,0.915
1999-01-04,0.911
1999-01-11,0.907
1999-01-18,0.897
1999-01-25,0.894
1999-02-01,0.895
1999-02-08,0.894
1999-02-15,0.887
1999-02-22,0.882
1999-03-01,0.878
1999-03-08,0.871
1999-03-15,0.905
1999-03-22,0.938
1999-03-29,0.977
1999-04-05,0.998
1999-04-12,1.016
1999-04-19,1.026
1999-04-26,1.034
1999-05-03,1.038
1999-05-10,1.042
1999-05-17,1.046
1999-05-24,1.051
1999-05-31,1.047
1999-06-07,1.045
1999-06-14,1.040
1999-06-21,1.044
1999-06-28,1.034
1999-07-05,1.042
1999-07-12,1.057
1999-07-19,1.076
1999-07-26,1.095
1999-08-02,1.100
1999-08-09,1.111
1999-08-16,1.133
1999-08-23,1.140
1999-08-30,1.146
1999-09-06,1.150
1999-09-13,1.162
1999-09-20,1.186
1999-09-27,1.189
1999-10-04,1.191
1999-10-11,1.191
1999-10-18,1.188
1999-10-25,1.183
1999-11-01,1.177
1999-11-08,1.172
1999-11-15,1.172
1999-11-22,1.193
1999-11-29,1.203
1999-12-06,1.205
