DATE,VALUE
1994-12-01,1.167
1995-01-01,1.166
1995-02-01,1.156
1995-03-01,1.142
1995-04-01,1.156
1995-05-01,1.216
1995-06-01,1.234
1995-07-01,1.205
1995-08-01,1.164
1995-09-01,1.147
1995-10-01,1.132
1995-11-01,1.104
1995-12-01,1.110
1996-01-01,1.129
1996-02-01,1.129
1996-03-01,1.171
1996-04-01,1.277
1996-05-01,1.353
1996-06-01,1.346
1996-07-01,1.302
1996-08-01,1.259
1996-09-01,1.236
1996-10-01,1.225
1996-11-01,1.229
1996-12-01,1.246
1997-01-01,1.263
1997-02-01,1.266
1997-03-01,1.252
1997-04-01,1.256
1997-05-01,1.248
1997-06-01,1.238
1997-07-01,1.208
1997-08-01,1.268
1997-09-01,1.307
1997-10-01,1.274
1997-11-01,1.243
1997-12-01,1.207
1998-01-01,1.161
1998-02-01,1.105
1998-03-01,1.046
1998-04-01,1.067
1998-05-01,1.114
1998-06-01,1.110
1998-07-01,1.098
1998-08-01,1.071
1998-09-01,1.054
1998-10-01,1.057
1998-11-01,1.045
1998-12-01,1.016
1999-01-01,1.008
1999-02-01,0.984
1999-03-01,1.043
1999-04-01,1.228
1999-05-01,1.212
1999-06-01,1.170
1999-07-01,1.214
1999-08-01,1.285
1999-09-01,1.301
1999-10-01,1.290
1999-11-01,1.287
1999-12-01,1.308
2000-01-01,1.317
2000-02-01,1.391
2000-03-01,1.570
2000-04-01,1.551
2000-05-01,1.562
2000-06-01,1.667
2000-07-01,1.616
2000-08-01,1.543
2000-09-01,1.619
2000-10-01,1.600
2000-11-01,1.583
2000-12-01,1.516
2001-01-01,1.500
2001-02-01,1.500
2001-03-01,1.483
2001-04-01,1.629
2001-05-01,1.806
2001-06-01,1.758
2001-07-01,1.582
2001-08-01,1.491
2001-09-01,1.552
2001-10-01,1.400
2001-11-01,1.235
2001-12-01,1.114
2002-01-01,1.134
2002-02-01,1.162
2002-03-01,1.307
2002-04-01,1.469
2002-05-01,1.470
2002-06-01,1.466
2002-07-01,1.463
2002-08-01,1.471
2002-09-01,1.472
2002-10-01,1.483
2002-11-01,1.487
2002-12-01,1.461
2003-01-01,1.525
2003-02-01,1.676
2003-03-01,1.809
2003-04-01,1.736
2003-05-01,1.618
2003-06-01,1.579
2003-07-01,1.581
2003-08-01,1.688
2003-09-01,1.810
2003-10-01,1.670
2003-11-01,1.593
2003-12-01,1.543
2004-01-01,1.608
2004-02-01,1.718
2004-03-01,1.835
2004-04-01,1.886
2004-05-01,2.064
2004-06-01,2.093
2004-07-01,2.012
2004-08-01,1.955
2004-09-01,1.931
2004-10-01,2.095
2004-11-01,2.079
2004-12-01,1.928
2005-01-01,1.873
2005-02-01,1.959
2005-03-01,2.115
2005-04-01,2.310
2005-05-01,2.259
2005-06-01,2.225
2005-07-01,2.380
2005-08-01,2.564
2005-09-01,2.991
2005-10-01,2.775
2005-11-01,2.331
2005-12-01,2.209
2006-01-01,2.348
2006-02-01,2.345
2006-03-01,2.451
2006-04-01,2.791
2006-05-01,3.066
2006-06-01,3.044
2006-07-01,3.101
2006-08-01,3.040
2006-09-01,2.669
2006-10-01,2.309
2006-11-01,2.267
2006-12-01,2.372
2007-01-01,2.343
2007-02-01,2.369
2007-03-01,2.689
