DATE,VALUE
1994-11-28,1.099
1994-12-05,1.134
1994-12-12,1.124
1994-12-19,1.125
1994-12-26,1.123
1995-01-02,1.120
1995-01-09,1.129
1995-01-16,1.133
1995-01-23,1.132
1995-01-30,1.122
1995-02-06,1.119
1995-02-13,1.122
1995-02-20,1.110
1995-02-27,1.115
1995-03-06,1.107
1995-03-13,1.097
1995-03-20,1.108
1995-03-27,1.123
1995-04-03,1.128
1995-04-10,1.139
1995-04-17,1.168
1995-04-24,1.175
1995-05-01,1.191
1995-05-08,1.219
1995-05-15,1.226
1995-05-22,1.258
1995-05-29,1.255
1995-06-05,1.255
1995-06-12,1.251
1995-06-19,1.246
1995-06-26,1.234
1995-07-03,1.226
1995-07-10,1.215
1995-07-17,1.199
1995-07-24,1.180
1995-07-31,1.163
1995-08-07,1.153
1995-08-14,1.148
1995-08-21,1.146
1995-08-28,1.141
1995-09-04,1.139
1995-09-11,1.142
1995-09-18,1.148
1995-09-25,1.151
1995-10-02,1.141
1995-10-09,1.135
1995-10-16,1.124
1995-10-23,1.110
1995-10-30,1.096
1995-11-06,1.094
1995-11-13,1.083
1995-11-20,1.077
1995-11-27,1.085
1995-12-04,1.092
1995-12-11,1.108
1995-12-18,1.134
1995-12-25,1.151
1996-01-01,1.144
1996-01-08,1.158
1996-01-15,1.153
1996-01-22,1.139
1996-01-29,1.128
1996-02-05,1.128
1996-02-12,1.118
1996-02-19,1.124
1996-02-26,1.160
1996-03-04,1.182
1996-03-11,1.178
1996-03-18,1.182
1996-03-25,1.219
1996-04-01,1.226
1996-04-08,1.242
1996-04-15,1.275
1996-04-22,1.282
1996-04-29,1.291
1996-05-06,1.296
1996-05-13,1.308
1996-05-20,1.336
1996-05-27,1.321
1996-06-03,1.316
1996-06-10,1.303
1996-06-17,1.290
1996-06-24,1.277
1996-07-01,1.264
1996-07-08,1.258
1996-07-15,1.254
1996-07-22,1.245
1996-07-29,1.235
1996-08-05,1.224
1996-08-12,1.213
1996-08-19,1.218
1996-08-26,1.228
1996-09-02,1.214
1996-09-09,1.229
1996-09-16,1.231
1996-09-23,1.241
1996-09-30,1.236
1996-10-07,1.229
1996-10-14,1.244
1996-10-21,1.245
1996-10-28,1.261
1996-11-04,1.277
1996-11-11,1.301
1996-11-18,1.313
1996-11-25,1.322
1996-12-02,1.325
1996-12-09,1.323
1996-12-16,1.313
1996-12-23,1.304
1996-12-30,1.299
1997-01-06,1.290
1997-01-13,1.303
1997-01-20,1.299
1997-01-27,1.292
1997-02-03,1.287
1997-02-10,1.281
1997-02-17,1.273
1997-02-24,1.259
1997-03-03,1.243
1997-03-10,1.233
1997-03-17,1.213
1997-03-24,1.210
1997-03-31,1.203
1997-04-07,1.193
1997-04-14,1.199
1997-04-21,1.201
1997-04-28,1.198
1997-05-05,1.222
1997-05-12,1.213
1997-05-19,1.235
1997-05-26,1.260
1997-06-02,1.255
1997-06-09,1.249
1997-06-16,1.242
1997-06-23,1.230
1997-06-30,1.212
1997-07-07,1.207
1997-07-14,1.200
1997-07-21,1.203
1997-07-28,1.197
1997-08-04,1.242
1997-08-11,1.268
1997-08-18,1.261
1997-08-25,1.274
1997-09-01,1.263
1997-09-08,1.255
1997-09-15,1.244
1997-09-22,1.217
1997-09-29,1.196
1997-10-06,1.191
1997-10-13,1.178
1997-10-20,1.167
1997-10-27,1.160
1997-11-03,1.158
1997-11-10,1.156
1997-11-17,1.158
1997-11-24,1.158
1997-12-01,1.152
1997-12-08,1.144
1997-12-15,1.128
1997-12-22,1.110
1997-12-29,1.102
1998-01-05,1.093
1998-01-12,1.082
1998-01-19,1.064
1998-01-26,1.053
1998-02-02,1.051
1998-02-09,1.060
1998-02-16,1.053
1998-02-23,1.072
1998-03-02,1.057
1998-03-09,1.042
1998-03-16,1.024
1998-03-23,1.021
1998-03-30,1.075
1998-04-06,1.063
1998-04-13,1.055
1998-04-20,1.072
1998-04-27,1.097
1998-05-04,1.109
1998-05-11,1.133
1998-05-18,1.133
1998-05-25,1.126
1998-06-01,1.134
1998-06-08,1.143
1998-06-15,1.126
1998-06-22,1.121
1998-06-29,1.099
1998-07-06,1.132
1998-07-13,1.125
1998-07-20,1.119
1998-07-27,1.096
1998-08-03,1.081
1998-08-10,1.072
1998-08-17,1.069
1998-08-24,1.058
1998-08-31,1.053
1998-09-07,1.049
1998-09-14,1.046
1998-09-21,1.045
1998-09-28,1.060
1998-10-05,1.054
1998-10-12,1.057
1998-10-19,1.041
1998-10-26,1.050
1998-11-02,1.043
1998-11-09,1.049
1998-11-16,1.020
1998-11-23,1.007
1998-11-30,0.984
1998-12-07,0.965
1998-12-14,0.965
1998-12-21,0.961
1998-12-28,0.950
1999-01-04,0.949
1999-01-11,0.953
1999-01-18,1.007
1999-01-25,0.998
1999-02-01,0.967
1999-02-08,0.952
1999-02-15,0.942
1999-02-22,0.913
1999-03-01,0.936
1999-03-08,0.914
1999-03-15,1.024
1999-03-22,1.082
1999-03-29,1.121
1999-04-05,1.132
1999-04-12,1.152
1999-04-19,1.138
1999-04-26,1.127
1999-05-03,1.124
1999-05-10,1.175
1999-05-17,1.157
1999-05-24,1.140
1999-05-31,1.126
1999-06-07,1.101
1999-06-14,1.128
1999-06-21,1.147
1999-06-28,1.128
1999-07-05,1.135
1999-07-12,1.173
1999-07-19,1.165
1999-07-26,1.197
1999-08-02,1.190
1999-08-09,1.177
1999-08-16,1.243
1999-08-23,1.234
1999-08-30,1.209
1999-09-06,1.268
1999-09-13,1.248
1999-09-20,1.310
1999-09-27,1.295
1999-10-04,1.267
1999-10-11,1.257
1999-10-18,1.221
1999-10-25,1.197
1999-11-01,1.218
1999-11-08,1.234
1999-11-15,1.266
