DATE,VALUE
1994-12-01,1.242
1995-01-01,1.252
1995-02-01,1.235
1995-03-01,1.219
1995-04-01,1.229
1995-05-01,1.264
1995-06-01,1.253
1995-07-01,1.216
1995-08-01,1.167
1995-09-01,1.147
1995-10-01,1.163
1995-11-01,1.160
1995-12-01,1.148
1996-01-01,1.153
1996-02-01,1.167
1996-03-01,1.233
1996-04-01,1.397
1996-05-01,1.520
1996-06-01,1.483
1996-07-01,1.430
1996-08-01,1.355
1996-09-01,1.293
1996-10-01,1.238
1996-11-01,1.169
1996-12-01,1.182
1997-01-01,1.241
1997-02-01,1.278
1997-03-01,1.316
1997-04-01,1.378
1997-05-01,1.355
1997-06-01,1.314
1997-07-01,1.262
1997-08-01,1.331
1997-09-01,1.426
1997-10-01,1.412
1997-11-01,1.360
1997-12-01,1.313
1998-01-01,1.259
1998-02-01,1.167
1998-03-01,1.069
1998-04-01,1.114
1998-05-01,1.222
1998-06-01,1.212
1998-07-01,1.187
1998-08-01,1.160
1998-09-01,1.145
1998-10-01,1.140
1998-11-01,1.140
1998-12-01,1.131
1999-01-01,1.118
1999-02-01,1.099
1999-03-01,1.225
1999-04-01,1.586
1999-05-01,1.461
1999-06-01,1.336
1999-07-01,1.405
1999-08-01,1.504
1999-09-01,1.423
1999-10-01,1.373
1999-11-01,1.348
1999-12-01,1.372
2000-01-01,1.355
2000-02-01,1.433
2000-03-01,1.731
2000-04-01,1.731
2000-05-01,1.640
2000-06-01,1.615
2000-07-01,1.703
2000-08-01,1.670
2000-09-01,1.815
2000-10-01,1.804
2000-11-01,1.761
2000-12-01,1.675
2001-01-01,1.597
2001-02-01,1.632
2001-03-01,1.685
2001-04-01,1.785
2001-05-01,1.939
2001-06-01,1.920
2001-07-01,1.764
2001-08-01,1.553
2001-09-01,1.656
2001-10-01,1.541
2001-11-01,1.354
2001-12-01,1.155
2002-01-01,1.183
2002-02-01,1.269
2002-03-01,1.454
2002-04-01,1.603
2002-05-01,1.564
2002-06-01,1.583
2002-07-01,1.597
2002-08-01,1.585
2002-09-01,1.575
2002-10-01,1.528
2002-11-01,1.573
2002-12-01,1.531
2003-01-01,1.607
2003-02-01,1.799
2003-03-01,2.099
2003-04-01,2.042
2003-05-01,1.839
2003-06-01,1.752
2003-07-01,1.729
2003-08-01,1.859
2003-09-01,2.010
2003-10-01,1.782
2003-11-01,1.682
2003-12-01,1.623
2004-01-01,1.664
2004-02-01,1.852
2004-03-01,2.081
2004-04-01,2.126
2004-05-01,2.242
2004-06-01,2.259
2004-07-01,2.165
2004-08-01,2.069
2004-09-01,2.058
2004-10-01,2.310
2004-11-01,2.283
2004-12-01,2.080
2005-01-01,1.955
2005-02-01,2.102
2005-03-01,2.283
2005-04-01,2.533
2005-05-01,2.461
2005-06-01,2.352
2005-07-01,2.500
2005-08-01,2.663
2005-09-01,2.991
2005-10-01,2.875
2005-11-01,2.518
2005-12-01,2.265
2006-01-01,2.368
2006-02-01,2.481
2006-03-01,2.559
2006-04-01,2.863
2006-05-01,3.270
2006-06-01,3.189
2006-07-01,3.187
2006-08-01,3.135
2006-09-01,2.854
2006-10-01,2.514
2006-11-01,2.436
2006-12-01,2.520
2007-01-01,2.546
2007-02-01,2.631
2007-03-01,3.018
2007-04-01,3.258
2007-05-01,3.405
2007-06-01,3.253
2007-07-01,3.095
2007-08-01,2.869
2007-09-01,2.846
2007-10-01,3.028
2007-11-01,3.311
2007-12-01,3.272
2008-01-01,3.218
2008-02-01,3.152
2008-03-01,3.524
2008-04-01,3.755
2008-05-01,3.931
2008-06-01,4.447
2008-07-01,4.424
2008-08-01,4.047
2008-09-01,3.763
2008-10-01,3.359
2008-11-01,2.441
2008-12-01,1.805
2009-01-01,1.978
2009-02-01,2.196
2009-03-01,2.165
2009-04-01,2.285
2009-05-01,2.442
2009-06-01,2.892
