DATE,VALUE
1992-06-01,1.195
1992-07-01,1.202
1992-08-01,1.194
1992-09-01,1.185
1992-10-01,1.171
1992-11-01,1.182
1992-12-01,1.132
1993-01-01,1.098
1993-02-01,1.092
1993-03-01,1.091
1993-04-01,1.125
1993-05-01,1.155
1993-06-01,1.135
1993-07-01,1.121
1993-08-01,1.116
1993-09-01,1.110
1993-10-01,1.163
1993-11-01,1.168
1993-12-01,1.126
1994-01-01,1.076
1994-02-01,1.072
1994-03-01,1.058
1994-04-01,1.052
1994-05-01,1.076
1994-06-01,1.136
1994-07-01,1.170
1994-08-01,1.241
1994-09-01,1.257
1994-10-01,1.189
1994-11-01,1.181
1994-12-01,1.151
1995-01-01,1.123
1995-02-01,1.098
1995-03-01,1.109
1995-04-01,1.132
1995-05-01,1.172
1995-06-01,1.175
1995-07-01,1.161
1995-08-01,1.144
1995-09-01,1.153
1995-10-01,1.147
1995-11-01,1.139
1995-12-01,1.128
1996-01-01,1.116
1996-02-01,1.114
1996-03-01,1.151
1996-04-01,1.236
1996-05-01,1.314
1996-06-01,1.285
1996-07-01,1.258
1996-08-01,1.257
1996-09-01,1.262
1996-10-01,1.266
1996-11-01,1.278
1996-12-01,1.261
1997-01-01,1.251
1997-02-01,1.248
1997-03-01,1.243
1997-04-01,1.261
1997-05-01,1.245
1997-06-01,1.248
1997-07-01,1.252
1997-08-01,1.267
1997-09-01,1.272
1997-10-01,1.266
1997-11-01,1.261
1997-12-01,1.244
1998-01-01,1.190
1998-02-01,1.099
1998-03-01,1.027
1998-04-01,1.050
1998-05-01,1.104
1998-06-01,1.144
1998-07-01,1.120
1998-08-01,1.113
1998-09-01,1.102
1998-10-01,1.097
1998-11-01,1.081
1998-12-01,0.993
1999-01-01,0.959
1999-02-01,0.957
1999-03-01,1.014
1999-04-01,1.181
1999-05-01,1.207
1999-06-01,1.194
1999-07-01,1.225
1999-08-01,1.326
1999-09-01,1.360
1999-10-01,1.346
1999-11-01,1.314
1999-12-01,1.311
2000-01-01,1.294
2000-02-01,1.346
2000-03-01,1.511
2000-04-01,1.519
2000-05-01,1.487
2000-06-01,1.565
2000-07-01,1.601
2000-08-01,1.547
2000-09-01,1.590
2000-10-01,1.608
2000-11-01,1.591
2000-12-01,1.498
2001-01-01,1.427
2001-02-01,1.437
2001-03-01,1.430
2001-04-01,1.517
2001-05-01,1.660
2001-06-01,1.655
2001-07-01,1.502
2001-08-01,1.429
2001-09-01,1.570
2001-10-01,1.456
2001-11-01,1.257
2001-12-01,1.110
2002-01-01,1.114
2002-02-01,1.108
2002-03-01,1.211
2002-04-01,1.383
2002-05-01,1.386
2002-06-01,1.378
2002-07-01,1.424
2002-08-01,1.455
2002-09-01,1.442
2002-10-01,1.464
2002-11-01,1.446
2002-12-01,1.389
2003-01-01,1.419
2003-02-01,1.572
2003-03-01,1.662
2003-04-01,1.586
2003-05-01,1.511
2003-06-01,1.502
2003-07-01,1.538
2003-08-01,1.641
2003-09-01,1.704
2003-10-01,1.583
2003-11-01,1.551
2003-12-01,1.499
2004-01-01,1.531
2004-02-01,1.583
2004-03-01,1.718
2004-04-01,1.831
2004-05-01,1.976
2004-06-01,1.965
2004-07-01,1.914
2004-08-01,1.899
2004-09-01,1.884
2004-10-01,1.968
2004-11-01,1.969
2004-12-01,1.868
2005-01-01,1.794
2005-02-01,1.872
2005-03-01,2.058
2005-04-01,2.233
2005-05-01,2.220
2005-06-01,2.164
2005-07-01,2.269
2005-08-01,2.433
2005-09-01,2.914
2005-10-01,2.762
2005-11-01,2.311
2005-12-01,2.113
2006-01-01,2.196
2006-02-01,2.232
2006-03-01,2.342
2006-04-01,2.545
2006-05-01,2.822
2006-06-01,2.837
2006-07-01,2.900
2006-08-01,3.004
2006-09-01,2.828
2006-10-01,2.431
2006-11-01,2.251
2006-12-01,2.247
2007-01-01,2.191
2007-02-01,2.175
2007-03-01,2.448
2007-04-01,2.788
2007-05-01,3.206
2007-06-01,3.201
2007-07-01,3.056
2007-08-01,2.868
2007-09-01,2.825
2007-10-01,2.825
2007-11-01,3.042
2007-12-01,2.975
2008-01-01,2.935
2008-02-01,2.972
2008-03-01,3.161
2008-04-01,3.371
2008-05-01,3.660
2008-06-01,3.972
2008-07-01,4.082
2008-08-01,3.920
2008-09-01,3.717
2008-10-01,3.142
2008-11-01,2.155
2008-12-01,1.590
2009-01-01,1.577
2009-02-01,1.778
2009-03-01,1.845
2009-04-01,2.022
2009-05-01,2.220
2009-06-01,2.544
2009-07-01,2.545
2009-08-01,2.584
2009-09-01,2.575
2009-10-01,2.519
2009-11-01,2.593
2009-12-01,2.524
2010-01-01,2.582
2010-02-01,2.613
2010-03-01,2.721
2010-04-01,2.866
2010-05-01,2.875
2010-06-01,2.774
2010-07-01,2.750
2010-08-01,2.794
2010-09-01,2.820
2010-10-01,2.797
2010-11-01,2.783
2010-12-01,2.798
2011-01-01,2.890
2011-02-01,3.063
2011-03-01,3.370
2011-04-01,3.579
2011-05-01,3.724
2011-06-01,3.635
2011-07-01,3.520
2011-08-01,3.541
2011-09-01,3.587
2011-10-01,3.523
2011-11-01,3.416
2011-12-01,3.188
2012-01-01,3.018
2012-02-01,3.108
2012-03-01,3.530
2012-04-01,3.785
2012-05-01,3.755
2012-06-01,3.690
2012-07-01,3.519
2012-08-01,3.518
2012-09-01,3.721
2012-10-01,3.720
2012-11-01,3.538
2012-12-01,3.211
2013-01-01,2.916
2013-02-01,3.325
2013-03-01,3.471
2013-04-01,3.500
2013-05-01,3.612
2013-06-01,3.702
2013-07-01,3.623
2013-08-01,3.636
2013-09-01,3.601
2013-10-01,3.440
2013-11-01,3.216
2013-12-01,3.080
2014-01-01,3.137
2014-02-01,3.206
2014-03-01,3.438
2014-04-01,3.453
2014-05-01,3.505
2014-06-01,3.555
2014-07-01,3.643
2014-08-01,3.651
2014-09-01,3.579
2014-10-01,3.306
2014-11-01,3.040
2014-12-01,2.560
2015-01-01,1.970
2015-02-01,1.962
2015-03-01,2.252
2015-04-01,2.394
2015-05-01,2.654
2015-06-01,2.772
2015-07-01,2.831
2015-08-01,2.810
2015-09-01,2.640
2015-10-01,2.390
2015-11-01,2.140
2015-12-01,1.994
2016-01-01,1.919
2016-02-01,1.724
2016-03-01,1.875
2016-04-01,2.041
2016-05-01,2.248
2016-06-01,2.321
2016-07-01,2.283
2016-08-01,2.237
2016-09-01,2.263
2016-10-01,2.267
2016-11-01,2.209
2016-12-01,2.138
2017-01-01,2.254
2017-02-01,2.247
2017-03-01,2.300
2017-04-01,2.355
2017-05-01,2.397
2017-06-01,2.414
2017-07-01,2.340
2017-08-01,2.435
2017-09-01,2.600
2017-10-01,2.536
2017-11-01,2.540
2017-12-01,2.494
2018-01-01,2.458
2018-02-01,2.487
2018-03-01,2.458
2018-04-01,2.709
2018-05-01,2.926
2018-06-01,2.981
2018-07-01,2.947
2018-08-01,2.956
2018-09-01,3.011
2018-10-01,2.980
2018-11-01,2.863
2018-12-01,2.572
