DATE,VALUE
1992-05-11,1.117
1992-05-18,1.169
1992-05-25,1.159
1992-06-01,1.155
1992-06-08,1.178
1992-06-15,1.212
1992-06-22,1.219
1992-06-29,1.212
1992-07-06,1.200
1992-07-13,1.200
1992-07-20,1.208
1992-07-27,1.198
1992-08-03,1.189
1992-08-10,1.187
1992-08-17,1.180
1992-08-24,1.213
1992-08-31,1.203
1992-09-07,1.202
1992-09-14,1.188
1992-09-21,1.178
1992-09-28,1.173
1992-10-05,1.167
1992-10-12,1.183
1992-10-19,1.177
1992-10-26,1.158
1992-11-02,1.206
1992-11-09,1.195
1992-11-16,1.182
1992-11-23,1.171
1992-11-30,1.157
1992-12-07,1.149
1992-12-14,1.136
1992-12-21,1.127
1992-12-28,1.117
1993-01-04,1.105
1993-01-11,1.092
1993-01-18,1.076
1993-01-25,1.119
1993-02-01,1.106
1993-02-08,1.099
1993-02-15,1.086
1993-02-22,1.078
1993-03-01,1.084
1993-03-08,1.080
1993-03-15,1.081
1993-03-22,1.108
1993-03-29,1.103
1993-04-05,1.093
1993-04-12,1.118
1993-04-19,1.120
1993-04-26,1.169
1993-05-03,1.161
1993-05-10,1.143
1993-05-17,1.136
1993-05-24,1.170
1993-05-31,1.164
1993-06-07,1.149
1993-06-14,1.137
1993-06-21,1.132
1993-06-28,1.120
1993-07-05,1.111
1993-07-12,1.134
1993-07-19,1.124
1993-07-26,1.114
1993-08-02,1.103
1993-08-09,1.092
1993-08-16,1.134
1993-08-23,1.129
1993-08-30,1.121
1993-09-06,1.108
1993-09-13,1.108
1993-09-20,1.093
1993-09-27,1.132
1993-10-04,1.155
1993-10-11,1.144
1993-10-18,1.149
1993-10-25,1.202
1993-11-01,1.186
1993-11-08,1.169
1993-11-15,1.158
1993-11-22,1.171
1993-11-29,1.158
1993-12-06,1.154
1993-12-13,1.135
1993-12-20,1.115
1993-12-27,1.098
1994-01-03,1.085
1994-01-10,1.065
1994-01-17,1.092
1994-01-24,1.075
1994-01-31,1.063
1994-02-07,1.056
1994-02-14,1.097
1994-02-21,1.073
1994-02-28,1.062
1994-03-07,1.042
1994-03-14,1.089
1994-03-21,1.064
1994-03-28,1.036
1994-04-04,1.027
1994-04-11,1.081
1994-04-18,1.059
1994-04-25,1.039
1994-05-02,1.039
1994-05-09,1.104
1994-05-16,1.091
1994-05-23,1.069
1994-05-30,1.076
1994-06-06,1.135
1994-06-13,1.126
1994-06-20,1.128
1994-06-27,1.156
1994-07-04,1.142
1994-07-11,1.194
1994-07-18,1.179
1994-07-25,1.163
1994-08-01,1.215
1994-08-08,1.235
1994-08-15,1.234
1994-08-22,1.230
1994-08-29,1.293
1994-09-05,1.282
1994-09-12,1.266
1994-09-19,1.249
1994-09-26,1.230
1994-10-03,1.205
1994-10-10,1.178
1994-10-17,1.160
1994-10-24,1.213
1994-10-31,1.189
1994-11-07,1.174
1994-11-14,1.209
1994-11-21,1.186
1994-11-28,1.156
1994-12-05,1.169
1994-12-12,1.169
1994-12-19,1.144
1994-12-26,1.121
1995-01-02,1.144
1995-01-09,1.126
1995-01-16,1.104
1995-01-23,1.132
1995-01-30,1.111
1995-02-06,1.091
1995-02-13,1.119
1995-02-20,1.099
1995-02-27,1.082
1995-03-06,1.121
1995-03-13,1.101
1995-03-20,1.084
1995-03-27,1.131
1995-04-03,1.117
1995-04-10,1.148
1995-04-17,1.141
1995-04-24,1.123
1995-05-01,1.166
1995-05-08,1.146
1995-05-15,1.190
1995-05-22,1.176
1995-05-29,1.180
1995-06-05,1.171
1995-06-12,1.185
1995-06-19,1.176
1995-06-26,1.168
1995-07-03,1.179
1995-07-10,1.158
1995-07-17,1.146
1995-07-24,1.169
1995-07-31,1.152
1995-08-07,1.131
1995-08-14,1.163
1995-08-21,1.150
1995-08-28,1.133
1995-09-04,1.130
1995-09-11,1.166
1995-09-18,1.163
1995-09-25,1.151
1995-10-02,1.177
1995-10-09,1.158
1995-10-16,1.129
1995-10-23,1.116
1995-10-30,1.154
1995-11-06,1.134
1995-11-13,1.116
1995-11-20,1.160
1995-11-27,1.147
1995-12-04,1.122
1995-12-11,1.140
1995-12-18,1.123
1995-12-25,1.126
1996-01-01,1.113
1996-01-08,1.126
1996-01-15,1.119
1996-01-22,1.091
1996-01-29,1.130
1996-02-05,1.115
1996-02-12,1.085
1996-02-19,1.138
1996-02-26,1.118
1996-03-04,1.160
1996-03-11,1.143
1996-03-18,1.122
1996-03-25,1.178
1996-04-01,1.174
1996-04-08,1.225
1996-04-15,1.232
1996-04-22,1.237
1996-04-29,1.311
1996-05-06,1.316
1996-05-13,1.298
1996-05-20,1.333
1996-05-27,1.319
1996-06-03,1.290
1996-06-10,1.267
1996-06-17,1.304
1996-06-24,1.277
1996-07-01,1.279
1996-07-08,1.266
1996-07-15,1.237
1996-07-22,1.271
1996-07-29,1.252
1996-08-05,1.239
1996-08-12,1.277
1996-08-19,1.254
1996-08-26,1.278
1996-09-02,1.265
1996-09-09,1.250
1996-09-16,1.284
1996-09-23,1.267
1996-09-30,1.250
1996-10-07,1.277
1996-10-14,1.261
1996-10-21,1.251
1996-10-28,1.274
1996-11-04,1.270
1996-11-11,1.264
1996-11-18,1.297
1996-11-25,1.279
1996-12-02,1.263
1996-12-09,1.248
1996-12-16,1.283
1996-12-23,1.265
1996-12-30,1.245
1997-01-06,1.236
1997-01-13,1.260
1997-01-20,1.247
1997-01-27,1.260
1997-02-03,1.240
1997-02-10,1.263
1997-02-17,1.248
1997-02-24,1.242
1997-03-03,1.261
1997-03-10,1.242
1997-03-17,1.259
1997-03-24,1.235
1997-03-31,1.219
1997-04-07,1.267
1997-04-14,1.254
1997-04-21,1.275
1997-04-28,1.247
1997-05-05,1.224
1997-05-12,1.273
1997-05-19,1.253
1997-05-26,1.231
1997-06-02,1.279
1997-06-09,1.257
1997-06-16,1.230
1997-06-23,1.208
1997-06-30,1.265
1997-07-07,1.252
1997-07-14,1.275
1997-07-21,1.253
1997-07-28,1.227
1997-08-04,1.253
1997-08-11,1.255
1997-08-18,1.280
1997-08-25,1.281
1997-09-01,1.265
1997-09-08,1.305
1997-09-15,1.285
1997-09-22,1.259
1997-09-29,1.246
1997-10-06,1.242
1997-10-13,1.290
1997-10-20,1.272
1997-10-27,1.258
1997-11-03,1.244
1997-11-10,1.287
1997-11-17,1.272
1997-11-24,1.242
1997-12-01,1.221
1997-12-08,1.262
1997-12-15,1.267
1997-12-22,1.245
1997-12-29,1.223
1998-01-05,1.201
1998-01-12,1.178
1998-01-19,1.203
1998-01-26,1.177
1998-02-02,1.146
1998-02-09,1.098
1998-02-16,1.053
1998-02-23,1.097
1998-03-02,1.053
1998-03-09,1.031
1998-03-16,1.016
1998-03-23,0.993
1998-03-30,1.043
1998-04-06,1.032
1998-04-13,1.054
1998-04-20,1.059
1998-04-27,1.055
1998-05-04,1.065
1998-05-11,1.101
1998-05-18,1.127
1998-05-25,1.122
1998-06-01,1.115
1998-06-08,1.169
1998-06-15,1.156
1998-06-22,1.151
1998-06-29,1.130
1998-07-06,1.121
1998-07-13,1.118
1998-07-20,1.123
1998-07-27,1.119
1998-08-03,1.111
1998-08-10,1.105
1998-08-17,1.122
1998-08-24,1.118
1998-08-31,1.108
1998-09-07,1.094
1998-09-14,1.109
1998-09-21,1.108
1998-09-28,1.095
1998-10-05,1.088
1998-10-12,1.107
1998-10-19,1.097
1998-10-26,1.095
1998-11-02,1.087
1998-11-09,1.081
1998-11-16,1.095
1998-11-23,1.079
1998-11-30,1.065
1998-12-07,1.038
1998-12-14,1.002
1998-12-21,0.972
1998-12-28,0.959
1999-01-04,0.956
1999-01-11,0.953
