DATE,VALUE
1992-06-01,1.251
1992-07-01,1.266
1992-08-01,1.254
1992-09-01,1.238
1992-10-01,1.230
1992-11-01,1.244
1992-12-01,1.221
1993-01-01,1.210
1993-02-01,1.195
1993-03-01,1.163
1993-04-01,1.155
1993-05-01,1.175
1993-06-01,1.186
1993-07-01,1.175
1993-08-01,1.156
1993-09-01,1.161
1993-10-01,1.212
1993-11-01,1.177
1993-12-01,1.131
1994-01-01,1.108
1994-02-01,1.108
1994-03-01,1.112
1994-04-01,1.123
1994-05-01,1.146
1994-06-01,1.170
1994-07-01,1.196
1994-08-01,1.223
1994-09-01,1.225
1994-10-01,1.229
1994-11-01,1.229
1994-12-01,1.220
1995-01-01,1.217
1995-02-01,1.200
1995-03-01,1.187
1995-04-01,1.199
1995-05-01,1.243
1995-06-01,1.250
1995-07-01,1.232
1995-08-01,1.206
1995-09-01,1.197
1995-10-01,1.200
1995-11-01,1.184
1995-12-01,1.177
1996-01-01,1.182
1996-02-01,1.184
1996-03-01,1.230
1996-04-01,1.369
1996-05-01,1.496
1996-06-01,1.468
1996-07-01,1.426
1996-08-01,1.378
1996-09-01,1.330
1996-10-01,1.291
1996-11-01,1.239
1996-12-01,1.221
1997-01-01,1.263
1997-02-01,1.302
1997-03-01,1.326
1997-04-01,1.366
1997-05-01,1.346
1997-06-01,1.307
1997-07-01,1.264
1997-08-01,1.315
1997-09-01,1.401
1997-10-01,1.395
1997-11-01,1.359
1997-12-01,1.311
1998-01-01,1.260
1998-02-01,1.178
1998-03-01,1.087
1998-04-01,1.117
1998-05-01,1.198
1998-06-01,1.190
1998-07-01,1.172
1998-08-01,1.152
1998-09-01,1.138
1998-10-01,1.133
1998-11-01,1.128
1998-12-01,1.112
1999-01-01,1.096
1999-02-01,1.073
1999-03-01,1.177
1999-04-01,1.501
1999-05-01,1.410
1999-06-01,1.326
1999-07-01,1.386
1999-08-01,1.466
1999-09-01,1.411
1999-10-01,1.370
1999-11-01,1.348
1999-12-01,1.365
2000-01-01,1.356
2000-02-01,1.424
2000-03-01,1.680
2000-04-01,1.694
2000-05-01,1.616
2000-06-01,1.592
2000-07-01,1.670
2000-08-01,1.652
2000-09-01,1.768
2000-10-01,1.762
2000-11-01,1.723
2000-12-01,1.650
2001-01-01,1.568
2001-02-01,1.588
2001-03-01,1.627
2001-04-01,1.685
2001-05-01,1.792
2001-06-01,1.805
2001-07-01,1.682
2001-08-01,1.526
2001-09-01,1.647
2001-10-01,1.542
2001-11-01,1.369
2001-12-01,1.179
2002-01-01,1.186
2002-02-01,1.238
2002-03-01,1.386
2002-04-01,1.535
2002-05-01,1.513
2002-06-01,1.532
2002-07-01,1.547
2002-08-01,1.536
2002-09-01,1.523
2002-10-01,1.480
2002-11-01,1.510
2002-12-01,1.474
2003-01-01,1.534
2003-02-01,1.730
2003-03-01,2.005
2003-04-01,1.941
2003-05-01,1.764
2003-06-01,1.714
2003-07-01,1.703
2003-08-01,1.831
2003-09-01,1.966
2003-10-01,1.751
2003-11-01,1.668
2003-12-01,1.612
2004-01-01,1.655
2004-02-01,1.815
2004-03-01,2.014
2004-04-01,2.074
2004-05-01,2.221
2004-06-01,2.224
2004-07-01,2.116
