DATE,VALUE
1968-04-01,15.806
1968-04-02,15.638
1968-04-03,15.675
1968-04-04,15.252
1968-04-05,15.471
1968-04-08,15.383
1968-04-09,15.485
1968-04-10,15.642
1968-04-11,15.844
1968-04-12,.
1968-04-15,.
1968-04-16,15.856
1968-04-17,15.810
1968-04-18,15.652
1968-04-19,15.681
1968-04-22,15.960
1968-04-23,15.858
1968-04-24,15.985
1968-04-25,15.950
1968-04-26,16.058
1968-04-29,16.092
1968-04-30,16.315
1968-05-01,16.310
1968-05-02,16.379
1968-05-03,16.533
1968-05-06,16.575
1968-05-07,16.408
1968-05-08,16.490
1968-05-09,16.590
1968-05-10,16.642
1968-05-13,16.498
1968-05-14,16.575
1968-05-15,16.773
1968-05-16,17.098
1968-05-17,17.433
1968-05-20,17.596
1968-05-21,17.858
1968-05-22,17.683
1968-05-23,17.398
1968-05-24,17.510
1968-05-27,17.398
1968-05-28,17.435
1968-05-29,17.396
1968-05-30,17.504
1968-05-31,17.621
1968-06-03,.
1968-06-04,17.269
1968-06-05,17.352
1968-06-06,17.296
1968-06-07,17.281
1968-06-10,17.333
1968-06-11,17.304
1968-06-12,17.638
1968-06-13,17.354
1968-06-14,16.854
1968-06-17,17.135
1968-06-18,17.050
1968-06-19,17.358
1968-06-20,17.219
1968-06-21,17.221
1968-06-24,17.223
1968-06-25,17.142
1968-06-26,17.183
1968-06-27,17.123
1968-06-28,17.188
1968-07-01,17.163
1968-07-02,17.138
1968-07-03,17.158
1968-07-04,17.229
1968-07-05,17.250
1968-07-08,17.165
1968-07-09,16.994
1968-07-10,16.814
1968-07-11,16.506
1968-07-12,16.356
1968-07-15,16.369
1968-07-16,16.269
1968-07-17,15.800
1968-07-18,15.892
1968-07-19,16.354
1968-07-22,16.160
1968-07-23,16.158
1968-07-24,16.385
1968-07-25,16.344
1968-07-26,16.188
1968-07-29,16.238
1968-07-30,16.329
1968-07-31,16.242
1968-08-01,16.206
1968-08-02,16.206
1968-08-05,16.223
1968-08-06,16.225
1968-08-07,16.200
1968-08-08,16.100
1968-08-09,16.063
1968-08-12,16.123
1968-08-13,16.188
1968-08-14,16.281
1968-08-15,16.300
1968-08-16,16.344
1968-08-19,16.363
1968-08-20,16.448
1968-08-21,16.846
1968-08-22,16.596
1968-08-23,16.604
1968-08-26,16.498
1968-08-27,16.560
1968-08-28,16.565
1968-08-29,16.679
1968-08-30,16.717
1968-09-02,.
1968-09-03,16.767
1968-09-04,16.735
1968-09-05,16.760
1968-09-06,16.788
1968-09-09,16.767
1968-09-10,16.758
1968-09-11,16.754
1968-09-12,16.779
1968-09-13,16.833
1968-09-16,16.846
1968-09-17,16.969
1968-09-18,16.925
1968-09-19,16.965
1968-09-20,16.954
1968-09-23,16.913
1968-09-24,16.940
1968-09-25,16.913
1968-09-26,16.929
1968-09-27,16.865
1968-09-30,16.629
1968-10-01,16.579
1968-10-02,16.027
1968-10-03,16.317
1968-10-04,16.283
1968-10-07,16.654
1968-10-08,16.638
1968-10-09,16.402
1968-10-10,16.250
1968-10-11,16.413
1968-10-14,16.492
1968-10-15,16.410
1968-10-16,16.302
1968-10-17,16.404
1968-10-18,16.490
1968-10-21,16.358
1968-10-22,16.298
1968-10-23,16.385
1968-10-24,16.396
1968-10-25,16.438
1968-10-28,16.469
1968-10-29,16.567
1968-10-30,16.435
1968-10-31,16.396
1968-11-01,16.265
1968-11-04,16.417
1968-11-05,16.456
1968-11-06,16.521
1968-11-07,16.540
1968-11-08,16.488
1968-11-11,16.525
1968-11-12,16.625
1968-11-13,16.631
1968-11-14,16.652
1968-11-15,16.771
1968-11-18,16.775
1968-11-19,16.808
1968-11-20,.
1968-11-21,.
1968-11-22,.
1968-11-25,16.906
1968-11-26,16.798
1968-11-27,16.652
1968-11-28,16.702
1968-11-29,16.706
1968-12-02,16.723
1968-12-03,16.840
1968-12-04,17.102
1968-12-05,16.971
1968-12-06,16.935
1968-12-09,17.048
1968-12-10,17.069
1968-12-11,17.081
1968-12-12,17.319
1968-12-13,17.154
1968-12-16,17.179
1968-12-17,17.277
