DATE,VALUE
1999-01-04,243.039
1999-01-05,242.918
1999-01-06,245.331
1999-01-07,248.351
1999-01-08,250.992
1999-01-11,252.625
1999-01-12,250.909
1999-01-13,243.143
1999-01-14,244.354
1999-01-15,245.978
1999-01-18,249.240
1999-01-19,247.087
1999-01-20,247.191
1999-01-21,247.954
1999-01-22,247.841
1999-01-25,248.446
1999-01-26,248.035
1999-01-27,246.354
1999-01-28,248.510
1999-01-29,250.901
1999-02-01,253.780
1999-02-02,254.390
1999-02-03,252.843
1999-02-04,254.880
1999-02-05,256.450
1999-02-08,257.098
1999-02-09,253.646
1999-02-10,254.257
1999-02-11,254.020
1999-02-12,256.977
1999-02-15,257.410
1999-02-16,255.074
1999-02-17,253.887
1999-02-18,254.001
1999-02-19,257.347
1999-02-22,260.150
1999-02-23,261.230
1999-02-24,261.420
1999-02-25,259.230
1999-02-26,261.263
1999-03-01,261.994
1999-03-02,263.989
1999-03-03,262.099
1999-03-04,265.504
1999-03-05,266.180
1999-03-08,266.011
1999-03-09,269.107
1999-03-10,266.338
1999-03-11,271.093
1999-03-12,267.735
1999-03-15,264.370
1999-03-16,259.040
1999-03-17,261.820
1999-03-18,257.720
1999-03-19,259.680
1999-03-22,261.209
1999-03-23,261.241
1999-03-24,259.708
1999-03-25,260.310
1999-03-26,260.279
1999-03-29,261.700
1999-03-30,260.093
1999-03-31,259.881
1999-04-01,260.057
1999-04-02,.
1999-04-05,.
1999-04-06,259.916
1999-04-07,259.280
1999-04-08,258.990
1999-04-09,259.940
1999-04-12,260.894
1999-04-13,262.441
1999-04-14,262.286
1999-04-15,260.296
1999-04-16,265.980
1999-04-19,267.357
1999-04-20,266.745
1999-04-21,266.839
1999-04-22,267.535
1999-04-23,265.610
1999-04-26,265.316
1999-04-27,264.393
1999-04-28,265.105
1999-04-29,267.107
1999-04-30,270.633
1999-05-03,.
1999-05-04,269.303
1999-05-05,267.991
1999-05-06,266.670
1999-05-07,261.240
1999-05-10,258.653
1999-05-11,260.317
1999-05-12,259.635
1999-05-13,261.323
1999-05-14,257.703
1999-05-17,258.642
1999-05-18,257.176
1999-05-19,255.845
1999-05-20,257.349
1999-05-21,258.831
1999-05-24,257.400
1999-05-25,255.381
1999-05-26,256.911
1999-05-27,256.754
1999-05-28,256.665
1999-05-31,.
1999-06-01,254.968
1999-06-02,257.571
1999-06-03,254.714
1999-06-04,257.673
1999-06-07,258.240
1999-06-08,251.414
1999-06-09,250.048
1999-06-10,246.168
1999-06-11,247.640
1999-06-14,249.497
1999-06-15,249.424
1999-06-16,250.727
1999-06-17,250.509
1999-06-18,248.751
1999-06-21,251.455
1999-06-22,250.654
1999-06-23,251.728
1999-06-24,251.937
1999-06-25,249.904
1999-06-28,250.481
1999-06-29,253.238
1999-06-30,252.613
1999-07-01,256.295
1999-07-02,257.210
1999-07-05,256.039
1999-07-06,252.153
1999-07-07,251.689
1999-07-08,253.025
1999-07-09,251.884
1999-07-12,252.590
1999-07-13,249.902
1999-07-14,250.638
1999-07-15,248.385
1999-07-16,249.976
1999-07-19,250.076
1999-07-20,243.498
1999-07-21,242.381
1999-07-22,241.742
1999-07-23,243.143
1999-07-26,237.315
1999-07-27,239.360
1999-07-28,239.717
1999-07-29,237.845
1999-07-30,239.147
1999-08-02,239.540
1999-08-03,240.240
1999-08-04,237.448
1999-08-05,236.708
1999-08-06,237.796
1999-08-09,239.809
1999-08-10,238.827
1999-08-11,242.087
1999-08-12,244.873
1999-08-13,246.009
1999-08-16,246.315
1999-08-17,247.168
1999-08-18,247.678
1999-08-19,243.626
1999-08-20,242.261
1999-08-23,241.757
1999-08-24,240.897
1999-08-25,241.892
1999-08-26,242.249
1999-08-27,242.291
1999-08-30,.
1999-08-31,241.402
1999-09-01,240.170
1999-09-02,237.820
1999-09-03,239.887
1999-09-06,240.234
1999-09-07,241.200
1999-09-08,241.948
1999-09-09,242.587
1999-09-10,244.508
1999-09-13,247.036
1999-09-14,246.519
1999-09-15,249.466
1999-09-16,245.939
1999-09-17,245.406
1999-09-20,245.223
1999-09-21,247.348
1999-09-22,250.857
1999-09-23,253.939
1999-09-24,258.003
1999-09-27,269.770
1999-09-28,287.143
1999-09-29,289.759
1999-09-30,280.698
1999-10-01,287.168
1999-10-04,292.153
1999-10-05,304.576
1999-10-06,296.405
1999-10-07,301.632
1999-10-08,302.952
1999-10-11,298.441
1999-10-12,299.299
1999-10-13,299.302
1999-10-14,298.355
1999-10-15,290.265
1999-10-18,287.195
1999-10-19,286.574
1999-10-20,284.734
1999-10-21,279.690
1999-10-22,282.090
1999-10-25,282.507
1999-10-26,280.151
1999-10-27,275.764
1999-10-28,282.009
1999-10-29,285.401
1999-11-01,275.952
1999-11-02,276.589
1999-11-03,277.725
1999-11-04,276.341
1999-11-05,278.424
1999-11-08,277.697
1999-11-09,278.897
1999-11-10,284.102
1999-11-11,284.151
1999-11-12,282.219
1999-11-15,282.400
1999-11-16,285.126
1999-11-17,282.220
1999-11-18,283.261
1999-11-19,285.277
1999-11-22,285.645
1999-11-23,288.732
1999-11-24,290.954
1999-11-25,292.119
1999-11-26,294.056
1999-11-29,290.334
1999-11-30,289.814
1999-12-01,286.855
1999-12-02,284.577
1999-12-03,282.468
1999-12-06,270.024
1999-12-07,273.105
1999-12-08,274.258
1999-12-09,273.690
1999-12-10,276.611
1999-12-13,276.377
1999-12-14,277.750
1999-12-15,279.296
1999-12-16,276.294
1999-12-17,280.227
1999-12-20,281.966
1999-12-21,280.284
1999-12-22,283.567
1999-12-23,282.887
1999-12-24,.
1999-12-27,.
1999-12-28,.
1999-12-29,289.165
1999-12-30,289.094
1999-12-31,.
2000-01-03,.
2000-01-04,272.402
2000-01-05,270.470
2000-01-06,269.152
2000-01-07,274.017
2000-01-10,274.812
2000-01-11,274.322
2000-01-12,274.269
2000-01-13,274.898
2000-01-14,277.881
2000-01-17,282.777
2000-01-18,283.082
