DATE,VALUE
1996-04-01,0.950
1996-05-01,0.870
1996-06-01,0.745
1996-07-01,0.692
1996-08-01,0.705
1996-09-01,0.768
1996-10-01,0.817
1996-11-01,0.741
1996-12-01,0.735
1997-01-01,0.773
1997-02-01,0.789
1997-03-01,0.751
1997-04-01,0.731
1997-05-01,0.623
1997-06-01,0.589
1997-07-01,0.571
1997-08-01,0.679
1997-09-01,0.645
1997-10-01,0.685
1997-11-01,0.703
1997-12-01,0.601
1998-01-01,0.566
1998-02-01,0.497
1998-03-01,0.479
1998-04-01,0.552
1998-05-01,0.518
1998-06-01,0.469
1998-07-01,0.470
1998-08-01,0.463
1998-09-01,0.482
1998-10-01,0.478
1998-11-01,0.466
1998-12-01,0.391
1999-01-01,0.417
1999-02-01,0.391
1999-03-01,0.601
1999-04-01,0.588
1999-05-01,0.541
1999-06-01,0.675
1999-07-01,0.693
1999-08-01,0.713
1999-09-01,0.680
1999-10-01,0.708
1999-11-01,0.803
1999-12-01,0.762
2000-01-01,0.852
2000-02-01,0.887
2000-03-01,0.954
2000-04-01,0.815
2000-05-01,0.803
2000-06-01,0.839
2000-07-01,0.895
2000-08-01,1.059
2000-09-01,1.200
2000-10-01,1.169
2000-11-01,1.204
2000-12-01,1.058
2001-01-01,0.898
2001-02-01,0.901
2001-03-01,0.868
2001-04-01,0.879
2001-05-01,0.889
2001-06-01,0.906
2001-07-01,0.788
2001-08-01,0.854
2001-09-01,0.893
2001-10-01,0.726
2001-11-01,0.625
2001-12-01,0.565
2002-01-01,0.566
2002-02-01,0.616
2002-03-01,0.739
2002-04-01,0.726
2002-05-01,0.705
2002-06-01,0.730
2002-07-01,0.728
2002-08-01,0.811
2002-09-01,0.893
2002-10-01,0.840
2002-11-01,0.801
2002-12-01,0.844
2003-01-01,0.898
2003-02-01,1.073
2003-03-01,1.040
2003-04-01,0.814
2003-05-01,0.777
2003-06-01,0.839
2003-07-01,0.914
2003-08-01,0.975
2003-09-01,0.835
2003-10-01,0.897
2003-11-01,0.939
2003-12-01,0.975
2004-01-01,0.992
2004-02-01,1.156
2004-03-01,1.119
2004-04-01,1.450
2004-05-01,1.412
2004-06-01,1.186
2004-07-01,1.324
2004-08-01,1.361
2004-09-01,1.457
2004-10-01,1.625
2004-11-01,1.474
2004-12-01,1.256
2005-01-01,1.302
2005-02-01,1.502
2005-03-01,1.713
2005-04-01,1.790
2005-05-01,1.597
2005-06-01,1.722
2005-07-01,1.809
2005-08-01,2.120
2005-09-01,2.235
2005-10-01,2.179
2005-11-01,1.749
2005-12-01,1.751
2006-01-01,1.948
2006-02-01,1.901
2006-03-01,1.991
2006-04-01,2.278
2006-05-01,2.389
2006-06-01,2.269
2006-07-01,2.209
2006-08-01,2.300
2006-09-01,1.984
2006-10-01,1.809
2006-11-01,1.890
2006-12-01,2.023
2007-01-01,1.834
2007-02-01,2.006
2007-03-01,2.038
2007-04-01,2.177
2007-05-01,2.133
2007-06-01,2.251
2007-07-01,2.321
2007-08-01,2.165
2007-09-01,2.269
2007-10-01,2.499
2007-11-01,2.717
2007-12-01,2.568
2008-01-01,2.544
2008-02-01,2.747
2008-03-01,3.141
2008-04-01,3.378
2008-05-01,3.803
2008-06-01,3.894
2008-07-01,3.857
2008-08-01,3.226
2008-09-01,2.978
2008-10-01,2.233
2008-11-01,1.764
2008-12-01,1.336
2009-01-01,1.455
2009-02-01,1.290
2009-03-01,1.288
2009-04-01,1.423
2009-05-01,1.529
2009-06-01,1.843
2009-07-01,1.747
2009-08-01,1.940
2009-09-01,1.822
2009-10-01,1.987
2009-11-01,2.034
2009-12-01,1.999
2010-01-01,2.041
2010-02-01,2.019
2010-03-01,2.142
2010-04-01,2.305
2010-05-01,2.125
2010-06-01,2.139
2010-07-01,2.104
2010-08-01,2.161
2010-09-01,2.187
2010-10-01,2.338
2010-11-01,2.385
2010-12-01,2.503
2011-01-01,2.615
2011-02-01,2.853
2011-03-01,3.233
2011-04-01,3.387
2011-05-01,3.134
2011-06-01,3.074
2011-07-01,3.116
2011-08-01,2.971
2011-09-01,3.011
2011-10-01,3.089
2011-11-01,3.192
2011-12-01,2.910
2012-01-01,3.088
2012-02-01,3.242
2012-03-01,3.384
2012-04-01,3.252
2012-05-01,3.007
2012-06-01,2.654
2012-07-01,2.854
2012-08-01,3.225
2012-09-01,3.299
2012-10-01,3.226
2012-11-01,3.071
2012-12-01,2.971
2013-01-01,3.114
2013-02-01,3.259
2013-03-01,3.020
2013-04-01,2.908
2013-05-01,2.846
2013-06-01,2.914
2013-07-01,3.043
2013-08-01,3.103
2013-09-01,3.062
2013-10-01,2.972
2013-11-01,2.910
2013-12-01,3.002
2014-01-01,2.927
2014-02-01,3.022
2014-03-01,2.899
2014-04-01,2.998
2014-05-01,3.016
2014-06-01,3.006
2014-07-01,2.935
2014-08-01,2.949
2014-09-01,2.796
2014-10-01,2.577
2014-11-01,2.408
2014-12-01,1.896
2015-01-01,1.559
2015-02-01,1.951
2015-03-01,1.725
2015-04-01,1.812
2015-05-01,2.040
2015-06-01,1.896
2015-07-01,1.716
2015-08-01,1.519
2015-09-01,1.502
2015-10-01,1.553
2015-11-01,1.438
2015-12-01,1.213
2016-01-01,1.036
2016-02-01,1.033
2016-03-01,1.190
2016-04-01,1.296
2016-05-01,1.458
2016-06-01,1.547
2016-07-01,1.400
2016-08-01,1.400
2016-09-01,1.455
2016-10-01,1.630
2016-11-01,1.539
2016-12-01,1.656
