DATE,VALUE
2006-06-01,2.091
2006-07-01,2.217
2006-08-01,2.247
2006-09-01,1.810
2006-10-01,1.794
2006-11-01,1.811
2006-12-01,1.833
2007-01-01,1.630
2007-02-01,1.759
2007-03-01,1.891
2007-04-01,2.053
2007-05-01,2.044
2007-06-01,2.120
2007-07-01,2.146
2007-08-01,2.106
2007-09-01,2.320
2007-10-01,2.417
2007-11-01,2.700
2007-12-01,2.631
2008-01-01,2.590
2008-02-01,2.774
2008-03-01,3.253
2008-04-01,3.443
2008-05-01,3.821
2008-06-01,3.887
2008-07-01,3.845
2008-08-01,3.273
2008-09-01,3.041
2008-10-01,2.397
2008-11-01,1.923
2008-12-01,1.436
2009-01-01,1.496
2009-02-01,1.306
2009-03-01,1.338
2009-04-01,1.449
2009-05-01,1.520
2009-06-01,1.820
2009-07-01,1.722
2009-08-01,1.927
2009-09-01,1.795
2009-10-01,1.982
2009-11-01,1.998
2009-12-01,1.980
2010-01-01,2.066
2010-02-01,2.035
2010-03-01,2.159
2010-04-01,2.284
2010-05-01,2.136
2010-06-01,2.108
2010-07-01,2.066
2010-08-01,2.122
2010-09-01,2.175
2010-10-01,2.301
2010-11-01,2.377
2010-12-01,2.500
2011-01-01,2.642
2011-02-01,2.840
2011-03-01,3.131
2011-04-01,3.271
2011-05-01,3.035
2011-06-01,3.054
2011-07-01,3.170
2011-08-01,3.010
2011-09-01,2.980
2011-10-01,3.008
2011-11-01,3.095
2011-12-01,2.937
2012-01-01,3.080
2012-02-01,3.223
2012-03-01,3.302
2012-04-01,3.242
2012-05-01,2.987
2012-06-01,2.710
2012-07-01,2.921
2012-08-01,3.179
2012-09-01,3.229
2012-10-01,3.236
2012-11-01,3.180
2012-12-01,3.070
2013-01-01,3.103
2013-02-01,3.237
2013-03-01,3.037
2013-04-01,2.900
2013-05-01,2.888
2013-06-01,2.891
2013-07-01,3.018
2013-08-01,3.068
2013-09-01,3.048
2013-10-01,2.995
2013-11-01,2.938
2013-12-01,3.045
2014-01-01,3.117
2014-02-01,3.227
2014-03-01,2.993
2014-04-01,2.958
2014-05-01,2.936
2014-06-01,2.962
2014-07-01,2.879
2014-08-01,2.850
2014-09-01,2.740
2014-10-01,2.532
2014-11-01,2.430
2014-12-01,2.034
2015-01-01,1.678
2015-02-01,1.991
2015-03-01,1.856
2015-04-01,1.843
2015-05-01,1.965
2015-06-01,1.888
2015-07-01,1.684
2015-08-01,1.516
2015-09-01,1.516
2015-10-01,1.472
2015-11-01,1.413
2015-12-01,1.138
2016-01-01,0.979
2016-02-01,1.036
2016-03-01,1.190
2016-04-01,1.247
2016-05-01,1.423
2016-06-01,1.491
2016-07-01,1.370
2016-08-01,1.399
2016-09-01,1.418
2016-10-01,1.559
2016-11-01,1.463
2016-12-01,1.642
2017-01-01,1.623
2017-02-01,1.624
2017-03-01,1.528
2017-04-01,1.586
2017-05-01,1.514
2017-06-01,1.417
2017-07-01,1.521
2017-08-01,1.631
2017-09-01,1.791
2017-10-01,1.799
2017-11-01,1.916
2017-12-01,1.944
2018-01-01,2.074
2018-02-01,1.937
2018-03-01,1.930
2018-04-01,2.079
2018-05-01,2.230
2018-06-01,2.146
2018-07-01,2.140
2018-08-01,2.153
2018-09-01,2.252
2018-10-01,2.332
2018-11-01,2.048
