DATE,VALUE
1986-06-01,0.420
1986-07-01,0.340
1986-08-01,0.426
1986-09-01,0.420
1986-10-01,0.410
1986-11-01,0.411
1986-12-01,0.434
1987-01-01,0.489
1987-02-01,0.474
1987-03-01,0.509
1987-04-01,0.504
1987-05-01,0.542
1987-06-01,0.557
1987-07-01,0.556
1987-08-01,0.523
1987-09-01,0.518
1987-10-01,0.541
1987-11-01,0.516
1987-12-01,0.454
1988-01-01,0.449
1988-02-01,0.461
1988-03-01,0.452
1988-04-01,0.507
1988-05-01,0.522
1988-06-01,0.518
1988-07-01,0.554
1988-08-01,0.483
1988-09-01,0.466
1988-10-01,0.511
1988-11-01,0.521
1988-12-01,0.472
1989-01-01,0.501
1989-02-01,0.483
1989-03-01,0.547
1989-04-01,0.700
1989-05-01,0.679
1989-06-01,0.637
1989-07-01,0.563
1989-08-01,0.527
1989-09-01,0.593
1989-10-01,0.556
1989-11-01,0.509
1989-12-01,0.541
1990-01-01,0.639
1990-02-01,0.593
1990-03-01,0.556
1990-04-01,0.600
1990-05-01,0.643
1990-06-01,0.646
1990-07-01,0.653
1990-08-01,0.897
1990-09-01,0.997
1990-10-01,0.957
1990-11-01,0.879
1990-12-01,0.679
1991-01-01,0.688
1991-02-01,0.659
1991-03-01,0.723
1991-04-01,0.720
1991-05-01,0.701
1991-06-01,0.635
1991-07-01,0.652
1991-08-01,0.697
1991-09-01,0.621
1991-10-01,0.645
1991-11-01,0.649
1991-12-01,0.555
1992-01-01,0.530
1992-02-01,0.553
1992-03-01,0.571
1992-04-01,0.598
1992-05-01,0.634
1992-06-01,0.645
1992-07-01,0.600
1992-08-01,0.621
1992-09-01,0.618
1992-10-01,0.605
1992-11-01,0.582
1992-12-01,0.533
1993-01-01,0.527
1993-02-01,0.523
1993-03-01,0.540
1993-04-01,0.594
1993-05-01,0.594
1993-06-01,0.548
1993-07-01,0.519
1993-08-01,0.532
1993-09-01,0.486
1993-10-01,0.503
1993-11-01,0.444
1993-12-01,0.376
1994-01-01,0.422
1994-02-01,0.436
1994-03-01,0.441
1994-04-01,0.490
1994-05-01,0.505
1994-06-01,0.528
1994-07-01,0.545
1994-08-01,0.555
1994-09-01,0.464
1994-10-01,0.510
1994-11-01,0.520
1994-12-01,0.468
1995-01-01,0.511
1995-02-01,0.511
1995-03-01,0.504
1995-04-01,0.610
1995-05-01,0.648
1995-06-01,0.596
1995-07-01,0.511
1995-08-01,0.533
1995-09-01,0.561
1995-10-01,0.487
1995-11-01,0.505
1995-12-01,0.534
1996-01-01,0.506
1996-02-01,0.533
1996-03-01,0.585
1996-04-01,0.691
1996-05-01,0.649
1996-06-01,0.580
1996-07-01,0.616
1996-08-01,0.609
1996-09-01,0.624
1996-10-01,0.655
1996-11-01,0.691
1996-12-01,0.687
1997-01-01,0.674
1997-02-01,0.624
1997-03-01,0.613
1997-04-01,0.587
1997-05-01,0.621
1997-06-01,0.551
1997-07-01,0.587
1997-08-01,0.705
1997-09-01,0.623
1997-10-01,0.584
1997-11-01,0.557
1997-12-01,0.518
1998-01-01,0.478
1998-02-01,0.449
1998-03-01,0.447
1998-04-01,0.470
1998-05-01,0.482
1998-06-01,0.439
1998-07-01,0.423
1998-08-01,0.403
1998-09-01,0.429
1998-10-01,0.435
1998-11-01,0.372
1998-12-01,0.307
1999-01-01,0.343
1999-02-01,0.317
1999-03-01,0.423
1999-04-01,0.501
1999-05-01,0.492
1999-06-01,0.489
1999-07-01,0.583
1999-08-01,0.639
1999-09-01,0.688
1999-10-01,0.627
1999-11-01,0.696
1999-12-01,0.703
2000-01-01,0.705
2000-02-01,0.816
2000-03-01,0.889
2000-04-01,0.729
2000-05-01,0.888
2000-06-01,0.963
2000-07-01,0.859
2000-08-01,0.872
2000-09-01,0.961
2000-10-01,0.948
2000-11-01,0.944
2000-12-01,0.737
2001-01-01,0.829
2001-02-01,0.826
2001-03-01,0.785
