DATE,VALUE
1986-06-01,0.409
1986-07-01,0.334
1986-08-01,0.416
1986-09-01,0.398
1986-10-01,0.400
1986-11-01,0.409
1986-12-01,0.414
1987-01-01,0.492
1987-02-01,0.481
1987-03-01,0.506
1987-04-01,0.505
1987-05-01,0.528
1987-06-01,0.535
1987-07-01,0.552
1987-08-01,0.530
1987-09-01,0.496
1987-10-01,0.510
1987-11-01,0.497
1987-12-01,0.432
1988-01-01,0.433
1988-02-01,0.452
1988-03-01,0.456
1988-04-01,0.511
1988-05-01,0.510
1988-06-01,0.498
1988-07-01,0.557
1988-08-01,0.482
1988-09-01,0.470
1988-10-01,0.498
1988-11-01,0.475
1988-12-01,0.438
1989-01-01,0.492
1989-02-01,0.488
1989-03-01,0.547
1989-04-01,0.687
1989-05-01,0.674
1989-06-01,0.611
1989-07-01,0.531
1989-08-01,0.508
1989-09-01,0.578
1989-10-01,0.535
1989-11-01,0.504
1989-12-01,0.534
1990-01-01,0.638
1990-02-01,0.583
1990-03-01,0.578
1990-04-01,0.617
1990-05-01,0.667
1990-06-01,0.613
1990-07-01,0.602
1990-08-01,0.866
1990-09-01,0.950
1990-10-01,0.898
1990-11-01,0.829
1990-12-01,0.649
1991-01-01,0.668
1991-02-01,0.606
1991-03-01,0.674
1991-04-01,0.706
1991-05-01,0.693
1991-06-01,0.615
1991-07-01,0.634
1991-08-01,0.671
1991-09-01,0.600
1991-10-01,0.618
1991-11-01,0.617
1991-12-01,0.517
1992-01-01,0.508
1992-02-01,0.536
1992-03-01,0.553
1992-04-01,0.605
1992-05-01,0.633
1992-06-01,0.640
1992-07-01,0.587
1992-08-01,0.600
1992-09-01,0.590
1992-10-01,0.596
1992-11-01,0.540
1992-12-01,0.508
1993-01-01,0.514
1993-02-01,0.508
1993-03-01,0.559
1993-04-01,0.598
1993-05-01,0.601
1993-06-01,0.548
1993-07-01,0.504
1993-08-01,0.519
1993-09-01,0.481
1993-10-01,0.483
1993-11-01,0.426
1993-12-01,0.362
1994-01-01,0.419
1994-02-01,0.440
1994-03-01,0.456
1994-04-01,0.494
1994-05-01,0.494
1994-06-01,0.528
1994-07-01,0.544
1994-08-01,0.544
1994-09-01,0.445
1994-10-01,0.492
1994-11-01,0.465
1994-12-01,0.432
1995-01-01,0.477
1995-02-01,0.489
1995-03-01,0.490
1995-04-01,0.593
1995-05-01,0.636
1995-06-01,0.551
1995-07-01,0.480
1995-08-01,0.504
1995-09-01,0.505
1995-10-01,0.450
1995-11-01,0.457
1995-12-01,0.479
1996-01-01,0.494
1996-02-01,0.514
1996-03-01,0.581
1996-04-01,0.660
1996-05-01,0.627
1996-06-01,0.566
1996-07-01,0.590
1996-08-01,0.579
1996-09-01,0.590
1996-10-01,0.647
1996-11-01,0.661
1996-12-01,0.648
1997-01-01,0.670
1997-02-01,0.620
1997-03-01,0.614
1997-04-01,0.585
1997-05-01,0.608
1997-06-01,0.552
1997-07-01,0.591
1997-08-01,0.646
1997-09-01,0.562
1997-10-01,0.549
1997-11-01,0.528
1997-12-01,0.498
1998-01-01,0.460
1998-02-01,0.449
1998-03-01,0.428
1998-04-01,0.465
1998-05-01,0.480
1998-06-01,0.437
1998-07-01,0.417
1998-08-01,0.375
1998-09-01,0.403
1998-10-01,0.414
1998-11-01,0.337
1998-12-01,0.294
1999-01-01,0.324
1999-02-01,0.302
1999-03-01,0.418
1999-04-01,0.498
1999-05-01,0.483
1999-06-01,0.486
1999-07-01,0.569
1999-08-01,0.607
1999-09-01,0.643
1999-10-01,0.592
1999-11-01,0.659
1999-12-01,0.653
2000-01-01,0.695
2000-02-01,0.819
2000-03-01,0.857
2000-04-01,0.732
2000-05-01,0.896
2000-06-01,0.959
2000-07-01,0.829
2000-08-01,0.850
2000-09-01,0.914
2000-10-01,0.879
2000-11-01,0.862
2000-12-01,0.720
2001-01-01,0.865
2001-02-01,0.816
2001-03-01,0.771
2001-04-01,1.001
2001-05-01,0.922
2001-06-01,0.729
2001-07-01,0.674
2001-08-01,0.780
2001-09-01,0.745
2001-10-01,0.562
2001-11-01,0.501
2001-12-01,0.508
2002-01-01,0.538
2002-02-01,0.539
2002-03-01,0.714
2002-04-01,0.777
2002-05-01,0.740
2002-06-01,0.736
2002-07-01,0.756
2002-08-01,0.750
2002-09-01,0.776
2002-10-01,0.826
2002-11-01,0.691
2002-12-01,0.780
2003-01-01,0.879
2003-02-01,1.006
2003-03-01,0.963
2003-04-01,0.810
2003-05-01,0.783
2003-06-01,0.826
2003-07-01,0.885
2003-08-01,0.982
2003-09-01,0.810
2003-10-01,0.844
2003-11-01,0.820
2003-12-01,0.853
2004-01-01,0.984
2004-02-01,1.027
2004-03-01,1.090
2004-04-01,1.149
2004-05-01,1.335
2004-06-01,1.171
2004-07-01,1.233
2004-08-01,1.177
2004-09-01,1.239
2004-10-01,1.348
2004-11-01,1.237
2004-12-01,1.034
2005-01-01,1.244
2005-02-01,1.233
2005-03-01,1.472
2005-04-01,1.541
2005-05-01,1.410
2005-06-01,1.521
2005-07-01,1.603
2005-08-01,1.935
2005-09-01,2.305
2005-10-01,1.801
2005-11-01,1.444
2005-12-01,1.565
2006-01-01,1.693
2006-02-01,1.537
2006-03-01,1.832
2006-04-01,2.160
2006-05-01,2.042
2006-06-01,2.123
2006-07-01,2.270
2006-08-01,2.001
2006-09-01,1.560
2006-10-01,1.510
2006-11-01,1.563
2006-12-01,1.597
2007-01-01,1.410
2007-02-01,1.612
2007-03-01,1.850
2007-04-01,2.162
2007-05-01,2.305
2007-06-01,2.155
2007-07-01,2.128
2007-08-01,1.966
2007-09-01,2.111
2007-10-01,2.121
2007-11-01,2.359
2007-12-01,2.275
2008-01-01,2.315
2008-02-01,2.408
2008-03-01,2.562
2008-04-01,2.796
2008-05-01,3.107
2008-06-01,3.284
2008-07-01,3.158
2008-08-01,2.937
2008-09-01,3.138
2008-10-01,1.786
2008-11-01,1.204
2008-12-01,0.930
2009-01-01,1.148
2009-02-01,1.195
2009-03-01,1.288
2009-04-01,1.349
2009-05-01,1.657
2009-06-01,1.889
2009-07-01,1.705
2009-08-01,1.888
2009-09-01,1.735
2009-10-01,1.885
2009-11-01,1.926
2009-12-01,1.887
2010-01-01,2.014
2010-02-01,1.966
2010-03-01,2.137
2010-04-01,2.191
2010-05-01,1.989
2010-06-01,1.969
2010-07-01,1.973
2010-08-01,1.928
2010-09-01,1.950
2010-10-01,2.071
2010-11-01,2.115
2010-12-01,2.310
2011-01-01,2.390
2011-02-01,2.511
2011-03-01,2.859
2011-04-01,3.136
2011-05-01,3.024
2011-06-01,2.789
2011-07-01,2.975
2011-08-01,2.801
2011-09-01,2.692
2011-10-01,2.689
2011-11-01,2.539
2011-12-01,2.544
2012-01-01,2.777
2012-02-01,2.999
2012-03-01,3.169
2012-04-01,3.101
2012-05-01,2.780
2012-06-01,2.516
2012-07-01,2.645
