DATE,VALUE
1980-01-01,6518.67024739583
1981-01-01,5953.09472656250
1982-01-01,4837.49586995443
1983-01-01,4672.75349934896
1984-01-01,4752.23746744792
1985-01-01,4899.03330485026
1986-01-01,3888.76597086589
1987-01-01,4872.21002197266
1988-01-01,13778.13997395830
1989-01-01,13313.03938802080
1990-01-01,8864.00000000000
1991-01-01,8163.22005208333
1992-01-01,7015.47957356771
1993-01-01,5308.16699218750
1994-01-01,6331.93249511719
1995-01-01,8223.56030273438
1996-01-01,7504.09370930990
1997-01-01,6924.72049967448
1998-01-01,4623.58654785156
1999-01-01,6002.50603223746
2000-01-01,8630.51769402096
2001-01-01,5969.63064017658
2002-01-01,6783.30643050589
2003-01-01,9630.28576134011
2004-01-01,13821.00938285270
2005-01-01,14777.81459235210
2006-01-01,24125.61413800200
2007-01-01,37135.84189039520
2008-01-01,21141.46547041190
2009-01-01,14672.40284692160
2010-01-01,21809.99928712590
2011-01-01,22909.14221151730
2012-01-01,17541.73947569640
2013-01-01,15029.98857950620
2014-01-01,16893.37454788570
2015-01-01,11862.63451899060
2016-01-01,9595.17908098846
