DATE,VALUE
1980-01-01,16777.72738594970
1981-01-01,14168.90866284180
1982-01-01,12829.78607878670
1983-01-01,12987.59977950850
1984-01-01,12230.31334774580
1985-01-01,11539.03813315430
1986-01-01,6161.36692553406
1987-01-01,6689.83365328267
1988-01-01,7051.63379797516
1989-01-01,8534.43378454183
1990-01-01,6085.38368489939
1991-01-01,5595.96175649414
1992-01-01,6104.09343034057
1993-01-01,5167.54720441767
1994-01-01,5459.97713869298
1995-01-01,6197.36235824763
1996-01-01,6158.87735373433
1997-01-01,5640.48045725937
1998-01-01,5536.22876911697
1999-01-01,5391.39426118194
2000-01-01,5435.90252682101
2001-01-01,4489.43624464151
2002-01-01,4060.99631537947
2003-01-01,4889.65104460757
2004-01-01,8480.93838429242
2005-01-01,7385.24811507936
2006-01-01,8754.90384638447
2007-01-01,14495.44334685250
2008-01-01,18466.64446793040
2009-01-01,13602.69439935060
2010-01-01,20367.24875879590
2011-01-01,26051.44964428180
2012-01-01,21109.35620689780
2013-01-01,22281.58348684830
2014-01-01,21898.87367385030
2015-01-01,16066.63243918630
2016-01-01,17933.76208513710
