DATE,VALUE
1980-01-01,17174.79715595700
1980-04-01,17144.59486666670
1980-07-01,17131.36678784180
1980-10-01,15660.15073333330
1981-01-01,13888.37040901690
1981-04-01,12870.57263647460
1981-07-01,14288.87637568360
1981-10-01,15627.81523019210
1982-01-01,14956.14172117510
1982-04-01,12154.07001514690
1982-07-01,12060.74258196610
1982-10-01,12148.18999685870
1983-01-01,12859.54774235030
1983-04-01,13554.00304235030
1983-07-01,12917.60381215820
1983-10-01,12619.24452117510
1984-01-01,12269.44589098310
1984-04-01,12558.98526666670
1984-07-01,12276.79283019210
1984-10-01,11816.02940314130
1985-01-01,11076.66717068680
1985-04-01,12034.00026148280
1985-07-01,12576.06712459310
1985-10-01,10469.41797585450
1986-01-01,7715.50034308675
1986-04-01,5512.86699940491
1986-07-01,5396.03339753520
1986-10-01,6021.06696210937
1987-01-01,6677.53392167562
1987-04-01,6685.86673221435
1987-07-01,6555.76692637736
1987-10-01,6840.16703286336
1988-01-01,6757.03381423340
1988-04-01,6855.33388731283
1988-07-01,7293.33368888957
1988-10-01,7300.83380146484
1989-01-01,8014.60060742594
1989-04-01,10091.70052813720
1989-07-01,8863.50041081950
1989-10-01,7167.93359178467
1990-01-01,6339.53345320231
1990-04-01,6270.50048209635
1990-07-01,5845.53364832153
1990-10-01,5885.96715597737
1991-01-01,5569.60517274577
1991-04-01,5655.29120605876
1991-07-01,5632.13847986654
1991-10-01,5526.81216730550
1992-01-01,5577.41230485026
1992-04-01,6193.80256324056
1992-07-01,6802.68127151286
1992-10-01,5842.47758175863
1993-01-01,5790.71821561890
1993-04-01,5405.80935684713
1993-07-01,4769.40911746012
1993-10-01,4704.25212774455
1994-01-01,5266.22861302083
1994-04-01,5458.05504281820
1994-07-01,5264.33267211507
1994-10-01,5851.29222681783
1995-01-01,5711.64117574361
1995-04-01,6141.92882167358
1995-07-01,6646.87884025269
1995-10-01,6289.00059532064
1996-01-01,6217.22597794393
1996-04-01,6350.96830474040
1996-07-01,6149.58659292602
1996-10-01,5917.72853932699
1997-01-01,5882.25600976156
1997-04-01,5657.57546275330
1997-07-01,5450.85297915039
1997-10-01,5571.23737737223
1998-01-01,5301.87876089681
1998-04-01,5847.67157174886
1998-07-01,5607.07534764099
1998-10-01,5388.28939618123
1999-01-01,5219.31817004552
1999-04-01,5429.21172248804
1999-07-01,5257.18614718615
1999-10-01,5659.86100500806
2000-01-01,5686.35000000000
2000-04-01,5432.39611330698
2000-07-01,5371.97308488613
2000-10-01,5252.89090909091
2001-01-01,5113.12878787879
2001-04-01,4910.49067112225
2001-07-01,3990.47129186603
2001-10-01,3943.65422769898
2002-01-01,3814.43855218855
2002-04-01,4160.87590187590
2002-07-01,4035.92753623188
2002-10-01,4232.74327122153
2003-01-01,4536.74646464647
2003-04-01,4657.76587301587
2003-07-01,4814.36119894598
2003-10-01,5549.73064182195
2004-01-01,6899.13153899241
2004-04-01,9153.08931419458
2004-07-01,9019.67316017316
2004-10-01,8851.85952380953
2005-01-01,8084.73769841270
2005-04-01,7945.80772005772
2005-07-01,7059.88225108225
2005-10-01,6450.56479076479
2006-01-01,7601.74954796411
2006-04-01,8503.86498316499
2006-07-01,8589.38203463204
2006-10-01,10324.61881977670
2007-01-01,12669.63484848480
2007-04-01,14064.60609857980
2007-07-01,14922.91818181820
2007-10-01,16324.61425852730
2008-01-01,17793.27342978660
2008-04-01,22544.35043290040
2008-07-01,20399.07378129120
2008-10-01,13129.88022774330
2009-01-01,11109.17247474750
2009-04-01,13570.36825396820
2009-07-01,14533.82272727270
2009-10-01,15197.41414141420
2010-01-01,17190.54347826090
2010-04-01,17819.11786283890
2010-07-01,20544.65259740260
2010-10-01,25914.68109668110
2011-01-01,29883.31159420290
2011-04-01,28812.92542087540
2011-07-01,24660.47492784990
2011-10-01,20849.08663419910
2012-01-01,22942.14790764790
2012-04-01,20555.08732057420
2012-07-01,19330.97007575760
2012-10-01,21609.21952361140
2013-01-01,24037.54507575760
2013-04-01,20879.55396825400
2013-07-01,21312.37060041410
2013-10-01,22896.86430296760
2014-01-01,22636.28272005770
2014-04-01,23146.15000000000
2014-07-01,21915.19453227930
2014-10-01,19897.86744306420
2015-01-01,18369.98021284270
2015-04-01,15589.80342902710
2015-07-01,15229.54950592890
2015-10-01,15077.19660894660
2016-01-01,15438.60436507940
2016-04-01,16902.11915584420
2016-07-01,18584.25721500720
2016-10-01,20810.06760461760
2017-01-01,20004.48545548650
2017-04-01,19923.16456228960
