DATE,VALUE
2017-10-02,20.75
2017-10-03,20.75
2017-10-04,20.96
2017-10-05,20.78
2017-10-06,20.90
2017-10-09,21.21
2017-10-10,21.43
2017-10-11,21.47
2017-10-12,21.45
2017-10-13,21.46
2017-10-16,21.79
2017-10-17,21.47
2017-10-18,21.22
2017-10-19,21.21
2017-10-20,21.33
2017-10-23,21.47
2017-10-24,21.57
2017-10-25,21.48
2017-10-26,21.71
2017-10-27,21.53
2017-10-30,21.48
2017-10-31,21.61
2017-11-01,21.83
2017-11-02,21.96
2017-11-03,21.92
2017-11-06,21.56
2017-11-07,21.70
2017-11-08,21.66
2017-11-09,21.71
2017-11-10,21.55
2017-11-13,21.49
2017-11-14,21.56
2017-11-15,21.81
2017-11-16,21.76
2017-11-17,21.77
2017-11-20,21.91
2017-11-21,21.77
2017-11-22,21.64
2017-11-23,21.68
2017-11-24,21.70
2017-11-27,21.69
2017-11-28,21.83
2017-11-29,21.68
2017-11-30,21.36
2017-12-01,21.15
2017-12-04,20.70
2017-12-05,20.59
2017-12-06,20.41
2017-12-07,20.41
2017-12-08,20.33
2017-12-11,20.35
2017-12-12,20.25
2017-12-13,20.20
2017-12-14,20.54
2017-12-15,20.41
2017-12-18,20.72
2017-12-19,20.78
2017-12-20,20.83
2017-12-21,20.71
2017-12-22,20.58
2017-12-25,.
2017-12-26,.
2017-12-27,20.85
2017-12-28,21.12
2017-12-29,21.13
2018-01-01,.
2018-01-02,21.41
2018-01-03,21.44
2018-01-04,21.44
2018-01-05,21.45
2018-01-08,21.31
2018-01-09,21.19
2018-01-10,21.32
2018-01-11,21.40
2018-01-12,21.44
2018-01-15,21.55
2018-01-16,21.27
2018-01-17,21.42
2018-01-18,21.26
2018-01-19,21.17
2018-01-22,21.23
2018-01-23,21.18
2018-01-24,21.19
2018-01-25,21.59
2018-01-26,21.43
2018-01-29,21.39
2018-01-30,21.30
2018-01-31,21.17
2018-02-01,21.17
2018-02-02,21.09
2018-02-05,20.99
2018-02-06,21.09
2018-02-07,20.89
2018-02-08,20.57
2018-02-09,20.62
2018-02-12,20.65
2018-02-13,20.91
2018-02-14,20.85
2018-02-15,21.01
2018-02-16,21.02
2018-02-19,20.98
2018-02-20,20.86
2018-02-21,20.82
2018-02-22,20.89
2018-02-23,21.08
2018-02-26,21.09
2018-02-27,21.08
2018-02-28,21.00
2018-03-01,20.96
2018-03-02,21.16
2018-03-05,21.32
2018-03-06,21.49
2018-03-07,21.53
2018-03-08,21.31
2018-03-09,21.23
2018-03-12,21.12
2018-03-13,21.25
2018-03-14,21.50
2018-03-15,21.42
2018-03-16,21.56
2018-03-19,21.29
2018-03-20,21.26
2018-03-21,21.14
2018-03-22,21.26
2018-03-23,21.36
2018-03-26,21.40
2018-03-27,21.41
2018-03-28,21.21
2018-03-29,21.01
2018-03-30,.
2018-04-02,.
2018-04-03,21.28
2018-04-04,21.11
2018-04-05,20.82
2018-04-06,20.80
2018-04-09,20.92
2018-04-10,20.91
2018-04-11,20.90
2018-04-12,20.96
2018-04-13,20.75
2018-04-16,20.93
2018-04-17,20.89
2018-04-18,21.31
2018-04-19,21.68
2018-04-20,21.67
2018-04-23,21.67
2018-04-24,21.32
2018-04-25,21.32
2018-04-26,21.28
2018-04-27,21.29
2018-04-30,21.06
2018-05-01,20.91
2018-05-02,20.98
2018-05-03,21.13
2018-05-04,21.13
2018-05-07,.
2018-05-08,21.32
2018-05-09,21.24
2018-05-10,21.21
2018-05-11,21.35
2018-05-14,21.25
2018-05-15,21.03
2018-05-16,20.90
2018-05-17,20.95
2018-05-18,21.01
2018-05-21,21.02
2018-05-22,21.17
2018-05-23,21.31
2018-05-24,21.23
2018-05-25,21.53
2018-05-28,.
2018-05-29,21.48
2018-05-30,21.26
2018-05-31,21.23
2018-06-01,21.27
2018-06-04,21.26
2018-06-05,21.27
2018-06-06,21.37
2018-06-07,21.69
2018-06-08,21.77
2018-06-11,21.79
2018-06-12,21.93
2018-06-13,22.02
2018-06-14,22.20
2018-06-15,22.63
2018-06-18,21.87
2018-06-19,21.70
2018-06-20,21.66
2018-06-21,21.63
2018-06-22,21.81
2018-06-25,21.80
2018-06-26,21.60
2018-06-27,21.57
2018-06-28,21.41
2018-06-29,21.24
2018-07-02,21.04
2018-07-03,20.94
2018-07-04,21.08
2018-07-05,20.96
2018-07-06,21.02
2018-07-09,21.19
2018-07-10,20.94
2018-07-11,20.93
2018-07-12,20.91
2018-07-13,20.86
2018-07-16,20.78
2018-07-17,20.73
2018-07-18,20.45
2018-07-19,20.21
2018-07-20,20.36
2018-07-23,20.34
2018-07-24,20.39
2018-07-25,20.44
2018-07-26,20.24
2018-07-27,20.06
2018-07-30,20.21
2018-07-31,20.13
2018-08-01,20.14
2018-08-02,20.13
2018-08-03,19.99
2018-08-06,19.98
2018-08-07,20.06
2018-08-08,20.09
2018-08-09,20.17
2018-08-10,20.13
2018-08-13,19.98
2018-08-14,19.68
2018-08-15,19.43
2018-08-16,19.18
2018-08-17,19.29
2018-08-20,19.29
2018-08-21,19.25
2018-08-22,19.27
2018-08-23,19.06
2018-08-24,19.10
2018-08-27,.
2018-08-28,19.28
2018-08-29,19.01
2018-08-30,18.95
2018-08-31,19.05
2018-09-03,18.96
2018-09-04,18.74
2018-09-05,18.67
2018-09-06,18.80
2018-09-07,18.62
2018-09-10,18.75
2018-09-11,18.59
2018-09-12,18.48
2018-09-13,18.50
2018-09-14,18.47
2018-09-17,18.45
2018-09-18,18.50
2018-09-19,18.35
2018-09-20,18.36
2018-09-21,18.50
2018-09-24,18.53
2018-09-25,18.52
2018-09-26,18.74
2018-09-27,18.83
2018-09-28,18.62
2018-10-01,18.61
2018-10-02,18.61
2018-10-03,18.92
2018-10-04,18.83
2018-10-05,18.92
2018-10-08,18.80
2018-10-09,18.60
2018-10-10,18.62
2018-10-11,18.79
2018-10-12,18.99
2018-10-15,19.18
2018-10-16,19.14
2018-10-17,19.00
2018-10-18,18.92
2018-10-19,19.06
2018-10-22,19.15
2018-10-23,.
2018-10-24,19.31
2018-10-25,19.20
2018-10-26,19.31
2018-10-29,19.18
2018-10-30,18.93
2018-10-31,18.83
2018-11-01,18.93
2018-11-02,19.36
2018-11-05,19.31
2018-11-06,19.29
2018-11-07,19.18
2018-11-08,18.98
2018-11-09,18.92
2018-11-12,18.70
2018-11-13,18.55
2018-11-14,18.49
2018-11-15,18.69
2018-11-16,18.81
2018-11-19,18.92
2018-11-20,19.03
2018-11-21,19.16
2018-11-22,19.20
2018-11-23,18.86
2018-11-26,18.98
2018-11-27,18.91
2018-11-28,18.84
2018-11-29,18.98
2018-11-30,18.95
2018-12-03,18.98
2018-12-04,19.16
