DATE,VALUE
2017-10-02,110.31
2017-10-03,110.51
2017-10-04,111.94
2017-10-05,110.85
2017-10-06,110.61
2017-10-09,112.05
2017-10-10,112.63
2017-10-11,113.12
2017-10-12,113.28
2017-10-13,113.31
2017-10-16,114.73
2017-10-17,113.28
2017-10-18,112.29
2017-10-19,112.71
2017-10-20,113.05
2017-10-23,112.81
2017-10-24,112.96
2017-10-25,112.24
2017-10-26,112.58
2017-10-27,111.23
2017-10-30,111.20
2017-10-31,111.54
2017-11-01,111.99
2017-11-02,112.91
2017-11-03,113.23
2017-11-06,112.20
2017-11-07,112.89
2017-11-08,112.65
2017-11-09,113.51
2017-11-10,112.92
2017-11-13,112.40
2017-11-14,112.41
2017-11-15,113.37
2017-11-16,113.02
2017-11-17,113.34
2017-11-20,113.70
2017-11-21,112.77
2017-11-22,112.26
2017-11-23,112.56
2017-11-24,112.64
2017-11-27,112.92
2017-11-28,112.64
2017-11-29,111.55
2017-11-30,109.60
2017-12-01,108.52
2017-12-04,108.09
2017-12-05,107.69
2017-12-06,106.60
2017-12-07,105.30
2017-12-08,104.75
2017-12-11,104.80
2017-12-12,104.42
2017-12-13,103.94
2017-12-14,105.81
2017-12-15,105.64
2017-12-18,106.48
2017-12-19,106.67
2017-12-20,106.48
2017-12-21,106.31
2017-12-22,106.37
2017-12-25,.
2017-12-26,.
2017-12-27,108.15
2017-12-28,109.41
2017-12-29,109.75
2018-01-01,.
2018-01-02,110.77
2018-01-03,111.32
2018-01-04,111.29
2018-01-05,111.34
2018-01-08,111.56
2018-01-09,111.31
2018-01-10,111.46
2018-01-11,110.68
2018-01-12,110.62
2018-01-15,111.54
2018-01-16,110.15
2018-01-17,110.74
2018-01-18,109.77
2018-01-19,109.12
2018-01-22,109.08
2018-01-23,108.76
2018-01-24,109.53
2018-01-25,110.72
2018-01-26,109.97
2018-01-29,109.73
2018-01-30,109.23
2018-01-31,108.35
2018-02-01,108.24
2018-02-02,107.71
2018-02-05,106.14
2018-02-06,105.41
2018-02-07,104.64
2018-02-08,103.42
2018-02-09,102.99
2018-02-12,103.95
2018-02-13,105.36
2018-02-14,105.17
2018-02-15,106.81
2018-02-16,106.87
2018-02-19,106.14
2018-02-20,105.19
2018-02-21,104.33
2018-02-22,104.73
2018-02-23,105.22
2018-02-26,105.16
2018-02-27,104.84
2018-02-28,103.96
2018-03-01,103.58
2018-03-02,104.35
2018-03-05,104.67
2018-03-06,105.32
2018-03-07,105.21
2018-03-08,104.46
2018-03-09,104.44
2018-03-12,104.13
2018-03-13,104.49
2018-03-14,104.85
2018-03-15,104.37
2018-03-16,104.22
2018-03-19,103.13
2018-03-20,102.91
2018-03-21,102.83
2018-03-22,104.61
2018-03-23,104.51
2018-03-26,104.30
2018-03-27,104.55
2018-03-28,103.56
2018-03-29,102.36
2018-03-30,.
2018-04-02,.
2018-04-03,103.81
2018-04-04,103.84
2018-04-05,102.81
2018-04-06,102.62
2018-04-09,103.20
2018-04-10,103.77
2018-04-11,104.15
2018-04-12,104.68
2018-04-13,103.69
2018-04-16,104.34
2018-04-17,104.46
2018-04-18,106.48
2018-04-19,107.94
2018-04-20,107.67
2018-04-23,106.83
2018-04-24,104.65
2018-04-25,104.72
2018-04-26,104.82
2018-04-27,104.73
2018-04-30,103.74
2018-05-01,102.92
2018-05-02,103.96
2018-05-03,104.52
2018-05-04,104.42
2018-05-07,.
2018-05-08,104.72
2018-05-09,104.73
2018-05-10,105.41
2018-05-11,106.14
2018-05-14,105.50
2018-05-15,104.33
2018-05-16,103.65
2018-05-17,104.35
2018-05-18,104.55
2018-05-21,104.35
2018-05-22,105.59
