DATE,VALUE
2017-10-02,14.12
2017-10-03,14.13
2017-10-04,14.29
2017-10-05,14.19
2017-10-06,14.20
2017-10-09,14.41
2017-10-10,14.53
2017-10-11,14.51
2017-10-12,14.50
2017-10-13,14.55
2017-10-16,14.75
2017-10-17,14.55
2017-10-18,14.42
2017-10-19,14.40
2017-10-20,14.46
2017-10-23,14.47
2017-10-24,14.49
2017-10-25,14.34
2017-10-26,14.37
2017-10-27,14.38
2017-10-30,14.39
2017-10-31,14.45
2017-11-01,14.55
2017-11-02,14.66
2017-11-03,14.67
2017-11-06,14.59
2017-11-07,14.70
2017-11-08,14.65
2017-11-09,14.69
2017-11-10,14.60
2017-11-13,14.53
2017-11-14,14.45
2017-11-15,14.45
2017-11-16,14.48
2017-11-17,14.49
2017-11-20,14.56
2017-11-21,14.50
2017-11-22,14.44
2017-11-23,14.43
2017-11-24,14.38
2017-11-27,14.32
2017-11-28,14.36
2017-11-29,14.26
2017-11-30,14.00
2017-12-01,13.80
2017-12-04,13.77
2017-12-05,13.72
2017-12-06,13.64
2017-12-07,13.49
2017-12-08,13.48
2017-12-11,13.43
2017-12-12,13.40
2017-12-13,13.38
2017-12-14,13.54
2017-12-15,13.55
2017-12-18,13.64
2017-12-19,13.68
2017-12-20,13.67
2017-12-21,13.61
2017-12-22,13.65
2017-12-25,.
2017-12-26,.
2017-12-27,13.87
2017-12-28,14.02
2017-12-29,14.07
2018-01-01,.
2018-01-02,14.15
2018-01-03,14.25
2018-01-04,14.20
2018-01-05,14.24
2018-01-08,14.33
2018-01-09,14.30
2018-01-10,14.27
2018-01-11,14.24
2018-01-12,14.12
2018-01-15,14.14
2018-01-16,13.99
2018-01-17,14.10
2018-01-18,13.96
2018-01-19,13.89
2018-01-22,13.90
2018-01-23,13.87
2018-01-24,13.93
2018-01-25,14.12
2018-01-26,13.99
2018-01-29,13.99
2018-01-30,13.91
2018-01-31,13.84
2018-02-01,13.82
2018-02-02,13.72
2018-02-05,13.56
2018-02-06,13.59
2018-02-07,13.52
2018-02-08,13.36
2018-02-09,13.37
2018-02-12,13.39
2018-02-13,13.46
2018-02-14,13.43
2018-02-15,13.49
2018-02-16,13.49
2018-02-19,13.46
2018-02-20,13.42
2018-02-21,13.35
2018-02-22,13.40
2018-02-23,13.50
2018-02-26,13.52
2018-02-27,13.48
2018-02-28,13.45
2018-03-01,13.39
2018-03-02,13.36
2018-03-05,13.42
2018-03-06,13.41
2018-03-07,13.42
2018-03-08,13.31
2018-03-09,13.40
2018-03-12,13.39
2018-03-13,13.38
2018-03-14,13.42
2018-03-15,13.37
2018-03-16,13.36
2018-03-19,13.24
2018-03-20,13.22
2018-03-21,13.23
2018-03-22,13.41
2018-03-23,13.39
2018-03-26,13.39
2018-03-27,13.41
2018-03-28,13.28
2018-03-29,13.21
2018-03-30,.
2018-04-02,.
2018-04-03,13.44
2018-04-04,13.40
2018-04-05,13.28
2018-04-06,13.30
2018-04-09,13.32
2018-04-10,13.38
2018-04-11,13.39
2018-04-12,13.50
2018-04-13,13.40
2018-04-16,13.42
2018-04-17,13.44
2018-04-18,13.70
2018-04-19,13.91
2018-04-20,13.91
2018-04-23,13.85
2018-04-24,13.59
2018-04-25,13.57
2018-04-26,13.61
2018-04-27,13.68
2018-04-30,13.54
2018-05-01,13.51
2018-05-02,13.62
2018-05-03,13.74
2018-05-04,13.72
2018-05-07,.
2018-05-08,13.85
2018-05-09,13.84
2018-05-10,13.97
2018-05-11,14.04
2018-05-14,13.89
2018-05-15,13.77
2018-05-16,13.79
2018-05-17,13.90
2018-05-18,13.92
2018-05-21,13.91
2018-05-22,14.04
2018-05-23,14.11
2018-05-24,14.09
2018-05-25,14.24
2018-05-28,.
2018-05-29,14.26
2018-05-30,14.08
2018-05-31,14.17
2018-06-01,14.02
2018-06-04,14.03
2018-06-05,14.03
2018-06-06,14.06
2018-06-07,14.15
2018-06-08,14.25
2018-06-11,14.23
2018-06-12,14.30
2018-06-13,14.37
2018-06-14,14.48
2018-06-15,14.86
2018-06-18,14.29
2018-06-19,14.16
2018-06-20,14.09
2018-06-21,14.07
2018-06-22,14.11
2018-06-25,14.05
2018-06-26,13.90
2018-06-27,13.93
2018-06-28,13.90
2018-06-29,13.77
2018-07-02,13.73
2018-07-03,13.68
2018-07-04,13.78
2018-07-05,13.65
2018-07-06,13.66
2018-07-09,13.76
2018-07-10,13.61
2018-07-11,13.59
2018-07-12,13.58
2018-07-13,13.60
2018-07-16,13.49
2018-07-17,13.46
2018-07-18,13.29
2018-07-19,13.16
2018-07-20,13.19
2018-07-23,13.22
2018-07-24,13.24
2018-07-25,13.31
2018-07-26,13.27
2018-07-27,13.20
2018-07-30,13.25
2018-07-31,13.15
2018-08-01,13.24
2018-08-02,13.29
2018-08-03,13.26
2018-08-06,13.30
2018-08-07,13.34
2018-08-08,13.24
2018-08-09,13.35
2018-08-10,13.41
2018-08-13,13.35
2018-08-14,13.18
2018-08-15,13.10
2018-08-16,12.85
2018-08-17,12.87
2018-08-20,12.93
2018-08-21,12.83
2018-08-22,12.77
2018-08-23,12.62
2018-08-24,12.63
2018-08-27,.
2018-08-28,12.74
2018-08-29,12.60
2018-08-30,12.54
2018-08-31,12.56
2018-09-03,12.50
2018-09-04,12.33
2018-09-05,12.22
2018-09-06,12.27
2018-09-07,12.20
2018-09-10,12.28
2018-09-11,12.19
2018-09-12,12.22
2018-09-13,12.24
2018-09-14,12.15
2018-09-17,12.15
2018-09-18,12.16
2018-09-19,12.13
2018-09-20,12.14
2018-09-21,12.18
2018-09-24,12.17
2018-09-25,12.15
2018-09-26,12.32
2018-09-27,12.31
2018-09-28,12.35
2018-10-01,12.53
2018-10-02,12.59
2018-10-03,12.75
2018-10-04,12.72
2018-10-05,12.73
2018-10-08,12.61
2018-10-09,12.51
