DATE,VALUE
2017-10-02,12.46
2017-10-03,12.53
2017-10-04,12.67
2017-10-05,12.64
2017-10-06,12.73
2017-10-09,12.86
2017-10-10,12.98
2017-10-11,13.00
2017-10-12,13.06
2017-10-13,12.94
2017-10-16,13.09
2017-10-17,12.96
2017-10-18,12.86
2017-10-19,12.93
2017-10-20,12.96
2017-10-23,12.90
2017-10-24,12.92
2017-10-25,12.75
2017-10-26,12.84
2017-10-27,12.76
2017-10-30,12.69
2017-10-31,12.72
2017-11-01,12.74
2017-11-02,12.98
2017-11-03,13.05
2017-11-06,12.90
2017-11-07,12.95
2017-11-08,12.96
2017-11-09,13.03
2017-11-10,12.92
2017-11-13,12.93
2017-11-14,12.92
2017-11-15,13.00
2017-11-16,12.92
2017-11-17,12.95
2017-11-20,12.94
2017-11-21,12.85
2017-11-22,12.81
2017-11-23,12.84
2017-11-24,12.80
2017-11-27,12.81
2017-11-28,12.84
2017-11-29,12.60
2017-11-30,12.32
2017-12-01,12.16
2017-12-04,12.09
2017-12-05,12.14
2017-12-06,12.06
2017-12-07,11.94
2017-12-08,11.76
2017-12-11,11.84
2017-12-12,11.82
2017-12-13,11.76
2017-12-14,11.92
2017-12-15,11.93
2017-12-18,12.04
2017-12-19,12.08
2017-12-20,12.09
2017-12-21,12.08
2017-12-22,12.08
2017-12-25,.
2017-12-26,.
2017-12-27,12.30
2017-12-28,12.46
2017-12-29,12.48
2018-01-01,.
2018-01-02,12.59
2018-01-03,12.63
2018-01-04,12.64
2018-01-05,12.66
2018-01-08,12.68
2018-01-09,12.60
2018-01-10,12.64
2018-01-11,12.64
2018-01-12,12.56
2018-01-15,12.58
2018-01-16,12.43
2018-01-17,12.49
2018-01-18,12.31
2018-01-19,12.27
2018-01-22,12.25
2018-01-23,12.19
2018-01-24,12.16
2018-01-25,12.29
2018-01-26,12.21
2018-01-29,12.33
2018-01-30,12.24
2018-01-31,12.17
2018-02-01,12.09
2018-02-02,12.05
2018-02-05,12.01
2018-02-06,12.07
2018-02-07,12.02
2018-02-08,11.70
2018-02-09,11.83
2018-02-12,11.86
2018-02-13,11.94
2018-02-14,11.97
2018-02-15,11.98
2018-02-16,11.97
2018-02-19,11.92
2018-02-20,11.85
2018-02-21,11.80
2018-02-22,11.86
2018-02-23,11.88
2018-02-26,11.88
2018-02-27,11.91
2018-02-28,11.88
2018-03-01,11.87
2018-03-02,11.92
2018-03-05,11.95
2018-03-06,11.96
2018-03-07,12.01
2018-03-08,11.89
2018-03-09,11.92
2018-03-12,11.88
2018-03-13,11.88
2018-03-14,11.88
2018-03-15,11.86
2018-03-16,11.79
2018-03-19,11.59
2018-03-20,11.60
2018-03-21,11.56
2018-03-22,11.64
2018-03-23,11.70
2018-03-26,11.67
2018-03-27,11.79
2018-03-28,11.63
2018-03-29,11.58
2018-03-30,.
2018-04-02,.
2018-04-03,11.78
2018-04-04,11.72
2018-04-05,11.59
2018-04-06,11.61
2018-04-09,11.59
2018-04-10,11.65
2018-04-11,11.67
2018-04-12,11.74
2018-04-13,11.57
2018-04-16,11.61
2018-04-17,11.60
2018-04-18,11.93
2018-04-19,12.09
2018-04-20,12.15
2018-04-23,12.14
2018-04-24,11.90
2018-04-25,11.87
2018-04-26,11.87
2018-04-27,12.01
2018-04-30,11.93
2018-05-01,11.87
2018-05-02,11.98
2018-05-03,12.12
2018-05-04,12.10
2018-05-07,.
2018-05-08,12.17
2018-05-09,12.12
2018-05-10,12.24
2018-05-11,12.35
2018-05-14,12.25
2018-05-15,12.12
2018-05-16,12.07
2018-05-17,12.14
2018-05-18,12.16
2018-05-21,12.19
2018-05-22,12.32
2018-05-23,12.38
2018-05-24,12.32
2018-05-25,12.49
2018-05-28,.
2018-05-29,12.43
2018-05-30,12.33
2018-05-31,12.42
2018-06-01,12.32
2018-06-04,12.29
2018-06-05,12.26
2018-06-06,12.33
2018-06-07,12.44
2018-06-08,12.49
2018-06-11,12.55
2018-06-12,12.58
2018-06-13,12.68
2018-06-14,12.75
2018-06-15,12.96
2018-06-18,12.53
2018-06-19,12.42
2018-06-20,12.38
2018-06-21,12.33
2018-06-22,12.35
2018-06-25,12.35
2018-06-26,12.25
2018-06-27,12.27
2018-06-28,12.30
2018-06-29,12.20
2018-07-02,12.14
2018-07-03,12.08
2018-07-04,12.15
2018-07-05,12.04
2018-07-06,12.09
2018-07-09,12.15
2018-07-10,12.04
2018-07-11,12.02
2018-07-12,12.00
2018-07-13,12.04
2018-07-16,11.90
2018-07-17,11.91
2018-07-18,11.85
2018-07-19,11.75
2018-07-20,11.79
2018-07-23,11.78
2018-07-24,11.81
2018-07-25,11.83
2018-07-26,11.79
2018-07-27,11.72
2018-07-30,11.81
2018-07-31,11.72
2018-08-01,11.79
2018-08-02,11.78
2018-08-03,11.81
2018-08-06,11.86
2018-08-07,11.93
2018-08-08,11.93
2018-08-09,12.01
2018-08-10,12.04
2018-08-13,11.91
2018-08-14,11.77
2018-08-15,11.66
2018-08-16,11.51
2018-08-17,11.54
2018-08-20,11.57
2018-08-21,11.52
2018-08-22,11.49
2018-08-23,11.34
2018-08-24,11.37
2018-08-27,.
2018-08-28,11.56
2018-08-29,11.40
2018-08-30,11.27
2018-08-31,11.27
2018-09-03,11.27
2018-09-04,11.11
2018-09-05,11.05
2018-09-06,11.03
2018-09-07,10.90
2018-09-10,10.99
2018-09-11,10.85
2018-09-12,10.90
2018-09-13,10.90
2018-09-14,10.83
2018-09-17,10.81
2018-09-18,10.81
2018-09-19,10.76
2018-09-20,10.75
2018-09-21,10.87
2018-09-24,10.90
2018-09-25,10.86
2018-09-26,11.01
2018-09-27,10.98
2018-09-28,10.97
2018-10-01,11.16
2018-10-02,11.20
2018-10-03,11.36
2018-10-04,11.27
2018-10-05,11.23
2018-10-08,11.10
2018-10-09,10.98
2018-10-10,10.92
2018-10-11,10.90
2018-10-12,11.04
2018-10-15,11.19
2018-10-16,11.16
2018-10-17,11.16
2018-10-18,11.06
2018-10-19,11.21
2018-10-22,11.23
2018-10-23,.
2018-10-24,11.42
2018-10-25,11.43
2018-10-26,11.48
2018-10-29,11.42
2018-10-30,11.32
2018-10-31,11.23
2018-11-01,11.19
2018-11-02,11.38
2018-11-05,11.33
2018-11-06,11.25
2018-11-07,11.15
2018-11-08,11.06
2018-11-09,11.01
2018-11-12,11.00
2018-11-13,10.85
2018-11-14,10.80
2018-11-15,11.02
2018-11-16,11.15
2018-11-19,11.21
2018-11-20,11.24
2018-11-21,11.26
2018-11-22,11.26
2018-11-23,11.12
2018-11-26,11.18
2018-11-27,11.20
2018-11-28,11.06
2018-11-29,11.17
2018-11-30,11.16
2018-12-03,11.31
2018-12-04,11.35
2018-12-05,11.34
2018-12-06,11.28
2018-12-07,11.34
2018-12-10,11.48
2018-12-11,11.62
2018-12-12,11.68
2018-12-13,11.60
2018-12-14,11.61
2018-12-17,11.55
2018-12-18,11.55
2018-12-19,11.58
2018-12-20,11.64
2018-12-21,11.59
2018-12-24,11.60
2018-12-25,.
2018-12-26,.
2018-12-27,11.92
2018-12-28,12.05
2018-12-31,.
2019-01-01,.
2019-01-02,12.19
2019-01-03,12.37
2019-01-04,12.40
2019-01-07,12.35
2019-01-08,12.24
2019-01-09,12.27
2019-01-10,12.33
