DATE,VALUE
2017-10-02,960.36
2017-10-03,962.86
2017-10-04,969.41
2017-10-05,957.71
2017-10-06,960.60
2017-10-09,988.17
2017-10-10,992.75
2017-10-11,990.81
2017-10-12,992.53
2017-10-13,992.26
2017-10-16,996.73
2017-10-17,981.71
2017-10-18,971.71
2017-10-19,980.30
2017-10-20,982.99
2017-10-23,976.79
2017-10-24,978.41
2017-10-25,971.98
2017-10-26,979.65
2017-10-27,974.25
2017-10-30,966.41
2017-10-31,981.00
2017-11-01,984.91
2017-11-02,995.61
2017-11-03,1001.09
2017-11-06,997.89
2017-11-07,1003.44
2017-11-08,1011.34
2017-11-09,1010.96
2017-11-10,1008.10
2017-11-13,1004.48
2017-11-14,1012.28
2017-11-15,1032.11
2017-11-16,1021.97
2017-11-17,1015.39
2017-11-20,1017.45
2017-11-21,1011.11
2017-11-22,997.78
2017-11-23,998.89
2017-11-24,994.96
2017-11-27,994.02
2017-11-28,995.53
2017-11-29,985.59
2017-11-30,969.28
2017-12-01,963.48
2017-12-04,961.38
2017-12-05,955.75
2017-12-06,952.61
2017-12-07,942.49
2017-12-08,938.30
2017-12-11,938.20
2017-12-12,928.95
2017-12-13,927.96
2017-12-14,938.97
2017-12-15,941.41
2017-12-18,943.64
2017-12-19,946.91
2017-12-20,949.72
2017-12-21,944.42
2017-12-22,942.88
2017-12-25,.
2017-12-26,.
2017-12-27,952.66
2017-12-28,964.19
2017-12-29,975.69
2018-01-01,.
2018-01-02,978.53
2018-01-03,983.49
2018-01-04,979.03
2018-01-05,978.22
2018-01-08,980.52
2018-01-09,969.41
2018-01-10,976.03
2018-01-11,969.52
2018-01-12,968.13
2018-01-15,978.73
2018-01-16,965.93
2018-01-17,975.27
2018-01-18,967.88
2018-01-19,964.50
2018-01-22,963.78
2018-01-23,960.43
2018-01-24,968.43
2018-01-25,978.98
2018-01-26,971.86
2018-01-29,975.35
2018-01-30,967.01
2018-01-31,968.63
2018-02-01,967.67
2018-02-02,965.24
2018-02-05,955.89
2018-02-06,962.71
2018-02-07,954.51
2018-02-08,945.67
2018-02-09,951.96
2018-02-12,951.75
2018-02-13,959.61
2018-02-14,950.62
2018-02-15,955.92
2018-02-16,949.88
2018-02-19,943.29
2018-02-20,938.33
2018-02-21,930.82
2018-02-22,934.91
2018-02-23,937.22
2018-02-26,932.80
2018-02-27,929.18
2018-02-28,926.05
2018-03-01,925.98
2018-03-02,938.89
2018-03-05,943.34
2018-03-06,935.64
2018-03-07,947.96
2018-03-08,939.73
2018-03-09,938.97
2018-03-12,936.25
2018-03-13,938.92
2018-03-14,944.11
2018-03-15,943.67
2018-03-16,948.90
2018-03-19,942.79
2018-03-20,938.47
2018-03-21,934.62
2018-03-22,941.55
2018-03-23,946.27
2018-03-26,944.19
2018-03-27,951.22
2018-03-28,947.37
2018-03-29,937.51
2018-03-30,.
2018-04-02,.
2018-04-03,951.61
2018-04-04,951.84
2018-04-05,938.55
2018-04-06,942.50
2018-04-09,979.49
2018-04-10,1040.43
2018-04-11,1069.91
2018-04-12,1026.36
2018-04-13,1018.01
2018-04-16,1029.60
2018-04-17,1022.42
2018-04-18,1043.71
2018-04-19,1050.47
2018-04-20,1051.14
2018-04-23,1052.04
2018-04-24,1022.21
2018-04-25,1024.09
2018-04-26,1040.34
2018-04-27,1032.09
2018-04-30,1029.98
2018-05-01,1030.93
2018-05-02,1043.20
2018-05-03,1043.83
2018-05-04,1035.68
2018-05-07,.
2018-05-08,1039.03
2018-05-09,1039.59
2018-05-10,1032.51
2018-05-11,1033.12
2018-05-14,1026.65
2018-05-15,1016.68
2018-05-16,1015.46
2018-05-17,1016.00
2018-05-18,1019.64
2018-05-21,1016.70
2018-05-22,1017.68
2018-05-23,1019.80
2018-05-24,1012.29
2018-05-25,1032.93
2018-05-28,.
2018-05-29,1032.96
2018-05-30,1022.67
2018-05-31,1027.29
2018-06-01,1020.63
2018-06-04,1019.67
2018-06-05,1018.35
2018-06-06,1025.71
2018-06-07,1037.50
2018-06-08,1051.98
2018-06-11,1048.76
2018-06-12,1060.06
2018-06-13,1061.04
2018-06-14,1065.05
2018-06-15,1079.82
2018-06-18,1052.26
2018-06-19,1047.71
2018-06-20,1035.51
2018-06-21,1035.29
2018-06-22,1036.15
2018-06-25,1030.52
2018-06-26,1021.63
2018-06-27,1025.77
2018-06-28,1014.77
2018-06-29,1006.67
2018-07-02,1008.67
2018-07-03,1007.50
2018-07-04,1015.08
2018-07-05,1008.05
2018-07-06,1011.62
2018-07-09,1017.25
2018-07-10,997.35
2018-07-11,988.00
2018-07-12,984.21
2018-07-13,984.86
2018-07-16,983.91
2018-07-17,986.32
2018-07-18,973.69
2018-07-19,970.29
2018-07-20,976.15
2018-07-23,976.10
2018-07-24,973.55
2018-07-25,979.73
2018-07-26,978.83
2018-07-27,967.31
2018-07-30,970.43
2018-07-31,963.35
2018-08-01,970.42
2018-08-02,978.03
2018-08-03,974.25
2018-08-06,976.78
2018-08-07,982.00
2018-08-08,993.56
2018-08-09,1020.91
2018-08-10,1027.89
2018-08-13,1035.19
2018-08-14,1003.80
2018-08-15,993.40
2018-08-16,980.61
2018-08-17,988.81
2018-08-20,991.01
2018-08-21,995.79
2018-08-22,1005.17
2018-08-23,990.67
2018-08-24,990.94
2018-08-27,.
2018-08-28,1006.86
2018-08-29,999.99
2018-08-30,998.51
2018-08-31,995.91
2018-09-03,986.82
2018-09-04,972.52
2018-09-05,967.59
2018-09-06,974.80
2018-09-07,982.39
2018-09-10,1000.61
2018-09-11,990.43
2018-09-12,983.51
2018-09-13,973.00
2018-09-14,959.31
2018-09-17,965.38
2018-09-18,962.46
2018-09-19,950.27
2018-09-20,942.81
2018-09-21,955.25
2018-09-24,943.55
2018-09-25,938.96
2018-09-26,952.92
2018-09-27,946.87
2018-09-28,941.65
2018-10-01,954.49
2018-10-02,950.71
2018-10-03,966.65
2018-10-04,970.13
2018-10-05,977.29
2018-10-08,967.74
2018-10-09,953.80
2018-10-10,950.03
2018-10-11,958.20
2018-10-12,962.76
2018-10-15,967.59
2018-10-16,966.53
2018-10-17,960.79
2018-10-18,951.75
2018-10-19,959.15
2018-10-22,954.49
2018-10-23,.
2018-10-24,967.28
2018-10-25,968.16
2018-10-26,967.72
2018-10-29,959.99
2018-10-30,947.22
2018-10-31,942.78
2018-11-01,948.67
2018-11-02,974.33
2018-11-05,977.71
2018-11-06,971.18
2018-11-07,966.45
2018-11-08,962.41
2018-11-09,965.85
2018-11-12,958.76
2018-11-13,949.84
2018-11-14,947.47
2018-11-15,939.42
2018-11-16,945.42
2018-11-19,946.04
2018-11-20,947.17
2018-11-21,951.19
2018-11-22,951.64
2018-11-23,938.00
2018-11-26,962.16
2018-11-27,953.81
2018-11-28,953.31
2018-11-29,948.35
2018-11-30,952.29
2018-12-03,957.22
2018-12-04,965.26
2018-12-05,966.06
2018-12-06,962.32
2018-12-07,970.19
2018-12-10,965.00
2018-12-11,969.85
2018-12-12,972.76
2018-12-13,975.60
2018-12-14,969.88
2018-12-17,971.14
2018-12-18,980.90
2018-12-19,987.72
2018-12-20,996.20
2018-12-21,1007.06
2018-12-24,1004.08
2018-12-25,.
2018-12-26,.
2018-12-27,1044.82
2018-12-28,1060.85
2018-12-31,.
2019-01-01,.
2019-01-02,1075.62
2019-01-03,1072.43
2019-01-04,1067.00
2019-01-07,1056.69
2019-01-08,1047.01
2019-01-09,1046.84
2019-01-10,1052.97
